	YuJ_2015__SZAXPI015257-56__bin.48	NielsenHB_2014__MH0088__bin.3	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.12	LiuW_2016__SRR3992985__bin.31	LouisS_2016__AS51_18__bin.6	SchirmerM_2016__G88882__bin.19	LeChatelierE_2013__MH0088__bin.44	LoombaR_2017__SID1052_baz__bin.27	YuJ_2015__SZAXPI017463-36__bin.18	LiuW_2016__SRR3992999__bin.9	LoombaR_2017__SID5631_soh__bin.8	VogtmannE_2016__MMRS24340226ST-27-0-0__bin.31	XieH_2016__YSZC12003_35551__bin.8	XieH_2016__YSZC12003_35704__bin.22	LiJ_2014__V1.CD1-3-PN__bin.53	LoombaR_2017__SID5362_xgk__bin.32	ChengpingW_2017__AS116raw__bin.16	LiJ_2014__V1.FI21__bin.16	LiJ_2014__V1.CD48-0__bin.41	CosteaPI_2017__donald4-11-7-0__bin.26	CosteaPI_2017__SID713A037-11-0-0__bin.26	QinJ_2012__NOM004__bin.11	Obregon-TitoAJ_2015__NO01__bin.17	QinJ_2012__DOM010__bin.30	LiJ_2014__V1.CD32-0__bin.41	YuJ_2015__SZAXPI015237-23__bin.17	ZellerG_2014__CCIS98512455ST-4-0__bin.12	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.49	XieH_2016__YSZC12003_37277__bin.2	VatanenT_2016__G80466__bin.21	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.45	LiJ_2014__V1.CD32-4__bin.69	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.18	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.24	FengQ_2015__SID531775__bin.44
YuJ_2015__SZAXPI015257-56__bin.48	1.0	0.7486123937017194	0.66337971762057	0.8899098004296659	0.8083761462460657	0.8420138148197591	0.7969336412468294	0.4574834402451931	0.8228453739346088	0.7360716394329291	0.6737814318803321	0.8612166620103466	0.5635463817641077	0.7463426097320299	0.7303529674062187	0.8228876936902965	0.8836358106331998	0.786033379621283	0.8274905692316796	0.8544802514688051	0.8158061879052203	0.8510062468088152	0.8490581617949632	0.6038117369541611	0.8094792123983809	0.9051043130368244	0.8103524444303761	0.7951152680044755	0.7854522571224493	0.702443604624758	0.7368708979082342	0.8158602058047566	0.8499929811136908	0.8826473174779903	0.8109308144247748
NielsenHB_2014__MH0088__bin.3	0.9415619681319485	1.0	0.7121580411633687	0.9365997054751928	0.8882714128752259	0.9201277803189402	0.9468115720640234	0.5180313141406094	0.9036848489359501	0.8167619494374558	0.733987323229941	0.9250952358903101	0.6386012711389489	0.8265635757717644	0.8340993603627423	0.8973386745345093	0.9428567348424232	0.8878347753047483	0.9048246936937677	0.9303232026781592	0.8737836138444834	0.9187230969157982	0.9180060419561537	0.6789852698649539	0.8970565261738043	0.9532715578440922	0.9034663137792691	0.8787203446710526	0.8733668824466937	0.7882247199179866	0.8292024418815488	0.9054088965878656	0.8962252270926472	0.9370298519024026	0.8895298291834012
VogtmannE_2016__MMRS68910755ST-27-0-0__bin.12	0.9008021401617176	0.7688678606185109	1.0	0.8765463822399469	0.8102830360133788	0.8513165068755872	0.8074265592536719	0.4579945141069492	0.8199060081788488	0.7492481541992871	0.7150003340498664	0.864677567126503	0.5704707393341149	0.7393911135260295	0.7761664997974677	0.8137921948197508	0.8749994743970634	0.7925807291070497	0.812849847154666	0.8374387205376194	0.8347373550445502	0.8426639145318233	0.864329501181789	0.5896835122797198	0.7943350749089305	0.8809857414435346	0.8113739541085564	0.8017617276031245	0.7945499881096936	0.7103614793316573	0.7362996338533143	0.8315426235949466	0.831263703636565	0.8634105136472219	0.812753603416933
LiuW_2016__SRR3992985__bin.31	0.917607136585288	0.7678438579281694	0.6656079099873524	1.0	0.8286123286674957	0.8643566305923089	0.815140587111503	0.4771702708503698	0.8469135758670174	0.7747111715799575	0.6796483504008032	0.8884154659126587	0.582268870744293	0.7710226113672365	0.7551480018377168	0.8376827738881015	0.8895439943378455	0.8078259064857568	0.8414848610093606	0.8624628598492575	0.8302219273676126	0.867642879822898	0.8723407652068407	0.617811307634862	0.8246562706765317	0.9184145967222653	0.8279563559990989	0.8191842736849948	0.8113044419176824	0.7266598432264347	0.7644082498585348	0.8343383421168866	0.8515710172897935	0.8912852132975487	0.8344479665379437
LouisS_2016__AS51_18__bin.6	0.7930509898538755	0.6928534950106477	0.5854059715608776	0.7883666052455791	1.0	0.7681151984618962	0.7304278087321007	0.4269017612516535	0.7490839999473438	0.6991280320825327	0.6233714945171638	0.7751255734388169	0.5466549922720143	0.6778012218284627	0.6920744519442154	0.7414609892834323	0.7829713607161796	0.7104612859813766	0.7657429650689646	0.7659502148275389	0.7254241109778576	0.7539158896769705	0.7779028552198417	0.5526473456335278	0.8090146219092699	0.8036217401621342	0.8109045101800474	0.7317513043401948	0.7898733852492853	0.6571508423825081	0.6806051692950369	0.8195421670561319	0.774454543275876	0.7824670754730036	0.811426685060364
SchirmerM_2016__G88882__bin.19	0.9314341804136914	0.8092621003822386	0.6935164840602006	0.9272890447157798	0.8661072833128506	1.0	0.855856150736636	0.4992858004648672	0.8705656544050678	0.7966150786114271	0.7202667106135037	0.9099252231374008	0.6133552458555304	0.7944197666377283	0.8001508706079012	0.8708610015083255	0.9194535926348958	0.8427988400775362	0.8811498136763216	0.8965002510069776	0.8489486061786158	0.892710216916462	0.90443199537797	0.6463812177511221	0.8658815863640983	0.9414729371089553	0.8694093857198915	0.8533803351352298	0.8538941477504333	0.757467885760045	0.7929848973345305	0.8763234005108439	0.8897955672814784	0.918061350748663	0.8692678017992576
LeChatelierE_2013__MH0088__bin.44	0.8569495721806227	0.8094774746910071	0.6393945302311265	0.850070276551828	0.8006132688197424	0.8319570919011592	1.0	0.46118584790444905	0.8208156963668188	0.7333934417677651	0.653348837708337	0.8405097797064108	0.568832358513637	0.744296204104269	0.7475249667670899	0.8140869801357287	0.8548939969136773	0.7975957612824481	0.8203587785384031	0.8534030018946366	0.7949101203784241	0.8348136607701452	0.8246156988086469	0.6109287345078033	0.8152117009441365	0.8709386572091459	0.8138361377975377	0.7952382872721931	0.7893575513348106	0.7130493141977874	0.743518518861087	0.8201852607557902	0.8279894912599204	0.8574098197745896	0.8044909657910987
LoombaR_2017__SID1052_baz__bin.27	0.7979123997621235	0.718362996883722	0.5882648398264294	0.8071280134372613	0.7589622248052851	0.7872199595417937	0.7480363487759022	1.0	0.7778591235895587	0.723358163142226	0.64210149836985	0.7910653494246017	0.5697574007852805	0.7141305476260058	0.716286678376463	0.7674787312373718	0.8048746677740365	0.7504247151513042	0.7759226265309098	0.7978523905567114	0.7341562195640812	0.7882977248709953	0.7898543636593853	0.588624895058902	0.7610121392621628	0.8106919601466865	0.7562366066954671	0.7720610341626406	0.7399903145142465	0.6853219283838141	0.7180005412830328	0.7648611296972956	0.7898225587805169	0.800695026617083	0.7601618088214732
YuJ_2015__SZAXPI017463-36__bin.18	0.9184726545967914	0.8019976665214964	0.673976645244443	0.9168035799462179	0.852296878684465	0.8784490432968564	0.8520411024034521	0.49781630039964087	1.0	0.7801368595127653	0.698674034252515	0.895729304204025	0.6047569011589815	0.796304916050845	0.7901332571381169	0.8925524552602735	0.9038315747753892	0.8289474998060555	0.8686120257865505	0.8974010671938885	0.8426223136769645	0.8951294204939017	0.8894266847630306	0.6385301236098405	0.8569058443728066	0.9261248203613281	0.8426868338199227	0.8430612810781624	0.8402408291145609	0.7644154513452834	0.7819637780845045	0.8608511743050067	0.879828929449528	0.9353458241257713	0.8538027327352931
LiuW_2016__SRR3992999__bin.9	0.7658303815457642	0.675641174796537	0.5740780847000453	0.7817025564658019	0.7414495409888294	0.7492522834217229	0.7096046006719158	0.43150522372431765	0.7271689150368444	1.0	0.6195936645898253	0.7640183210697672	0.5254986119588116	0.6723875561346767	0.6743610625361329	0.713769261196955	0.7642016033620845	0.7064318839593987	0.7258222197561844	0.7510611221386753	0.7039561411202057	0.7415701779663899	0.7434148140060605	0.55747636034301	0.7213539979344945	0.7742531336081374	0.7314427573961744	0.7195007705373715	0.7127318547845807	0.6497969396868808	0.6729778539863004	0.7322363840408376	0.7403738314411465	0.7534462977513912	0.7293657967320624
