	YuJ_2015__SZAXPI015257-56__bin.48	NielsenHB_2014__MH0088__bin.3	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.12	LiuW_2016__SRR3992985__bin.31	LouisS_2016__AS51_18__bin.6	SchirmerM_2016__G88882__bin.19	LeChatelierE_2013__MH0088__bin.44	LoombaR_2017__SID1052_baz__bin.27	YuJ_2015__SZAXPI017463-36__bin.18	LiuW_2016__SRR3992999__bin.9	LoombaR_2017__SID5631_soh__bin.8	VogtmannE_2016__MMRS24340226ST-27-0-0__bin.31	XieH_2016__YSZC12003_35551__bin.8	XieH_2016__YSZC12003_35704__bin.22	LiJ_2014__V1.CD1-3-PN__bin.53	LoombaR_2017__SID5362_xgk__bin.32	ChengpingW_2017__AS116raw__bin.16	LiJ_2014__V1.FI21__bin.16	LiJ_2014__V1.CD48-0__bin.41	CosteaPI_2017__donald4-11-7-0__bin.26	CosteaPI_2017__SID713A037-11-0-0__bin.26	QinJ_2012__NOM004__bin.11	Obregon-TitoAJ_2015__NO01__bin.17	QinJ_2012__DOM010__bin.30	LiJ_2014__V1.CD32-0__bin.41	YuJ_2015__SZAXPI015237-23__bin.17	ZellerG_2014__CCIS98512455ST-4-0__bin.12	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.49	XieH_2016__YSZC12003_37277__bin.2	VatanenT_2016__G80466__bin.21	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.45	LiJ_2014__V1.CD32-4__bin.69	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.18	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.24	FengQ_2015__SID531775__bin.44
YuJ_2015__SZAXPI015257-56__bin.48	1.0	0.9953253975549223	0.9980389777166461	0.9952456491910026	0.9790440519259417	0.9949850159320646	0.9955721398834233	0.9954183431730155	0.9943078851658796	0.9952275246090987	0.9954838564720156	0.9947468676565413	0.9891123842736746	0.9948354303400835	0.99472330442402	0.9950829480736738	0.997087107970523	0.9959677172254463	0.9896468064139905	0.9948496053350535	0.9944822961543085	0.9950849073462381	0.9896743579145291	0.9938864180928747	0.9791393399770307	0.9950460630228063	0.9782077780476248	0.9922724688202901	0.9780057848158877	0.9950186445717185	0.9950291220792707	0.9791658583735512	0.9847906682852606	0.9950580131872073	0.9778830467664436
NielsenHB_2014__MH0088__bin.3	0.9953253975549223	1.0	0.9951381917792237	0.9951148922092857	0.9792882775177891	0.9944875272131607	0.9993354452219928	0.995128177711246	0.9941276806852747	0.9949332602877916	0.9952261857595653	0.9949685369837792	0.9885241369215819	0.9945053995770807	0.9947999217627658	0.9951254022579977	0.995060106701328	0.9950824825932362	0.9898020284029985	0.9950698404384721	0.9947295306251316	0.9946990682625672	0.9897042754527036	0.9939561269500142	0.9792981516723711	0.9950850235988776	0.9783950986867788	0.9918299325858633	0.9780692018479724	0.9955826693063045	0.9944331225814196	0.9790350702782069	0.9842561734862876	0.9948973065038214	0.9780386093924679
VogtmannE_2016__MMRS68910755ST-27-0-0__bin.12	0.9980389777166461	0.9951381917792237	1.0	0.995067049221308	0.9796365049537891	0.9946052947139022	0.9951753688053859	0.9950657508841763	0.9942105820986185	0.9949528898976735	0.9958644420427265	0.9948637177800411	0.9892779486255513	0.9950625303299903	0.9945621095692184	0.9950253754650255	0.9975385081971415	0.9961713919569168	0.9897478076792869	0.9950442215221263	0.994427065755251	0.9948936509951836	0.9894470840698159	0.99404353496155	0.9792523676709834	0.9950394052801643	0.9789659945735042	0.9920534470802813	0.978504151932139	0.9950685879311286	0.9946744079062168	0.9793896393650415	0.9843427178856543	0.9948935170880764	0.9781543868564172
LiuW_2016__SRR3992985__bin.31	0.9952456491910026	0.9951148922092857	0.995067049221308	1.0	0.9797981008913257	0.9950500230875788	0.9953748374969371	0.9958609880840769	0.9945019453688158	0.9995837321231493	0.9954153366723477	0.9958325845882301	0.9889754760091394	0.9943146184154644	0.9945563804792659	0.9952290985600899	0.9948715208080495	0.9949820621677966	0.9900961505219853	0.9955286571121706	0.9948144549152429	0.9952139278176083	0.9898404964862051	0.9945820513438924	0.9797089316235823	0.9955387718160393	0.9784597730799011	0.9922175685466775	0.9783814842865863	0.9959716772440043	0.9941985910466159	0.9797641087831167	0.9847675492097773	0.9948457157823634	0.9781656251023034
LouisS_2016__AS51_18__bin.6	0.9790440519259417	0.9792882775177891	0.9796365049537891	0.9797981008913257	1.0	0.9797528151606701	0.9793500100740675	0.9805588961551872	0.9787806022143587	0.9799487554091915	0.9797526107235952	0.9794743410756168	0.9833086861888517	0.9789179606187066	0.9797902402813964	0.9790704884098989	0.9791626969380567	0.9792162651515404	0.9784245505041221	0.9792782601529783	0.9796603119003437	0.9794946000954531	0.9788108418647397	0.9790652534267241	0.987685216167931	0.9797073861619772	0.988157641151968	0.9793034065795683	0.9891038192613434	0.9801549247231854	0.9788242914112362	0.9877845108470693	0.9773797662663016	0.9792929170922945	0.9870196427531469
SchirmerM_2016__G88882__bin.19	0.9949850159320646	0.9944875272131607	0.9946052947139022	0.9950500230875788	0.9797528151606701	1.0	0.9948707937195461	0.9946593771153623	0.9940227487049361	0.9949924511715017	0.9951808273018815	0.9946832650633504	0.9882907033024312	0.9938536999490244	0.9940860854385373	0.9947957161244081	0.9946328071834117	0.994561467207133	0.9897155603011125	0.9947658226773312	0.9943614601294215	0.9946353093256001	0.9895485456504175	0.9942331007299596	0.9792016112300838	0.9944741397502145	0.9784529271755342	0.9918097784929528	0.9782205411457627	0.9947748549882824	0.994251505398123	0.9792270638406544	0.9844276655956035	0.9946578335330185	0.9779778618337085
LeChatelierE_2013__MH0088__bin.44	0.9955721398834233	0.9993354452219928	0.9951753688053859	0.9953748374969371	0.9793500100740675	0.9948707937195461	1.0	0.9953968437333539	0.9943941544512541	0.995119770930906	0.995505489452595	0.995207341465476	0.988480597960446	0.9946986533635094	0.9949185342096928	0.9953640036538978	0.9953628509616405	0.9952533054769053	0.9898044595736697	0.9953248358988788	0.9948090741832775	0.9949131630216468	0.9898786278831038	0.9940815430500674	0.9791679336307484	0.9953713891015245	0.9784467239347696	0.9920193315108465	0.9778439585873115	0.9958527387593811	0.9947463514809288	0.9791011934377838	0.9847066556388008	0.9951563913842882	0.9782441837096502
LoombaR_2017__SID1052_baz__bin.27	0.9954183431730155	0.995128177711246	0.9950657508841763	0.9958609880840769	0.9805588961551872	0.9946593771153623	0.9953968437333539	1.0	0.9942533479706195	0.9956910998065391	0.9954560959995514	0.9952406238621192	0.988614461003739	0.9943102513791611	0.9946968402215766	0.995296868097284	0.9951903147208727	0.9949604803137265	0.990141577069248	0.997446504456395	0.9947441814082978	0.9956677232823905	0.9903124244998184	0.9941451190805095	0.9801129038235742	0.9957651897263103	0.9793279008666078	0.9925864954207735	0.9790346176552637	0.995608689103945	0.994571594772684	0.9798858127388546	0.9852701286840824	0.994840690196337	0.9789957228859547
YuJ_2015__SZAXPI017463-36__bin.18	0.9943078851658796	0.9941276806852747	0.9942105820986185	0.9945019453688158	0.9787806022143587	0.9940227487049361	0.9943941544512541	0.9942533479706195	1.0	0.9943490781992271	0.9948022079622523	0.9941397758640057	0.9883989791000001	0.9939959941141547	0.9937818943422675	0.995495386956114	0.9942297012319461	0.9940244018263148	0.9890822270612033	0.9945675223082937	0.993977353317059	0.994158158755983	0.9892699368675038	0.9935692207942962	0.9789140049228143	0.9944382679675005	0.977905132575585	0.9914258186630345	0.977720603459742	0.9946589001082187	0.9941957863707556	0.9787808881217497	0.9842492051269963	0.9941679063218927	0.9777852646048605
LiuW_2016__SRR3992999__bin.9	0.9952275246090987	0.9949332602877916	0.9949528898976735	0.9995837321231493	0.9799487554091915	0.9949924511715017	0.995119770930906	0.9956910998065391	0.9943490781992271	1.0	0.9948585598421111	0.995145455934037	0.9889787552035685	0.9944178781228737	0.9942420524983399	0.9951663007204911	0.9949428541583033	0.9948551272130984	0.99039992345585	0.9953219423543189	0.9951126490906456	0.9948903735313143	0.9899288931220335	0.9944173072465201	0.9802000490296788	0.9952905385412043	0.978869851499225	0.9921056912955631	0.9790775582364818	0.9958963448326393	0.9938264873798317	0.9798436181560943	0.9844500487854879	0.9950041715049155	0.9784361814333048
