	YuJ_2015__SZAXPI015257-56__bin.48	NielsenHB_2014__MH0088__bin.3	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.12	LiuW_2016__SRR3992985__bin.31	LouisS_2016__AS51_18__bin.6	SchirmerM_2016__G88882__bin.19	LeChatelierE_2013__MH0088__bin.44	LoombaR_2017__SID1052_baz__bin.27	YuJ_2015__SZAXPI017463-36__bin.18	LiuW_2016__SRR3992999__bin.9	LoombaR_2017__SID5631_soh__bin.8	VogtmannE_2016__MMRS24340226ST-27-0-0__bin.31	XieH_2016__YSZC12003_35551__bin.8	XieH_2016__YSZC12003_35704__bin.22	LiJ_2014__V1.CD1-3-PN__bin.53	LoombaR_2017__SID5362_xgk__bin.32	ChengpingW_2017__AS116raw__bin.16	LiJ_2014__V1.FI21__bin.16	LiJ_2014__V1.CD48-0__bin.41	CosteaPI_2017__donald4-11-7-0__bin.26	CosteaPI_2017__SID713A037-11-0-0__bin.26	QinJ_2012__NOM004__bin.11	Obregon-TitoAJ_2015__NO01__bin.17	QinJ_2012__DOM010__bin.30	LiJ_2014__V1.CD32-0__bin.41	YuJ_2015__SZAXPI015237-23__bin.17	ZellerG_2014__CCIS98512455ST-4-0__bin.12	VogtmannE_2016__MMRS62376181ST-27-0-0__bin.49	XieH_2016__YSZC12003_37277__bin.2	VatanenT_2016__G80466__bin.21	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.45	LiJ_2014__V1.CD32-4__bin.69	VogtmannE_2016__MMRS31306426ST-27-0-0__bin.18	VogtmannE_2016__MMRS39415781ST-27-0-0__bin.24	FengQ_2015__SID531775__bin.44
YuJ_2015__SZAXPI015257-56__bin.48	0.0	10171.0	3781.0	12297.0	49236.0	12273.0	10256.0	6092.0	13613.0	10210.0	8844.0	13149.0	17833.0	11203.0	11201.0	11760.0	7481.0	9212.0	24900.0	12791.0	13083.0	12157.0	25481.0	10729.0	49079.0	13032.0	51326.0	17858.0	50210.0	10170.0	10646.0	49403.0	37574.0	12678.0	52128.0
NielsenHB_2014__MH0088__bin.3	10171.0	0.0	8001.0	10573.0	42514.0	11721.0	1454.0	5832.0	12263.0	9563.0	8097.0	10756.0	16935.0	10495.0	10023.0	10108.0	10763.0	10089.0	21323.0	10599.0	10642.0	11254.0	21841.0	9483.0	42914.0	10827.0	45106.0	16590.0	44261.0	8046.0	10667.0	43864.0	32606.0	11049.0	45143.0
VogtmannE_2016__MMRS68910755ST-27-0-0__bin.12	3781.0	8001.0	0.0	9255.0	35317.0	9830.0	8338.0	4837.0	10160.0	8094.0	6329.0	9506.0	13092.0	7814.0	9034.0	8665.0	4610.0	6495.0	17837.0	8883.0	9957.0	9210.0	19523.0	7518.0	35275.0	9354.0	36529.0	13637.0	36557.0	7498.0	8393.0	36683.0	27858.0	9437.0	38003.0
LiuW_2016__SRR3992985__bin.31	12297.0	10573.0	9255.0	0.0	47184.0	12060.0	10627.0	5567.0	13125.0	909.0	8783.0	10436.0	18094.0	12356.0	11587.0	11265.0	12859.0	11426.0	23491.0	10870.0	12135.0	11705.0	24981.0	9435.0	47166.0	11549.0	50270.0	17970.0	49438.0	8251.0	12500.0	47590.0	36563.0	12949.0	51356.0
LouisS_2016__AS51_18__bin.6	49236.0	42514.0	35317.0	47184.0	0.0	46075.0	44686.0	24588.0	47091.0	41531.0	37393.0	47135.0	27032.0	42334.0	41437.0	45975.0	48335.0	43746.0	48946.0	47022.0	43713.0	45800.0	48833.0	34276.0	29516.0	48313.0	28450.0	44868.0	25498.0	38636.0	42698.0	29659.0	51900.0	48002.0	31204.0
SchirmerM_2016__G88882__bin.19	12273.0	11721.0	9830.0	12060.0	46075.0	0.0	11534.0	7006.0	13672.0	10481.0	9120.0	12711.0	18870.0	12829.0	12433.0	11908.0	12966.0	12043.0	23810.0	12329.0	12577.0	12583.0	24836.0	9794.0	47317.0	13669.0	49220.0	18364.0	48863.0	10399.0	11977.0	47829.0	36406.0	12886.0	50297.0
LeChatelierE_2013__MH0088__bin.44	10256.0	1454.0	8338.0	10627.0	44686.0	11534.0	0.0	5738.0	12437.0	9674.0	7937.0	10888.0	17711.0	10665.0	10267.0	10201.0	10715.0	10233.0	22607.0	10784.0	11153.0	11478.0	22559.0	9773.0	45902.0	10896.0	47411.0	17154.0	47271.0	7993.0	10558.0	46330.0	34226.0	11225.0	47307.0
LoombaR_2017__SID1052_baz__bin.27	6092.0	5832.0	4837.0	5567.0	24588.0	7006.0	5738.0	0.0	7449.0	5194.0	4862.0	6274.0	10810.0	6771.0	6330.0	6015.0	6451.0	6302.0	12747.0	3395.0	6430.0	5691.0	12751.0	5743.0	25220.0	5721.0	26051.0	9538.0	25853.0	5015.0	6495.0	25637.0	19387.0	6884.0	26607.0
YuJ_2015__SZAXPI017463-36__bin.18	13613.0	12263.0	10160.0	13125.0	47091.0	13672.0	12437.0	7449.0	0.0	11479.0	9456.0	13668.0	18268.0	12449.0	12793.0	10469.0	13580.0	12898.0	24693.0	12694.0	13214.0	13616.0	24850.0	10692.0	47048.0	13412.0	48481.0	18822.0	48744.0	10631.0	11818.0	47563.0	36084.0	14204.0	49387.0
LiuW_2016__SRR3992999__bin.9	10210.0	9563.0	8094.0	909.0	41531.0	10481.0	9674.0	5194.0	11479.0	0.0	8899.0	10361.0	16179.0	10485.0	10847.0	9638.0	10796.0	10153.0	19465.0	9815.0	9611.0	10585.0	20915.0	8694.0	39899.0	10186.0	43175.0	15867.0	41657.0	7449.0	11606.0	41230.0	32161.0	10515.0	43936.0
