	OlmMR_2017__S2_001_026G1__bin.3	HeQ_2017__RSZAXPI003079-113__bin.31	BackhedF_2015__SID591_12M__bin.3	OlmMR_2017__S2_001_027G1__bin.7	HeQ_2017__RSZAXPI003094-125__bin.9	OlmMR_2017__S2_001_017G1__bin.7	BackhedF_2015__SID640_4M__bin.19	BackhedF_2015__SID507_12M__bin.17	OlmMR_2017__S2_001_021G1__bin.7	HeQ_2017__SZAXPI029494-94__bin.2	OlmMR_2017__S2_001_016G1__bin.8	OlmMR_2017__S2_001_024G1__bin.5	VincentC_2016__MM087.1__bin.1	BackhedF_2015__SID503_4M__bin.10	OlmMR_2017__S2_001_014G1__bin.6	HeQ_2017__RSZAXPI003098-132__bin.13	OlmMR_2017__S2_001_013G1__bin.3	HeQ_2017__SZAXPI029479-64__bin.9	OlmMR_2017__S2_001_015G1__bin.1	OlmMR_2017__S2_001_023G1__bin.13	OlmMR_2017__S2_001_025G1__bin.12	HeQ_2017__SZAXPI029545-129__bin.18	ZellerG_2014__CCIS15704761ST-4-0__bin.14	OlmMR_2017__S2_001_018G1__bin.9	BackhedF_2015__SID9_12M__bin.17	HeQ_2017__RSZAXPI003078-111__bin.17	OlmMR_2017__S2_001_019G1__bin.6	HeQ_2017__SZAXPI029549-142__bin.9	OlmMR_2017__S2_001_020G1__bin.8	BackhedF_2015__SID332_12M__bin.20
OlmMR_2017__S2_001_026G1__bin.3	1.0	0.4495360142304573	0.9059422640714535	0.9746186707588729	0.6454482685632468	0.8531781931267624	0.7415504115781215	0.8020578397262184	0.8286547211149905	0.5352922260631883	0.9312164883619405	0.9746219780376338	0.5065354372375166	0.7700985874358006	0.8535379232935205	0.6656509080769852	1.0081114827700952	0.9449249044196438	0.6718182197478124	0.9679511967769805	0.9166624265656912	0.9616297150346858	0.9074758237922581	0.886529809775502	0.7136863336118232	0.8775823486970848	0.9776924047580038	0.9187218436094725	0.9526438386414309	0.8794682608089501
HeQ_2017__RSZAXPI003079-113__bin.31	0.5881529422259383	1.0	0.5854202143310774	0.5899816397965066	0.46782737148190406	0.5309360774670108	0.5295281068220338	0.5535048816306097	0.5237168161623048	0.36480452840639027	0.5819272488586451	0.5868238578795096	0.3447510987496688	0.546598502691454	0.5343871033883163	0.4519272888010747	0.6011305704710943	0.6023112021206768	0.42712470425959387	0.5950666439438622	0.5665217865982497	0.591675531667024	0.5874153386918322	0.5539439155031215	0.5154500646401654	0.573902814743017	0.5880058209434135	0.5751167317506367	0.575973164012936	0.5833701691295612
BackhedF_2015__SID591_12M__bin.3	0.9295465046163967	0.45910553889284794	1.0	0.9400779449269234	0.665457032402223	0.8340295125701204	0.7703318532672395	0.8301972638354856	0.8105016823678969	0.5381321931342684	0.915136351415199	0.9332268312228686	0.5141592989655199	0.790134719949046	0.833116935662806	0.6799428856329175	0.9560861518542593	0.9330811739247333	0.6566280596516232	0.9405428475218681	0.8897074063342651	0.9434134448473078	0.908518863664247	0.8677862439994676	0.7411447932736608	0.8959054115079705	0.9455993484576771	0.9202411437491353	0.9118131201202847	0.8891430495626365
OlmMR_2017__S2_001_027G1__bin.7	0.9686880893013509	0.4481897770020095	0.910631136073252	1.0	0.644790404747257	0.8507601796202023	0.745660514378896	0.8025874452467627	0.8255249521529467	0.5355764871400219	0.9487557996140882	0.9775312918084884	0.5079947375194985	0.7730958592228309	0.8509172044323983	0.6680070668751228	1.0185016191761431	0.9521370166651115	0.671676289177501	0.9784339948351227	0.9215503026836578	0.9665918965588304	0.9091845355087211	0.8860743265949207	0.7150257573792179	0.8817307320314687	0.99099724410076	0.9479372982983416	0.946947864980913	0.8831252438499247
HeQ_2017__RSZAXPI003094-125__bin.9	0.8119964986341792	0.44983429322178464	0.8159097710189966	0.8161350874301287	1.0	0.7368313919529396	0.7141013187731138	0.7663167967943619	0.7157489450295168	0.48356870470268	0.8011038583835148	0.8131093184658642	0.46792361645641933	0.732971568205422	0.7409962249899584	0.6327995404057295	0.8318166615725101	0.8298019359928565	0.584102390946377	0.8191384527739684	0.7809143557598908	0.8161526902747485	0.8136470053560656	0.7655067458901359	0.713039387164966	0.8009470330405394	0.821218468904575	0.8046708348069048	0.7980025572132456	0.8108711967854005
OlmMR_2017__S2_001_017G1__bin.7	0.9771314605219261	0.4647610278853004	0.9309450933030701	0.9803274676254591	0.6707932035680831	1.0	0.7648584902224443	0.8236362921189536	0.8578037612595223	0.5548715871792593	0.9547002632502889	0.9764913267260958	0.5265075704489532	0.7864013088215798	0.8722197375072659	0.6888932270231447	0.9980184114950198	0.9568018950524387	0.6982169782596345	0.9801194314259949	0.9324296093202548	0.9708539536347334	0.9277942481195888	0.9101577899213162	0.7363898726579537	0.8998002677664809	0.9841985725919591	0.951471331650202	0.9603361795055207	0.9047269961932871
BackhedF_2015__SID640_4M__bin.19	0.8851209923164588	0.48308682617183646	0.8961262842214869	0.895475841771827	0.6775308572995464	0.7971311904766966	1.0	0.8790547510387493	0.7783576358512218	0.5339115246437824	0.8735524087475097	0.8861255038120117	0.518595457288068	0.8372967708963747	0.8057442388623877	0.6908081428592685	0.9095623846276947	0.8975966121118943	0.6265081716767235	0.8963692132409677	0.8533932477271713	0.8908784100781533	0.8793168107185142	0.8321235974265314	0.786260420516206	0.87840643421801	0.8974441741521703	0.875137824260896	0.8702030248914183	0.8760718863407997
BackhedF_2015__SID507_12M__bin.17	0.748714429054034	0.3949173251954807	0.7553030024164198	0.7537956789427124	0.5686252530709905	0.6713248748745777	0.6874869828000785	1.0	0.6530016445903665	0.4458827650491893	0.7382576841555296	0.7594696938212087	0.43566944327350665	0.6889327974066531	0.677161567644911	0.5716287381776514	0.7706165729586596	0.7601804893398484	0.5346524095920585	0.7534297130575726	0.7172565620343048	0.7622150316746917	0.7446391697490367	0.7016819944072054	0.6438833706384217	0.7368097321751934	0.7685117347756648	0.7457548788524678	0.7411585753216451	0.7374473820139998
OlmMR_2017__S2_001_021G1__bin.7	0.9678761603651361	0.4675380053011303	0.922634103146209	0.9701237920910938	0.6645293761068783	0.8748243851996244	0.761663972519701	0.8170524645501765	1.0	0.547039508872856	0.9521855276764171	0.9666147647177683	0.5238506293606552	0.7829665529578168	0.8725084093043158	0.6834312933094029	0.9902122235032627	0.947204129176423	0.6959745284252316	0.974151938002924	0.9261556107591551	0.9620050990693306	0.9214722522672435	0.8999078839456575	0.7347764848513664	0.8936769757407913	0.9744140230349566	0.933307976656009	0.9504302711183483	0.8948198091117635
HeQ_2017__SZAXPI029494-94__bin.2	0.945384273564335	0.4924383582078151	0.9262661857864768	0.951677292070015	0.6788642013694033	0.8556510236826156	0.7899957809907349	0.8435825903638547	0.827160804460378	1.0	0.927685102853515	0.9452822804756023	0.5238904207821476	0.8072119447835476	0.8489666572461597	0.6971955495068611	0.9682779028603444	0.9454372919981254	0.6765188096373135	0.9498495040305243	0.9082030749792981	0.9512046192535094	0.9171744230089219	0.8858908512199407	0.7569351930522489	0.9047690081194586	0.9565397114808722	0.9278679715192163	0.9304730637151275	0.9010559205190773
