	OlmMR_2017__S2_001_026G1__bin.3	HeQ_2017__RSZAXPI003079-113__bin.31	BackhedF_2015__SID591_12M__bin.3	OlmMR_2017__S2_001_027G1__bin.7	HeQ_2017__RSZAXPI003094-125__bin.9	OlmMR_2017__S2_001_017G1__bin.7	BackhedF_2015__SID640_4M__bin.19	BackhedF_2015__SID507_12M__bin.17	OlmMR_2017__S2_001_021G1__bin.7	HeQ_2017__SZAXPI029494-94__bin.2	OlmMR_2017__S2_001_016G1__bin.8	OlmMR_2017__S2_001_024G1__bin.5	VincentC_2016__MM087.1__bin.1	BackhedF_2015__SID503_4M__bin.10	OlmMR_2017__S2_001_014G1__bin.6	HeQ_2017__RSZAXPI003098-132__bin.13	OlmMR_2017__S2_001_013G1__bin.3	HeQ_2017__SZAXPI029479-64__bin.9	OlmMR_2017__S2_001_015G1__bin.1	OlmMR_2017__S2_001_023G1__bin.13	OlmMR_2017__S2_001_025G1__bin.12	HeQ_2017__SZAXPI029545-129__bin.18	ZellerG_2014__CCIS15704761ST-4-0__bin.14	OlmMR_2017__S2_001_018G1__bin.9	BackhedF_2015__SID9_12M__bin.17	HeQ_2017__RSZAXPI003078-111__bin.17	OlmMR_2017__S2_001_019G1__bin.6	HeQ_2017__SZAXPI029549-142__bin.9	OlmMR_2017__S2_001_020G1__bin.8	BackhedF_2015__SID332_12M__bin.20
OlmMR_2017__S2_001_026G1__bin.3	3930724.0	1801018.0	3568656.0	3833280.0	2554304.0	3357906.0	2932504.0	3169891.0	3261258.0	2108501.0	3663098.0	3833558.0	2003546.0	3047706.0	3358827.0	2630776.0	3964260.0	3732982.0	2644288.0	3807379.0	3605728.0	3783902.0	3587489.0	3487812.0	2822075.0	3467198.0	3844999.0	3614955.0	3747628.0	3479700.0
HeQ_2017__RSZAXPI003079-113__bin.31	1801018.0	3004324.0	1792111.0	1806132.0	1433776.0	1626295.0	1620902.0	1693464.0	1604368.0	1117455.0	1781932.0	1797419.0	1055555.0	1673079.0	1636138.0	1383285.0	1840312.0	1844132.0	1309558.0	1821929.0	1734521.0	1811669.0	1799259.0	1696097.0	1577757.0	1756521.0	1800686.0	1760964.0	1763771.0	1786298.0
BackhedF_2015__SID591_12M__bin.3	3568656.0	1792111.0	3830910.0	3608074.0	2565927.0	3203046.0	2967656.0	3197394.0	3112916.0	2067219.0	3512777.0	3582173.0	1981874.0	3044759.0	3199275.0	2618249.0	3669176.0	3590298.0	2522931.0	3610702.0	3415909.0	3621578.0	3499392.0	3332311.0	2855282.0	3448172.0	3629161.0	3531631.0	3500137.0	3427462.0
OlmMR_2017__S2_001_027G1__bin.7	3833280.0	1806132.0	3608074.0	3954789.0	2566744.0	3367941.0	2965981.0	3190846.0	3268129.0	2122565.0	3754087.0	3867761.0	2021147.0	3077718.0	3368609.0	2655527.0	4029267.0	3783071.0	2659758.0	3871533.0	3646989.0	3825851.0	3615224.0	3507323.0	2843634.0	3503259.0	3920478.0	3751787.0	3747258.0	3514356.0
HeQ_2017__RSZAXPI003094-125__bin.9	2554304.0	1433776.0	2565927.0	2566744.0	3124495.0	2318905.0	2245527.0	2408488.0	2252129.0	1522258.0	2519188.0	2557723.0	1471911.0	2304727.0	2331609.0	1991058.0	2615939.0	2607683.0	1839337.0	2576397.0	2456916.0	2567044.0	2557862.0	2408378.0	2232939.0	2518558.0	2582554.0	2530443.0	2510536.0	2549949.0
OlmMR_2017__S2_001_017G1__bin.7	3357906.0	1626295.0	3203046.0	3367941.0	2318905.0	3432095.0	2642281.0	2843885.0	2948802.0	1909165.0	3280478.0	3355057.0	1818823.0	2716926.0	2998119.0	2378105.0	3428433.0	3301715.0	2400568.0	3367869.0	3203880.0	3337051.0	3204214.0	3128274.0	2543806.0	3105041.0	3381169.0	3270347.0	3300161.0	3127055.0
BackhedF_2015__SID640_4M__bin.19	2932504.0	1620902.0	2967656.0	2965981.0	2245527.0	2642281.0	3293143.0	2902486.0	2580143.0	1769444.0	2893296.0	2935337.0	1718671.0	2773950.0	2670595.0	2288304.0	3012521.0	2971964.0	2078063.0	2969175.0	2827356.0	2950026.0	2911389.0	2756866.0	2603629.0	2908065.0	2972618.0	2898114.0	2882818.0	2903294.0
BackhedF_2015__SID507_12M__bin.17	3169891.0	1693464.0	3197394.0	3190846.0	2408488.0	2843885.0	2902486.0	4210775.0	2766146.0	1888184.0	3125063.0	3215129.0	1844433.0	2917014.0	2867794.0	2419846.0	3261808.0	3216133.0	2266039.0	3189433.0	3036769.0	3225905.0	3151607.0	2970727.0	2724087.0	3117670.0	3252876.0	3156250.0	3137077.0	3122093.0
OlmMR_2017__S2_001_021G1__bin.7	3261258.0	1604368.0	3112916.0	3268129.0	2252129.0	2948802.0	2580143.0	2766146.0	3365320.0	1845693.0	3208038.0	3256249.0	1774959.0	2652545.0	2940897.0	2313290.0	3335522.0	3204453.0	2346329.0	3282047.0	3120612.0	3242353.0	3120616.0	3032351.0	2488282.0	3024334.0	3282288.0	3145778.0	3202745.0	3033006.0
HeQ_2017__SZAXPI029494-94__bin.2	2108501.0	1117455.0	2067219.0	2122565.0	1522258.0	1909165.0	1769444.0	1888184.0	1845693.0	2225641.0	2068950.0	2108243.0	1174220.0	1808524.0	1894210.0	1561210.0	2159067.0	2116408.0	1509931.0	2118501.0	2025889.0	2121022.0	2054392.0	1976098.0	1695497.0	2025442.0	2132940.0	2068954.0	2074960.0	2019459.0
