	OlmMR_2017__S2_001_026G1__bin.3	HeQ_2017__RSZAXPI003079-113__bin.31	BackhedF_2015__SID591_12M__bin.3	OlmMR_2017__S2_001_027G1__bin.7	HeQ_2017__RSZAXPI003094-125__bin.9	OlmMR_2017__S2_001_017G1__bin.7	BackhedF_2015__SID640_4M__bin.19	BackhedF_2015__SID507_12M__bin.17	OlmMR_2017__S2_001_021G1__bin.7	HeQ_2017__SZAXPI029494-94__bin.2	OlmMR_2017__S2_001_016G1__bin.8	OlmMR_2017__S2_001_024G1__bin.5	VincentC_2016__MM087.1__bin.1	BackhedF_2015__SID503_4M__bin.10	OlmMR_2017__S2_001_014G1__bin.6	HeQ_2017__RSZAXPI003098-132__bin.13	OlmMR_2017__S2_001_013G1__bin.3	HeQ_2017__SZAXPI029479-64__bin.9	OlmMR_2017__S2_001_015G1__bin.1	OlmMR_2017__S2_001_023G1__bin.13	OlmMR_2017__S2_001_025G1__bin.12	HeQ_2017__SZAXPI029545-129__bin.18	ZellerG_2014__CCIS15704761ST-4-0__bin.14	OlmMR_2017__S2_001_018G1__bin.9	BackhedF_2015__SID9_12M__bin.17	HeQ_2017__RSZAXPI003078-111__bin.17	OlmMR_2017__S2_001_019G1__bin.6	HeQ_2017__SZAXPI029549-142__bin.9	OlmMR_2017__S2_001_020G1__bin.8	BackhedF_2015__SID332_12M__bin.20
OlmMR_2017__S2_001_026G1__bin.3	0.0	34016.0	7647.0	2323.0	17225.0	4298.0	17674.0	17223.0	4045.0	4415.0	2743.0	2588.0	12495.0	20661.0	3805.0	14286.0	1652.0	18743.0	3556.0	2630.0	2581.0	4001.0	20452.0	3108.0	16771.0	17664.0	1960.0	3713.0	3048.0	22753.0
HeQ_2017__RSZAXPI003079-113__bin.31	34016.0	0.0	33319.0	33636.0	28271.0	31191.0	30028.0	30556.0	30953.0	21464.0	33634.0	34410.0	19811.0	30920.0	30666.0	25549.0	34321.0	34594.0	26337.0	34156.0	32506.0	34084.0	34473.0	31870.0	29178.0	32331.0	34126.0	33127.0	33361.0	33665.0
BackhedF_2015__SID591_12M__bin.3	7647.0	33319.0	0.0	6720.0	16621.0	7954.0	16584.0	16983.0	7957.0	5683.0	6972.0	7065.0	12176.0	17824.0	7679.0	13449.0	6496.0	15748.0	7448.0	7567.0	7520.0	7446.0	18938.0	7900.0	16023.0	16039.0	6655.0	6270.0	7063.0	21235.0
OlmMR_2017__S2_001_027G1__bin.7	2323.0	33636.0	6720.0	0.0	16734.0	3364.0	17051.0	16782.0	3352.0	4473.0	1958.0	1831.0	12135.0	20287.0	3411.0	13700.0	1308.0	17570.0	3420.0	2033.0	2452.0	3184.0	19591.0	3086.0	15858.0	16200.0	1293.0	2895.0	2279.0	21782.0
HeQ_2017__RSZAXPI003094-125__bin.9	17225.0	28271.0	16621.0	16734.0	0.0	16679.0	14321.0	14135.0	15775.0	11350.0	16143.0	17167.0	9886.0	14561.0	16370.0	13879.0	16932.0	14971.0	14312.0	17003.0	16953.0	16979.0	15626.0	16556.0	5051.0	16003.0	16661.0	16253.0	17181.0	16386.0
OlmMR_2017__S2_001_017G1__bin.7	4298.0	31191.0	7954.0	3364.0	16679.0	0.0	17214.0	17087.0	4738.0	4793.0	3856.0	3646.0	11799.0	17922.0	4578.0	13758.0	3139.0	17880.0	4221.0	4006.0	3693.0	4988.0	19936.0	4526.0	16446.0	16841.0	3306.0	4807.0	4196.0	21946.0
BackhedF_2015__SID640_4M__bin.19	17674.0	30028.0	16584.0	17051.0	14321.0	17214.0	0.0	7633.0	16900.0	11197.0	16563.0	17199.0	10862.0	16612.0	17164.0	13374.0	17202.0	16050.0	14882.0	17303.0	17010.0	16236.0	15673.0	16564.0	14361.0	15347.0	17206.0	16160.0	17115.0	18264.0
BackhedF_2015__SID507_12M__bin.17	17223.0	30556.0	16983.0	16782.0	14135.0	17087.0	7633.0	0.0	16503.0	10672.0	16426.0	17173.0	9927.0	16073.0	16419.0	12846.0	16915.0	15184.0	14738.0	16910.0	16563.0	16389.0	16099.0	16102.0	12839.0	15130.0	16846.0	16044.0	16225.0	16868.0
OlmMR_2017__S2_001_021G1__bin.7	4045.0	30953.0	7957.0	3352.0	15775.0	4738.0	16900.0	16503.0	0.0	4730.0	3629.0	3281.0	12034.0	17612.0	4627.0	13325.0	3141.0	16808.0	4152.0	3714.0	3802.0	4898.0	19567.0	3873.0	15524.0	16825.0	3073.0	4898.0	4243.0	21651.0
HeQ_2017__SZAXPI029494-94__bin.2	4415.0	21464.0	5683.0	4473.0	11350.0	4793.0	11197.0	10672.0	4730.0	0.0	4256.0	4384.0	8228.0	11960.0	4715.0	9503.0	4028.0	12204.0	4243.0	4477.0	4555.0	3982.0	13091.0	4423.0	10831.0	11751.0	4026.0	3853.0	4061.0	14032.0
OlmMR_2017__S2_001_016G1__bin.8	2743.0	33634.0	6972.0	1958.0	16143.0	3856.0	16563.0	16426.0	3629.0	4256.0	0.0	2267.0	12039.0	17720.0	3394.0	13699.0	2038.0	17875.0	3865.0	2160.0	2536.0	3106.0	19797.0	3050.0	16017.0	17514.0	1734.0	3360.0	2517.0	22161.0
OlmMR_2017__S2_001_024G1__bin.5	2588.0	34410.0	7065.0	1831.0	17167.0	3646.0	17199.0	17173.0	3281.0	4384.0	2267.0	0.0	12231.0	20446.0	3146.0	14326.0	1565.0	18927.0	4001.0	2150.0	2241.0	3244.0	20483.0	2907.0	15955.0	17246.0	1788.0	3143.0	3157.0	22512.0
VincentC_2016__MM087.1__bin.1	12495.0	19811.0	12176.0	12135.0	9886.0	11799.0	10862.0	9927.0	12034.0	8228.0	12039.0	12231.0	0.0	2328.0	11685.0	9026.0	12037.0	11204.0	10615.0	12416.0	12513.0	12418.0	11492.0	11951.0	9456.0	10976.0	11991.0	11903.0	12487.0	12758.0
