	ZeeviD_2015__PNP_Main_747__bin.3	ChengpingW_2017__AS96raw__bin.42	XieH_2016__YSZC12003_37798__bin.66	QinJ_2012__T2D-006__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.56	YuJ_2015__SZAXPI017593-158__bin.52	ChengpingW_2017__AS9raw__bin.36	QinN_2014__HD-40__bin.48	WenC_2017__RA024__bin.5	XieH_2016__YSZC12003_37332__bin.15	HeQ_2017__SZAXPI029584-102__bin.41	QinJ_2012__T2D-001__bin.1	LoombaR_2017__SID5566_wwo__bin.8	ZeeviD_2015__PNP_Main_586__bin.24	QinJ_2012__CON-044__bin.35	ZeeviD_2015__PNP_Main_134__bin.26	ZeeviD_2015__PNP_Main_698__bin.10	ZeeviD_2015__PNP_Validation_13__bin.51	QinN_2014__HD-63__bin.56	ZeeviD_2015__PNP_Main_252__bin.30	ZeeviD_2015__PNP_Main_714__bin.15	WenC_2017__N219__bin.12	ZellerG_2014__CCIS77252613ST-4-0__bin.20	YuJ_2015__SZAXPI003420-4__bin.8	QinJ_2012__CON-025__bin.53	ZeeviD_2015__PNP_Validation_48__bin.5	LiJ_2014__O2.UC13-1__bin.71	ZellerG_2014__CCIS81735969ST-20-0__bin.59	ZellerG_2014__CCIS11019776ST-4-0__bin.15	QinJ_2012__DOM012__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.71	QinJ_2012__DLF010__bin.17	YuJ_2015__SZAXPI003411-6__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.66	YuJ_2015__SZAXPI015264-87__bin.52	ZellerG_2014__CCIS76563044ST-4-0__bin.51	ZeeviD_2015__PNP_Main_233__bin.35	QinN_2014__HD-43__bin.50
ZeeviD_2015__PNP_Main_747__bin.3	1.0	0.9794660377185932	0.9765624261420992	0.975597595783969	0.9779918230591815	0.974832857708756	0.9785338823403332	0.9793238661402451	0.9760414546575221	0.9779452254308505	0.9792434782127898	0.9790482211300576	0.9779530163285269	0.9780426955039166	0.9799006891032721	0.9779828646334285	0.9773451828954147	0.9783342223424263	0.9784581426955014	0.9775739460866526	0.9798773344710298	0.9774125886012477	0.9769120179609664	0.9791384132249773	0.9790365760813231	0.9776607840844345	0.9665638598396584	0.976406827049471	0.9772738038767301	0.9774222932399699	0.9799895416758276	0.9774529589717195	0.9774851577073971	0.9789371693484498	0.9795794849365819	0.9785532996515985	0.979952286068401	0.9787360351828109
ChengpingW_2017__AS96raw__bin.42	0.9794660377185932	1.0	0.9772080467410431	0.9760419678408263	0.9802138244694414	0.9755943072151033	0.979111183862481	0.9806787837496291	0.9766234139609767	0.9795476488340095	0.979227362870506	0.978443912513	0.9785313093167747	0.9795259522975156	0.980791110609489	0.978045587281811	0.9781194537492249	0.9790928744236104	0.9797594438425233	0.9789669253846531	0.980742143784387	0.9781933554254829	0.9775690114993377	0.9806133456184668	0.980721064574128	0.9782287804639128	0.9665637161941583	0.9775966333540557	0.9778161323496113	0.9781281151929112	0.9806187229032506	0.977874115709778	0.9779020415574393	0.9804966338709068	0.9804228810067144	0.9807080875657672	0.9803102241558688	0.9805366275067795
XieH_2016__YSZC12003_37798__bin.66	0.9765624261420992	0.9772080467410431	1.0	0.9731146305955334	0.9769969399599029	0.9734959707645457	0.9761110689128575	0.9771340516152792	0.9741092265430077	0.976848378284622	0.976431902438837	0.9760370132033347	0.9905394432724014	0.9766914652598322	0.9772956397346133	0.9899883202507092	0.9893325579707654	0.9778688347555312	0.9760795324185718	0.9896808921922727	0.9777446199787039	0.9753201256811288	0.975351273799763	0.9772989407372275	0.9769274787540897	0.990308918955443	0.9667292906386817	0.9752017833634972	0.9753551321494667	0.9754381576273041	0.9772652565912061	0.9757312984667751	0.9761414670107327	0.9772700993381293	0.9762957488413629	0.978484707854908	0.9771464029876878	0.9772817716452128
QinJ_2012__T2D-006__bin.21	0.975597595783969	0.9760419678408263	0.9731146305955334	1.0	0.9747127031421936	0.9898427052922822	0.9755557019389975	0.9756484135821908	0.9908228591331245	0.9744982338430335	0.9756009680021511	0.9750856347364623	0.9742916120346337	0.9745004936348207	0.9752613024588186	0.9739332312141683	0.9738958629416811	0.9745461513689315	0.9747062169829598	0.9742654748434635	0.9759982296161496	0.9736388623318245	0.9742308689612778	0.975589803780346	0.9754350464515228	0.974131296703764	0.965135328615876	0.9731167787879783	0.9745191388985348	0.9746877045595871	0.9756519905799355	0.9741981280203772	0.9744264136886482	0.9758878976892942	0.9758933557144646	0.9752821128212079	0.9753998691536078	0.9754215291567432
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.56	0.9779918230591815	0.9802138244694414	0.9769969399599029	0.9747127031421936	1.0	0.9744582811414619	0.9774172710383605	0.9805178522603797	0.9749371193965962	0.9780218495138705	0.9787527480780522	0.9779595025469697	0.9779616091534579	0.9783989397106391	0.9803798615625611	0.9777935740520218	0.9779042185261899	0.9777849089250619	0.978702839356973	0.9774426318197524	0.9797762711946149	0.9771642824885451	0.976641399371437	0.9800309457180676	0.9793821944195059	0.977749613633674	0.9651983057193306	0.9770304873088871	0.9774977915501848	0.9768975741728213	0.9798747331144495	0.9766267008353756	0.9765542147954943	0.9993233044327935	0.9795638227628926	0.9788005604737277	0.9798280206734139	0.9802111637295241
YuJ_2015__SZAXPI017593-158__bin.52	0.974832857708756	0.9755943072151033	0.9734959707645457	0.9898427052922822	0.9744582811414619	1.0	0.9754372848620781	0.9764873570759933	0.9975513243720678	0.974422140786523	0.9747445735439166	0.9750998229324257	0.9744172143237417	0.9746399383259081	0.9757533307502012	0.9743818446061262	0.9747716013578763	0.9745657083566686	0.9745632637857103	0.9737671091019272	0.9760806909922293	0.973340733218399	0.9739513375220009	0.9754046102508297	0.9752680570021179	0.9743599423009772	0.9653400529607409	0.9732131901386222	0.9751032289812646	0.9747903104307195	0.9752620868435279	0.9744390416988756	0.9747851285639949	0.975625004125362	0.9759469240291652	0.9757856390527394	0.9749334683924331	0.9751626162919712
ChengpingW_2017__AS9raw__bin.36	0.9785338823403332	0.979111183862481	0.9761110689128575	0.9755557019389975	0.9774172710383605	0.9754372848620781	1.0	0.9785995162474049	0.976242129107583	0.9775153400808344	0.9786053049416576	0.9787617286872304	0.9772831087858425	0.9775120279283541	0.9788076648685898	0.9771184148481128	0.9768776444242887	0.9775942632300876	0.9773835791429567	0.9774411570477022	0.9787995139261139	0.9776933657454637	0.982522097886816	0.978756258572842	0.9785548898200205	0.9770186962262722	0.9661387432665127	0.9753088226684621	0.9767493396848504	0.9785358356630005	0.9786547741764593	0.9785210461488395	0.9789314069243769	0.9781396866008087	0.9789127116612915	0.9784507007075464	0.9783287773414793	0.978338516436848
QinN_2014__HD-40__bin.48	0.9793238661402451	0.9806787837496291	0.9771340516152792	0.9756484135821908	0.9805178522603797	0.9764873570759933	0.9785995162474049	1.0	0.9763520644622486	0.9791555677531494	0.9797499179072694	0.9783586440896478	0.9788278053972719	0.9792289543416773	0.9816947195804755	0.9784043060332848	0.9783560699433395	0.9788636005505005	0.979357101771789	0.9786522524464415	0.9804723331631409	0.9776944207692827	0.9771416992484323	0.9805355326494639	0.979834612833688	0.9787763008340493	0.9669598576346344	0.9766626684136491	0.9775784285493692	0.9781285061205351	0.9807618805629157	0.9775662927993932	0.9778961622409658	0.9808972291762414	0.980719433813943	0.9801246767858063	0.9802986669356947	0.9817797638561864
WenC_2017__RA024__bin.5	0.9760414546575221	0.9766234139609767	0.9741092265430077	0.9908228591331245	0.9749371193965962	0.9975513243720678	0.976242129107583	0.9763520644622486	1.0	0.9750605545357391	0.9762847090297568	0.975350221211337	0.975062121427033	0.975379857688926	0.976369860705838	0.9752197306664055	0.9749043175801024	0.9750880819811998	0.9748792040136487	0.9746166791323859	0.9767208207805729	0.9739561753614904	0.9748252181296634	0.975831795416506	0.9761684867757924	0.9749565212424787	0.9658768400577895	0.9740631489774917	0.9752319362095914	0.9757623060157709	0.9764054312416179	0.9753275362653953	0.9754387546384073	0.9762107490099465	0.9760601618593469	0.9766323115033939	0.9759790552635763	0.9760034850444151
XieH_2016__YSZC12003_37332__bin.15	0.9779452254308505	0.9795476488340095	0.976848378284622	0.9744982338430335	0.9780218495138705	0.974422140786523	0.9775153400808344	0.9791555677531494	0.9750605545357391	1.0	0.9778736458202332	0.9771920033465998	0.9780179643899276	0.9890643234945791	0.979311852703216	0.9781003751503293	0.9779743753992136	0.9864691834281926	0.9779551511198719	0.9785097954089108	0.9790530574872498	0.9754576315737269	0.9766225866519229	0.9786179579554144	0.9785443863605193	0.9780371382543653	0.9669638041834105	0.9768866854503092	0.9773291518148866	0.9763292444101597	0.9794583832750412	0.9763432053915805	0.9761560969904706	0.978442692536682	0.9794115010315377	0.9797289552545214	0.9792075089219868	0.979304564787913
