	ZeeviD_2015__PNP_Main_747__bin.3	ChengpingW_2017__AS96raw__bin.42	XieH_2016__YSZC12003_37798__bin.66	QinJ_2012__T2D-006__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.56	YuJ_2015__SZAXPI017593-158__bin.52	ChengpingW_2017__AS9raw__bin.36	QinN_2014__HD-40__bin.48	WenC_2017__RA024__bin.5	XieH_2016__YSZC12003_37332__bin.15	HeQ_2017__SZAXPI029584-102__bin.41	QinJ_2012__T2D-001__bin.1	LoombaR_2017__SID5566_wwo__bin.8	ZeeviD_2015__PNP_Main_586__bin.24	QinJ_2012__CON-044__bin.35	ZeeviD_2015__PNP_Main_134__bin.26	ZeeviD_2015__PNP_Main_698__bin.10	ZeeviD_2015__PNP_Validation_13__bin.51	QinN_2014__HD-63__bin.56	ZeeviD_2015__PNP_Main_252__bin.30	ZeeviD_2015__PNP_Main_714__bin.15	WenC_2017__N219__bin.12	ZellerG_2014__CCIS77252613ST-4-0__bin.20	YuJ_2015__SZAXPI003420-4__bin.8	QinJ_2012__CON-025__bin.53	ZeeviD_2015__PNP_Validation_48__bin.5	LiJ_2014__O2.UC13-1__bin.71	ZellerG_2014__CCIS81735969ST-20-0__bin.59	ZellerG_2014__CCIS11019776ST-4-0__bin.15	QinJ_2012__DOM012__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.71	QinJ_2012__DLF010__bin.17	YuJ_2015__SZAXPI003411-6__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.66	YuJ_2015__SZAXPI015264-87__bin.52	ZellerG_2014__CCIS76563044ST-4-0__bin.51	ZeeviD_2015__PNP_Main_233__bin.35	QinN_2014__HD-43__bin.50
ZeeviD_2015__PNP_Main_747__bin.3	1.0	0.9168027233854749	0.8842865547109708	0.7882299563841711	0.7140916079835372	0.573477999711796	0.8858688234093967	0.7768097525202396	0.8826343751322718	0.932456577971795	0.9265108240590447	0.8676239859949959	0.930937086390349	0.9363078589816696	0.9177767198671027	0.9221720692241366	0.9021961052505925	0.9289810084953609	0.8015501192051846	0.49758997696745616	0.9153464845052284	0.6836779971436413	0.8492792758944906	0.9051161923585982	0.9118642568497206	0.9343860231504886	0.6949926213108338	0.8012000892195996	0.7162388707347823	0.9134607930747328	0.9411973403428107	0.9139896427268668	0.7590661808732392	0.7298871866672817	0.7243199977932893	0.7418871276948386	0.9009619642008735	0.9087477534590429
ChengpingW_2017__AS96raw__bin.42	0.8313707089469364	1.0	0.88065331780197	0.7774403352842417	0.7129111430344552	0.5679377112399833	0.8899665293656192	0.7697491190292697	0.878997252397737	0.9468532385350895	0.9333519928202664	0.8528641953053133	0.9339984621017626	0.9535249395255804	0.9294270315588277	0.9127275095320796	0.9095930607409426	0.9447512430194039	0.8006498331643485	0.4901617208244618	0.911972792225463	0.6728011526905241	0.8310265578551193	0.9005377468626402	0.9193146821842295	0.938872642101409	0.6818525851655355	0.779231387269601	0.7151489876653316	0.9140307985038484	0.9454153942492266	0.9168551662987241	0.7432606979021877	0.716541117645765	0.732621340214055	0.7329698039761958	0.8940010324532754	0.9153638449008495
XieH_2016__YSZC12003_37798__bin.66	0.8410237737692461	0.9236371695826021	1.0	0.7782232092779214	0.7161481608800274	0.5739017748909916	0.8835243617810424	0.7752637006748566	0.8741401458269256	0.9463597546633858	0.9201701615675489	0.8534421305928969	0.9777632031264135	0.9346067558032242	0.9251809267065911	0.9607719237936712	0.9372731631416114	0.9420252030902282	0.8024312026198187	0.5141036890955474	0.9045955383474155	0.6815215031390784	0.8388526532901522	0.9087084547049991	0.9127372401440177	0.9778093394365942	0.6868389390457925	0.7867444048415987	0.712534149915869	0.9030413779377974	0.9292237339653706	0.90451276437915	0.7492509634347126	0.7301690760073094	0.7170066581028025	0.7391059506793799	0.8860636681080494	0.91084655606014
QinJ_2012__T2D-006__bin.21	0.8304520756880044	0.9032539789114188	0.8620859496976608	1.0	0.6985923241733023	0.617539478457459	0.87562607351942	0.7528921139288456	0.9322091902281423	0.9128888470226058	0.908986597667469	0.836688760038722	0.9166583156793462	0.9189271119145874	0.899334693542148	0.8878849888664637	0.8834581304878513	0.9173572933180745	0.7915528427094879	0.47846146754238456	0.8905651547371143	0.6689707040684006	0.822680145828281	0.8796034817604416	0.8956103202169385	0.9183749446329541	0.7025401699192092	0.7720506150001102	0.7129241215930477	0.8945485756890065	0.9135692854694825	0.8953337355168827	0.7353009261578978	0.7103246262599135	0.7224367312498622	0.735446233337275	0.871787959746905	0.8863161723884292
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.56	0.8530036841253114	0.9391037094057396	0.8994657024124345	0.7920619455703861	1.0	0.5913296653041747	0.9008405032225445	0.7863917443779452	0.8863193116906357	0.9502350511715633	0.9365523745139198	0.8747136068353734	0.9530749806136043	0.9519887743537158	0.9432656064036177	0.9408727712746164	0.9234650661409852	0.945123291795791	0.8410042863107902	0.5255142010674589	0.9233020215821003	0.6908294536871078	0.8537427815856226	0.9211568778387222	0.9240183950620791	0.9528017247501072	0.7015114287418583	0.8256582142928155	0.717891441864957	0.9189998040056696	0.9492937102862937	0.9216516925104601	0.7742287339050309	0.7785474263672024	0.7475621429849653	0.7774237255397656	0.9180482373292506	0.9324745562432716
YuJ_2015__SZAXPI017593-158__bin.52	0.7861713169540987	0.8585830597230951	0.8272232842095381	0.8035326363335271	0.6786301059060692	1.0	0.8166059464914867	0.6753428712254175	0.8942830020889131	0.8711315337212122	0.8640250565258324	0.8038814404894473	0.8734923184849251	0.8761784364707017	0.8537552190229311	0.8475562846033281	0.840388522191768	0.8701822648408017	0.7505215763079177	0.49658432715352335	0.8458826766252969	0.6448899865172525	0.7890093440395564	0.8438576566098062	0.855303648687062	0.8750576993790634	0.6628765454957973	0.749796585239912	0.6575766782369677	0.8529526434791226	0.8739323984947308	0.8522615548711315	0.7083756027466208	0.6745696343489294	0.6306783360672625	0.7163589801096875	0.8333276829233309	0.8423398695537654
ChengpingW_2017__AS9raw__bin.36	0.8256396981645912	0.9146943526424782	0.8658136471305778	0.774601252446739	0.702865255595586	0.5551792856940229	1.0	0.7594753517630706	0.8672644038466993	0.9202283268559757	0.9239290197441207	0.84876581515418	0.919871953987121	0.9268717554111939	0.9103837479787809	0.9047119230660123	0.8917747900768773	0.9230801963064877	0.7908663052111997	0.47827100649626964	0.8943505148790105	0.6635272758219625	0.8409850075175174	0.8852811799665257	0.9014230092763326	0.9268500361691867	0.6821752397095119	0.7679578238915208	0.7209010914583984	0.9121235035885507	0.9220119641995971	0.9169540403109132	0.744865393889535	0.7137576770871749	0.7223385506794133	0.7293006758673513	0.8824869329948086	0.9031720731326771
QinN_2014__HD-40__bin.48	0.8510033042298518	0.9299229221437586	0.892998596405673	0.7828664584720516	0.7212046944863856	0.5396851447202659	0.892707353187889	1.0	0.8868486233417633	0.9480018839632834	0.9420353055552951	0.8698351219522361	0.9544029826639949	0.9484259841051018	0.9410016265855562	0.9335116221153115	0.9197747371777437	0.9482847910603441	0.8116917219195168	0.49202545851269014	0.9344687129759013	0.6645940986517368	0.834127869839811	0.9045456866306337	0.9290361673017749	0.9556408965914645	0.6907611816034319	0.7809996884374879	0.7322464073924718	0.9129755887124757	0.9492116634833105	0.9145120399633628	0.7366978958589279	0.7261276947812759	0.8488932236716652	0.7334775482218534	0.8910177257187039	0.9252343752442224
WenC_2017__RA024__bin.5	0.8297714333234674	0.9112684507165679	0.8640591174058877	0.8318200474462966	0.6975428255136961	0.6132706558158375	0.8747984694858434	0.7610453923172052	1.0	0.9276291963727636	0.9179306940697495	0.8458956628576692	0.9128297253819803	0.9349370527319177	0.9068908905077898	0.8948893739431664	0.8867257673808053	0.922835385673293	0.7859792885201602	0.484723025761032	0.899283923967891	0.664224008040654	0.8305100432167265	0.8839372020634577	0.899774840228665	0.9158445235116698	0.697353254935765	0.7731890868152769	0.7060591943071597	0.9049553927911316	0.929328177967428	0.9052263356454385	0.7353809340285447	0.7022727008531571	0.7246169914255081	0.7256962918385395	0.8753573450104041	0.8885088038543633
XieH_2016__YSZC12003_37332__bin.15	0.8175742253257425	0.9155085802020486	0.8724480711485624	0.759722234384441	0.6974814199522379	0.5571624973885979	0.8657111749662342	0.7587368861745597	0.8651578287645786	1.0	0.9078618110641719	0.833807659862635	0.9290032220844764	0.9548858134460209	0.9021123480435022	0.9088880243288853	0.8925557630777559	0.9528534024536547	0.7853191873525157	0.48120019832061306	0.8971047108651424	0.6561339072788586	0.8087561302794627	0.8768368946394639	0.8955401630515687	0.930612387866081	0.6661495986259334	0.7685711867170224	0.702242198840183	0.8866399209052694	0.930932219468696	0.8898261442111105	0.7239277822743239	0.6983066438656339	0.7152272785082755	0.7164052762623653	0.881445472047677	0.890678889487965
