	ZeeviD_2015__PNP_Main_747__bin.3	ChengpingW_2017__AS96raw__bin.42	XieH_2016__YSZC12003_37798__bin.66	QinJ_2012__T2D-006__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.56	YuJ_2015__SZAXPI017593-158__bin.52	ChengpingW_2017__AS9raw__bin.36	QinN_2014__HD-40__bin.48	WenC_2017__RA024__bin.5	XieH_2016__YSZC12003_37332__bin.15	HeQ_2017__SZAXPI029584-102__bin.41	QinJ_2012__T2D-001__bin.1	LoombaR_2017__SID5566_wwo__bin.8	ZeeviD_2015__PNP_Main_586__bin.24	QinJ_2012__CON-044__bin.35	ZeeviD_2015__PNP_Main_134__bin.26	ZeeviD_2015__PNP_Main_698__bin.10	ZeeviD_2015__PNP_Validation_13__bin.51	QinN_2014__HD-63__bin.56	ZeeviD_2015__PNP_Main_252__bin.30	ZeeviD_2015__PNP_Main_714__bin.15	WenC_2017__N219__bin.12	ZellerG_2014__CCIS77252613ST-4-0__bin.20	YuJ_2015__SZAXPI003420-4__bin.8	QinJ_2012__CON-025__bin.53	ZeeviD_2015__PNP_Validation_48__bin.5	LiJ_2014__O2.UC13-1__bin.71	ZellerG_2014__CCIS81735969ST-20-0__bin.59	ZellerG_2014__CCIS11019776ST-4-0__bin.15	QinJ_2012__DOM012__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES30__bin.71	QinJ_2012__DLF010__bin.17	YuJ_2015__SZAXPI003411-6__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.66	YuJ_2015__SZAXPI015264-87__bin.52	ZellerG_2014__CCIS76563044ST-4-0__bin.51	ZeeviD_2015__PNP_Main_233__bin.35	QinN_2014__HD-43__bin.50
ZeeviD_2015__PNP_Main_747__bin.3	2102677.0	1968154.0	1903994.0	1698849.0	1535293.0	1236970.0	1903558.0	1667865.0	1901451.0	2004872.0	1989447.0	1863374.0	2001589.0	2012952.0	1969371.0	1982683.0	1941000.0	1996605.0	1722507.0	1070273.0	1964203.0	1470775.0	1827964.0	1943716.0	1958411.0	2009605.0	1511897.0	1725372.0	1541041.0	1965080.0	2019444.0	1966156.0	1632834.0	1567738.0	1554760.0	1594138.0	1933188.0	1952317.0
ChengpingW_2017__AS96raw__bin.42	1968154.0	2318749.0	2089641.0	1846938.0	1686430.0	1349849.0	2107635.0	1820020.0	2086960.0	2241356.0	2210119.0	2021146.0	2213223.0	2257199.0	2197316.0	2163893.0	2156299.0	2237419.0	1894859.0	1160981.0	2156159.0	1594835.0	1971157.0	2129403.0	2173564.0	2225461.0	1635738.0	1848249.0	1695872.0	2166800.0	2235508.0	2174060.0	1762380.0	1694528.0	1732686.0	1733006.0	2114600.0	2164630.0
XieH_2016__YSZC12003_37798__bin.66	1903994.0	2089641.0	2210840.0	1768062.0	1620567.0	1303349.0	2001136.0	1754093.0	1983950.0	2141837.0	2083452.0	1933148.0	2182324.0	2115577.0	2092946.0	2145594.0	2094504.0	2129802.0	1817523.0	1148452.0	2045438.0	1544862.0	1901437.0	2055675.0	2065574.0	2182935.0	1570751.0	1783596.0	1615103.0	2046752.0	2102157.0	2049471.0	1696961.0	1651833.0	1623675.0	1669975.0	2004761.0	2060548.0
QinJ_2012__T2D-006__bin.21	1698849.0	1846938.0	1768062.0	1995772.0	1430402.0	1245115.0	1791338.0	1540105.0	1877709.0	1869596.0	1859500.0	1712506.0	1877714.0	1881958.0	1840396.0	1819443.0	1810441.0	1878655.0	1620754.0	980123.0	1821074.0	1371261.0	1685311.0	1799412.0	1832448.0	1881540.0	1452760.0	1583404.0	1460037.0	1831679.0	1868777.0	1834208.0	1506007.0	1452673.0	1477435.0	1504983.0	1783771.0	1813457.0
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.56	1535293.0	1686430.0	1620567.0	1430402.0	1760255.0	1068174.0	1622346.0	1411754.0	1600255.0	1710244.0	1684359.0	1574420.0	1715461.0	1712740.0	1693617.0	1693789.0	1662263.0	1701456.0	1512596.0	946387.0	1658794.0	1244454.0	1538748.0	1654510.0	1660749.0	1715341.0	1279363.0	1487537.0	1292762.0	1655930.0	1705319.0	1661169.0	1395560.0	1371370.0	1343353.0	1398103.0	1649268.0	1674530.0
YuJ_2015__SZAXPI017593-158__bin.52	1236970.0	1349849.0	1303349.0	1245115.0	1068174.0	1533812.0	1284060.0	1060791.0	1375029.0	1371225.0	1359589.0	1264489.0	1374948.0	1378861.0	1342040.0	1334171.0	1322359.0	1369529.0	1181205.0	782186.0	1329219.0	1016232.0	1242559.0	1326956.0	1345143.0	1377493.0	1053233.0	1181701.0	1034351.0	1342103.0	1374449.0	1341499.0	1114620.0	1060513.0	991183.0	1126026.0	1311031.0	1324898.0
ChengpingW_2017__AS9raw__bin.36	1903558.0	2107635.0	2001136.0	1791338.0	1622346.0	1284060.0	2256064.0	1750895.0	2004220.0	2123848.0	2130014.0	1956421.0	2123530.0	2139188.0	2098353.0	2088885.0	2059522.0	2130258.0	1825532.0	1103913.0	2061415.0	1531114.0	1931067.0	2040601.0	2078236.0	2140218.0	1592971.0	1776424.0	1665114.0	2102947.0	2125487.0	2114116.0	1716631.0	1646271.0	1664747.0	1681586.0	2035049.0	2082729.0
QinN_2014__HD-40__bin.48	1667865.0	1820020.0	1754093.0	1540105.0	1411754.0	1060791.0	1750895.0	1919358.0	1743408.0	1858290.0	1845474.0	1706455.0	1871464.0	1858982.0	1839797.0	1831291.0	1804432.0	1859399.0	1590765.0	964973.0	1829302.0	1304696.0	1638442.0	1770611.0	1819851.0	1873990.0	1371120.0	1534837.0	1437678.0	1791510.0	1857614.0	1795557.0	1445948.0	1420841.0	1661362.0	1436354.0	1744552.0	1808813.0
WenC_2017__RA024__bin.5	1901451.0	2086960.0	1983950.0	1877709.0	1600255.0	1375029.0	2004220.0	1743408.0	2236634.0	2127834.0	2102947.0	1939774.0	2093883.0	2143895.0	2077474.0	2052399.0	2034334.0	2116778.0	1803247.0	1112384.0	2059308.0	1525352.0	1905518.0	2026009.0	2061598.0	2101026.0	1614827.0	1775389.0	1619303.0	2074331.0	2128795.0	2075877.0	1686193.0	1609004.0	1660454.0	1661953.0	2006041.0	2036129.0
XieH_2016__YSZC12003_37332__bin.15	2004872.0	2241356.0	2141837.0	1869596.0	1710244.0	1371225.0	2123848.0	1858290.0	2127834.0	2398137.0	2226440.0	2046256.0	2277951.0	2315266.0	2209091.0	2228440.0	2188678.0	2316416.0	1925756.0	1179328.0	2197409.0	1613088.0	1985934.0	2148719.0	2194717.0	2281852.0	1652097.0	1886748.0	1723138.0	2177835.0	2279324.0	2185630.0	1778484.0	1711531.0	1751269.0	1753585.0	2158712.0	2181109.0
HeQ_2017__SZAXPI029584-102__bin.41	1989447.0	2210119.0	2083452.0	1859500.0	1684359.0	1359589.0	2130014.0	1845474.0	2102947.0	2226440.0	2367793.0	2057579.0	2228502.0	2251512.0	2212011.0	2181872.0	2162919.0	2244417.0	1889542.0	1163668.0	2162217.0	1593777.0	2013946.0	2128130.0	2171348.0	2255122.0	1642509.0	1852127.0	1687344.0	2194622.0	2231726.0	2201750.0	1770860.0	1689731.0	1752459.0	1728078.0	2101596.0	2182718.0
QinJ_2012__T2D-001__bin.1	1863374.0	2021146.0	1933148.0	1712506.0	1574420.0	1264489.0	1956421.0	1706455.0	1939774.0	2046256.0	2057579.0	2128592.0	2035417.0	2054302.0	2011941.0	2011611.0	1975133.0	2048047.0	1763381.0	1092769.0	1985091.0	1496924.0	1862510.0	1984292.0	2006175.0	2049255.0	1535184.0	1727297.0	1576600.0	2017788.0	2038398.0	2017792.0	1654036.0	1596708.0	1598018.0	1617914.0	1957189.0	2001022.0
LoombaR_2017__SID5566_wwo__bin.8	2001589.0	2213223.0	2182324.0	1877714.0	1715461.0	1374948.0	2123530.0	1871464.0	2093883.0	2277951.0	2228502.0	2035417.0	2501980.0	2259827.0	2241605.0	2287677.0	2224076.0	2291429.0	1915413.0	1242367.0	2176705.0	1614526.0	1985029.0	2168113.0	2198292.0	2447801.0	1656136.0	1900270.0	1707779.0	2173113.0	2259316.0	2167075.0	1768316.0	1716139.0	1760067.0	1769390.0	2135981.0	2202746.0
ZeeviD_2015__PNP_Main_586__bin.24	2012952.0	2257199.0	2115577.0	1881958.0	1712740.0	1378861.0	2139188.0	1858982.0	2143895.0	2315266.0	2251512.0	2054302.0	2259827.0	2418771.0	2221190.0	2196400.0	2189814.0	2309114.0	1931030.0	1188442.0	2197551.0	1615952.0	2001585.0	2164417.0	2199229.0	2268233.0	1657964.0	1896804.0	1725868.0	2201712.0	2285060.0	2202779.0	1786785.0	1712644.0	1759888.0	1767024.0	2158657.0	2192847.0
QinJ_2012__CON-044__bin.35	1969371.0	2197316.0	2092946.0	1840396.0	1693617.0	1342040.0	2098353.0	1839797.0	2077474.0	2209091.0	2212011.0	2011941.0	2241605.0	2221190.0	2321735.0	2191075.0	2170300.0	2208416.0	1889145.0	1179253.0	2154668.0	1579027.0	1968536.0	2140087.0	2175668.0	2247718.0	1623340.0	1846840.0	1686811.0	2137150.0	2233369.0	2145006.0	1749257.0	1698635.0	1741086.0	1735431.0	2110760.0	2156911.0
ZeeviD_2015__PNP_Main_134__bin.26	1982683.0	2163893.0	2145594.0	1819443.0	1693789.0	1334171.0	2088885.0	1831291.0	2052399.0	2228440.0	2181872.0	2011611.0	2287677.0	2196400.0	2191075.0	2449211.0	2174015.0	2220946.0	1882452.0	1193422.0	2126248.0	1574937.0	2005969.0	2108953.0	2138759.0	2311549.0	1613544.0	1871998.0	1697377.0	2136371.0	2207781.0	2143059.0	1747108.0	1689374.0	1710124.0	1742420.0	2101680.0	2165962.0
ZeeviD_2015__PNP_Main_698__bin.10	1941000.0	2156299.0	2094504.0	1810441.0	1662263.0	1322359.0	2059522.0	1804432.0	2034334.0	2188678.0	2162919.0	1975133.0	2224076.0	2189814.0	2170300.0	2174015.0	2259631.0	2180701.0	1866166.0	1167365.0	2121003.0	1565391.0	1931178.0	2090790.0	2126701.0	2236265.0	1609865.0	1827952.0	1668346.0	2103159.0	2184967.0	2110995.0	1728226.0	1674570.0	1702326.0	1718727.0	2066740.0	2127498.0
ZeeviD_2015__PNP_Validation_13__bin.51	1996605.0	2237419.0	2129802.0	1878655.0	1701456.0	1369529.0	2130258.0	1859399.0	2116778.0	2316416.0	2244417.0	2048047.0	2291429.0	2309114.0	2208416.0	2220946.0	2180701.0	2411062.0	1922145.0	1187032.0	2178372.0	1609755.0	2001185.0	2143350.0	2199565.0	2301069.0	1654262.0	1866721.0	1714681.0	2182597.0	2257552.0	2188016.0	1775686.0	1703797.0	1761737.0	1752341.0	2131573.0	2177877.0
QinN_2014__HD-63__bin.56	1722507.0	1894859.0	1817523.0	1620754.0	1512596.0	1181205.0	1825532.0	1590765.0	1803247.0	1925756.0	1889542.0	1763381.0	1915413.0	1931030.0	1889145.0	1882452.0	1866166.0	1922145.0	2003734.0	1029668.0	1850814.0	1403710.0	1718718.0	1867796.0	1881626.0	1918703.0	1440729.0	1640374.0	1464441.0	1855666.0	1918047.0	1863198.0	1553488.0	1507094.0	1508961.0	1545971.0	1845947.0	1863351.0
ZeeviD_2015__PNP_Main_252__bin.30	1070273.0	1160981.0	1148452.0	980123.0	946387.0	782186.0	1103913.0	964973.0	1112384.0	1179328.0	1163668.0	1092769.0	1242367.0	1188442.0	1179253.0	1193422.0	1167365.0	1187032.0	1029668.0	1296426.0	1132637.0	861015.0	1073206.0	1149973.0	1146428.0	1250036.0	893568.0	1037269.0	860667.0	1153697.0	1183152.0	1150024.0	949410.0	915510.0	886905.0	987159.0	1136672.0	1149163.0
ZeeviD_2015__PNP_Main_714__bin.15	1964203.0	2156159.0	2045438.0	1821074.0	1658794.0	1329219.0	2061415.0	1829302.0	2059308.0	2197409.0	2162217.0	1985091.0	2176705.0	2197551.0	2154668.0	2126248.0	2121003.0	2178372.0	1850814.0	1132637.0	2338044.0	1563802.0	1925676.0	2078803.0	2137422.0	2183315.0	1603991.0	1816326.0	1663779.0	2111833.0	2183416.0	2111762.0	1713306.0	1661637.0	1707932.0	1689756.0	2079229.0	2101550.0
WenC_2017__N219__bin.12	1470775.0	1594835.0	1544862.0	1371261.0	1244454.0	1016232.0	1531114.0	1304696.0	1525352.0	1613088.0	1593777.0	1496924.0	1614526.0	1615952.0	1579027.0	1574937.0	1565391.0	1609755.0	1403710.0	861015.0	1563802.0	1733847.0	1458078.0	1565499.0	1577864.0	1615803.0	1230997.0	1367509.0	1248779.0	1582933.0	1609006.0	1582268.0	1327274.0	1271738.0	1252381.0	1282374.0	1550321.0	1568524.0
ZellerG_2014__CCIS77252613ST-4-0__bin.20	1827964.0	1971157.0	1901437.0	1685311.0	1538748.0	1242559.0	1931067.0	1638442.0	1905518.0	1985934.0	2013946.0	1862510.0	1985029.0	2001585.0	1968536.0	2005969.0	1931178.0	2001185.0	1718718.0	1073206.0	1925676.0	1458078.0	2114624.0	1934539.0	1959582.0	2000770.0	1507746.0	1708565.0	1540658.0	1965650.0	1998736.0	1972309.0	1638176.0	1558813.0	1539703.0	1593737.0	1908747.0	1960535.0
YuJ_2015__SZAXPI003420-4__bin.8	1943716.0	2129403.0	2055675.0	1799412.0	1654510.0	1326956.0	2040601.0	1770611.0	2026009.0	2148719.0	2128130.0	1984292.0	2168113.0	2164417.0	2140087.0	2108953.0	2090790.0	2143350.0	1867796.0	1149973.0	2078803.0	1565499.0	1934539.0	2251131.0	2114204.0	2172343.0	1610681.0	1849791.0	1657420.0	2088812.0	2161082.0	2099454.0	1728117.0	1695232.0	1677960.0	1728535.0	2057626.0	2114067.0
QinJ_2012__CON-025__bin.53	1958411.0	2173564.0	2065574.0	1832448.0	1660749.0	1345143.0	2078236.0	1819851.0	2061598.0	2194717.0	2171348.0	2006175.0	2198292.0	2199229.0	2175668.0	2138759.0	2126701.0	2199565.0	1881626.0	1146428.0	2137422.0	1577864.0	1959582.0	2114204.0	2315193.0	2192641.0	1624988.0	1820391.0	1675361.0	2113573.0	2189641.0	2128688.0	1737872.0	1671464.0	1721403.0	1714421.0	2089811.0	2131158.0
ZeeviD_2015__PNP_Validation_48__bin.5	2009605.0	2225461.0	2182935.0	1881540.0	1715341.0	1377493.0	2140218.0	1873990.0	2101026.0	2281852.0	2255122.0	2049255.0	2447801.0	2268233.0	2247718.0	2311549.0	2236265.0	2301069.0	1918703.0	1250036.0	2183315.0	1615803.0	2000770.0	2172343.0	2192641.0	2608041.0	1657896.0	1905653.0	1710824.0	2195942.0	2274294.0	2193723.0	1769740.0	1718113.0	1762355.0	1775635.0	2138475.0	2222338.0
LiJ_2014__O2.UC13-1__bin.71	1511897.0	1635738.0	1570751.0	1452760.0	1279363.0	1053233.0	1592971.0	1371120.0	1614827.0	1652097.0	1642509.0	1535184.0	1656136.0	1657964.0	1623340.0	1613544.0	1609865.0	1654262.0	1440729.0	893568.0	1603991.0	1230997.0	1507746.0	1610681.0	1624988.0	1657896.0	1774023.0	1415576.0	1318631.0	1620188.0	1645498.0	1626244.0	1356770.0	1313928.0	1320406.0	1318921.0	1574571.0	1616618.0
ZellerG_2014__CCIS81735969ST-20-0__bin.59	1725372.0	1848249.0	1783596.0	1583404.0	1487537.0	1181701.0	1776424.0	1534837.0	1775389.0	1886748.0	1852127.0	1727297.0	1900270.0	1896804.0	1846840.0	1871998.0	1827952.0	1866721.0	1640374.0	1037269.0	1816326.0	1367509.0	1708565.0	1849791.0	1820391.0	1905653.0	1415576.0	1989119.0	1436662.0	1825966.0	1884647.0	1819913.0	1511318.0	1495366.0	1444068.0	1546640.0	1823367.0	1838043.0
ZellerG_2014__CCIS11019776ST-4-0__bin.15	1541041.0	1695872.0	1615103.0	1460037.0	1292762.0	1034351.0	1665114.0	1437678.0	1619303.0	1723138.0	1687344.0	1576600.0	1707779.0	1725868.0	1686811.0	1697377.0	1668346.0	1714681.0	1464441.0	860667.0	1663779.0	1248779.0	1540658.0	1657420.0	1675361.0	1710824.0	1318631.0	1436662.0	1832921.0	1667402.0	1708293.0	1661358.0	1379652.0	1354950.0	1358165.0	1348685.0	1624434.0	1663884.0
QinJ_2012__DOM012__bin.11	1965080.0	2166800.0	2046752.0	1831679.0	1655930.0	1342103.0	2102947.0	1791510.0	2074331.0	2177835.0	2194622.0	2017788.0	2173113.0	2201712.0	2137150.0	2136371.0	2103159.0	2182597.0	1855666.0	1153697.0	2111833.0	1582933.0	1965650.0	2088812.0	2113573.0	2195942.0	1620188.0	1825966.0	1667402.0	2330091.0	2177864.0	2204725.0	1768839.0	1676097.0	1686677.0	1716196.0	2061834.0	2135347.0
