	XieH_2016__YSZC12003_37406__bin.6	NielsenHB_2014__V1_UC54_0__bin.7	XieH_2016__YSZC12003_37232__bin.25	FengQ_2015__SID530050__bin.53	LiuW_2016__SRR3992973__bin.13	ZeeviD_2015__PNP_Main_223__bin.49	FengQ_2015__SID31446__bin.57	FengQ_2015__SID532749__bin.26	LiJ_2014__V1.FI15__bin.45	FengQ_2015__SID31424__bin.6	LiuW_2016__SRR3993018__bin.6	FengQ_2015__SID530323__bin.24	XieH_2016__YSZC12003_37546__bin.60	XieH_2016__YSZC12003_37223__bin.36	FengQ_2015__SID530018__bin.34	FengQ_2015__SID31160__bin.20	Obregon-TitoAJ_2015__SM29__bin.51	XieH_2016__YSZC12003_37222__bin.29	XieH_2016__YSZC12003_37754__bin.38	CosteaPI_2017__bugkiller-11-0-0__bin.27	CM_madagascar__A29_01_1FE__bin.20	CM_madagascar__A13_01_1FE__bin.7	YuJ_2015__SZAXPI003411-6__bin.62	ZellerG_2014__MMPU29365221ST__bin.37	SchirmerM_2016__G89165__bin.16	SchirmerM_2016__G88875__bin.38	XieH_2016__YSZC12003_37269__bin.56	FengQ_2015__SID530262__bin.9	XieH_2016__YSZC12003_37233__bin.69	BackhedF_2015__SID377_M__bin.66	CosteaPI_2017__bugkiller-11-2-0__bin.13	FengQ_2015__SID530348__bin.27
XieH_2016__YSZC12003_37406__bin.6	1.0	0.770107481155947	0.7519583311624947	0.5215926868317631	0.5608372255883912	0.5914805495202329	0.7751302151172043	0.7739619518867051	0.6800263598485435	0.49766183074217335	0.7261668903217208	0.6053044501488609	0.6848406932978114	0.7947452092524195	0.6481115111712532	0.5462088238842007	0.4911300705510832	0.7574077229287031	0.7710241617863867	0.6727450149330231	0.879518688691409	0.7611129338333067	0.6725910614016436	0.648620778188164	0.6817259505105108	0.5887004679154738	0.8447650870940473	0.6604775469570006	0.39161647922354853	0.6987166940544367	0.7659882854504995	0.6841755952674309
NielsenHB_2014__V1_UC54_0__bin.7	0.8089664934894607	1.0	0.8031385882762467	0.5741137467070117	0.6028228361190096	0.5861802716040495	0.8422047823336569	0.8291565857547655	0.7451361397671697	0.5467852101373996	0.781039388651757	0.6789746239595932	0.7568279431784172	0.8448357216075749	0.70986794519008	0.5850132113976471	0.5271355056989715	0.8399125715607101	0.83706222299577	0.7334073572619298	0.8173666644807913	0.8366194599770336	0.6716207148009564	0.7079548933942026	0.7621509604949873	0.6367420333472539	0.77864955307067	0.7207131738761929	0.41042948505872034	0.7635744090864044	0.833285424862672	0.7577681982749992
XieH_2016__YSZC12003_37232__bin.25	0.8075002104365437	0.8210321622644685	1.0	0.5619769643810318	0.6128582524643758	0.5763249563627694	0.8252524860494432	0.8289163500877785	0.7324779444860837	0.5409902664907905	0.7943402398522962	0.6534047120648436	0.7420617539268467	0.8582630492078765	0.6968357904425014	0.641468045651877	0.5298802250637736	0.8445541794713732	0.85066465185227	0.720153167561421	0.8110995574028048	0.837465870216853	0.6743354615566458	0.6999668845965994	0.7279733423522824	0.6375284719383499	0.7873789485834218	0.7014371681844139	0.42628748101660763	0.7611441901116499	0.8286547535221028	0.7451096815427242
FengQ_2015__SID530050__bin.53	0.8331483991698956	0.8729907153053512	0.8359119153581325	1.0	0.634981946427072	0.6010827645358253	0.8541071878411286	0.8480043604476806	0.7660510358312441	0.6644127190720104	0.8182227127142737	0.7960036227103151	0.8268933759581588	0.8657977759917469	0.8329879562875616	0.7067433993498314	0.5612681885248851	0.8581557465542267	0.8535148986960642	0.7567505967875436	0.8302251898324197	0.8458601237959287	0.7133815361731224	0.734404052157432	0.7714386178520447	0.6823260919112796	0.7852771913198902	0.7867241761932752	0.4387535537348704	0.7936419634610079	0.8631684620275182	0.8500391360675599
LiuW_2016__SRR3992973__bin.13	0.768659371226649	0.7865160660719581	0.7821828037159526	0.5448382649710162	1.0	0.5687374677305117	0.7970365786269039	0.8018175771170811	0.7407530587261263	0.5214890828935849	0.7884408168096613	0.6303796686623947	0.7322261299065222	0.8131364237848242	0.6468777159281487	0.5348407545383138	0.5727162723136314	0.8081264108352144	0.810980085391515	0.7021660522088637	0.7773940856372553	0.8100492316757875	0.6707865681732945	0.685341209029088	0.7317320762412295	0.5960847533623633	0.7632067685352145	0.6831224706285739	0.44536622049589353	0.7164035466362858	0.809783549170884	0.7077576074936619
ZeeviD_2015__PNP_Main_223__bin.49	0.7750514945251894	0.731209956817789	0.7032482297507658	0.4930982882721642	0.5437569692127626	1.0	0.7326097960453927	0.7219953736420606	0.6379293696233657	0.4773187297381575	0.6867146277663893	0.5729303321665956	0.6501324496386927	0.7362557744905747	0.6154698225783735	0.5242330252579953	0.4830220290165269	0.7191563323966219	0.7260565065154644	0.6440576640275145	0.785151740481124	0.7236928939707891	0.6394270007829504	0.6277694644384867	0.6622617244223357	0.5702210651202011	0.7548436220901519	0.6420181794586509	0.3835946961100338	0.6624228658448454	0.7230108106213109	0.65261230542327
FengQ_2015__SID31446__bin.57	0.8137206980725055	0.841664884595713	0.8067494335970798	0.5613351045640397	0.610494640483199	0.586925971951353	1.0	0.844377902845762	0.7281009759178979	0.5413560360960524	0.7841120408539356	0.6531283475422697	0.736445009889262	0.8572753334115145	0.6963420078306005	0.5846958374435938	0.5290686158088254	0.8308586362771833	0.845242658935271	0.7525605156804177	0.816984597979575	0.8455540696751966	0.6742633805606774	0.7284651096786655	0.7399656265613651	0.6503428967308771	0.787682916854318	0.7167674973909496	0.4276063649990096	0.7679960423242673	0.8590235696540088	0.7327617895080203
FengQ_2015__SID532749__bin.26	0.8200866868753683	0.8363682028761342	0.817903351345437	0.5625321718717751	0.6198957071843675	0.583827402104258	0.8522682568378438	1.0	0.7379301083958949	0.5484429435739561	0.7998652200618197	0.665577154054464	0.7637994016964368	0.8667936548987037	0.7006000442635221	0.5918087616906675	0.533242153793359	0.8572571039222951	0.8664191556608818	0.7417790454496851	0.8244841931978405	0.841955353523799	0.6874363711869339	0.722845199521556	0.7382454238232244	0.6692997660001442	0.7847415184377464	0.7305798770070896	0.43447382359743075	0.7909075762737575	0.8517022805660758	0.74819626147308
LiJ_2014__V1.FI15__bin.45	0.803073152128846	0.8376947534361081	0.8055176167744595	0.5663647207767301	0.638271890984637	0.5749258900401092	0.8190685979969802	0.822440407166882	1.0	0.5478045270820077	0.8018875036306674	0.7061587205860507	0.7656473452337929	0.8407894124194324	0.6978608439999202	0.5817432303295427	0.5438396165128299	0.8499564319906701	0.8481344466641094	0.7221236799336613	0.8105916823903205	0.8397778142384246	0.6705100006873325	0.7012027209496717	0.7841216223706762	0.6460470623188823	0.7807481502996548	0.7194170312115453	0.43909957230183205	0.7711509936388489	0.8234492338460242	0.755224281016986
FengQ_2015__SID31424__bin.6	0.8427522235734554	0.8814610805096533	0.8531122079945315	0.704389123367591	0.6443379354746406	0.6168562367360564	0.8732686331083928	0.8765100030998879	0.7855282924386581	1.0	0.8546033335717863	0.8133477994769933	0.8477231720596768	0.9101930673788461	0.8386850116444509	0.7135981750403383	0.5610781251241942	0.8885494909030212	0.8974628609581039	0.7873890200379934	0.8371915015380214	0.8562184546661262	0.7277988411188211	0.757599891901344	0.7866919426759187	0.7095595774614303	0.8020530796194292	0.7956482342561462	0.4619278123534508	0.8392922717409448	0.8911677039368577	0.8695241274610328
