	XieH_2016__YSZC12003_37406__bin.6	NielsenHB_2014__V1_UC54_0__bin.7	XieH_2016__YSZC12003_37232__bin.25	FengQ_2015__SID530050__bin.53	LiuW_2016__SRR3992973__bin.13	ZeeviD_2015__PNP_Main_223__bin.49	FengQ_2015__SID31446__bin.57	FengQ_2015__SID532749__bin.26	LiJ_2014__V1.FI15__bin.45	FengQ_2015__SID31424__bin.6	LiuW_2016__SRR3993018__bin.6	FengQ_2015__SID530323__bin.24	XieH_2016__YSZC12003_37546__bin.60	XieH_2016__YSZC12003_37223__bin.36	FengQ_2015__SID530018__bin.34	FengQ_2015__SID31160__bin.20	Obregon-TitoAJ_2015__SM29__bin.51	XieH_2016__YSZC12003_37222__bin.29	XieH_2016__YSZC12003_37754__bin.38	CosteaPI_2017__bugkiller-11-0-0__bin.27	CM_madagascar__A29_01_1FE__bin.20	CM_madagascar__A13_01_1FE__bin.7	YuJ_2015__SZAXPI003411-6__bin.62	ZellerG_2014__MMPU29365221ST__bin.37	SchirmerM_2016__G89165__bin.16	SchirmerM_2016__G88875__bin.38	XieH_2016__YSZC12003_37269__bin.56	FengQ_2015__SID530262__bin.9	XieH_2016__YSZC12003_37233__bin.69	BackhedF_2015__SID377_M__bin.66	CosteaPI_2017__bugkiller-11-2-0__bin.13	FengQ_2015__SID530348__bin.27
XieH_2016__YSZC12003_37406__bin.6	1.0	0.9574775763163884	0.9553386143431655	0.957447083485188	0.9565656306889777	0.9610568783270542	0.956784848335617	0.9583789341412934	0.9572382634986119	0.9590709555567817	0.9574304286909554	0.958106178463861	0.9575757496206613	0.9570528324431932	0.9588578785423078	0.9564979028152332	0.9548160146002053	0.9552525163429839	0.9573496423657188	0.9578997598052779	0.9718399561853451	0.9574006678821428	0.9578341842429978	0.9579569150057121	0.9586590630074057	0.9582666402823227	0.972806246601524	0.9575192996662323	0.959470461873899	0.9569224973933524	0.9575535604583495	0.9589302889201446
NielsenHB_2014__V1_UC54_0__bin.7	0.9574775763163884	1.0	0.9654887089250437	0.967851653964536	0.9664524227532253	0.9644190123278525	0.9691832392408295	0.9695976079377169	0.9706654797207594	0.9691719466899716	0.9677825926783508	0.9697029018317685	0.9696927198722893	0.968755653754998	0.9700149571497871	0.9656117575154851	0.9665567925186734	0.9677199085843354	0.9697425797319666	0.970333114801152	0.9522775812568429	0.970335389547448	0.9559166052038589	0.9703453859337071	0.9718737838012863	0.9700392846144024	0.9529152798461081	0.9699827335188717	0.9706051080183575	0.9691991310970745	0.9702386146526069	0.9707612866549813
XieH_2016__YSZC12003_37232__bin.25	0.9553386143431655	0.9654887089250437	1.0	0.9702379243038532	0.9652932256809648	0.9594676579551319	0.9656876160457506	0.9680713168109462	0.9653848146775241	0.9703377303888642	0.968289916549825	0.9669091020294607	0.9668701462886039	0.9673526731642802	0.9715875190012727	0.9908001037002782	0.962717231741636	0.9652129081315237	0.9653525462643864	0.966640303476626	0.9496718163351782	0.9650420080211652	0.9539463082462833	0.9668522096322211	0.9655265084283465	0.9671494112249579	0.9499466994071564	0.9668461688636059	0.9687866197933312	0.9662176255977724	0.9658401349334057	0.9701571584296363
FengQ_2015__SID530050__bin.53	0.957447083485188	0.967851653964536	0.9702379243038532	1.0	0.9683975105850445	0.9609497200677447	0.9693499858751774	0.9702377225029616	0.9686252501514417	0.9705494529564446	0.9713633685379778	0.9698082426521029	0.9706375447622551	0.9703045834558669	0.9737783137767713	0.9703239353982027	0.9652814131906389	0.9678350829278192	0.9686522296635574	0.9698213532493762	0.9521156817445121	0.9679039692800527	0.9561244320111578	0.970247387063289	0.9684882768747117	0.9687157723982233	0.9523224593966252	0.9694307612146027	0.9719499353930064	0.9677539087140875	0.9701080911646343	0.9724740346570533
LiuW_2016__SRR3992973__bin.13	0.9565656306889777	0.9664524227532253	0.9652932256809648	0.9683975105850445	1.0	0.9604529287407468	0.9657192251692175	0.967897620277149	0.9708187231631654	0.9696166497219065	0.968642169670702	0.9696014105927042	0.9676417305464002	0.9675187244774943	0.9694649717759235	0.9654286294887798	0.9644469336441703	0.965997662329673	0.9666325454789426	0.9666334568737629	0.9515338964300029	0.9671924013997745	0.9550033475018295	0.967411341013147	0.9689707665008651	0.9694873970593313	0.9523654709870076	0.9682844786160499	0.9699875444316324	0.9674588957673456	0.9664490847586714	0.9681237213190488
ZeeviD_2015__PNP_Main_223__bin.49	0.9610568783270542	0.9644190123278525	0.9594676579551319	0.9609497200677447	0.9604529287407468	1.0	0.9619764616190976	0.9632321929397014	0.9621301720259546	0.962183305954189	0.961702611471387	0.9626733715910865	0.9613889535645164	0.9625785109081011	0.9628778963756395	0.9595921386377376	0.9595457788812105	0.9609269063182618	0.9615751476986061	0.9637028754434643	0.9590168675857333	0.9622840253816946	0.9580321566401397	0.9633404528221395	0.9639554714042085	0.9623947682566045	0.9591241366483121	0.9629766298797684	0.9645937084351511	0.9619561479740164	0.9627880577798635	0.9636887592365203
FengQ_2015__SID31446__bin.57	0.956784848335617	0.9691832392408295	0.9656876160457506	0.9693499858751774	0.9657192251692175	0.9619764616190976	1.0	0.971315289783194	0.9691970156595884	0.9701639622201658	0.967132911757824	0.969533902055284	0.9689747032482717	0.9709645644573052	0.9703906191526778	0.9668612950747008	0.9678466417042695	0.9681380260664868	0.9719167076495612	0.9833887171536172	0.951629057002503	0.9720153956390352	0.9557828213334302	0.9836176933967787	0.9690320848817183	0.9706029213967344	0.9524973395793139	0.9703329117571722	0.9717570808856958	0.9695438324099008	0.9835572247506503	0.970090758403127
FengQ_2015__SID532749__bin.26	0.9583789341412934	0.9695976079377169	0.9680713168109462	0.9702377225029616	0.967897620277149	0.9632321929397014	0.971315289783194	1.0	0.9712248110728183	0.9716063479980123	0.9699921171558312	0.9716639814476659	0.969662989453267	0.9732921793693324	0.9712503723151937	0.9683630678937547	0.9673074893158634	0.970689652259561	0.9745468215413327	0.9724465099781971	0.9526167715183458	0.9727326843495778	0.9587417631962267	0.9724350049143156	0.9713301731719575	0.9804535983330662	0.9531330982316634	0.9796385190243668	0.9769077652531759	0.9796338014460426	0.9717845657795505	0.9720843195447887
LiJ_2014__V1.FI15__bin.45	0.9572382634986119	0.9706654797207594	0.9653848146775241	0.9686252501514417	0.9708187231631654	0.9621301720259546	0.9691970156595884	0.9712248110728183	1.0	0.9691917983398974	0.9666964026181002	0.9795495943673538	0.9704608207513367	0.9689570498848888	0.9700037059095004	0.9661478326990597	0.9659500272222566	0.9686906763144945	0.9701461592306287	0.9709873801140649	0.9511219366252146	0.9721114131847105	0.9561271842150816	0.9707439216420545	0.9778962940432327	0.9722680565450023	0.9526678886175948	0.9720470099744908	0.9728172770857075	0.9712217911002081	0.9703974764890589	0.9704301573079164
FengQ_2015__SID31424__bin.6	0.9590709555567817	0.9691719466899716	0.9703377303888642	0.9705494529564446	0.9696166497219065	0.962183305954189	0.9701639622201658	0.9716063479980123	0.9691917983398974	1.0	0.9708199172552284	0.9708686556260289	0.9710301288844702	0.970933624101665	0.9754527780525483	0.9706560308608473	0.9669027656593079	0.9676708150074314	0.969281246056498	0.9708639477983556	0.9537460610670434	0.9695599696499757	0.95691309255079	0.9708622358034122	0.9689864042615057	0.9701891246275	0.9547595055280376	0.9698479073453641	0.9723108016315714	0.9693761016451233	0.9704978057077567	0.9755079037972291
