	XieH_2016__YSZC12003_37406__bin.6	NielsenHB_2014__V1_UC54_0__bin.7	XieH_2016__YSZC12003_37232__bin.25	FengQ_2015__SID530050__bin.53	LiuW_2016__SRR3992973__bin.13	ZeeviD_2015__PNP_Main_223__bin.49	FengQ_2015__SID31446__bin.57	FengQ_2015__SID532749__bin.26	LiJ_2014__V1.FI15__bin.45	FengQ_2015__SID31424__bin.6	LiuW_2016__SRR3993018__bin.6	FengQ_2015__SID530323__bin.24	XieH_2016__YSZC12003_37546__bin.60	XieH_2016__YSZC12003_37223__bin.36	FengQ_2015__SID530018__bin.34	FengQ_2015__SID31160__bin.20	Obregon-TitoAJ_2015__SM29__bin.51	XieH_2016__YSZC12003_37222__bin.29	XieH_2016__YSZC12003_37754__bin.38	CosteaPI_2017__bugkiller-11-0-0__bin.27	CM_madagascar__A29_01_1FE__bin.20	CM_madagascar__A13_01_1FE__bin.7	YuJ_2015__SZAXPI003411-6__bin.62	ZellerG_2014__MMPU29365221ST__bin.37	SchirmerM_2016__G89165__bin.16	SchirmerM_2016__G88875__bin.38	XieH_2016__YSZC12003_37269__bin.56	FengQ_2015__SID530262__bin.9	XieH_2016__YSZC12003_37233__bin.69	BackhedF_2015__SID377_M__bin.66	CosteaPI_2017__bugkiller-11-2-0__bin.13	FengQ_2015__SID530348__bin.27
XieH_2016__YSZC12003_37406__bin.6	1.0	0.8043086336483279	0.7871118364450252	0.544774427567445	0.5863029232865512	0.6154480165105775	0.8101405623903727	0.8075740443733505	0.7104044894351736	0.5188999081441887	0.7584539498233525	0.6317717845420329	0.715181742613164	0.830408920292906	0.675920306517726	0.5710507281579601	0.5143714213431225	0.7928874407243701	0.8053736353638772	0.7023125416272982	0.9050036305809915	0.7949784864021012	0.7021998927018985	0.67708763100718	0.7111245038166863	0.6143388939659133	0.8683795874514729	0.6897798793060639	0.40815897391848815	0.7301706208786335	0.7999430184185686	0.7134779276164942
NielsenHB_2014__V1_UC54_0__bin.7	0.8448934089942032	1.0	0.8318466915790714	0.5931836189516377	0.6237480727728848	0.607806631880022	0.8689840560938342	0.8551553541044082	0.7676549288448273	0.564177710678527	0.807040129219746	0.7001882975466097	0.780482236968937	0.8720833972249902	0.7318113395652146	0.6058472329530075	0.5453745809652333	0.8679294123331688	0.8631798175007753	0.7558304937497935	0.8583281603689626	0.8621961736005755	0.7025934178198803	0.7295906217073198	0.7842077574250322	0.6564085016416252	0.8171235885696141	0.7430164980995211	0.4228593911860576	0.787840583618853	0.8588458676848573	0.7805916950871548
XieH_2016__YSZC12003_37232__bin.25	0.8452502581942982	0.8503798694638177	1.0	0.5792156236154662	0.6348933527758218	0.6006715823971217	0.8545749912675135	0.8562554593791946	0.7587419372561394	0.5575278066060442	0.8203537249284389	0.6757664300536651	0.7674885368788152	0.8872286943710367	0.7172136084650431	0.6474242819073465	0.5504006863003542	0.8749926284204759	0.8811958440924792	0.7450063534194804	0.8540840566721993	0.8678025031615886	0.7068903728935554	0.7239647152100509	0.7539651537245252	0.6591830223324837	0.8288664501648462	0.7254899391170536	0.44002205677401535	0.7877564742629807	0.8579626415910313	0.7680298754366873
FengQ_2015__SID530050__bin.53	0.8701769669997481	0.9019881422213691	0.861553536940849	1.0	0.6557038194402792	0.6255090687715174	0.8811133236567782	0.8740170999124312	0.7908642023439656	0.6845737917301441	0.8423446253133884	0.8207845506999508	0.8519074709403452	0.8922948430358792	0.8554184710243153	0.7283582044792054	0.5814555018413445	0.886675593488718	0.8811365653827238	0.7802989635689694	0.8719793253601718	0.8739091383467485	0.7461178820339959	0.7569245348655879	0.7965389321401581	0.7043614973069587	0.8245916953564532	0.8115320945743315	0.45141579597663234	0.8200865491884889	0.8897652435732879	0.8740995705528831
LiuW_2016__SRR3992973__bin.13	0.8035615608236029	0.8138176774717318	0.8103059079940842	0.5626184072301667	1.0	0.5921554828055815	0.82532951385248	0.8284115595691698	0.7630189252145563	0.5378301651927614	0.813964992952659	0.6501431018721932	0.756712021393553	0.8404348186893811	0.6672522832291297	0.5539930536569299	0.5938287036173349	0.8365718079340644	0.8389745298609766	0.7264036302651614	0.816990428353534	0.8375264637143958	0.7023918501730796	0.7084279250968326	0.7551642438952529	0.6148452833635791	0.8013801337676031	0.7054976979543733	0.4591463293034937	0.7405002422020899	0.8378957173652787	0.7310611153390154
ZeeviD_2015__PNP_Main_223__bin.49	0.8064574657374588	0.7581869990854302	0.7329566806343067	0.5131364086743289	0.5661464012876553	1.0	0.7615672786965504	0.7495548621964068	0.6630385244858081	0.4960787895449969	0.714061311236047	0.5951450918598364	0.6762428954776459	0.7648786734247657	0.6391982045647305	0.5463081700546343	0.5033861225252952	0.7483985802333598	0.7550699581339824	0.6683155985512033	0.818704828891796	0.7520574745940866	0.6674379313377629	0.6516589878473535	0.6870252247830587	0.5925022495219574	0.7870134774503491	0.6667017241517165	0.3976748891845198	0.6886206478746246	0.7509553164676078	0.677202363489536
FengQ_2015__SID31446__bin.57	0.8504740637229153	0.8684269914273354	0.8354144965641344	0.5790840385242678	0.632165773003251	0.6101250865987936	1.0	0.8693139207499085	0.7512414546823463	0.5580046849577772	0.810759339612136	0.6736518920666144	0.7600250114068966	0.8829110400034689	0.7175893852298675	0.6047360054871361	0.5466450912896642	0.8582026672921161	0.8696657360478627	0.765272676565455	0.8585116143394791	0.8698978158872693	0.7054566848355781	0.7405978100729549	0.7636131332552178	0.670040118769691	0.8269660020281118	0.7386820427361966	0.44003421576231083	0.7921210126367719	0.8733844336020072	0.7553538503080108
FengQ_2015__SID532749__bin.26	0.8557019125322962	0.8625930963825761	0.844879232699304	0.5797879827024124	0.6404558645436754	0.6061128421408625	0.8774372912713826	1.0	0.7597933042719273	0.5644703173296662	0.8246100209630052	0.6849869571812591	0.7876957355329154	0.8905790812583771	0.7213382503972526	0.6111434660327202	0.5512643701027262	0.883142312197087	0.8890482596726986	0.7627967583186824	0.8654940977825964	0.8655567629937061	0.7170193242601403	0.7433352315255746	0.7600355102862955	0.6826429798799911	0.8233283681929293	0.7457647518134367	0.4447439554181784	0.8073502313888054	0.8764311664930111	0.7696824713965639
LiJ_2014__V1.FI15__bin.45	0.8389480265798115	0.8630107600788437	0.8344005463184477	0.5847098459266683	0.6574573355002783	0.5975552027741625	0.845100206421459	0.8468074515707764	1.0	0.5652178733046723	0.82951327992834	0.7209014476108545	0.7889523501227221	0.8677261933532734	0.7194414204279642	0.6021265179515719	0.5630100949183959	0.8774281127846055	0.8742336797341131	0.7437003762590932	0.8522479097332928	0.863869925657234	0.7012769971996745	0.7223354226762065	0.8018453768023076	0.6644742239240475	0.8195386447134156	0.7401051840388099	0.45136901106161825	0.7940009179214179	0.848569018156663	0.7782366153088894
FengQ_2015__SID31424__bin.6	0.8787172822726153	0.9094991693890041	0.8791910087353252	0.7257632480466731	0.6645285388400061	0.6411005396984365	0.9001247903601434	0.9021246154946706	0.8104982871132095	1.0	0.8802902766848686	0.8377526607371375	0.8730142833297565	0.9374410822583081	0.8597904793698484	0.7351710104839799	0.5802839179404027	0.9182352894420996	0.9259055249540978	0.8110189093163555	0.8777928797958843	0.8831000468957404	0.7605694255669219	0.7803371724253046	0.8118709810747868	0.7313621225489028	0.8400577056060281	0.8203845450715757	0.47508246496729223	0.865806646477653	0.9182583398907885	0.8913552868986019
