	XieH_2016__YSZC12003_37406__bin.6	NielsenHB_2014__V1_UC54_0__bin.7	XieH_2016__YSZC12003_37232__bin.25	FengQ_2015__SID530050__bin.53	LiuW_2016__SRR3992973__bin.13	ZeeviD_2015__PNP_Main_223__bin.49	FengQ_2015__SID31446__bin.57	FengQ_2015__SID532749__bin.26	LiJ_2014__V1.FI15__bin.45	FengQ_2015__SID31424__bin.6	LiuW_2016__SRR3993018__bin.6	FengQ_2015__SID530323__bin.24	XieH_2016__YSZC12003_37546__bin.60	XieH_2016__YSZC12003_37223__bin.36	FengQ_2015__SID530018__bin.34	FengQ_2015__SID31160__bin.20	Obregon-TitoAJ_2015__SM29__bin.51	XieH_2016__YSZC12003_37222__bin.29	XieH_2016__YSZC12003_37754__bin.38	CosteaPI_2017__bugkiller-11-0-0__bin.27	CM_madagascar__A29_01_1FE__bin.20	CM_madagascar__A13_01_1FE__bin.7	YuJ_2015__SZAXPI003411-6__bin.62	ZellerG_2014__MMPU29365221ST__bin.37	SchirmerM_2016__G89165__bin.16	SchirmerM_2016__G88875__bin.38	XieH_2016__YSZC12003_37269__bin.56	FengQ_2015__SID530262__bin.9	XieH_2016__YSZC12003_37233__bin.69	BackhedF_2015__SID377_M__bin.66	CosteaPI_2017__bugkiller-11-2-0__bin.13	FengQ_2015__SID530348__bin.27
XieH_2016__YSZC12003_37406__bin.6	2130513.0	1713590.0	1676952.0	1160649.0	1249126.0	1311220.0	1726015.0	1720547.0	1513526.0	1105523.0	1615896.0	1345998.0	1523704.0	1769197.0	1440057.0	1216631.0	1095875.0	1689257.0	1715859.0	1496286.0	1928122.0	1693712.0	1496046.0	1442544.0	1515060.0	1308857.0	1850094.0	1469585.0	869588.0	1555638.0	1704289.0	1520074.0
NielsenHB_2014__V1_UC54_0__bin.7	1713590.0	2028173.0	1687129.0	1203079.0	1265069.0	1232737.0	1762450.0	1734403.0	1556937.0	1144250.0	1636817.0	1420103.0	1582953.0	1768736.0	1484240.0	1228763.0	1106114.0	1760311.0	1750678.0	1532955.0	1740838.0	1748683.0	1424981.0	1479736.0	1590509.0	1331310.0	1657268.0	1506966.0	857632.0	1597877.0	1741888.0	1583175.0
XieH_2016__YSZC12003_37232__bin.25	1676952.0	1687129.0	1983971.0	1149147.0	1259610.0	1191715.0	1695452.0	1698786.0	1505322.0	1106119.0	1627558.0	1340701.0	1522675.0	1760236.0	1422931.0	1284471.0	1091979.0	1735960.0	1748267.0	1478071.0	1694478.0	1721695.0	1402450.0	1436325.0	1495845.0	1307800.0	1644447.0	1439351.0	872991.0	1562886.0	1702173.0	1523749.0
FengQ_2015__SID530050__bin.53	1160649.0	1203079.0	1149147.0	1333808.0	874583.0	834309.0	1175236.0	1165771.0	1054861.0	913090.0	1123526.0	1094769.0	1136281.0	1190150.0	1140964.0	971490.0	775550.0	1182655.0	1175267.0	1040769.0	1163053.0	1165627.0	995178.0	1009592.0	1062430.0	939483.0	1099847.0	1082428.0	602102.0	1093838.0	1186776.0	1165881.0
LiuW_2016__SRR3992973__bin.13	1249126.0	1265069.0	1259610.0	874583.0	1554487.0	920498.0	1282964.0	1287755.0	1186103.0	836050.0	1265298.0	1010639.0	1176299.0	1306445.0	1037235.0	861175.0	923099.0	1300440.0	1304175.0	1129185.0	1270001.0	1301924.0	1091859.0	1101242.0	1173893.0	955769.0	1245735.0	1096687.0	713737.0	1151098.0	1302498.0	1136425.0
ZeeviD_2015__PNP_Main_223__bin.49	1311220.0	1232737.0	1191715.0	834309.0	920498.0	1625901.0	1238233.0	1218702.0	1078035.0	806575.0	1160993.0	967647.0	1099504.0	1243617.0	1039273.0	888243.0	818456.0	1216822.0	1227669.0	1086615.0	1331133.0	1222771.0	1085188.0	1059533.0	1117035.0	963350.0	1279606.0	1083991.0	646580.0	1119629.0	1220979.0	1101064.0
FengQ_2015__SID31446__bin.57	1726015.0	1762450.0	1695452.0	1175236.0	1282964.0	1238233.0	2029474.0	1764250.0	1524625.0	1132456.0	1645415.0	1367159.0	1542451.0	1791845.0	1456329.0	1227296.0	1109402.0	1741700.0	1764964.0	1553101.0	1742327.0	1765435.0	1431706.0	1503024.0	1549733.0	1359829.0	1678306.0	1499136.0	893038.0	1607589.0	1772511.0	1532971.0
FengQ_2015__SID532749__bin.26	1720547.0	1734403.0	1698786.0	1165771.0	1287755.0	1218702.0	1764250.0	2010685.0	1527705.0	1134972.0	1658031.0	1377293.0	1583808.0	1790674.0	1450384.0	1228817.0	1108419.0	1775721.0	1787596.0	1533744.0	1740236.0	1740362.0	1441700.0	1494613.0	1528192.0	1372580.0	1655454.0	1499498.0	894240.0	1623327.0	1762227.0	1547589.0
LiJ_2014__V1.FI15__bin.45	1513526.0	1556937.0	1505322.0	1054861.0	1186103.0	1078035.0	1524625.0	1527705.0	1804076.0	1019696.0	1496505.0	1300561.0	1423330.0	1565444.0	1297927.0	1086282.0	1015713.0	1582947.0	1577184.0	1341692.0	1537520.0	1558487.0	1265157.0	1303148.0	1446590.0	1198762.0	1478510.0	1335206.0	814304.0	1432438.0	1530883.0	1403998.0
FengQ_2015__SID31424__bin.6	1105523.0	1144250.0	1106119.0	913090.0	836050.0	806575.0	1132456.0	1134972.0	1019696.0	1258110.0	1107502.0	1053985.0	1098348.0	1179404.0	1081711.0	924926.0	730061.0	1155241.0	1164891.0	1020351.0	1104360.0	1111037.0	956880.0	981750.0	1021423.0	920134.0	1056885.0	1032134.0	597706.0	1089280.0	1155270.0	1121423.0
LiuW_2016__SRR3993018__bin.6	1615896.0	1636817.0	1627558.0	1123526.0	1265298.0	1160993.0	1645415.0	1658031.0	1496505.0	1107502.0	1935866.0	1311675.0	1518047.0	1712781.0	1388549.0	1145523.0	1084028.0	1676041.0	1684009.0	1450115.0	1665679.0	1648834.0	1366981.0	1403855.0	1478952.0	1256110.0	1568431.0	1391281.0	866356.0	1538999.0	1688766.0	1508458.0
FengQ_2015__SID530323__bin.24	1345998.0	1420103.0	1340701.0	1094769.0	1010639.0	967647.0	1367159.0	1377293.0	1300561.0	1053985.0	1311675.0	1558492.0	1309854.0	1385832.0	1308706.0	1111509.0	885105.0	1412820.0	1407044.0	1209946.0	1355526.0	1393280.0	1149723.0	1179723.0	1283519.0	1095261.0	1311326.0	1250532.0	704616.0	1291042.0	1378053.0	1357839.0
XieH_2016__YSZC12003_37546__bin.60	1523704.0	1582953.0	1522675.0	1136281.0	1176299.0	1099504.0	1542451.0	1583808.0	1423330.0	1098348.0	1518047.0	1309854.0	1864784.0	1584583.0	1353538.0	1123042.0	1010811.0	1602289.0	1578605.0	1370852.0	1532903.0	1552736.0	1289473.0	1338895.0	1404675.0	1213458.0	1459342.0	1354483.0	810516.0	1465439.0	1573474.0	1442373.0
XieH_2016__YSZC12003_37223__bin.36	1769197.0	1768736.0	1760236.0	1190150.0	1306445.0	1243617.0	1791845.0	1790674.0	1565444.0	1179404.0	1712781.0	1385832.0	1584583.0	2055413.0	1497982.0	1285954.0	1122776.0	1790662.0	1797026.0	1560545.0	1812489.0	1801597.0	1463778.0	1509483.0	1552784.0	1360495.0	1708388.0	1511720.0	906384.0	1660187.0	1771272.0	1571257.0
