	QinJ_2012__T2D-039__bin.23	QinJ_2012__T2D-062__bin.46	HMP_2012__SRS022071__bin.44	LiJ_2017__H3F516111__bin.34	QinJ_2012__DLF009__bin.6	HeQ_2017__SZAXPI029555-35__bin.92	QinJ_2012__T2D-025__bin.1	QinJ_2012__CON-010__bin.48	HeQ_2017__RSZAXPI003099-133__bin.45	HeQ_2017__SZAXPI029567-80__bin.62	QinJ_2012__T2D-015__bin.36	WenC_2017__RA114__bin.38	QinJ_2012__T2D-102__bin.21	LiJ_2017__H3F416103__bin.2	HeQ_2017__RSZAXPI003079-113__bin.35	YuJ_2015__SZAXPI015257-56__bin.54	YuJ_2015__SZAXPI017594-166__bin.13	YuJ_2015__SZAXPI015233-19__bin.46	QinJ_2012__T2D-091__bin.34	ChengpingW_2017__AS121raw__bin.39	ChengpingW_2017__AS128raw__bin.52	HMP_2012__SRS012273__bin.13	HeQ_2017__SZAXPI029601-32__bin.53	QinJ_2012__T2D-079__bin.15	QinJ_2012__CON-038__bin.47	QinJ_2012__T2D-095__bin.6	HeQ_2017__SZAXPI029569-84__bin.29	QinJ_2012__T2D-060__bin.14	WenC_2017__RA064__bin.5
QinJ_2012__T2D-039__bin.23	0.0	22735.0	26791.0	16846.0	25149.0	23334.0	19126.0	23885.0	18230.0	15414.0	25599.0	25777.0	23087.0	24145.0	25900.0	24673.0	33575.0	33170.0	16237.0	19588.0	16847.0	26109.0	26775.0	22029.0	26428.0	14599.0	20029.0	25694.0	23032.0
QinJ_2012__T2D-062__bin.46	22735.0	0.0	34414.0	22285.0	30491.0	26616.0	21516.0	28651.0	21274.0	19899.0	27536.0	29880.0	29050.0	28649.0	30912.0	32053.0	38412.0	37680.0	17186.0	22944.0	19588.0	33685.0	30554.0	21995.0	25583.0	15659.0	24021.0	29245.0	27217.0
HMP_2012__SRS022071__bin.44	26791.0	34414.0	0.0	31101.0	43199.0	40176.0	25275.0	39618.0	31004.0	28495.0	43384.0	42186.0	37037.0	40176.0	45516.0	43328.0	51054.0	53248.0	24660.0	33923.0	27878.0	540.0	45035.0	27021.0	32311.0	19089.0	33682.0	37569.0	40780.0
LiJ_2017__H3F516111__bin.34	16846.0	22285.0	31101.0	0.0	30379.0	28181.0	16402.0	30700.0	19389.0	18188.0	31070.0	29161.0	27264.0	30643.0	29422.0	29164.0	35163.0	36578.0	16409.0	25265.0	18977.0	29140.0	31549.0	19128.0	19182.0	13445.0	25548.0	25920.0	30153.0
QinJ_2012__DLF009__bin.6	25149.0	30491.0	43199.0	30379.0	0.0	36177.0	23651.0	39791.0	30939.0	27687.0	36353.0	41692.0	37585.0	42024.0	43954.0	39249.0	52549.0	53345.0	25128.0	32955.0	26161.0	40182.0	41803.0	26879.0	30297.0	16718.0	31089.0	37890.0	40059.0
HeQ_2017__SZAXPI029555-35__bin.92	23334.0	26616.0	40176.0	28181.0	36177.0	0.0	21265.0	37159.0	27129.0	25799.0	37489.0	37852.0	36098.0	38998.0	38618.0	38507.0	48360.0	46574.0	23524.0	31694.0	24256.0	38169.0	40320.0	24325.0	27356.0	17003.0	31953.0	35441.0	36233.0
QinJ_2012__T2D-025__bin.1	19126.0	21516.0	25275.0	16402.0	23651.0	21265.0	0.0	21849.0	17105.0	12909.0	25234.0	24568.0	21077.0	23943.0	25293.0	24458.0	30693.0	28702.0	11356.0	18848.0	15976.0	23881.0	24238.0	19455.0	20459.0	14176.0	19216.0	23958.0	21305.0
QinJ_2012__CON-010__bin.48	23885.0	28651.0	39618.0	30700.0	39791.0	37159.0	21849.0	0.0	28666.0	27109.0	39536.0	39178.0	35760.0	37666.0	41801.0	40083.0	49005.0	53577.0	23749.0	32006.0	24800.0	38020.0	42522.0	25200.0	30190.0	16128.0	31822.0	36157.0	37319.0
HeQ_2017__RSZAXPI003099-133__bin.45	18230.0	21274.0	31004.0	19389.0	30939.0	27129.0	17105.0	28666.0	0.0	26827.0	30477.0	27922.0	26018.0	29385.0	2091.0	29182.0	37847.0	38067.0	24650.0	22263.0	17337.0	29680.0	31823.0	17990.0	22439.0	11915.0	21933.0	26325.0	28891.0
HeQ_2017__SZAXPI029567-80__bin.62	15414.0	19899.0	28495.0	18188.0	27687.0	25799.0	12909.0	27109.0	26827.0	0.0	25307.0	27927.0	23334.0	25820.0	28155.0	27089.0	34017.0	35473.0	23605.0	21747.0	14952.0	26383.0	28838.0	14983.0	21455.0	10908.0	19324.0	25218.0	24377.0
