	QinJ_2012__T2D-039__bin.23	QinJ_2012__T2D-062__bin.46	HMP_2012__SRS022071__bin.44	LiJ_2017__H3F516111__bin.34	QinJ_2012__DLF009__bin.6	HeQ_2017__SZAXPI029555-35__bin.92	QinJ_2012__T2D-025__bin.1	QinJ_2012__CON-010__bin.48	HeQ_2017__RSZAXPI003099-133__bin.45	HeQ_2017__SZAXPI029567-80__bin.62	QinJ_2012__T2D-015__bin.36	WenC_2017__RA114__bin.38	QinJ_2012__T2D-102__bin.21	LiJ_2017__H3F416103__bin.2	HeQ_2017__RSZAXPI003079-113__bin.35	YuJ_2015__SZAXPI015257-56__bin.54	YuJ_2015__SZAXPI017594-166__bin.13	YuJ_2015__SZAXPI015233-19__bin.46	QinJ_2012__T2D-091__bin.34	ChengpingW_2017__AS121raw__bin.39	ChengpingW_2017__AS128raw__bin.52	HMP_2012__SRS012273__bin.13	HeQ_2017__SZAXPI029601-32__bin.53	QinJ_2012__T2D-079__bin.15	QinJ_2012__CON-038__bin.47	QinJ_2012__T2D-095__bin.6	HeQ_2017__SZAXPI029569-84__bin.29	QinJ_2012__T2D-060__bin.14	WenC_2017__RA064__bin.5
QinJ_2012__T2D-039__bin.23	1291246.0	1010090.0	1054524.0	702492.0	1151523.0	1100644.0	864815.0	1157069.0	842271.0	757669.0	1160028.0	1076813.0	907641.0	1040325.0	1139765.0	1084768.0	985826.0	1142847.0	659100.0	790752.0	826697.0	1027120.0	1151986.0	950090.0	1109208.0	854302.0	838189.0	1151909.0	980515.0
QinJ_2012__T2D-062__bin.46	1010090.0	1439630.0	1251784.0	882582.0	1327067.0	1295158.0	960281.0	1341010.0	920885.0	830597.0	1339776.0	1288803.0	1078069.0	1257772.0	1327385.0	1297023.0	1136894.0	1340380.0	706743.0	979254.0	1002654.0	1203442.0	1321589.0	1035988.0	1176181.0	940813.0	1024957.0	1309174.0	1182552.0
HMP_2012__SRS022071__bin.44	1054524.0	1251784.0	1843419.0	1103817.0	1647772.0	1573496.0	990400.0	1590419.0	1095684.0	1029583.0	1634002.0	1574270.0	1321917.0	1522995.0	1603773.0	1552343.0	1304285.0	1611809.0	927245.0	1185321.0	1178352.0	1604149.0	1599355.0	1082023.0	1292717.0	986170.0	1236829.0	1498791.0	1442852.0
LiJ_2017__H3F516111__bin.34	702492.0	882582.0	1103817.0	1320594.0	1193904.0	1161262.0	664639.0	1195688.0	747715.0	708473.0	1217784.0	1150556.0	975603.0	1183624.0	1182982.0	1144075.0	935066.0	1200274.0	607145.0	939829.0	878163.0	1030380.0	1187795.0	731753.0	879808.0	675178.0	911494.0	1045949.0	1139335.0
QinJ_2012__DLF009__bin.6	1151523.0	1327067.0	1647772.0	1193904.0	2055681.0	1713141.0	1049038.0	1762771.0	1235934.0	1128347.0	1820357.0	1717750.0	1426943.0	1668459.0	1782816.0	1693411.0	1397265.0	1782122.0	1009787.0	1289834.0	1273939.0	1547940.0	1769334.0	1162004.0	1392145.0	1080245.0	1336368.0	1659559.0	1554035.0
HeQ_2017__SZAXPI029555-35__bin.92	1100644.0	1295158.0	1573496.0	1161262.0	1713141.0	1913650.0	987631.0	1692953.0	1167464.0	1081459.0	1728755.0	1666893.0	1348482.0	1606905.0	1701013.0	1613563.0	1332712.0	1702074.0	979196.0	1269357.0	1240533.0	1482725.0	1716793.0	1099165.0	1331099.0	1029335.0	1262870.0	1601238.0	1498935.0
QinJ_2012__T2D-025__bin.1	864815.0	960281.0	990400.0	664639.0	1049038.0	987631.0	1157876.0	1053285.0	694818.0	619203.0	1052731.0	1004950.0	844847.0	978293.0	1052497.0	1030046.0	893124.0	1049177.0	518980.0	754884.0	813131.0	960589.0	1038169.0	901399.0	999893.0	788273.0	802229.0	1053413.0	923569.0
QinJ_2012__CON-010__bin.48	1157069.0	1341010.0	1590419.0	1195688.0	1762771.0	1692953.0	1053285.0	2028433.0	1218974.0	1159807.0	1794836.0	1682228.0	1385398.0	1637288.0	1772466.0	1685766.0	1405953.0	1784298.0	992711.0	1258693.0	1284001.0	1509308.0	1740803.0	1166325.0	1382212.0	1070575.0	1310453.0	1630482.0	1561824.0
HeQ_2017__RSZAXPI003099-133__bin.45	842271.0	920885.0	1095684.0	747715.0	1235934.0	1167464.0	694818.0	1218974.0	1457091.0	1145017.0	1238676.0	1152441.0	898343.0	1114704.0	1311065.0	1123433.0	1005812.0	1224456.0	1007698.0	824942.0	804161.0	1031147.0	1185954.0	772751.0	975676.0	727328.0	831188.0	1149251.0	1050968.0
HeQ_2017__SZAXPI029567-80__bin.62	757669.0	830597.0	1029583.0	708473.0	1128347.0	1081459.0	619203.0	1159807.0	1145017.0	1301759.0	1160445.0	1069297.0	835173.0	1040877.0	1119802.0	1051667.0	934070.0	1157340.0	953611.0	750118.0	742409.0	955386.0	1102831.0	700052.0	888055.0	662267.0	781139.0	1039237.0	976589.0
