	QinJ_2012__T2D-039__bin.23	QinJ_2012__T2D-062__bin.46	HMP_2012__SRS022071__bin.44	LiJ_2017__H3F516111__bin.34	QinJ_2012__DLF009__bin.6	HeQ_2017__SZAXPI029555-35__bin.92	QinJ_2012__T2D-025__bin.1	QinJ_2012__CON-010__bin.48	HeQ_2017__RSZAXPI003099-133__bin.45	HeQ_2017__SZAXPI029567-80__bin.62	QinJ_2012__T2D-015__bin.36	WenC_2017__RA114__bin.38	QinJ_2012__T2D-102__bin.21	LiJ_2017__H3F416103__bin.2	HeQ_2017__RSZAXPI003079-113__bin.35	YuJ_2015__SZAXPI015257-56__bin.54	YuJ_2015__SZAXPI017594-166__bin.13	YuJ_2015__SZAXPI015233-19__bin.46	QinJ_2012__T2D-091__bin.34	ChengpingW_2017__AS121raw__bin.39	ChengpingW_2017__AS128raw__bin.52	HMP_2012__SRS012273__bin.13	HeQ_2017__SZAXPI029601-32__bin.53	QinJ_2012__T2D-079__bin.15	QinJ_2012__CON-038__bin.47	QinJ_2012__T2D-095__bin.6	HeQ_2017__SZAXPI029569-84__bin.29	QinJ_2012__T2D-060__bin.14	WenC_2017__RA064__bin.5
QinJ_2012__T2D-039__bin.23	1.0	0.7646529011512911	0.7959234723670007	0.53099564296811	0.8723155773570644	0.8343181702014953	0.654940266997923	0.8775895530363695	0.6381750650147223	0.5748362434423804	0.8785537380173879	0.8139703820960531	0.6850391017668206	0.7869763004106111	0.8626280352465758	0.820986086307334	0.7374667569154135	0.8593846563706684	0.497862529680634	0.597224696146203	0.6271849051226489	0.7752287325575452	0.8714148969290127	0.7187329137902461	0.8385543885518328	0.650304434631356	0.6336205494537834	0.8721924404799706	0.7415186571729941
QinJ_2012__T2D-062__bin.46	0.6858394170724422	1.0	0.8456131089238207	0.5975820176017449	0.9006314122378667	0.8811583531879719	0.6520876891979189	0.9115946458465022	0.6248904232337475	0.5631294151969604	0.9115119857185527	0.874476775282538	0.728672645054632	0.853777012148955	0.9005598660767002	0.8786771601036377	0.76303077874176	0.9048852830241103	0.4789820995672499	0.6642748483985469	0.682860179351639	0.8125400276459924	0.8967825066162833	0.7043427825205087	0.799231747046116	0.6426331765800936	0.6952730910025492	0.8890680244229421	0.802522175836847
HMP_2012__SRS022071__bin.44	0.5575145965187513	0.6603870308378073	1.0	0.5819165366094198	0.8704331462353376	0.8317805121895782	0.5235516179446995	0.8412634349542888	0.5775572455312655	0.54306047621295	0.8628629736375724	0.831110018937637	0.6970091986683441	0.8043852211569914	0.8453080932766778	0.8185957723122089	0.6798405571386645	0.8454730042383203	0.48962552734890985	0.6245991822803172	0.624097939752167	0.8699102048964452	0.843172387829354	0.5723072182721345	0.6837327813155881	0.5246126897900044	0.6526714762080676	0.7926694907668848	0.7605823743815161
LiJ_2017__H3F516111__bin.34	0.5191951500612603	0.6514470003649873	0.8122981022176384	1.0	0.881061855498359	0.8580085931028008	0.49086774587799126	0.8821696903060289	0.5515139399391487	0.5227079632347262	0.8986213779556775	0.8491595448714745	0.7181154843956584	0.873077569639117	0.8735160087051735	0.8442496331196416	0.6814380498472657	0.881191342683671	0.4473259760380556	0.692539872209021	0.6506057122779597	0.7581739732271993	0.8755499419200753	0.5396245931754953	0.6516961306805877	0.5010873894626205	0.670869320926795	0.772401661676488	0.8399114337941865
QinJ_2012__DLF009__bin.6	0.5479322910509948	0.6307282112351089	0.7805554461027756	0.5660046476082622	1.0	0.8157705402735153	0.4988064782424899	0.8381553363581217	0.5861780110824588	0.5354235409093142	0.8678408760892377	0.8153298104131915	0.6758626460039276	0.7911903646528815	0.8458812432473716	0.8046783523319037	0.6541462415617987	0.8409753264246738	0.4789940657135032	0.6114173356663802	0.6069900923343651	0.7334591310616774	0.840369201252529	0.5521892745031938	0.6624802194503915	0.5173599405744373	0.6349618447609332	0.7888719115465872	0.736483919440808
HeQ_2017__SZAXPI029555-35__bin.92	0.5629608340083088	0.6628913333159147	0.8012541478326758	0.592104616831709	0.8763169858647089	1.0	0.5049857601964831	0.8652543568573144	0.5958952786559716	0.5516473754343794	0.8837906618242625	0.8512742664541583	0.6858014788493194	0.8193279857863246	0.8687037859587698	0.8230637786429076	0.6711530321636663	0.8651007237478119	0.4993974864787186	0.6467551537637499	0.6355796514514148	0.7548694902411621	0.8760604081206073	0.5616701068638466	0.6812860240900895	0.529005826561806	0.6432299532307371	0.8182253808167637	0.7643518929793849
QinJ_2012__T2D-025__bin.1	0.7303795915970277	0.8107647105562253	0.8335305334940875	0.5598501048471511	0.8855758302270709	0.8346023235648722	1.0	0.8908000511281001	0.5853070622415527	0.523626018675575	0.8873981324425068	0.846707246717265	0.7114492398149715	0.8242247010906176	0.8871450828931596	0.8684764171638413	0.7448388255737229	0.8813335797615635	0.43840963971962454	0.6356777409670811	0.6884631860406467	0.8089881818087602	0.8756818519426951	0.7616912346399788	0.8458885061958276	0.668549136522391	0.6762494429455312	0.8890891598064042	0.7792406095298633
QinJ_2012__CON-010__bin.48	0.558649952943972	0.6469816848769468	0.7645315373985732	0.5743290510458072	0.8494143015815657	0.8162921821918692	0.50848906520452	1.0	0.586811592988282	0.5584103591294364	0.8653477832395746	0.8100094999440455	0.6653599108277178	0.7885998699488719	0.8532029403978342	0.8113075462684742	0.6689636778735113	0.8532305479155584	0.47768992123476595	0.6047461266899129	0.6207752486771808	0.7253323131698213	0.8372379072909976	0.5625647975555514	0.666535202296551	0.5198332900322564	0.6303540713447277	0.7859884945669885	0.7515678358614752
HeQ_2017__RSZAXPI003099-133__bin.45	0.5655384598491103	0.6174020702893642	0.7306887490211662	0.49984935738399316	0.8269867839414285	0.7826106948708076	0.46511370943887514	0.8169071114981837	1.0	0.7674126049780007	0.8291856857258743	0.7717561909311086	0.5986757175770079	0.7448532727194115	0.8983474607968892	0.7509832947976481	0.6643133476220772	0.8142175059759479	0.6746647944431747	0.5508777420216032	0.5399964724234794	0.6873057345080027	0.7920788749638834	0.5179916697035394	0.6542055369225396	0.4909871792496145	0.5553908438114024	0.7706629167292914	0.7014503555371628
HeQ_2017__SZAXPI029567-80__bin.62	0.5701938684503046	0.6227711888298832	0.7690271394321069	0.5302709641339142	0.8455174882601157	0.8109488776340321	0.46574980468735	0.8701288026431928	0.8589838825773435	1.0	0.8720031895304737	0.7999714232818824	0.6236476951570912	0.7797580043617904	0.8385937796473848	0.7870719541789225	0.6914129266630766	0.8618085221611681	0.7144225620871452	0.5595282997851369	0.5588261728937538	0.7136520661658571	0.8250321296030986	0.5262640780666774	0.665714621523646	0.5003683477510046	0.5852196912024422	0.7789606217433488	0.7314810191440966
