	QinJ_2012__T2D-039__bin.23	QinJ_2012__T2D-062__bin.46	HMP_2012__SRS022071__bin.44	LiJ_2017__H3F516111__bin.34	QinJ_2012__DLF009__bin.6	HeQ_2017__SZAXPI029555-35__bin.92	QinJ_2012__T2D-025__bin.1	QinJ_2012__CON-010__bin.48	HeQ_2017__RSZAXPI003099-133__bin.45	HeQ_2017__SZAXPI029567-80__bin.62	QinJ_2012__T2D-015__bin.36	WenC_2017__RA114__bin.38	QinJ_2012__T2D-102__bin.21	LiJ_2017__H3F416103__bin.2	HeQ_2017__RSZAXPI003079-113__bin.35	YuJ_2015__SZAXPI015257-56__bin.54	YuJ_2015__SZAXPI017594-166__bin.13	YuJ_2015__SZAXPI015233-19__bin.46	QinJ_2012__T2D-091__bin.34	ChengpingW_2017__AS121raw__bin.39	ChengpingW_2017__AS128raw__bin.52	HMP_2012__SRS012273__bin.13	HeQ_2017__SZAXPI029601-32__bin.53	QinJ_2012__T2D-079__bin.15	QinJ_2012__CON-038__bin.47	QinJ_2012__T2D-095__bin.6	HeQ_2017__SZAXPI029569-84__bin.29	QinJ_2012__T2D-060__bin.14	WenC_2017__RA064__bin.5
QinJ_2012__T2D-039__bin.23	1.0	0.9774921046639409	0.9745942245031882	0.9760196557398518	0.9781602278026579	0.978799684548319	0.9778842873909449	0.9793573244119409	0.978356134783223	0.9796560239365739	0.9779324292172258	0.9760617674563736	0.9745637316956814	0.9767909066878139	0.9772760174246445	0.9772550443965898	0.9659422656736585	0.9709759924119327	0.9753648915187376	0.9752286431144025	0.9796213122824928	0.9745803800919075	0.9767575300394276	0.9768137755370544	0.9761739908114618	0.9829111953384166	0.9761044346800065	0.9776944185695224	0.9765103032590017
QinJ_2012__T2D-062__bin.46	0.9774921046639409	1.0	0.972508036530264	0.9747502215091629	0.9770237674510782	0.979449611553185	0.9775940584058208	0.9786347603671859	0.9768983097780939	0.9760425332622198	0.979447310595204	0.9768156964252876	0.9730536728168605	0.9772224218697825	0.976712106886849	0.9752872539654269	0.966213208971109	0.9718885689132932	0.9756828153939975	0.9765699195510051	0.9804638489449002	0.9720094528859721	0.9768808608425161	0.9787690591010707	0.9782490960149841	0.9833558847507422	0.9765638948755899	0.9776614873194854	0.976984521610889
HMP_2012__SRS022071__bin.44	0.9745942245031882	0.972508036530264	1.0	0.9718241338917593	0.9737833875074949	0.9744670466273826	0.9744800080775444	0.9750895833110645	0.9717035203580594	0.9723237466042077	0.9734492369042388	0.9732028178139709	0.9719823559270363	0.9736203992790521	0.971619424943555	0.9720886427806226	0.9608567145984198	0.9669638275999204	0.973405087112899	0.9713807483373702	0.9763415346178391	0.999663372916107	0.9718417737150289	0.9750273330603878	0.975005356934271	0.9806432967946703	0.9727674561317692	0.9749337966400919	0.9717365329222956
LiJ_2017__H3F516111__bin.34	0.9760196557398518	0.9747502215091629	0.9718241338917593	1.0	0.9745549055870488	0.9757324359188538	0.9753219416856369	0.9743244056978074	0.9740689968771524	0.9743278854663481	0.974486444229847	0.9746548625186432	0.9720542064753799	0.9741108662886186	0.9751289537795165	0.9745086642047068	0.9623951678277255	0.9695252917250561	0.9729735071523277	0.9731174500893247	0.9783901166412158	0.9717191715677711	0.9734390193594012	0.9738600320053351	0.9781975158216338	0.9800867326838256	0.9719712910891349	0.9752186770100646	0.9735345618277328
QinJ_2012__DLF009__bin.6	0.9781602278026579	0.9770237674510782	0.9737833875074949	0.9745549055870488	1.0	0.9788826488887955	0.9774545821981663	0.9774270168955582	0.9749671098942176	0.9754623356112969	0.9800297414188536	0.9757287148886625	0.9736604755761092	0.9748126864370057	0.9753457451582216	0.9768225197545073	0.9623915291659062	0.9700665835447854	0.9751155441692159	0.9744502005684452	0.979464479853431	0.9740416295205241	0.9763735959406195	0.9768684100915315	0.9782371807534417	0.9845238811565895	0.9767361984124133	0.9771686333538007	0.9742225882943434
HeQ_2017__SZAXPI029555-35__bin.92	0.978799684548319	0.979449611553185	0.9744670466273826	0.9757324359188538	0.9788826488887955	1.0	0.978468679091685	0.9780507787280568	0.9767624526323724	0.9761442643687833	0.978314451729713	0.9772918837621851	0.9732306400827004	0.9757309859637004	0.9772970576944444	0.9761354220442586	0.9637130903000798	0.9726369123786628	0.9759762090531415	0.975031452932469	0.9804471142645943	0.9742575325835876	0.9765143497206711	0.9778695646240555	0.9794485609259717	0.9834815681969427	0.9746981082771782	0.9778665007950098	0.9758275041946448
QinJ_2012__T2D-025__bin.1	0.9778842873909449	0.9775940584058208	0.9744800080775444	0.9753219416856369	0.9774545821981663	0.978468679091685	1.0	0.9792563266352412	0.9753820424917029	0.9791522327895699	0.976029963969903	0.9755530125876909	0.9750522875739631	0.9755257371768989	0.975968577582644	0.9762554293691738	0.9656341112768216	0.972643319478029	0.9781186172877567	0.9750319254349012	0.9803524893282878	0.975139211462967	0.9766531268030543	0.9784168830895087	0.9795388106527398	0.9820163826491584	0.9760467397713122	0.9772567834268231	0.9769318805633364
QinJ_2012__CON-010__bin.48	0.9793573244119409	0.9786347603671859	0.9750895833110645	0.9743244056978074	0.9774270168955582	0.9780507787280568	0.9792563266352412	1.0	0.9764835016989698	0.9766262835109635	0.9779723607059364	0.9767106480215524	0.974187922892916	0.9769948842231788	0.9764164728688731	0.9762226785924025	0.9651446385476613	0.9699730650373424	0.9760766225014128	0.9745720362312336	0.9806853732979959	0.9748096478651144	0.9755733417279268	0.978393672432641	0.9781581985976102	0.9849351983747052	0.9757167941162331	0.9778243488735233	0.9761055022845083
HeQ_2017__RSZAXPI003099-133__bin.45	0.978356134783223	0.9768983097780939	0.9717035203580594	0.9740689968771524	0.9749671098942176	0.9767624526323724	0.9753820424917029	0.9764835016989698	1.0	0.9765706535361484	0.9753955029402361	0.9757714277780815	0.9710377884616455	0.97363874176463	0.9984051134001747	0.9740242631291763	0.962371695704565	0.9689110919461377	0.9755383061194921	0.9730126481619313	0.9784408843502731	0.9712165190802088	0.9731667501437661	0.9767195383765275	0.9770015865922704	0.9836181200228783	0.9736124679374581	0.9770937767293655	0.9725101049698944
HeQ_2017__SZAXPI029567-80__bin.62	0.9796560239365739	0.9760425332622198	0.9723237466042077	0.9743278854663481	0.9754623356112969	0.9761442643687833	0.9791522327895699	0.9766262835109635	0.9765706535361484	1.0	0.9781919866947594	0.9738828407823084	0.9720608784048335	0.9751939950637779	0.9748571622483261	0.9742418465160549	0.9635819585255923	0.9693495429173795	0.9752467200986565	0.9710085613196857	0.9798601579452836	0.9723849836610543	0.9738509345493552	0.9785973042002594	0.9758404603318488	0.9835293016260813	0.9752617651915985	0.9757341203209663	0.9750386293517539
