	CosteaPI_2017__thistle4-11-0-0__bin.41	NielsenHB_2014__O2_UC4_0__bin.8	XieH_2016__YSZC12003_36008__bin.105	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.19	CosteaPI_2017__mickey4-11-30-0__bin.26	NielsenHB_2014__MH0100__bin.17	LeChatelierE_2013__MH0155__bin.40	NielsenHB_2014__V1_UC14_0__bin.2	ZeeviD_2015__PNP_Main_199__bin.73	FengQ_2015__SID31188__bin.3	HMP_2012__SRS021948__bin.39	NielsenHB_2014__O2_UC57_2__bin.22	ZeeviD_2015__PNP_Main_645__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.56	ZeeviD_2015__PNP_Main_506__bin.7	LeChatelierE_2013__MH0173__bin.2	CosteaPI_2017__SID713B032-11-0-0__bin.11	NielsenHB_2014__V1_UC1_0__bin.33	CosteaPI_2017__mickey2-11-7-0__bin.55	ZeeviD_2015__PNP_Main_183__bin.2	RaymondF_2016__P25C90__bin.75	YuJ_2015__SZAXPI015269-94__bin.36	NielsenHB_2014__MH0123__bin.27	LeChatelierE_2013__MH0100__bin.1	NielsenHB_2014__MH0173__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.87	XieH_2016__YSZC12003_35564__bin.83	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.19	NielsenHB_2014__O2_UC14_2__bin.16	NielsenHB_2014__MH0155__bin.9	LeChatelierE_2013__MH0123__bin.40	XieH_2016__YSZC12003_37196__bin.9	KarlssonFH_2013__S488__bin.4
CosteaPI_2017__thistle4-11-0-0__bin.41	1.0	0.8525417085233393	0.9711869017351688	0.7905609900807717	0.8717054603948414	0.9244759258981603	0.6527841737867633	0.9370789789899138	0.6664903153119384	0.8195540095658115	0.6986619430206631	0.946685486997479	0.9607793159138177	0.9611819967399988	0.7558533299348213	0.958144755189335	0.9432070100734464	0.8288006751329596	0.7288779984192635	0.8304135403569723	0.8638103458985458	0.7542383227915206	0.4827864656404018	0.9366784400830208	0.9578834410361748	0.7856988332965636	0.9458779834258285	0.9555316136577342	0.9370318567655734	0.6435739208475145	0.5528507874766264	0.9024698471312205	0.8837858851802747
NielsenHB_2014__O2_UC4_0__bin.8	0.36187036100938613	1.0	0.8855758076071263	0.577920495746948	0.6696484095149083	0.8833538197462352	0.5852801486658982	0.8724075293022376	0.6013077362271301	0.7594316293244212	0.5001154633626568	0.8856858160077679	0.8794344295382557	0.8881787336487513	0.662518774160936	0.8912953352801486	0.8890115245164175	0.7471561464693667	0.7157364744216832	0.7319931703875568	0.7842644347386528	0.6681155651886144	0.42792722353343343	0.8894006451401744	0.8950310751002805	0.7100833154531802	0.8739130988184552	0.8875495946963222	0.935716000130919	0.5843737158110256	0.45261910909560366	0.8769315111335775	0.7677849944904883
XieH_2016__YSZC12003_36008__bin.105	0.34355233687630515	0.7380375451963789	1.0	0.546205625717914	0.6172575155554343	0.8797692976793383	0.5436779623517574	0.8683895086816447	0.5499213514815926	0.7269668948837548	0.4575449539171205	0.8926250723596677	0.881565787439877	0.9162264471175848	0.6255966831237555	0.8897011356300519	0.904523123270566	0.7470753055775287	0.6545072117205992	0.6888882827346045	0.7425215715155978	0.616859726806264	0.3865733795222898	0.8913362368123559	0.8931016611658165	0.6559801666318128	0.9169614091874805	0.9047125464844568	0.8694517940651434	0.5446515976711552	0.43729106619507857	0.8389205604502514	0.7251605551160937
VogtmannE_2016__MMRS11288076ST-27-0-0__bin.19	0.4427344480963462	0.7624979008228775	0.8647170309238777	1.0	0.7290034306551832	0.8626118561523882	0.5966089292997145	0.8497720893409784	0.6530947868435574	0.7972002974833865	0.6126598373437613	0.8535278170956985	0.8565194443778039	0.858216779022623	0.6940971139313389	0.8521867427968237	0.8565206439075882	0.7152640165055298	0.7155423074154931	0.7762349159129621	0.8266991339394957	0.7602283904709354	0.4290670057337524	0.8719274044574526	0.8582947484586042	0.7279382482067029	0.8494626106566227	0.854860494686083	0.8486097449799679	0.5965657462274788	0.48448528176954636	0.8236223400427033	0.7782549240697646
CosteaPI_2017__mickey4-11-30-0__bin.26	0.3941957505501658	0.7134304388928494	0.789075333973902	0.5886590289185756	1.0	0.7708946781142486	0.5271518457675975	0.778460426804699	0.5456114589467812	0.6860451600905061	0.5059598068995443	0.7842429795741251	0.7795103911601525	0.7862179586523261	0.6199322753618697	0.7793302312246226	0.7846924108111458	0.6642167498372749	0.6904503610947524	0.663081548523076	0.7101255695378607	0.6219421241050119	0.38735548461085456	0.7775809363667359	0.7785408207544245	0.6364730883674797	0.781161857235843	0.7853597774540496	0.7808712766946656	0.5302010042463503	0.42239174906239346	0.786118192666522	0.6965990453460621
NielsenHB_2014__MH0100__bin.17	0.32206915952986265	0.725021434663638	0.8664275336742484	0.5366127933414868	0.5938905425562954	1.0	0.5207477843385551	0.8307978619809137	0.5372269179080366	0.7022100276169504	0.4440337014847189	0.8545554536574737	0.8455465522091695	0.8488925237236395	0.6046366031673307	0.8558493686008481	0.9079447422206535	0.6941323867507289	0.6273002621408994	0.6656431257224172	0.7204270665515524	0.5948874689486531	0.37977522891623805	0.9804980005506974	0.8558195205052685	0.6345712582240831	0.8399343640378205	0.8383591307936087	0.847491901838568	0.5220133435911288	0.4285455246884791	0.8194055901005807	0.7314731005231625
LeChatelierE_2013__MH0155__bin.40	0.39644667145369594	0.8374166172353866	0.9333978541621137	0.6469891147117897	0.7079599970861561	0.9077976543556762	1.0	0.918755788663066	0.6438944564120176	0.7997239653252578	0.5314825221400102	0.9509069339077769	0.9403598597192303	0.9517472656697158	0.7138215062491545	0.9392411518008595	0.9351682744840936	0.7630758744133288	0.7669640348412475	0.7582146982610596	0.8184896402443467	0.6923631273870106	0.4399032707897558	0.9125326506613385	0.9429615060410228	0.7574407084803264	0.9217281695857138	0.9508718116824326	0.9210829612979093	0.9556211170428647	0.4678137325299449	0.8751157732613198	0.8025116293590585
NielsenHB_2014__V1_UC14_0__bin.2	0.3408330444334511	0.7475625289711398	0.89287358650052	0.5518995329560106	0.6261233011713104	0.8673758671865566	0.5502378068019367	1.0	0.5608111529637233	0.7316549873208659	0.46571725725593155	0.8876095060396305	0.8756712540072686	0.8942571897117884	0.6320636021205901	0.8786495845684614	0.8833293731327004	0.7191690590173769	0.6623758866629532	0.708971217781171	0.750626555677175	0.6305428850775744	0.39409397750865727	0.8742728487346185	0.8815009290241157	0.6693164953392983	0.8701072370394318	0.8807865347984777	0.8696351291869383	0.5500103224901741	0.4433303079997351	0.8321368333716369	0.7414352546149322
ZeeviD_2015__PNP_Main_199__bin.73	0.3714861835052088	0.7896019923067923	0.8664815394056029	0.650005611122917	0.6724966631726483	0.85951419614098	0.5909467516373734	0.8594091368182784	1.0	0.874542454711075	0.5495927757389372	0.8704451411257106	0.8661806877087755	0.8681051834837193	0.6733502701695993	0.8685648180205391	0.8658905807154064	0.720357153942948	0.7415110873401128	0.8795005384290289	0.9458287867319627	0.7440886223141225	0.42482527918321156	0.868668683487301	0.8676025701330672	0.723562657141288	0.8625239069651943	0.8646501643939629	0.8566787882839754	0.5901874592596661	0.47823361850572216	0.8530351399557319	0.7676804095403416
FengQ_2015__SID31188__bin.3	0.3353708988661622	0.7321483665584485	0.8409541907119267	0.5825152685940271	0.6208094633729042	0.8248239992146579	0.5388560299551934	0.8231682946154979	0.6420662912918177	1.0	0.5009588887408581	0.8303538246863891	0.8281397909026527	0.833422443956722	0.6205938448809014	0.8288427422464993	0.8361737709745956	0.7145386465469488	0.6616463786611319	0.7955419562031512	0.8800091856983585	0.6642197765982063	0.3953934774529671	0.8302118320209237	0.8295930244788343	0.6776319479991304	0.827558672771767	0.8254962731307806	0.8174123326765442	0.5411024941625238	0.43676242698772205	0.8251158730270031	0.7035578804176338
