	CosteaPI_2017__thistle4-11-0-0__bin.41	NielsenHB_2014__O2_UC4_0__bin.8	XieH_2016__YSZC12003_36008__bin.105	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.19	CosteaPI_2017__mickey4-11-30-0__bin.26	NielsenHB_2014__MH0100__bin.17	LeChatelierE_2013__MH0155__bin.40	NielsenHB_2014__V1_UC14_0__bin.2	ZeeviD_2015__PNP_Main_199__bin.73	FengQ_2015__SID31188__bin.3	HMP_2012__SRS021948__bin.39	NielsenHB_2014__O2_UC57_2__bin.22	ZeeviD_2015__PNP_Main_645__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.56	ZeeviD_2015__PNP_Main_506__bin.7	LeChatelierE_2013__MH0173__bin.2	CosteaPI_2017__SID713B032-11-0-0__bin.11	NielsenHB_2014__V1_UC1_0__bin.33	CosteaPI_2017__mickey2-11-7-0__bin.55	ZeeviD_2015__PNP_Main_183__bin.2	RaymondF_2016__P25C90__bin.75	YuJ_2015__SZAXPI015269-94__bin.36	NielsenHB_2014__MH0123__bin.27	LeChatelierE_2013__MH0100__bin.1	NielsenHB_2014__MH0173__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.87	XieH_2016__YSZC12003_35564__bin.83	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.19	NielsenHB_2014__O2_UC14_2__bin.16	NielsenHB_2014__MH0155__bin.9	LeChatelierE_2013__MH0123__bin.40	XieH_2016__YSZC12003_37196__bin.9	KarlssonFH_2013__S488__bin.4
CosteaPI_2017__thistle4-11-0-0__bin.41	1.0	0.8647420807889117	0.9781631328568277	0.8108471076592891	0.8863369110525178	0.9390281255421733	0.6615082110475913	0.9501810992758171	0.6835057221373784	0.8395209811703875	0.71575231702119	0.9601924300288517	0.9746225402734374	0.9696125910583437	0.769533768428538	0.9690599758819888	0.9578663056818693	0.8361153295021537	0.7412947045329438	0.8518113140460641	0.8856407872838535	0.7744344797599337	0.4886446148936216	0.9519289054149862	0.9689485960790025	0.8000025703031458	0.9536381570069676	0.9645426681031806	0.9508236750622763	0.6526856454995063	0.5600711973971397	0.9179623493427521	0.8972435640680188
NielsenHB_2014__O2_UC4_0__bin.8	0.36704893828255974	1.0	0.8980503965757385	0.5934762290938581	0.6790909487633601	0.8960102407820234	0.5932353016048498	0.883871131977351	0.6156788336563883	0.7780694162099652	0.5127164256179563	0.8975339935049585	0.8915589917775539	0.8997914386189491	0.6723313416660909	0.9010278966757461	0.9023852730572153	0.7573441971932402	0.7256345029984108	0.7504182137545049	0.8038313834874663	0.6869070001709221	0.43306852523283595	0.9022088959520546	0.9048636441328247	0.7224878990759295	0.8857849144843788	0.8992223042486881	0.9380498147131235	0.5924279672265882	0.45857501845595483	0.8886424054200502	0.7789767582251735
XieH_2016__YSZC12003_36008__bin.105	0.3460201425068723	0.7484338488675523	1.0	0.5615602714358886	0.6266892762214766	0.8938692040285013	0.550720717444211	0.8812672564547854	0.5633991919963388	0.7458349623729728	0.4692429739141504	0.9050936659908047	0.8943268505132611	0.9255460692410039	0.6355088210602244	0.9003739971935056	0.9190200606760439	0.753162609979118	0.6647171229493043	0.7072744575676847	0.7620897472033556	0.6349988937684309	0.3916885639901924	0.9058218088250002	0.903977584414561	0.6673948095008623	0.9252384459416455	0.9139154839081192	0.8824575919308741	0.5518367990204547	0.44337837059666796	0.8526590473073111	0.7359326744436261
VogtmannE_2016__MMRS11288076ST-27-0-0__bin.19	0.454095194683684	0.7830218554326704	0.8890255020032147	1.0	0.7483422498380635	0.8879447256675383	0.6125158937696423	0.8730561619845021	0.6690653263920543	0.8163543890794809	0.6256039632464074	0.8775831873905429	0.88106902094379	0.8824604754936065	0.7121200489408152	0.876105366696255	0.8812333565242425	0.7355108797351438	0.7342621692296619	0.795679293716863	0.8470047741285416	0.7771273660724995	0.4386212604658974	0.8978936256987261	0.8825708322337643	0.7439243816423962	0.873709905716959	0.8788199025981815	0.8728186550872058	0.612692224647938	0.49606914089676846	0.846680901086774	0.8000551783700789
CosteaPI_2017__mickey4-11-30-0__bin.26	0.40081226947277065	0.7234903372284041	0.8011324892291479	0.6042748272014382	1.0	0.7837286520162415	0.5347611815392245	0.7890278724855098	0.5587757260639122	0.7029966602609801	0.5188644887332238	0.7967330998357252	0.7913941666924961	0.7981162632117286	0.6290235718935003	0.791254688032731	0.7977133248612962	0.675111582927812	0.6916707993676967	0.6802393608777857	0.7281183166475529	0.6400491662275671	0.39182751913957165	0.7908498124786908	0.7902957722468462	0.6478686885906456	0.7942621966339151	0.797371408424511	0.791878467594458	0.5381144809844094	0.42750402938350435	0.7971156975482752	0.7078871307689923
NielsenHB_2014__MH0100__bin.17	0.3271388585640529	0.7354093181277185	0.8803136139402545	0.5523718416051112	0.6037777242170285	1.0	0.5289955593495802	0.8436206038418976	0.5508428729090477	0.7206166019584828	0.455766241654659	0.8669595759779541	0.8587953756345519	0.8614496175339653	0.6148789771654607	0.8687527003198969	0.9200653076331281	0.7047471157412141	0.6376702367476321	0.6834430375212948	0.7397999729874735	0.6128664693210081	0.38461285900729714	0.9807860346730403	0.8686348003423576	0.6462045534762212	0.8533040722503001	0.8508169796861323	0.8599131868140069	0.5304394609732419	0.43442709192243373	0.8329155843622843	0.7412140265155557
LeChatelierE_2013__MH0155__bin.40	0.4017449241880262	0.8487988198932285	0.9454890054426441	0.6642393306484343	0.7181792638381568	0.9221756527530621	1.0	0.9319370297524273	0.6592714869969717	0.8191972880438741	0.5444035985971923	0.9608543286191502	0.9522780015193615	0.9621993797675169	0.7249565525064261	0.9512022207653003	0.9502799371442249	0.7731234325080911	0.7779065592707065	0.7772015131175007	0.8388748399987512	0.7119769390070037	0.4459117729699354	0.9272202449710176	0.9550448523825877	0.770805365635374	0.9340820871447452	0.9613109175486247	0.9337789953482564	0.9557668092368851	0.4741136190981653	0.888097988407064	0.8152675012748067
NielsenHB_2014__V1_UC14_0__bin.2	0.34559852914253214	0.7573856443376272	0.9061144199344814	0.5670217862971865	0.634622800627919	0.8807631631226117	0.5581319798536154	1.0	0.5747352183888346	0.7506491482971787	0.477517616400684	0.8997690099368575	0.8883223421535441	0.9066940374959587	0.6416607912870392	0.8912025116760998	0.8977442437509981	0.7294331200018698	0.671781428087301	0.7273172042801329	0.7701099637349497	0.6494645938587026	0.39890542651360816	0.8876102850954928	0.8941294245503874	0.6809213114626385	0.8831034469326623	0.8929133183494923	0.8815803927220601	0.5580003194129035	0.4489052317496426	0.844188048504018	0.7519751013746441
ZeeviD_2015__PNP_Main_199__bin.73	0.38097017509091213	0.8084732731470758	0.8877178488626134	0.6659006091053005	0.688722359250354	0.8812984854743547	0.6050593227016482	0.8807469240301711	1.0	0.8876665130572025	0.562720415652884	0.89203125037308	0.8876653192012626	0.8903741783286494	0.6886280446311105	0.8898584325626595	0.88739431390293	0.7384178066001131	0.7592768575801495	0.885344463254308	0.9531733884735597	0.7638433565498518	0.4331763014820528	0.8910307990955347	0.8885248954779125	0.7390004082987314	0.8839918244745243	0.8864559431342539	0.8782087863021745	0.604253469942289	0.4884864533166512	0.8753769600129891	0.7880046130593513
FengQ_2015__SID31188__bin.3	0.34354161261596067	0.7501165742253512	0.8627807422885712	0.596511187619642	0.6361490537328294	0.8464445737765842	0.5519772040417072	0.8445381907680225	0.6517016330909524	1.0	0.5127039610694677	0.8513450737310063	0.8489653818375604	0.8556302721350788	0.6354872977919264	0.8498839516734099	0.85815195669399	0.7329091667660032	0.6775188797655193	0.8071239999158561	0.8936659000231395	0.6812106890676165	0.40316012565474396	0.8519375863350466	0.8507324016744616	0.6921318533373535	0.8482212350907701	0.8471895970213095	0.8383422268657135	0.5542087677841431	0.4456299565958223	0.8465243350886665	0.7223315896867747
