	CosteaPI_2017__thistle4-11-0-0__bin.41	NielsenHB_2014__O2_UC4_0__bin.8	XieH_2016__YSZC12003_36008__bin.105	VogtmannE_2016__MMRS11288076ST-27-0-0__bin.19	CosteaPI_2017__mickey4-11-30-0__bin.26	NielsenHB_2014__MH0100__bin.17	LeChatelierE_2013__MH0155__bin.40	NielsenHB_2014__V1_UC14_0__bin.2	ZeeviD_2015__PNP_Main_199__bin.73	FengQ_2015__SID31188__bin.3	HMP_2012__SRS021948__bin.39	NielsenHB_2014__O2_UC57_2__bin.22	ZeeviD_2015__PNP_Main_645__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES59__bin.56	ZeeviD_2015__PNP_Main_506__bin.7	LeChatelierE_2013__MH0173__bin.2	CosteaPI_2017__SID713B032-11-0-0__bin.11	NielsenHB_2014__V1_UC1_0__bin.33	CosteaPI_2017__mickey2-11-7-0__bin.55	ZeeviD_2015__PNP_Main_183__bin.2	RaymondF_2016__P25C90__bin.75	YuJ_2015__SZAXPI015269-94__bin.36	NielsenHB_2014__MH0123__bin.27	LeChatelierE_2013__MH0100__bin.1	NielsenHB_2014__MH0173__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.87	XieH_2016__YSZC12003_35564__bin.83	Bengtsson-PalmeJ_2015__TRAVELRES60__bin.19	NielsenHB_2014__O2_UC14_2__bin.16	NielsenHB_2014__MH0155__bin.9	LeChatelierE_2013__MH0123__bin.40	XieH_2016__YSZC12003_37196__bin.9	KarlssonFH_2013__S488__bin.4
CosteaPI_2017__thistle4-11-0-0__bin.41	466871.0	403723.0	456676.0	378561.0	413805.0	438405.0	308839.0	443612.0	319109.0	391948.0	334164.0	448286.0	455023.0	452684.0	359273.0	452426.0	447200.0	390358.0	346089.0	397686.0	413480.0	361561.0	228134.0	444428.0	452374.0	373498.0	445226.0	450317.0	443912.0	304720.0	261481.0	428570.0	418897.0
NielsenHB_2014__O2_UC4_0__bin.8	403723.0	1099916.0	987780.0	652774.0	746943.0	985536.0	652509.0	972184.0	677195.0	855811.0	563945.0	987212.0	980640.0	989695.0	739508.0	991055.0	992548.0	833015.0	798137.0	825397.0	884147.0	755540.0	476339.0	992354.0	995274.0	794676.0	974289.0	989069.0	1031776.0	651621.0	504394.0	977432.0	856809.0
XieH_2016__YSZC12003_36008__bin.105	456676.0	987780.0	1319796.0	741145.0	827102.0	1179725.0	726839.0	1163093.0	743572.0	984350.0	619305.0	1194539.0	1180329.0	1221532.0	838742.0	1188310.0	1212919.0	994021.0	877291.0	933458.0	1005803.0	838069.0	516949.0	1195500.0	1193066.0	880825.0	1221126.0	1206182.0	1164664.0	728312.0	585169.0	1125336.0	971281.0
VogtmannE_2016__MMRS11288076ST-27-0-0__bin.19	378561.0	652774.0	741145.0	833660.0	623863.0	740244.0	510630.0	727832.0	557773.0	680562.0	521541.0	731606.0	734512.0	735672.0	593666.0	730374.0	734649.0	613166.0	612125.0	663326.0	706114.0	647860.0	365661.0	748538.0	735764.0	620180.0	728377.0	732637.0	727634.0	510777.0	413553.0	705844.0	666974.0
CosteaPI_2017__mickey4-11-30-0__bin.26	413805.0	746943.0	827102.0	623863.0	1032416.0	809134.0	552096.0	814605.0	576889.0	725785.0	535684.0	822560.0	817048.0	823988.0	649414.0	816904.0	823572.0	696996.0	714092.0	702290.0	751721.0	660797.0	404529.0	816486.0	815914.0	668870.0	820009.0	823219.0	817548.0	555558.0	441362.0	822955.0	730834.0
NielsenHB_2014__MH0100__bin.17	438405.0	985536.0	1179725.0	740244.0	809134.0	1340119.0	708917.0	1130552.0	738195.0	965712.0	610781.0	1161829.0	1150888.0	1154445.0	824011.0	1164232.0	1232997.0	944445.0	854554.0	915895.0	991420.0	821314.0	515427.0	1314370.0	1164074.0	865991.0	1143529.0	1140196.0	1152386.0	710852.0	582184.0	1116206.0	993315.0
LeChatelierE_2013__MH0155__bin.40	308839.0	652509.0	726839.0	510630.0	552096.0	708917.0	768744.0	716421.0	506811.0	629753.0	418507.0	738651.0	732058.0	739685.0	557306.0	731231.0	730522.0	594334.0	598011.0	597469.0	644880.0	547328.0	342792.0	712795.0	734185.0	592552.0	718070.0	739002.0	717837.0	734740.0	364472.0	682720.0	626732.0
NielsenHB_2014__V1_UC14_0__bin.2	443612.0	972184.0	1163093.0	727832.0	814605.0	1130552.0	716421.0	1283605.0	737733.0	963537.0	612944.0	1154948.0	1140255.0	1163837.0	823639.0	1143952.0	1152349.0	936304.0	862302.0	933588.0	988517.0	833656.0	512037.0	1139341.0	1147709.0	874034.0	1133556.0	1146148.0	1131601.0	716252.0	576217.0	1083604.0	965239.0
ZeeviD_2015__PNP_Main_199__bin.73	319109.0	677195.0	743572.0	557773.0	576889.0	738195.0	506811.0	737733.0	837622.0	743529.0	471347.0	747185.0	743528.0	745797.0	576810.0	745365.0	743301.0	618515.0	635987.0	741584.0	798399.0	639812.0	362838.0	746347.0	744248.0	619003.0	740451.0	742515.0	735607.0	506136.0	409167.0	733235.0	660050.0
FengQ_2015__SID31188__bin.3	391948.0	855811.0	984350.0	680562.0	725785.0	965712.0	629753.0	963537.0	743529.0	1140904.0	584946.0	971303.0	968588.0	976192.0	725030.0	969636.0	979069.0	836179.0	772984.0	920851.0	1019587.0	777196.0	459967.0	971979.0	970604.0	789656.0	967739.0	966562.0	956468.0	632299.0	508421.0	965803.0	824111.0
HMP_2012__SRS021948__bin.39	334164.0	563945.0	619305.0	521541.0	535684.0	610781.0	418507.0	612944.0	471347.0	584946.0	688867.0	617108.0	614421.0	621397.0	500571.0	614865.0	616105.0	514395.0	508885.0	587079.0	616171.0	562848.0	315784.0	616215.0	616463.0	541908.0	619136.0	618196.0	604647.0	415768.0	348409.0	607185.0	553272.0
NielsenHB_2014__O2_UC57_2__bin.22	448286.0	987212.0	1194539.0	731606.0	822560.0	1161829.0	738651.0	1154948.0	747185.0	971303.0	617108.0	1295296.0	1191439.0	1206634.0	826954.0	1164971.0	1199517.0	960177.0	871697.0	927611.0	998149.0	831112.0	514256.0	1168406.0	1173389.0	870986.0	1184143.0	1192514.0	1146908.0	731965.0	580086.0	1115772.0	960301.0
ZeeviD_2015__PNP_Main_645__bin.21	455023.0	980640.0	1180329.0	734512.0	817048.0	1150888.0	732058.0	1140255.0	743528.0	968588.0	614421.0	1191439.0	1273518.0	1178928.0	832826.0	1177812.0	1189908.0	963802.0	867999.0	925277.0	994352.0	831411.0	515131.0	1165267.0	1177567.0	859291.0	1169444.0	1162091.0	1151748.0	726948.0	583217.0	1108671.0	954436.0
Bengtsson-PalmeJ_2015__TRAVELRES59__bin.56	452684.0	989695.0	1221532.0	735672.0	823988.0	1154445.0	739685.0	1163837.0	745797.0	976192.0	621397.0	1206634.0	1178928.0	1352653.0	839247.0	1186741.0	1205471.0	968396.0	877594.0	936842.0	1000174.0	835661.0	523494.0	1170310.0	1188493.0	873033.0	1208619.0	1325495.0	1158144.0	733982.0	587885.0	1111651.0	971717.0
