	NielsenHB_2014__O2_UC48_0__bin.13	LiJ_2014__V1.FI32__bin.6	LeChatelierE_2013__MH0243__bin.6	LeChatelierE_2013__MH0002__bin.19	ZeeviD_2015__PNP_Main_46__bin.20	RaymondF_2016__P19E90__bin.32	ZeeviD_2015__PNP_Main_78__bin.43	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	CosteaPI_2017__pluto1-11-7-0__bin.19	LiJ_2014__V1.FI06__bin.52	YuJ_2015__SZAXPI015216-169__bin.77	ZellerG_2014__CCIS38765456ST-20-0__bin.95	XieH_2016__YSZC12003_36051__bin.32	NielsenHB_2014__O2_UC55_0__bin.10	YuJ_2015__SZAXPI003420-4__bin.43	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.87	LeChatelierE_2013__MH0407__bin.49	NielsenHB_2014__MH0002__bin.1	ZellerG_2014__CCIS74239020ST-4-0__bin.66	XieH_2016__YSZC12003_37299R1__bin.50	NielsenHB_2014__V1_UC55_4__bin.92	LiJ_2014__O2.UC11-1__bin.29	LiJ_2014__O2.UC48-1__bin.79	HeQ_2017__SZAXPI029557-42__bin.27	CosteaPI_2017__pluto1-11-30-0__bin.35	NielsenHB_2014__O2_UC55_2__bin.24	LiJ_2014__V1.FI09__bin.41	QinJ_2012__T2D-098__bin.51	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.40	LeChatelierE_2013__MH0418__bin.11	LiJ_2014__O2.UC1-1__bin.9	RaymondF_2016__P19E7__bin.83	NielsenHB_2014__O2_UC11_2__bin.25	QinN_2014__LD-33__bin.23	ChengpingW_2017__AS115raw__bin.24	ZellerG_2014__CCIS81887263ST-4-0__bin.13	LeChatelierE_2013__MH0130__bin.13	RaymondF_2016__P19E0__bin.109	ZeeviD_2015__PNP_Main_135__bin.3	VatanenT_2016__G80433__bin.6	NielsenHB_2014__MH0130__bin.27
NielsenHB_2014__O2_UC48_0__bin.13	0.0	46589.0	47911.0	47284.0	55942.0	58567.0	51339.0	58842.0	50512.0	59986.0	48707.0	60600.0	50621.0	53865.0	41399.0	63134.0	62165.0	40525.0	62892.0	49010.0	1001.0	62992.0	639.0	65823.0	50774.0	57040.0	64310.0	37005.0	60994.0	54920.0	62943.0	46922.0	56072.0	32130.0	59774.0	64775.0	42470.0	50628.0	45131.0	55101.0	52605.0
LiJ_2014__V1.FI32__bin.6	46589.0	0.0	52692.0	51454.0	38978.0	40697.0	60452.0	48187.0	55842.0	39985.0	40323.0	48366.0	52514.0	42599.0	33949.0	46716.0	48592.0	43651.0	39804.0	55356.0	58500.0	39526.0	41416.0	47633.0	56125.0	43337.0	40917.0	26870.0	47319.0	42484.0	41624.0	34459.0	33693.0	35547.0	45686.0	48036.0	32056.0	37999.0	38522.0	39900.0	39378.0
LeChatelierE_2013__MH0243__bin.6	47911.0	52692.0	0.0	58681.0	69034.0	70333.0	66992.0	74475.0	63004.0	74100.0	63431.0	75096.0	63027.0	68798.0	49881.0	80682.0	80303.0	51163.0	74759.0	64398.0	63638.0	77223.0	41592.0	82468.0	62578.0	72556.0	77023.0	44612.0	77853.0	72950.0	79706.0	53309.0	64654.0	41378.0	75564.0	81481.0	54161.0	62159.0	58289.0	66965.0	66602.0
LeChatelierE_2013__MH0002__bin.19	47284.0	51454.0	58681.0	0.0	64686.0	66095.0	61714.0	69724.0	60880.0	69203.0	57586.0	70317.0	56599.0	63387.0	44447.0	74483.0	71539.0	2011.0	72968.0	58806.0	61921.0	71079.0	41682.0	76950.0	60575.0	66736.0	72303.0	42166.0	72482.0	64662.0	74246.0	51334.0	63320.0	35349.0	71702.0	75163.0	54593.0	58917.0	55392.0	62158.0	64539.0
ZeeviD_2015__PNP_Main_46__bin.20	55942.0	38978.0	69034.0	64686.0	0.0	57207.0	72882.0	55129.0	66432.0	60677.0	45914.0	59207.0	64302.0	43284.0	37345.0	47879.0	47291.0	57069.0	58795.0	67017.0	71962.0	61833.0	50442.0	44604.0	66520.0	44255.0	60807.0	22607.0	53756.0	43444.0	63873.0	45429.0	54689.0	35790.0	43972.0	47411.0	34285.0	49059.0	42590.0	37182.0	42557.0
RaymondF_2016__P19E90__bin.32	58567.0	40697.0	70333.0	66095.0	57207.0	0.0	77061.0	62125.0	71584.0	35487.0	50247.0	62005.0	72982.0	58269.0	41469.0	65245.0	68621.0	56046.0	29454.0	71851.0	75078.0	27738.0	51050.0	66989.0	71728.0	60315.0	27411.0	39880.0	66220.0	60399.0	27619.0	474.0	23546.0	45502.0	61813.0	66776.0	45249.0	619.0	49117.0	54669.0	56131.0
ZeeviD_2015__PNP_Main_78__bin.43	51339.0	60452.0	66992.0	61714.0	72882.0	77061.0	0.0	82522.0	67623.0	78578.0	65548.0	79269.0	66410.0	74081.0	50995.0	86755.0	86049.0	52828.0	80090.0	70170.0	67271.0	81480.0	43947.0	90701.0	67691.0	77374.0	81485.0	47943.0	83785.0	75130.0	83089.0	58130.0	70543.0	44507.0	79625.0	86973.0	57109.0	68608.0	61793.0	72188.0	69750.0
VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	58842.0	48187.0	74475.0	69724.0	55129.0	62125.0	82522.0	0.0	72318.0	65441.0	51189.0	63223.0	69994.0	54889.0	39770.0	66347.0	69121.0	62314.0	65431.0	76014.0	79943.0	70333.0	51352.0	69952.0	73174.0	58405.0	65999.0	38058.0	64784.0	60051.0	68542.0	48121.0	58651.0	47692.0	62159.0	69149.0	45012.0	57161.0	48985.0	55938.0	54881.0
CosteaPI_2017__pluto1-11-7-0__bin.19	50512.0	55842.0	63004.0	60880.0	66432.0	71584.0	67623.0	72318.0	0.0	74977.0	60469.0	73326.0	59382.0	67460.0	47921.0	80006.0	79226.0	54048.0	73653.0	63540.0	66917.0	77518.0	42642.0	80597.0	1023.0	71154.0	76100.0	46906.0	77339.0	67173.0	80027.0	56052.0	65454.0	41505.0	75676.0	80762.0	53683.0	63149.0	57003.0	65190.0	64783.0
LiJ_2014__V1.FI06__bin.52	59986.0	39985.0	74100.0	69203.0	60677.0	35487.0	78578.0	65441.0	74977.0	0.0	53016.0	67672.0	71975.0	60853.0	43854.0	67860.0	70752.0	58397.0	32627.0	74013.0	77928.0	35838.0	51179.0	69651.0	74683.0	63955.0	36605.0	42314.0	66409.0	61586.0	37290.0	28123.0	31606.0	46012.0	66012.0	68278.0	47424.0	30840.0	50712.0	59025.0	58140.0
YuJ_2015__SZAXPI015216-169__bin.77	48707.0	40323.0	63431.0	57586.0	45914.0	50247.0	65548.0	51189.0	60469.0	53016.0	0.0	53096.0	57717.0	46037.0	36998.0	54706.0	56783.0	50116.0	52396.0	61491.0	65020.0	54345.0	41823.0	57284.0	60091.0	47693.0	53456.0	33819.0	55114.0	49151.0	56463.0	38458.0	47732.0	41357.0	53131.0	54635.0	36422.0	43641.0	38816.0	45675.0	44486.0
ZellerG_2014__CCIS38765456ST-20-0__bin.95	60600.0	48366.0	75096.0	70317.0	59207.0	62005.0	79269.0	63223.0	73326.0	67672.0	53096.0	0.0	72045.0	58498.0	44609.0	67101.0	70854.0	60480.0	68564.0	76212.0	79994.0	69843.0	54381.0	71042.0	73941.0	61398.0	69697.0	41565.0	67302.0	59479.0	71715.0	48551.0	61112.0	45227.0	65414.0	69488.0	49573.0	55927.0	48713.0	57962.0	57973.0
XieH_2016__YSZC12003_36051__bin.32	50621.0	52514.0	63027.0	56599.0	64302.0	72982.0	66410.0	69994.0	59382.0	71975.0	57717.0	72045.0	0.0	65691.0	49788.0	74358.0	76526.0	49782.0	70702.0	61485.0	65841.0	74564.0	44390.0	77066.0	59152.0	67482.0	74614.0	42767.0	75069.0	66883.0	78467.0	56588.0	64551.0	38262.0	70981.0	75185.0	53046.0	63934.0	56644.0	62784.0	63621.0
NielsenHB_2014__O2_UC55_0__bin.10	53865.0	42599.0	68798.0	63387.0	43284.0	58269.0	74081.0	54889.0	67460.0	60853.0	46037.0	58498.0	65691.0	0.0	37544.0	50007.0	51548.0	54785.0	61461.0	68199.0	71914.0	62073.0	50721.0	50331.0	68929.0	1173.0	62407.0	27989.0	55975.0	45391.0	65005.0	47226.0	54903.0	38629.0	48682.0	53121.0	36698.0	52603.0	44230.0	42444.0	44471.0
YuJ_2015__SZAXPI003420-4__bin.43	41399.0	33949.0	49881.0	44447.0	37345.0	41469.0	50995.0	39770.0	47921.0	43854.0	36998.0	44609.0	49788.0	37544.0	0.0	45059.0	46601.0	38645.0	44772.0	49042.0	49748.0	45141.0	31572.0	47012.0	49165.0	39198.0	45823.0	25035.0	44354.0	37093.0	47927.0	33163.0	39292.0	30672.0	41598.0	47465.0	31342.0	35981.0	31428.0	37724.0	37015.0
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.87	63134.0	46716.0	80682.0	74483.0	47879.0	65245.0	86755.0	66347.0	80006.0	67860.0	54706.0	67101.0	74358.0	50007.0	45059.0	0.0	62527.0	64856.0	69287.0	80933.0	83881.0	70778.0	54753.0	59755.0	78816.0	53342.0	69713.0	33061.0	61697.0	50981.0	72603.0	50770.0	59827.0	48901.0	56863.0	56171.0	36406.0	59086.0	50807.0	47598.0	44001.0
LeChatelierE_2013__MH0407__bin.49	62165.0	48592.0	80303.0	71539.0	47291.0	68621.0	86049.0	69121.0	79226.0	70752.0	56783.0	70854.0	76526.0	51548.0	46601.0	62527.0	0.0	61668.0	70434.0	80431.0	85166.0	73663.0	54618.0	64230.0	77929.0	53845.0	72231.0	34950.0	62435.0	53195.0	76696.0	54291.0	63530.0	47961.0	57374.0	60925.0	40498.0	62247.0	52032.0	49736.0	48490.0
NielsenHB_2014__MH0002__bin.1	40525.0	43651.0	51163.0	2011.0	57069.0	56046.0	52828.0	62314.0	54048.0	58397.0	50116.0	60480.0	49782.0	54785.0	38645.0	64856.0	61668.0	0.0	62987.0	52163.0	53815.0	61018.0	37252.0	68242.0	53976.0	58633.0	62421.0	38262.0	63026.0	55185.0	63792.0	42995.0	55111.0	29465.0	61761.0	65790.0	49031.0	51684.0	48802.0	53425.0	56394.0
ZellerG_2014__CCIS74239020ST-4-0__bin.66	62892.0	39804.0	74759.0	72968.0	58795.0	29454.0	80090.0	65431.0	73653.0	32627.0	52396.0	68564.0	70702.0	61461.0	44772.0	69287.0	70434.0	62987.0	0.0	75953.0	80448.0	32610.0	53643.0	70167.0	73019.0	63889.0	32946.0	42505.0	65757.0	63274.0	34793.0	23012.0	29879.0	46417.0	65271.0	69726.0	47067.0	28287.0	50971.0	58413.0	57890.0
XieH_2016__YSZC12003_37299R1__bin.50	49010.0	55356.0	64398.0	58806.0	67017.0	71851.0	70170.0	76014.0	63540.0	74013.0	61491.0	76212.0	61485.0	68199.0	49042.0	80933.0	80431.0	52163.0	75953.0	0.0	68329.0	80024.0	43608.0	84711.0	63152.0	72482.0	77717.0	45632.0	79010.0	69947.0	81136.0	54246.0	67073.0	40154.0	74897.0	82403.0	55471.0	65130.0	59947.0	66775.0	66734.0
NielsenHB_2014__V1_UC55_4__bin.92	1001.0	58500.0	63638.0	61921.0	71962.0	75078.0	67271.0	79943.0	66917.0	77928.0	65020.0	79994.0	65841.0	71914.0	49748.0	83881.0	85166.0	53815.0	80448.0	68329.0	0.0	82074.0	178.0	89800.0	66620.0	75315.0	81160.0	50336.0	83274.0	73569.0	83198.0	58431.0	70564.0	41652.0	77844.0	86484.0	58083.0	67574.0	60069.0	72009.0	68887.0
LiJ_2014__O2.UC11-1__bin.29	62992.0	39526.0	77223.0	71079.0	61833.0	27738.0	81480.0	70333.0	77518.0	35838.0	54345.0	69843.0	74564.0	62073.0	45141.0	70778.0	73663.0	61018.0	32610.0	80024.0	82074.0	0.0	54169.0	73633.0	77885.0	65530.0	15784.0	43718.0	70469.0	65579.0	16064.0	21280.0	1237.0	49804.0	67409.0	72359.0	48767.0	25179.0	52913.0	62399.0	60133.0
LiJ_2014__O2.UC48-1__bin.79	639.0	41416.0	41592.0	41682.0	50442.0	51050.0	43947.0	51352.0	42642.0	51179.0	41823.0	54381.0	44390.0	50721.0	31572.0	54753.0	54618.0	37252.0	53643.0	43608.0	178.0	54169.0	0.0	58336.0	43950.0	48466.0	54169.0	33218.0	54260.0	46690.0	55654.0	42595.0	49916.0	19365.0	50891.0	57009.0	46967.0	47262.0	39052.0	49489.0	50245.0
HeQ_2017__SZAXPI029557-42__bin.27	65823.0	47633.0	82468.0	76950.0	44604.0	66989.0	90701.0	69952.0	80597.0	69651.0	57284.0	71042.0	77066.0	50331.0	47012.0	59755.0	64230.0	68242.0	70167.0	84711.0	89800.0	73633.0	58336.0	0.0	80195.0	54201.0	71940.0	32701.0	67037.0	54185.0	73656.0	52980.0	61840.0	49629.0	39898.0	64753.0	40052.0	60890.0	50894.0	45080.0	49742.0
CosteaPI_2017__pluto1-11-30-0__bin.35	50774.0	56125.0	62578.0	60575.0	66520.0	71728.0	67691.0	73174.0	1023.0	74683.0	60091.0	73941.0	59152.0	68929.0	49165.0	78816.0	77929.0	53976.0	73019.0	63152.0	66620.0	77885.0	43950.0	80195.0	0.0	72141.0	76270.0	45464.0	77133.0	67836.0	80301.0	55323.0	66074.0	39626.0	74332.0	80027.0	54476.0	63135.0	57595.0	65336.0	65370.0
NielsenHB_2014__O2_UC55_2__bin.24	57040.0	43337.0	72556.0	66736.0	44255.0	60315.0	77374.0	58405.0	71154.0	63955.0	47693.0	61398.0	67482.0	1173.0	39198.0	53342.0	53845.0	58633.0	63889.0	72482.0	75315.0	65530.0	48466.0	54201.0	72141.0	0.0	65912.0	31225.0	58259.0	48374.0	68000.0	47730.0	56394.0	45662.0	50238.0	56461.0	36311.0	53121.0	46490.0	44745.0	45521.0
LiJ_2014__V1.FI09__bin.41	64310.0	40917.0	77023.0	72303.0	60807.0	27411.0	81485.0	65999.0	76100.0	36605.0	53456.0	69697.0	74614.0	62407.0	45823.0	69713.0	72231.0	62421.0	32946.0	77717.0	81160.0	15784.0	54169.0	71940.0	76270.0	65912.0	0.0	41696.0	68891.0	64829.0	16547.0	21619.0	15348.0	47569.0	67213.0	71806.0	48746.0	24693.0	52590.0	62917.0	59929.0
QinJ_2012__T2D-098__bin.51	37005.0	26870.0	44612.0	42166.0	22607.0	39880.0	47943.0	38058.0	46906.0	42314.0	33819.0	41565.0	42767.0	27989.0	25035.0	33061.0	34950.0	38262.0	42505.0	45632.0	50336.0	43718.0	33218.0	32701.0	45464.0	31225.0	41696.0	0.0	38657.0	30284.0	46169.0	31138.0	38164.0	30490.0	31341.0	35518.0	22678.0	36153.0	30675.0	24115.0	29299.0
