	NielsenHB_2014__O2_UC48_0__bin.13	LiJ_2014__V1.FI32__bin.6	LeChatelierE_2013__MH0243__bin.6	LeChatelierE_2013__MH0002__bin.19	ZeeviD_2015__PNP_Main_46__bin.20	RaymondF_2016__P19E90__bin.32	ZeeviD_2015__PNP_Main_78__bin.43	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	CosteaPI_2017__pluto1-11-7-0__bin.19	LiJ_2014__V1.FI06__bin.52	YuJ_2015__SZAXPI015216-169__bin.77	ZellerG_2014__CCIS38765456ST-20-0__bin.95	XieH_2016__YSZC12003_36051__bin.32	NielsenHB_2014__O2_UC55_0__bin.10	YuJ_2015__SZAXPI003420-4__bin.43	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.87	LeChatelierE_2013__MH0407__bin.49	NielsenHB_2014__MH0002__bin.1	ZellerG_2014__CCIS74239020ST-4-0__bin.66	XieH_2016__YSZC12003_37299R1__bin.50	NielsenHB_2014__V1_UC55_4__bin.92	LiJ_2014__O2.UC11-1__bin.29	LiJ_2014__O2.UC48-1__bin.79	HeQ_2017__SZAXPI029557-42__bin.27	CosteaPI_2017__pluto1-11-30-0__bin.35	NielsenHB_2014__O2_UC55_2__bin.24	LiJ_2014__V1.FI09__bin.41	QinJ_2012__T2D-098__bin.51	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.40	LeChatelierE_2013__MH0418__bin.11	LiJ_2014__O2.UC1-1__bin.9	RaymondF_2016__P19E7__bin.83	NielsenHB_2014__O2_UC11_2__bin.25	QinN_2014__LD-33__bin.23	ChengpingW_2017__AS115raw__bin.24	ZellerG_2014__CCIS81887263ST-4-0__bin.13	LeChatelierE_2013__MH0130__bin.13	RaymondF_2016__P19E0__bin.109	ZeeviD_2015__PNP_Main_135__bin.3	VatanenT_2016__G80433__bin.6	NielsenHB_2014__MH0130__bin.27
NielsenHB_2014__O2_UC48_0__bin.13	1.0	0.5739878895133915	0.8553431972547919	0.8061489700845083	0.7160309791673732	0.7000943434038237	0.8982355316990753	0.8204873946729891	0.8849750421616356	0.7042816027279426	0.7031813150730545	0.8409666190838824	0.8561066542930873	0.7298051932035752	0.6000217359802927	0.8431298115906729	0.8589388833564053	0.7005286776199564	0.6866823957058336	0.8751225539314377	1.0164765667633737	0.7178900991838987	0.6839106728287914	0.8527734185918168	0.8779836872238682	0.7835358427856586	0.7329657743096128	0.48272991580005364	0.8416503004498269	0.7752969813193894	0.7394025534381388	0.550425932720204	0.6351199486969202	0.5251435962102317	0.79642211890352	0.8521521703607556	0.5422529728963117	0.5963154430286083	0.6251125337986786	0.6980957123081144	0.7051610620724101
LiJ_2014__V1.FI32__bin.6	0.6005957688075066	1.0	0.7171251473392636	0.6682208110988656	0.6362931034135125	0.6520422240153624	0.7721896056207282	0.7214302967835179	0.7586224973496071	0.6642124572701014	0.6415055764105554	0.7537039971836677	0.736324920226097	0.6957227961211716	0.5112405290543148	0.7567271992615596	0.7692010834652985	0.5718844223030614	0.6290268531478683	0.7601230088784634	0.7639986918410643	0.6714597545548651	0.5003340966948824	0.7519272560398512	0.7526506953526081	0.7102617487310576	0.6796720408448835	0.4316775283377308	0.751171153079194	0.6828686425350862	0.699985603799629	0.5386602500745014	0.5791458335097573	0.4599674734587698	0.7268193954321703	0.7665355684946615	0.47472015117220157	0.606654270610661	0.558172142263494	0.6329787512889035	0.6119881233363215
LeChatelierE_2013__MH0243__bin.6	0.561079351901453	0.4495720406822372	1.0	0.6555782601672097	0.5857095438328075	0.5601070675666827	0.7355351216859602	0.6843241018567698	0.7274742120919712	0.5725354197419225	0.5950716358165684	0.692167094368967	0.7183939966119203	0.6121477902525335	0.4605513201047721	0.7149262836061889	0.7105310325806261	0.5831787225963582	0.5503326521949837	0.7408445121172768	0.737463763701031	0.5948635780923053	0.45704063041237647	0.7029542427217085	0.7205380276683909	0.6465888013372323	0.5943235886645702	0.4066168423612605	0.7021814207738686	0.6516345171556613	0.6078817220910029	0.4241252917042607	0.5058980446365979	0.4438389506812184	0.6634020395724275	0.7010834928316151	0.4475693270836804	0.4904014098375658	0.5120118575206547	0.556300597148421	0.5656267909586152
LeChatelierE_2013__MH0002__bin.19	0.5837169618352777	0.46241026692841863	0.7236485100647543	1.0	0.6019463966547093	0.5670393423272206	0.7508542518651223	0.6940752802043786	0.7473808756412993	0.5783217456457224	0.5989094597667952	0.7096676614916235	0.7175551025590582	0.6286174723632604	0.4596272685287892	0.7178065295677883	0.7209151831496465	0.7769033178040181	0.5662348317099408	0.740924977919909	0.7572214106422551	0.5944379099467147	0.4977359011816511	0.7050200290494468	0.7432634444383983	0.6642115558755367	0.6017892896559134	0.41717210192700244	0.7052491317954707	0.6412437962966838	0.619439967964683	0.4364100353141931	0.5291358138379733	0.414609834674882	0.6828110153493259	0.7107339240891352	0.4897731157275826	0.49596837768187646	0.5380683094533486	0.5654392507977436	0.6054367951288459
ZeeviD_2015__PNP_Main_46__bin.20	0.6597128274614155	0.5602744181521337	0.8226621870079956	0.7659385445938374	1.0	0.7009888200275114	0.8491215025746675	0.796113036815153	0.8400151831170556	0.7218893961763827	0.7024492540885408	0.8314333132359426	0.8158958287617095	0.7769821672940888	0.5389907133011349	0.8475595163275321	0.8563001058841325	0.6773715453615151	0.6825890552308963	0.8339490378462983	0.8464239782465275	0.7417389427068132	0.5724880214580479	0.8643866425497978	0.8332488248707696	0.801123891536584	0.7344420985652735	0.5238139876418801	0.8514131732359569	0.7818524112962959	0.7581073087037326	0.5467445422801519	0.6575759706223019	0.4407389732434845	0.8385462271942551	0.8593069027790501	0.5931489202446059	0.5953589230639218	0.6249805595028346	0.7588590079274619	0.7328992865071232
RaymondF_2016__P19E90__bin.32	0.6628168112703684	0.5899743460542509	0.8083959296663746	0.7414180053409537	0.7203190853169745	1.0	0.8481721335610602	0.8060976192656718	0.8342107826843346	0.7749359745963544	0.6904592935623592	0.8242115452607336	0.8186721027296221	0.738358578017586	0.539267029078972	0.8220383849580528	0.8499800599042072	0.6376474116734028	0.7489266463531882	0.8343319192223618	0.8490248326254265	0.8173410602876847	0.5429638827033443	0.8294043621559238	0.8238791495193397	0.7719703186292306	0.7998802499645165	0.500598202873782	0.8290296416000386	0.7714507450444392	0.835336038959262	0.7224032175615872	0.6977030396149317	0.5160580711049586	0.7942583470189648	0.8441932361297751	0.5211541976911813	0.8208244654941477	0.6235050857278172	0.6848713234422188	0.6808891421891197
ZeeviD_2015__PNP_Main_78__bin.43	0.6098061598606199	0.501009532276645	0.7612391410197675	0.7039960314667429	0.625674275202397	0.6082031005735902	1.0	0.7428739475262992	0.8013530375056219	0.6205846208347473	0.6322518679028913	0.7497037597718721	0.7551513356516252	0.6583210079781437	0.5020508536349572	0.7575042509720525	0.7732017779908097	0.6241580799080707	0.5996004256335642	0.8045120611438784	0.8151589179362895	0.637165439538344	0.5173912440572078	0.7554728894077472	0.7842057713797272	0.6956665071543748	0.64371869985534	0.44211496030812647	0.747854236987473	0.6830416630582352	0.6561216744761408	0.465212671572738	0.550931995697616	0.4778435333551191	0.7094179667703365	0.7588676493635512	0.4853617165790134	0.5412521549203612	0.5475463930904403	0.6019899703485051	0.6102553932204747
VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	0.6341191934313124	0.5328608621655617	0.8062633902655729	0.740829985735914	0.6678064432922904	0.6580360358052686	0.8456926123710045	1.0	0.8261500102907532	0.6700939392377933	0.7204781223947342	0.8318848341103771	0.8037790147862189	0.7047688631294077	0.540650262421654	0.8313177257405545	0.8495476983114527	0.6602177946334987	0.6520945033676527	0.8366555141310955	0.841156341114493	0.7132576176146719	0.5254187562157788	0.8347543309774309	0.8206242778973981	0.7524286028731306	0.6949704576451361	0.46673644323569874	0.8260585700231401	0.7710687163186327	0.7153640201311557	0.4956136967393949	0.6023483171267622	0.5093118658193003	0.7749777132963382	0.8193670486804753	0.5139726388082623	0.5823538750270673	0.6100301931593745	0.6521665833180188	0.6640532224056653
CosteaPI_2017__pluto1-11-7-0__bin.19	0.6269728805544134	0.5136460017616199	0.7856904146796566	0.7312614913483492	0.6459244927970713	0.624247175046375	0.836257535075404	0.7573169206708572	1.0	0.6387324855059524	0.6626658890638131	0.7808738093638892	0.8141802214748353	0.6800117841780754	0.5165988721482208	0.7997287673192742	0.801560557187393	0.6511195242206361	0.6108728428210165	0.8595394778156568	0.831927477612519	0.6536065973923001	0.5286593613499709	0.7798982563457362	0.9511379813670192	0.7154620648304536	0.658908112352691	0.46459395097061107	0.774709504720497	0.7062168365215596	0.6809125256857403	0.4837194863234183	0.5644978973596998	0.4840296537537631	0.7478267802272631	0.7846001870833832	0.516337577930932	0.5537165757734118	0.5729857273835793	0.6194234708281525	0.6454791731853704
LiJ_2014__V1.FI06__bin.52	0.6594491662579961	0.5943776317750447	0.8172472314150537	0.7478551563394813	0.7336391957075341	0.7664147524106149	0.8559224388446659	0.8118423156047909	0.8441823179359269	1.0	0.6912583479751052	0.8387366252871971	0.8227373094720265	0.7455777879539446	0.542020171183333	0.8247252705615403	0.8498856624666523	0.647525008290689	0.7692579445370042	0.8383220006199523	0.8441963913580528	0.8210232388284995	0.5365845825299755	0.8365328717250876	0.8398069270827131	0.7796037140843561	0.8119585115515732	0.5078574802584169	0.8263498486746265	0.7681136670610833	0.8280480416111398	0.5920414437021616	0.7015323069839177	0.5045978591798947	0.8057496063952517	0.8362929018349938	0.5463028217933076	0.6706043380060703	0.6168503609111061	0.7063187139346004	0.6976830456040223
