	NielsenHB_2014__O2_UC48_0__bin.13	LiJ_2014__V1.FI32__bin.6	LeChatelierE_2013__MH0243__bin.6	LeChatelierE_2013__MH0002__bin.19	ZeeviD_2015__PNP_Main_46__bin.20	RaymondF_2016__P19E90__bin.32	ZeeviD_2015__PNP_Main_78__bin.43	VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	CosteaPI_2017__pluto1-11-7-0__bin.19	LiJ_2014__V1.FI06__bin.52	YuJ_2015__SZAXPI015216-169__bin.77	ZellerG_2014__CCIS38765456ST-20-0__bin.95	XieH_2016__YSZC12003_36051__bin.32	NielsenHB_2014__O2_UC55_0__bin.10	YuJ_2015__SZAXPI003420-4__bin.43	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.87	LeChatelierE_2013__MH0407__bin.49	NielsenHB_2014__MH0002__bin.1	ZellerG_2014__CCIS74239020ST-4-0__bin.66	XieH_2016__YSZC12003_37299R1__bin.50	NielsenHB_2014__V1_UC55_4__bin.92	LiJ_2014__O2.UC11-1__bin.29	LiJ_2014__O2.UC48-1__bin.79	HeQ_2017__SZAXPI029557-42__bin.27	CosteaPI_2017__pluto1-11-30-0__bin.35	NielsenHB_2014__O2_UC55_2__bin.24	LiJ_2014__V1.FI09__bin.41	QinJ_2012__T2D-098__bin.51	VogtmannE_2016__MMRS84159866ST-27-0-0__bin.40	LeChatelierE_2013__MH0418__bin.11	LiJ_2014__O2.UC1-1__bin.9	RaymondF_2016__P19E7__bin.83	NielsenHB_2014__O2_UC11_2__bin.25	QinN_2014__LD-33__bin.23	ChengpingW_2017__AS115raw__bin.24	ZellerG_2014__CCIS81887263ST-4-0__bin.13	LeChatelierE_2013__MH0130__bin.13	RaymondF_2016__P19E0__bin.109	ZeeviD_2015__PNP_Main_135__bin.3	VatanenT_2016__G80433__bin.6	NielsenHB_2014__MH0130__bin.27
NielsenHB_2014__O2_UC48_0__bin.13	1.0	0.9687189885656351	0.9784128674827343	0.9773952851548158	0.9698903086213764	0.9677598883180997	0.9779729010777786	0.9723614254894712	0.9780029891408485	0.9671750791949232	0.9733053527407133	0.9722288416769014	0.9772121697754349	0.9715553992462299	0.9734097148090912	0.9711418166659277	0.9721077337382232	0.9777055258937732	0.9647028516876597	0.9784167941210535	0.9996204781065914	0.9661835852528823	0.9996399178404086	0.9702529334458928	0.9777128231375081	0.971944321479514	0.9661861251118629	0.9704568824566334	0.9720709887934121	0.9727000052691177	0.9671929923318447	0.967146794078273	0.9659756042801126	0.9764205984016204	0.9710752819814017	0.9707052096109525	0.9698157459888772	0.9672798834101874	0.9721761721598963	0.9695810206679688	0.9712499350998915
LiJ_2014__V1.FI32__bin.6	0.9687189885656351	1.0	0.9703701537724465	0.9689487697547717	0.9752974377857053	0.9748309778669444	0.968430595563614	0.9730651116981495	0.9703165132933032	0.9757244124318207	0.974652678903131	0.974122696491428	0.9712402393488554	0.9753087636239703	0.973221800226379	0.9751053530205462	0.9745255653922634	0.9692202139234267	0.9744825543601598	0.9706329387910358	0.9691224440245332	0.9762620863611795	0.9666198934667162	0.9744546549075025	0.9699293681711537	0.9753951861158834	0.9757236133648578	0.974899181023893	0.9745975080122613	0.9749118928163119	0.9760208175988672	0.9742031066469728	0.9765398160952194	0.9688358347134102	0.9746524321703168	0.9747294792755532	0.9727697688029691	0.9747413244136842	0.9721695431259378	0.974580709115396	0.9740528102866263
LeChatelierE_2013__MH0243__bin.6	0.9784128674827343	0.9703701537724465	1.0	0.9773714372093149	0.970203534796353	0.9682552363311063	0.9769747933240923	0.972487333460168	0.978105525362791	0.9672810123899432	0.9730526342620817	0.9725722700741684	0.9778206941400984	0.9715878868372104	0.9726195155046844	0.9714701557928505	0.9714285206005835	0.9778211849017769	0.9656582667023135	0.9780249779133932	0.9781847675254085	0.9671819102089108	0.9769941119042417	0.9703419621963232	0.9780442245132244	0.9716319709985816	0.9672371652701957	0.9722635842347834	0.9719708436000939	0.9716987756568347	0.9668521062299625	0.9682246477882605	0.9676915289081711	0.9764317090286069	0.971204664323073	0.9706187264016062	0.9694078241321269	0.9679567677467513	0.9712200129262821	0.969568570352203	0.9702325722754682
LeChatelierE_2013__MH0002__bin.19	0.9773952851548158	0.9689487697547717	0.9773714372093149	1.0	0.9700125446084608	0.9674731091514761	0.9770641315335672	0.971967433912956	0.9772689341228471	0.9666079919245026	0.9731686281782055	0.9723501706167921	0.9779889561719708	0.9718615035697497	0.9730149141367074	0.9710441116327384	0.9723085415060276	0.9992776756889559	0.9640397254387106	0.9778519986531774	0.9771807054777584	0.9666326322238105	0.976631183426877	0.9695424962328877	0.9772575218188877	0.971962396942819	0.9664726675473989	0.971794468729828	0.971320290651021	0.9718607126600247	0.9665527069890814	0.9671755456728233	0.9666065810138478	0.9762083440740947	0.9706966084211593	0.9704889815139459	0.9688950752197566	0.966850744799066	0.9712725703664365	0.9693240361510297	0.9702531791427953
ZeeviD_2015__PNP_Main_46__bin.20	0.9698903086213764	0.9752974377857053	0.970203534796353	0.9700125446084608	1.0	0.9710224725646279	0.9695228967173196	0.9754116932386951	0.9719189440183825	0.970154649646565	0.9767911608867825	0.974714655310106	0.9720157925246627	0.9802193945354273	0.9753977727885994	0.9799415158129344	0.9803900835383851	0.9700844799315606	0.969415293445681	0.9714656019933247	0.9698117101803361	0.9703999475334247	0.9687140650875463	0.9816773197062062	0.9716534131174129	0.9803851087273523	0.9706019003103367	0.9846754021461351	0.9775813310657209	0.9802699462287459	0.9700835625632598	0.9704966070026477	0.970469058632059	0.9711660934527938	0.981380309673245	0.9804091148379334	0.979475922146788	0.9707407581912338	0.9758028411634635	0.9826021774650893	0.9793818378782726
RaymondF_2016__P19E90__bin.32	0.9677598883180997	0.9748309778669444	0.9682552363311063	0.9674731091514761	0.9710224725646279	1.0	0.9668496807828295	0.9718799662695387	0.9686904203200851	0.9832913816921343	0.9734472729117477	0.9725510906962784	0.9674730873692252	0.9712056476839099	0.9719419962732768	0.9710404231218552	0.9705432126747334	0.9679298423099943	0.9856503247117057	0.9685782020159526	0.9677351703746997	0.9876174839091574	0.965694648096305	0.9705303991455052	0.9682340181389567	0.9714923246930397	0.9874963450609172	0.9709328174904555	0.9708555280091932	0.9714333956701013	0.9879362089758379	0.9997605936066372	0.9876864409128538	0.9678286722310012	0.9716041346342459	0.9711387187900875	0.9683203904974473	0.9997248449863778	0.9712572110067261	0.9708747795057412	0.9699209964637839
ZeeviD_2015__PNP_Main_78__bin.43	0.9779729010777786	0.968430595563614	0.9769747933240923	0.9770641315335672	0.9695228967173196	0.9668496807828295	1.0	0.9709359373426116	0.9779213634471444	0.9668715080972513	0.9728749199775378	0.972335973320472	0.9769908174617556	0.9705577615298311	0.9734244910551616	0.9700352165215085	0.9708824595319009	0.9778552247802835	0.9650523429417209	0.9771797382613218	0.9784082768218688	0.9665419586751306	0.9777765304140977	0.9685880501532831	0.9774159097877514	0.9708998211279619	0.9668805398937381	0.9716278857824597	0.9706876242194358	0.9712215169436048	0.9668669930427425	0.9673073224174022	0.9664990105423424	0.9756306293974321	0.970633717913303	0.970013890981481	0.9692148877275165	0.9668352425820635	0.9704729498236538	0.9686254534201768	0.9700956553167353
VogtmannE_2016__MMRS67247116ST-27-0-0__bin.15	0.9723614254894712	0.9730651116981495	0.972487333460168	0.971967433912956	0.9754116932386951	0.9718799662695387	0.9709359373426116	1.0	0.9739272639959159	0.970912034250734	0.9788380852454462	0.9773634099498882	0.9740627897342098	0.9768026848349174	0.9780902064269462	0.9762286764990405	0.9757662090057102	0.9718876262968036	0.9701137014001081	0.9729388641329055	0.9716924142483014	0.9706294664128261	0.9708894169720277	0.9750402306437973	0.9734410104712992	0.9768802121454792	0.9717140919957382	0.9757130285453918	0.9766409040183601	0.9768032963879026	0.9714616544346187	0.9710805215253927	0.9709980744829932	0.9721092075522455	0.9761101227296853	0.9748634006911847	0.973915205293454	0.9707644033684792	0.9760827691939622	0.9744525530777005	0.9753839570734175
CosteaPI_2017__pluto1-11-7-0__bin.19	0.9780029891408485	0.9703165132933032	0.978105525362791	0.9772689341228471	0.9719189440183825	0.9686904203200851	0.9779213634471444	0.9739272639959159	1.0	0.9679500825431674	0.9750852788109297	0.9743613591703438	0.9800862920636922	0.9729138200949261	0.9746726192521074	0.9726852204325176	0.9730133328973283	0.9773359890973896	0.967080177621243	0.9798163715464839	0.9780381533630503	0.9676179758289858	0.9779768468186971	0.9717837829132894	0.9997063365004784	0.9728462028990154	0.9684661016808687	0.9724340661956179	0.9727430329776913	0.9740298452066964	0.9679104908519617	0.9683615359996749	0.9683413986490899	0.9765875798253248	0.9723703733993831	0.9718954575888041	0.9716129080019841	0.9688615626762813	0.9728373730452277	0.9712650011328263	0.9725970901301642
LiJ_2014__V1.FI06__bin.52	0.9671750791949232	0.9757244124318207	0.9672810123899432	0.9666079919245026	0.970154649646565	0.9832913816921343	0.9668715080972513	0.970912034250734	0.9679500825431674	1.0	0.972324104902793	0.9708848848960823	0.9684313806331181	0.9705473660673016	0.9708036292072894	0.9703079857341816	0.9699590733134991	0.9674561373689053	0.984694755912153	0.9681409918119512	0.9666891936081621	0.9842484454141255	0.9655817556875612	0.969954498866354	0.9679094315754556	0.9703970009576828	0.9837317184602886	0.9699338835341222	0.9709999934496816	0.9710671235592521	0.9837493043665083	0.9828586648982662	0.9837423800443708	0.9670950818546669	0.9704363606072521	0.9705383213686706	0.968674367727412	0.9834047760236682	0.9703335197530836	0.9698442322400281	0.9699287164723809
