	BritoIL_2016__W1.39.SA__bin.2	HMP_2012__SRS015154__bin.11	HMP_2012__SRS015803__bin.39	HMP_2012__SRS015044__bin.27	HMP_2012__SRS015799__bin.2	HMP_2012__SRS015440__bin.17	CM_periimplantitis__SP_403SPT_T016__bin.15	BritoIL_2016__W2.4.SA__bin.1	CM_periimplantitis__SP_186SPI_T016_R__bin.5	HMP_2012__SRS024447__bin.56	BritoIL_2016__W1.36.SA__bin.11	BritoIL_2016__WL.33.SA__bin.17	HMP_2012__SRS019591__bin.5	BritoIL_2016__W1.40.SA__bin.2	HMP_2012__SRS018573__bin.7	HMP_2012__SRS047100__bin.26	CM_periimplantitis__SP_164SPT_T016__bin.15	HMP_2012__SRS017691__bin.35	HMP_2012__SRS015947__bin.14	CM_periimplantitis__SP_164SPI_T016__bin.12	BritoIL_2016__M1.48.SA__bin.1	BritoIL_2016__W1.42.SA__bin.4	HMP_2012__SRS016360__bin.7	HMP_2012__SRS015470__bin.40	HMP_2012__SRS013881__bin.8	BritoIL_2016__WL.32.SA__bin.2	BritoIL_2016__WL.25.SA__bin.1	HMP_2012__SRS015158__bin.23	HMP_2012__SRS015650__bin.2	BritoIL_2016__W2.46.SA__bin.5	CM_periimplantitis__SP_162SPI_T016__bin.14	HMP_2012__SRS051244__bin.43	HMP_2012__SRS019387__bin.24	BritoIL_2016__W1.38.SA__bin.1	BritoIL_2016__M1.62.SA__bin.1	CM_periimplantitis__SP_162SPT_T016__bin.1	HMP_2012__SRS024470__bin.7	HMP_2012__SRS047265__bin.8	HMP_2012__SRS043018__bin.16	BritoIL_2016__W3.16.SA__bin.7	OhJ_2014__MET0313__bin.2
BritoIL_2016__W1.39.SA__bin.2	1808526.0	1341819.0	1472553.0	1485393.0	1596373.0	1408711.0	1429012.0	1348790.0	1322930.0	1466984.0	1531391.0	1210141.0	1550803.0	1387887.0	1508016.0	1482317.0	1181778.0	1342246.0	1434400.0	1481334.0	1625708.0	1275852.0	1489429.0	1362936.0	1447199.0	1602315.0	1350069.0	1292141.0	1591767.0	1559706.0	1487224.0	1467431.0	1452647.0	1077623.0	1271393.0	1475037.0	1626616.0	1220966.0	986734.0	1188234.0	1450458.0
HMP_2012__SRS015154__bin.11	1341819.0	1881649.0	1404707.0	1443235.0	1555889.0	1384580.0	1397801.0	1195072.0	1286125.0	1342331.0	1524396.0	1169043.0	1628932.0	1252137.0	1413547.0	1438331.0	1130136.0	1307747.0	1399041.0	1443126.0	1493086.0	1257587.0	1559331.0	1317437.0	1367352.0	1534465.0	1362342.0	1399517.0	1556020.0	1491133.0	1553898.0	1444999.0	1483710.0	1017601.0	1218882.0	1538201.0	1492951.0	1193573.0	1080543.0	1149230.0	1466903.0
HMP_2012__SRS015803__bin.39	1472553.0	1404707.0	2020254.0	1569508.0	1916135.0	1514232.0	1524218.0	1323385.0	1355806.0	1521083.0	1641454.0	1275029.0	1645268.0	1407314.0	1735044.0	1664888.0	1265820.0	1462785.0	1527519.0	1601685.0	1672216.0	1354542.0	1580379.0	1466269.0	1722873.0	1688474.0	1460964.0	1410619.0	1678611.0	1678457.0	1573136.0	1603143.0	1531101.0	1112949.0	1350939.0	1544123.0	1649638.0	1268681.0	1064347.0	1270920.0	1535648.0
HMP_2012__SRS015044__bin.27	1485393.0	1443235.0	1569508.0	2022017.0	1702234.0	1551072.0	1551858.0	1313705.0	1414319.0	1495413.0	1664916.0	1332946.0	1695019.0	1428768.0	1605318.0	1593276.0	1264272.0	1460322.0	1551257.0	1614276.0	1660734.0	1352459.0	1600132.0	1492181.0	1523587.0	1729819.0	1486763.0	1431147.0	1884759.0	1669524.0	1618474.0	1581799.0	1564196.0	1121208.0	1356691.0	1617506.0	1643402.0	1412318.0	1081613.0	1286778.0	1566449.0
HMP_2012__SRS015799__bin.2	1596373.0	1555889.0	1916135.0	1702234.0	2256116.0	1662597.0	1665116.0	1414152.0	1468254.0	1622119.0	1768107.0	1379088.0	1763027.0	1506387.0	1859946.0	1790410.0	1338268.0	1567533.0	1681736.0	1704876.0	1792970.0	1461515.0	1689240.0	1604641.0	1865313.0	1840141.0	1587917.0	1484408.0	1835821.0	1809845.0	1690713.0	1745632.0	1640682.0	1178653.0	1454741.0	1672783.0	1786828.0	1380326.0	1128141.0	1362172.0	1668380.0
HMP_2012__SRS015440__bin.17	1408711.0	1384580.0	1514232.0	1551072.0	1662597.0	2037071.0	1469316.0	1284371.0	1379975.0	1458191.0	1582990.0	1277176.0	1608289.0	1356694.0	1515877.0	1550433.0	1177691.0	1388259.0	1500648.0	1520168.0	1608561.0	1307319.0	1530955.0	1675423.0	1520949.0	1694083.0	1435012.0	1373252.0	1664344.0	1627137.0	1527649.0	1530405.0	1482851.0	1067562.0	1290221.0	1510346.0	1595509.0	1248962.0	1027667.0	1225532.0	1482828.0
CM_periimplantitis__SP_403SPT_T016__bin.15	1429012.0	1397801.0	1524218.0	1551858.0	1665116.0	1469316.0	1942838.0	1286720.0	1338016.0	1469192.0	1625217.0	1284855.0	1622173.0	1392394.0	1541512.0	1552102.0	1335400.0	1387343.0	1480792.0	1684602.0	1633774.0	1349035.0	1564574.0	1429597.0	1498530.0	1668603.0	1475856.0	1371554.0	1677096.0	1646541.0	1559669.0	1530981.0	1522655.0	1100122.0	1317880.0	1541857.0	1598669.0	1243092.0	1030820.0	1234695.0	1517824.0
BritoIL_2016__W2.4.SA__bin.1	1348790.0	1195072.0	1323385.0	1313705.0	1414152.0	1284371.0	1286720.0	1647063.0	1175258.0	1313027.0	1381627.0	1120122.0	1390222.0	1257369.0	1343727.0	1329371.0	1084481.0	1214920.0	1298296.0	1326036.0	1478605.0	1169203.0	1323064.0	1222354.0	1286616.0	1449332.0	1275536.0	1151683.0	1408987.0	1405108.0	1325616.0	1324863.0	1293990.0	958082.0	1159499.0	1308366.0	1445439.0	1071646.0	861824.0	1066232.0	1268542.0
CM_periimplantitis__SP_186SPI_T016_R__bin.5	1322930.0	1286125.0	1355806.0	1414319.0	1468254.0	1379975.0	1338016.0	1175258.0	1813263.0	1331769.0	1448122.0	1134997.0	1508970.0	1262012.0	1409006.0	1404104.0	1103705.0	1251712.0	1350809.0	1391054.0	1469240.0	1212437.0	1457905.0	1333750.0	1357869.0	1495650.0	1311296.0	1264508.0	1511858.0	1481342.0	1447196.0	1386574.0	1387613.0	1004650.0	1185436.0	1417058.0	1461116.0	1155201.0	971322.0	1110741.0	1383820.0
HMP_2012__SRS024447__bin.56	1466984.0	1342331.0	1521083.0	1495413.0	1622119.0	1458191.0	1469192.0	1313027.0	1331769.0	1894231.0	1590553.0	1238229.0	1594850.0	1412873.0	1564536.0	1526064.0	1224700.0	1372754.0	1455991.0	1547539.0	1686615.0	1310022.0	1543696.0	1444941.0	1489157.0	1628611.0	1410249.0	1361456.0	1604424.0	1601502.0	1528217.0	1491383.0	1495033.0	1069908.0	1320925.0	1487223.0	1716955.0	1256982.0	1009889.0	1210087.0	1456199.0
BritoIL_2016__W1.36.SA__bin.11	1531391.0	1524396.0	1641454.0	1664916.0	1768107.0	1582990.0	1625217.0	1381627.0	1448122.0	1590553.0	2124195.0	1368929.0	1840627.0	1503363.0	1694734.0	1685435.0	1352010.0	1496966.0	1614264.0	1699669.0	1778099.0	1426611.0	1746008.0	1541712.0	1618992.0	1815385.0	1705029.0	1515706.0	1771680.0	1791156.0	1738549.0	1643576.0	1698731.0	1169539.0	1417553.0	1714421.0	1732150.0	1360053.0	1126363.0	1357440.0	1671036.0
BritoIL_2016__WL.33.SA__bin.17	1210141.0	1169043.0	1275029.0	1332946.0	1379088.0	1277176.0	1284855.0	1120122.0	1134997.0	1238229.0	1368929.0	1639895.0	1369471.0	1184857.0	1311563.0	1306367.0	1037873.0	1215568.0	1260037.0	1307467.0	1415824.0	1136089.0	1302921.0	1248178.0	1265849.0	1494752.0	1261935.0	1141134.0	1416869.0	1353280.0	1291303.0	1296517.0	1267480.0	932085.0	1135967.0	1280349.0	1342245.0	1056761.0	898076.0	1058476.0	1259934.0
HMP_2012__SRS019591__bin.5	1550803.0	1628932.0	1645268.0	1695019.0	1763027.0	1608289.0	1622173.0	1390222.0	1508970.0	1594850.0	1840627.0	1369471.0	2195658.0	1495364.0	1719257.0	1716252.0	1331724.0	1521269.0	1623231.0	1714009.0	1781797.0	1427856.0	1906424.0	1556454.0	1621591.0	1832357.0	1623007.0	1676024.0	1816340.0	1800939.0	1869506.0	1680857.0	1853972.0	1180106.0	1414222.0	1838844.0	1765888.0	1374438.0	1194313.0	1357042.0	1710679.0
BritoIL_2016__W1.40.SA__bin.2	1387887.0	1252137.0	1407314.0	1428768.0	1506387.0	1356694.0	1392394.0	1257369.0	1262012.0	1412873.0	1503363.0	1184857.0	1495364.0	1756739.0	1451182.0	1429219.0	1152497.0	1318907.0	1362245.0	1437176.0	1567027.0	1223307.0	1435228.0	1318518.0	1392274.0	1525145.0	1361804.0	1276346.0	1512342.0	1498007.0	1422221.0	1414059.0	1412673.0	1008637.0	1247698.0	1419160.0	1543739.0	1153385.0	986798.0	1148254.0	1373942.0
HMP_2012__SRS018573__bin.7	1508016.0	1413547.0	1735044.0	1605318.0	1859946.0	1515877.0	1541512.0	1343727.0	1409006.0	1564536.0	1694734.0	1311563.0	1719257.0	1451182.0	2084324.0	1732951.0	1277823.0	1494007.0	1576363.0	1615527.0	1719290.0	1367304.0	1648834.0	1469396.0	1692787.0	1756155.0	1501590.0	1443357.0	1726657.0	1734512.0	1648583.0	1640162.0	1595328.0	1139053.0	1376960.0	1601556.0	1708381.0	1308232.0	1071877.0	1299205.0	1566488.0
HMP_2012__SRS047100__bin.26	1482317.0	1438331.0	1664888.0	1593276.0	1790410.0	1550433.0	1552102.0	1329371.0	1404104.0	1526064.0	1685435.0	1306367.0	1716252.0	1429219.0	1732951.0	2112532.0	1314151.0	1482886.0	1584638.0	1633821.0	1708235.0	1353410.0	1633533.0	1478779.0	1611533.0	1718564.0	1475788.0	1431192.0	1713009.0	1737152.0	1624759.0	1644272.0	1579147.0	1116411.0	1365668.0	1593165.0	1667060.0	1297600.0	1057873.0	1282488.0	1561858.0
CM_periimplantitis__SP_164SPT_T016__bin.15	1181778.0	1130136.0	1265820.0	1264272.0	1338268.0	1177691.0	1335400.0	1084481.0	1103705.0	1224700.0	1352010.0	1037873.0	1331724.0	1152497.0	1277823.0	1314151.0	1607126.0	1137538.0	1193351.0	1417675.0	1363606.0	1124074.0	1286074.0	1169599.0	1224455.0	1370539.0	1176629.0	1116214.0	1348893.0	1407269.0	1257504.0	1258526.0	1258018.0	933740.0	1091061.0	1269753.0	1313322.0	1037568.0	860484.0	1028963.0	1273113.0
HMP_2012__SRS017691__bin.35	1342246.0	1307747.0	1462785.0	1460322.0	1567533.0	1388259.0	1387343.0	1214920.0	1251712.0	1372754.0	1496966.0	1215568.0	1521269.0	1318907.0	1494007.0	1482886.0	1137538.0	1965147.0	1591363.0	1478466.0	1509270.0	1215568.0	1447032.0	1328454.0	1413863.0	1567024.0	1397513.0	1304342.0	1545737.0	1493478.0	1437593.0	1707624.0	1407037.0	999289.0	1241803.0	1438185.0	1489993.0	1195305.0	1053314.0	1166214.0	1392457.0
HMP_2012__SRS015947__bin.14	1434400.0	1399041.0	1527519.0	1551257.0	1681736.0	1500648.0	1480792.0	1298296.0	1350809.0	1455991.0	1614264.0	1260037.0	1623231.0	1362245.0	1576363.0	1584638.0	1193351.0	1591363.0	2032294.0	1548398.0	1611051.0	1299245.0	1566613.0	1421373.0	1517763.0	1671685.0	1451830.0	1384283.0	1661875.0	1614226.0	1546423.0	1735705.0	1516847.0	1064867.0	1313069.0	1536997.0	1591801.0	1300829.0	1063345.0	1242581.0	1487139.0
CM_periimplantitis__SP_164SPI_T016__bin.12	1481334.0	1443126.0	1601685.0	1614276.0	1704876.0	1520168.0	1684602.0	1326036.0	1391054.0	1547539.0	1699669.0	1307467.0	1714009.0	1437176.0	1615527.0	1633821.0	1417675.0	1478466.0	1548398.0	2065774.0	1697765.0	1406966.0	1639123.0	1489868.0	1553709.0	1726971.0	1514355.0	1452348.0	1728038.0	1768229.0	1636067.0	1622666.0	1587583.0	1136373.0	1362915.0	1627598.0	1681611.0	1320396.0	1108810.0	1282748.0	1599350.0
BritoIL_2016__M1.48.SA__bin.1	1625708.0	1493086.0	1672216.0	1660734.0	1792970.0	1608561.0	1633774.0	1478605.0	1469240.0	1686615.0	1778099.0	1415824.0	1781797.0	1567027.0	1719290.0	1708235.0	1363606.0	1509270.0	1611051.0	1697765.0	2089369.0	1422682.0	1695638.0	1577281.0	1651983.0	1841043.0	1574779.0	1490234.0	1811551.0	1785253.0	1695275.0	1664861.0	1634600.0	1180923.0	1450818.0	1651520.0	1851356.0	1346130.0	1101703.0	1342877.0	1633060.0
BritoIL_2016__W1.42.SA__bin.4	1275852.0	1257587.0	1354542.0	1352459.0	1461515.0	1307319.0	1349035.0	1169203.0	1212437.0	1310022.0	1426611.0	1136089.0	1427856.0	1223307.0	1367304.0	1353410.0	1124074.0	1215568.0	1299245.0	1406966.0	1422682.0	1671645.0	1372482.0	1266076.0	1325080.0	1463173.0	1286426.0	1187928.0	1448132.0	1468561.0	1353035.0	1330951.0	1334494.0	1005590.0	1208384.0	1351435.0	1408983.0	1114116.0	918386.0	1156174.0	1321638.0
HMP_2012__SRS016360__bin.7	1489429.0	1559331.0	1580379.0	1600132.0	1689240.0	1530955.0	1564574.0	1323064.0	1457905.0	1543696.0	1746008.0	1302921.0	1906424.0	1435228.0	1648834.0	1633533.0	1286074.0	1447032.0	1566613.0	1639123.0	1695638.0	1372482.0	2075013.0	1497292.0	1556797.0	1737532.0	1556936.0	1582515.0	1710202.0	1729705.0	1777828.0	1602260.0	1763189.0	1122347.0	1356345.0	1748868.0	1690165.0	1321547.0	1161528.0	1292622.0	1632962.0
HMP_2012__SRS015470__bin.40	1362936.0	1317437.0	1466269.0	1492181.0	1604641.0	1675423.0	1429597.0	1222354.0	1333750.0	1444941.0	1541712.0	1248178.0	1556454.0	1318518.0	1469396.0	1478779.0	1169599.0	1328454.0	1421373.0	1489868.0	1577281.0	1266076.0	1497292.0	1939037.0	1454049.0	1630647.0	1380115.0	1327894.0	1602612.0	1584939.0	1492521.0	1453578.0	1447020.0	1036443.0	1244082.0	1478510.0	1546801.0	1191070.0	1002707.0	1166157.0	1442741.0
HMP_2012__SRS013881__bin.8	1447199.0	1367352.0	1722873.0	1523587.0	1865313.0	1520949.0	1498530.0	1286616.0	1357869.0	1489157.0	1618992.0	1265849.0	1621591.0	1392274.0	1692787.0	1611533.0	1224455.0	1413863.0	1517763.0	1553709.0	1651983.0	1325080.0	1556797.0	1454049.0	1953852.0	1646595.0	1434513.0	1394276.0	1647753.0	1645182.0	1540399.0	1577156.0	1513757.0	1082909.0	1324611.0	1504237.0	1623579.0	1254293.0	1056010.0	1242874.0	1520815.0
BritoIL_2016__WL.32.SA__bin.2	1602315.0	1534465.0	1688474.0	1729819.0	1840141.0	1694083.0	1668603.0	1449332.0	1495650.0	1628611.0	1815385.0	1494752.0	1832357.0	1525145.0	1756155.0	1718564.0	1370539.0	1567024.0	1671685.0	1726971.0	1841043.0	1463173.0	1737532.0	1630647.0	1646595.0	2297689.0	1638714.0	1520723.0	1876184.0	1825399.0	1743165.0	1725004.0	1683954.0	1195975.0	1485195.0	1735497.0	1798330.0	1383477.0	1124163.0	1385355.0	1663938.0
BritoIL_2016__WL.25.SA__bin.1	1350069.0	1362342.0	1460964.0	1486763.0	1587917.0	1435012.0	1475856.0	1275536.0	1311296.0	1410249.0	1705029.0	1261935.0	1623007.0	1361804.0	1501590.0	1475788.0	1176629.0	1397513.0	1451830.0	1514355.0	1574779.0	1286426.0	1556936.0	1380115.0	1434513.0	1638714.0	2130705.0	1354141.0	1585738.0	1591395.0	1543034.0	1487273.0	1487770.0	1018427.0	1262338.0	1545893.0	1535057.0	1185190.0	1027892.0	1216824.0	1465847.0
HMP_2012__SRS015158__bin.23	1292141.0	1399517.0	1410619.0	1431147.0	1484408.0	1373252.0	1371554.0	1151683.0	1264508.0	1361456.0	1515706.0	1141134.0	1676024.0	1276346.0	1443357.0	1431192.0	1116214.0	1304342.0	1384283.0	1452348.0	1490234.0	1187928.0	1582515.0	1327894.0	1394276.0	1520723.0	1354141.0	1850279.0	1515252.0	1490206.0	1550437.0	1418520.0	1551811.0	1002706.0	1187415.0	1549025.0	1484290.0	1169818.0	1128390.0	1153492.0	1451302.0
HMP_2012__SRS015650__bin.2	1591767.0	1556020.0	1678611.0	1884759.0	1835821.0	1664344.0	1677096.0	1408987.0	1511858.0	1604424.0	1771680.0	1416869.0	1816340.0	1512342.0	1726657.0	1713009.0	1348893.0	1545737.0	1661875.0	1728038.0	1811551.0	1448132.0	1710202.0	1602612.0	1647753.0	1876184.0	1585738.0	1515252.0	2187360.0	1808369.0	1741713.0	1705578.0	1668019.0	1191301.0	1446245.0	1718290.0	1772422.0	1509532.0	1126388.0	1359963.0	1693470.0
BritoIL_2016__W2.46.SA__bin.5	1559706.0	1491133.0	1678457.0	1669524.0	1809845.0	1627137.0	1646541.0	1405108.0	1481342.0	1601502.0	1791156.0	1353280.0	1800939.0	1498007.0	1734512.0	1737152.0	1407269.0	1493478.0	1614226.0	1768229.0	1785253.0	1468561.0	1729705.0	1584939.0	1645182.0	1825399.0	1591395.0	1490206.0	1808369.0	2178685.0	1713229.0	1654417.0	1660275.0	1208952.0	1447388.0	1694533.0	1752993.0	1365210.0	1113303.0	1371191.0	1649424.0
CM_periimplantitis__SP_162SPI_T016__bin.14	1487224.0	1553898.0	1573136.0	1618474.0	1690713.0	1527649.0	1559669.0	1325616.0	1447196.0	1528217.0	1738549.0	1291303.0	1869506.0	1422221.0	1648583.0	1624759.0	1257504.0	1437593.0	1546423.0	1636067.0	1695275.0	1353035.0	1777828.0	1492521.0	1540399.0	1743165.0	1543034.0	1550437.0	1741713.0	1713229.0	2107316.0	1598837.0	1709412.0	1136797.0	1337459.0	1846905.0	1696422.0	1321329.0	1127996.0	1271651.0	1656315.0
HMP_2012__SRS051244__bin.43	1467431.0	1444999.0	1603143.0	1581799.0	1745632.0	1530405.0	1530981.0	1324863.0	1386574.0	1491383.0	1643576.0	1296517.0	1680857.0	1414059.0	1640162.0	1644272.0	1258526.0	1707624.0	1735705.0	1622666.0	1664861.0	1330951.0	1602260.0	1453578.0	1577156.0	1725004.0	1487273.0	1418520.0	1705578.0	1654417.0	1598837.0	2186697.0	1562561.0	1099769.0	1352590.0	1579703.0	1652936.0	1311827.0	1084965.0	1268234.0	1538775.0
HMP_2012__SRS019387__bin.24	1452647.0	1483710.0	1531101.0	1564196.0	1640682.0	1482851.0	1522655.0	1293990.0	1387613.0	1495033.0	1698731.0	1267480.0	1853972.0	1412673.0	1595328.0	1579147.0	1258018.0	1407037.0	1516847.0	1587583.0	1634600.0	1334494.0	1763189.0	1447020.0	1513757.0	1683954.0	1487770.0	1551811.0	1668019.0	1660275.0	1709412.0	1562561.0	1985163.0	1113111.0	1330155.0	1672499.0	1629196.0	1279473.0	1134333.0	1253599.0	1584101.0
BritoIL_2016__W1.38.SA__bin.1	1077623.0	1017601.0	1112949.0	1121208.0	1178653.0	1067562.0	1100122.0	958082.0	1004650.0	1069908.0	1169539.0	932085.0	1180106.0	1008637.0	1139053.0	1116411.0	933740.0	999289.0	1064867.0	1136373.0	1180923.0	1005590.0	1122347.0	1036443.0	1082909.0	1195975.0	1018427.0	1002706.0	1191301.0	1208952.0	1136797.0	1099769.0	1113111.0	1361556.0	957943.0	1109705.0	1190428.0	920499.0	760624.0	928430.0	1103597.0
BritoIL_2016__M1.62.SA__bin.1	1271393.0	1218882.0	1350939.0	1356691.0	1454741.0	1290221.0	1317880.0	1159499.0	1185436.0	1320925.0	1417553.0	1135967.0	1414222.0	1247698.0	1376960.0	1365668.0	1091061.0	1241803.0	1313069.0	1362915.0	1450818.0	1208384.0	1356345.0	1244082.0	1324611.0	1485195.0	1262338.0	1187415.0	1446245.0	1447388.0	1337459.0	1352590.0	1330155.0	957943.0	1647788.0	1337625.0	1423918.0	1120694.0	915006.0	1133649.0	1299531.0
CM_periimplantitis__SP_162SPT_T016__bin.1	1475037.0	1538201.0	1544123.0	1617506.0	1672783.0	1510346.0	1541857.0	1308366.0	1417058.0	1487223.0	1714421.0	1280349.0	1838844.0	1419160.0	1601556.0	1593165.0	1269753.0	1438185.0	1536997.0	1627598.0	1651520.0	1351435.0	1748868.0	1478510.0	1504237.0	1735497.0	1545893.0	1549025.0	1718290.0	1694533.0	1846905.0	1579703.0	1672499.0	1109705.0	1337625.0	2083451.0	1654900.0	1298617.0	1107734.0	1268230.0	1626448.0
HMP_2012__SRS024470__bin.7	1626616.0	1492951.0	1649638.0	1643402.0	1786828.0	1595509.0	1598669.0	1445439.0	1461116.0	1716955.0	1732150.0	1342245.0	1765888.0	1543739.0	1708381.0	1667060.0	1313322.0	1489993.0	1591801.0	1681611.0	1851356.0	1408983.0	1690165.0	1546801.0	1623579.0	1798330.0	1535057.0	1484290.0	1772422.0	1752993.0	1696422.0	1652936.0	1629196.0	1190428.0	1423918.0	1654900.0	2046862.0	1355887.0	1100835.0	1317489.0	1619871.0
HMP_2012__SRS047265__bin.8	1220966.0	1193573.0	1268681.0	1412318.0	1380326.0	1248962.0	1243092.0	1071646.0	1155201.0	1256982.0	1360053.0	1056761.0	1374438.0	1153385.0	1308232.0	1297600.0	1037568.0	1195305.0	1300829.0	1320396.0	1346130.0	1114116.0	1321547.0	1191070.0	1254293.0	1383477.0	1185190.0	1169818.0	1509532.0	1365210.0	1321329.0	1311827.0	1279473.0	920499.0	1120694.0	1298617.0	1355887.0	1611566.0	940345.0	1048205.0	1273400.0
HMP_2012__SRS043018__bin.16	986734.0	1080543.0	1064347.0	1081613.0	1128141.0	1027667.0	1030820.0	861824.0	971322.0	1009889.0	1126363.0	898076.0	1194313.0	986798.0	1071877.0	1057873.0	860484.0	1053314.0	1063345.0	1108810.0	1101703.0	918386.0	1161528.0	1002707.0	1056010.0	1124163.0	1027892.0	1128390.0	1126388.0	1113303.0	1127996.0	1084965.0	1134333.0	760624.0	915006.0	1107734.0	1100835.0	940345.0	1511401.0	869877.0	1089555.0
BritoIL_2016__W3.16.SA__bin.7	1188234.0	1149230.0	1270920.0	1286778.0	1362172.0	1225532.0	1234695.0	1066232.0	1110741.0	1210087.0	1357440.0	1058476.0	1357042.0	1148254.0	1299205.0	1282488.0	1028963.0	1166214.0	1242581.0	1282748.0	1342877.0	1156174.0	1292622.0	1166157.0	1242874.0	1385355.0	1216824.0	1153492.0	1359963.0	1371191.0	1271651.0	1268234.0	1253599.0	928430.0	1133649.0	1268230.0	1317489.0	1048205.0	869877.0	1527771.0	1230196.0
OhJ_2014__MET0313__bin.2	1450458.0	1466903.0	1535648.0	1566449.0	1668380.0	1482828.0	1517824.0	1268542.0	1383820.0	1456199.0	1671036.0	1259934.0	1710679.0	1373942.0	1566488.0	1561858.0	1273113.0	1392457.0	1487139.0	1599350.0	1633060.0	1321638.0	1632962.0	1442741.0	1520815.0	1663938.0	1465847.0	1451302.0	1693470.0	1649424.0	1656315.0	1538775.0	1584101.0	1103597.0	1299531.0	1626448.0	1619871.0	1273400.0	1089555.0	1230196.0	1960779.0
