	BritoIL_2016__W1.39.SA__bin.2	HMP_2012__SRS015154__bin.11	HMP_2012__SRS015803__bin.39	HMP_2012__SRS015044__bin.27	HMP_2012__SRS015799__bin.2	HMP_2012__SRS015440__bin.17	CM_periimplantitis__SP_403SPT_T016__bin.15	BritoIL_2016__W2.4.SA__bin.1	CM_periimplantitis__SP_186SPI_T016_R__bin.5	HMP_2012__SRS024447__bin.56	BritoIL_2016__W1.36.SA__bin.11	BritoIL_2016__WL.33.SA__bin.17	HMP_2012__SRS019591__bin.5	BritoIL_2016__W1.40.SA__bin.2	HMP_2012__SRS018573__bin.7	HMP_2012__SRS047100__bin.26	CM_periimplantitis__SP_164SPT_T016__bin.15	HMP_2012__SRS017691__bin.35	HMP_2012__SRS015947__bin.14	CM_periimplantitis__SP_164SPI_T016__bin.12	BritoIL_2016__M1.48.SA__bin.1	BritoIL_2016__W1.42.SA__bin.4	HMP_2012__SRS016360__bin.7	HMP_2012__SRS015470__bin.40	HMP_2012__SRS013881__bin.8	BritoIL_2016__WL.32.SA__bin.2	BritoIL_2016__WL.25.SA__bin.1	HMP_2012__SRS015158__bin.23	HMP_2012__SRS015650__bin.2	BritoIL_2016__W2.46.SA__bin.5	CM_periimplantitis__SP_162SPI_T016__bin.14	HMP_2012__SRS051244__bin.43	HMP_2012__SRS019387__bin.24	BritoIL_2016__W1.38.SA__bin.1	BritoIL_2016__M1.62.SA__bin.1	CM_periimplantitis__SP_162SPT_T016__bin.1	HMP_2012__SRS024470__bin.7	HMP_2012__SRS047265__bin.8	HMP_2012__SRS043018__bin.16	BritoIL_2016__W3.16.SA__bin.7	OhJ_2014__MET0313__bin.2
BritoIL_2016__W1.39.SA__bin.2	0.0	42949.0	65525.0	47191.0	71216.0	46540.0	46007.0	4259.0	44392.0	21768.0	46516.0	38421.0	49650.0	20541.0	67764.0	66047.0	38015.0	60638.0	52067.0	47702.0	26168.0	34011.0	47597.0	44907.0	63588.0	51208.0	44018.0	41836.0	51509.0	49592.0	47956.0	66153.0	47095.0	33320.0	37381.0	47045.0	24476.0	39769.0	31842.0	32741.0	46907.0
HMP_2012__SRS015154__bin.11	42949.0	0.0	63338.0	43188.0	70352.0	42634.0	41476.0	38169.0	42845.0	43366.0	36619.0	35200.0	3351.0	40178.0	65254.0	66094.0	34123.0	60651.0	50438.0	44094.0	48625.0	31712.0	3547.0	41379.0	60504.0	46458.0	33559.0	4234.0	46394.0	44242.0	9348.0	65452.0	3104.0	29477.0	34164.0	8575.0	48915.0	35211.0	4292.0	29300.0	17633.0
HMP_2012__SRS015803__bin.39	65525.0	63338.0	0.0	71201.0	3771.0	69915.0	69090.0	58208.0	62188.0	66543.0	72776.0	59305.0	73311.0	63290.0	48710.0	66947.0	58346.0	68785.0	71606.0	73160.0	74522.0	56076.0	70700.0	68121.0	4028.0	77895.0	68989.0	62372.0	76575.0	74800.0	69732.0	74140.0	68912.0	48084.0	59151.0	68980.0	73242.0	56839.0	49147.0	53670.0	68898.0
HMP_2012__SRS015044__bin.27	47191.0	43188.0	71201.0	0.0	77843.0	48593.0	48061.0	42254.0	45731.0	48364.0	49804.0	40530.0	51556.0	45891.0	74500.0	73810.0	39467.0	67169.0	55043.0	50948.0	53313.0	34870.0	47578.0	46475.0	68297.0	52949.0	48136.0	43243.0	2068.0	50548.0	49521.0	72060.0	48046.0	33385.0	39652.0	49067.0	53865.0	6261.0	32407.0	33504.0	48332.0
HMP_2012__SRS015799__bin.2	71216.0	70352.0	3771.0	77843.0	0.0	76887.0	76169.0	62126.0	67674.0	71410.0	79319.0	64105.0	78996.0	67878.0	50546.0	72943.0	62402.0	74436.0	79396.0	78572.0	80009.0	61500.0	76215.0	75298.0	1223.0	85121.0	75839.0	66098.0	83828.0	81796.0	75975.0	81829.0	74231.0	51716.0	64350.0	76110.0	79120.0	62122.0	52497.0	58317.0	75132.0
HMP_2012__SRS015440__bin.17	46540.0	42634.0	69915.0	48593.0	76887.0	0.0	47113.0	41595.0	37005.0	48030.0	48581.0	38935.0	49910.0	44468.0	69918.0	71590.0	37814.0	64535.0	55025.0	48285.0	53257.0	34510.0	46905.0	4596.0	69260.0	53449.0	46339.0	43605.0	52620.0	50098.0	48066.0	70269.0	47040.0	33049.0	37568.0	47134.0	53724.0	39635.0	32708.0	33361.0	48157.0
CM_periimplantitis__SP_403SPT_T016__bin.15	46007.0	41476.0	69090.0	48061.0	76169.0	47113.0	0.0	41284.0	44542.0	49050.0	46036.0	40311.0	48830.0	44514.0	72328.0	71507.0	4252.0	63976.0	54889.0	5129.0	51955.0	30496.0	46991.0	46131.0	67474.0	51549.0	45714.0	42201.0	51960.0	47883.0	47871.0	68736.0	46948.0	29330.0	36696.0	47050.0	53388.0	37757.0	32673.0	26784.0	46200.0
BritoIL_2016__W2.4.SA__bin.1	4259.0	38169.0	58208.0	42254.0	62126.0	41595.0	41284.0	0.0	38631.0	19572.0	41050.0	34918.0	44924.0	19282.0	59738.0	59200.0	34742.0	55496.0	47264.0	42022.0	23965.0	30074.0	42319.0	39783.0	55916.0	44823.0	41234.0	36953.0	45613.0	44688.0	43281.0	60063.0	42351.0	28968.0	32528.0	42380.0	22201.0	34919.0	28249.0	27880.0	41273.0
CM_periimplantitis__SP_186SPI_T016_R__bin.5	44392.0	42845.0	62188.0	45731.0	67674.0	37005.0	44542.0	38631.0	0.0	44834.0	44037.0	36027.0	49540.0	42535.0	65291.0	64930.0	35671.0	58477.0	50502.0	45630.0	50143.0	33133.0	47218.0	36437.0	61371.0	48012.0	43775.0	42465.0	48794.0	47236.0	48235.0	63376.0	46097.0	31435.0	35842.0	46424.0	49685.0	37213.0	31775.0	29988.0	44962.0
HMP_2012__SRS024447__bin.56	21768.0	43366.0	66543.0	48364.0	71410.0	48030.0	49050.0	19572.0	44834.0	0.0	49911.0	40456.0	51639.0	24898.0	68190.0	67383.0	40686.0	63441.0	54876.0	51091.0	30543.0	36100.0	50180.0	47436.0	64355.0	53444.0	48702.0	44905.0	52575.0	52092.0	49425.0	67329.0	49274.0	33693.0	39711.0	48630.0	2093.0	40877.0	33608.0	33921.0	47330.0
