	BritoIL_2016__W1.39.SA__bin.2	HMP_2012__SRS015154__bin.11	HMP_2012__SRS015803__bin.39	HMP_2012__SRS015044__bin.27	HMP_2012__SRS015799__bin.2	HMP_2012__SRS015440__bin.17	CM_periimplantitis__SP_403SPT_T016__bin.15	BritoIL_2016__W2.4.SA__bin.1	CM_periimplantitis__SP_186SPI_T016_R__bin.5	HMP_2012__SRS024447__bin.56	BritoIL_2016__W1.36.SA__bin.11	BritoIL_2016__WL.33.SA__bin.17	HMP_2012__SRS019591__bin.5	BritoIL_2016__W1.40.SA__bin.2	HMP_2012__SRS018573__bin.7	HMP_2012__SRS047100__bin.26	CM_periimplantitis__SP_164SPT_T016__bin.15	HMP_2012__SRS017691__bin.35	HMP_2012__SRS015947__bin.14	CM_periimplantitis__SP_164SPI_T016__bin.12	BritoIL_2016__M1.48.SA__bin.1	BritoIL_2016__W1.42.SA__bin.4	HMP_2012__SRS016360__bin.7	HMP_2012__SRS015470__bin.40	HMP_2012__SRS013881__bin.8	BritoIL_2016__WL.32.SA__bin.2	BritoIL_2016__WL.25.SA__bin.1	HMP_2012__SRS015158__bin.23	HMP_2012__SRS015650__bin.2	BritoIL_2016__W2.46.SA__bin.5	CM_periimplantitis__SP_162SPI_T016__bin.14	HMP_2012__SRS051244__bin.43	HMP_2012__SRS019387__bin.24	BritoIL_2016__W1.38.SA__bin.1	BritoIL_2016__M1.62.SA__bin.1	CM_periimplantitis__SP_162SPT_T016__bin.1	HMP_2012__SRS024470__bin.7	HMP_2012__SRS047265__bin.8	HMP_2012__SRS043018__bin.16	BritoIL_2016__W3.16.SA__bin.7	OhJ_2014__MET0313__bin.2
BritoIL_2016__W1.39.SA__bin.2	1.0	0.7419406743392133	0.8142282720845595	0.8213279764847173	0.8826928670088238	0.7789277013435251	0.7901528648191953	0.7457951945396417	0.7314962571729685	0.8111489688287589	0.8467619486808594	0.6691311045569707	0.8574955516260203	0.7674133520889387	0.8338370584663976	0.8196271438729662	0.6534481671814505	0.7421767782160721	0.7931320865721587	0.819083607313359	0.8989132586426737	0.7054651135786824	0.8235596281170412	0.7536170339823701	0.8002091205766464	0.885978415571576	0.7465024002972587	0.7144718958975431	0.880146041583035	0.862418345105351	0.8223404031791636	0.8113961314352129	0.8032215185183956	0.5958570681317271	0.7029995698154188	0.8156017663002909	0.8994153249662985	0.675116641950406	0.5456012244225408	0.657017925094801	0.8020111405641943
HMP_2012__SRS015154__bin.11	0.7131080238663002	1.0	0.7465297725558805	0.76700542981183	0.826875256756175	0.7358333036607784	0.7428595875213709	0.6351195148510694	0.6835095174498538	0.7133801256238544	0.810138341422869	0.6212864354616615	0.8656938674534943	0.6654466374972166	0.7512277794636513	0.7643992051652566	0.6006093591312727	0.6950005022190643	0.7435185839654473	0.7669475018986006	0.7934986812099387	0.6683430331586816	0.8287045033372324	0.7001502405602745	0.7266775046780776	0.8154894988385187	0.7240149464645107	0.7437715535681735	0.8269448765417993	0.7924607618105183	0.8258171423044361	0.7679429053984033	0.7885158177747285	0.5408027745876091	0.6477733094748277	0.8174749913506717	0.7934269356293336	0.6343228731819803	0.5742532215094314	0.6107568414725595	0.7795837587137665
HMP_2012__SRS015803__bin.39	0.728894980532151	0.69531207462032	1.0	0.7768864707111086	0.948462421061906	0.7495255547074774	0.7544684975255587	0.6550587203391257	0.6711067024245466	0.7529167124529886	0.812498824405248	0.6311231162022202	0.814386705830059	0.6966025064175099	0.8588246824409208	0.8240983559493015	0.6265647784882495	0.7240599449376167	0.7561024504839491	0.792813675904119	0.82772562261973	0.6704810385228788	0.7822674772578102	0.7257844805653151	0.8528001924510482	0.8357731255574794	0.7231585731299134	0.6982384393249562	0.8308910661728673	0.8308148381342149	0.7786822845048197	0.7935353673349985	0.7578754948635171	0.5508955804567148	0.6686975994107671	0.7643212190150347	0.8165498001736415	0.6279809370504897	0.5268382094528707	0.6290892135345357	0.7601262019528238
HMP_2012__SRS015044__bin.27	0.7346095507604535	0.7137600722446943	0.7762091020995372	1.0	0.8418494997816537	0.7670914735138231	0.7674801942812548	0.64970027452786	0.6994595000932238	0.7395649987116825	0.8233936707752705	0.6592160204389973	0.8382812805233586	0.7066053351678052	0.7939191411348173	0.7879637015910351	0.6252529034127804	0.7222105452130224	0.7671829663153178	0.798349370949898	0.8213254389058054	0.668866285496116	0.791354375358862	0.737966594741785	0.7534986105458065	0.8554918183180458	0.7352870920471984	0.7077818831394592	0.9321182759591042	0.8256725833660152	0.8004255157103032	0.7822876860085746	0.7735820223074287	0.5544997890720009	0.6709592451497688	0.7999467858084279	0.8127537997949572	0.6984698941700292	0.5349178567737066	0.636383373631379	0.7746962562629296
HMP_2012__SRS015799__bin.2	0.707575762948359	0.6896316501456485	0.8493069505291394	0.7544975524308147	1.0	0.7369288635868014	0.7380453841912384	0.6268081960324735	0.650788345989302	0.7189874102218148	0.7836950759624062	0.6112664419737283	0.7814434186894645	0.6676904024438459	0.8244017594839982	0.7935806492219372	0.5931734006584768	0.694792732288588	0.745412026686571	0.7556685915085927	0.7947153426508211	0.6478013541856891	0.7487380967999873	0.7112404681319577	0.8267806265280686	0.8156233987968704	0.7038277287160767	0.6579484388214081	0.8137086036356287	0.8021950112494216	0.7493909887612161	0.773733265488122	0.7272152673000857	0.5224257086071815	0.6447988489953531	0.7414437023628218	0.7919929649007409	0.6118151726241027	0.5000367888885145	0.6037686005506809	0.7394921183130655
HMP_2012__SRS015440__bin.17	0.6915375065473909	0.6796915767786199	0.7433378610760253	0.761422650462355	0.8161703740321276	1.0	0.7212885559708032	0.6304988878639969	0.6774309781053287	0.7158272833887479	0.7770912255881116	0.6269668558435125	0.789510527615385	0.666002314106872	0.7441453930668102	0.7611089647832598	0.5781295791850162	0.6814976012127216	0.736669463165496	0.7462518488555382	0.7896440526618856	0.6417640818606716	0.7515471969312802	0.8224666690557177	0.7466352424633211	0.8316268799663831	0.704448691282729	0.6741306513125954	0.81702797791535	0.7987630278964258	0.7499242785352106	0.7512772014328416	0.7279328997369262	0.5240671532803717	0.633370658165572	0.7414302201543295	0.7832368140334824	0.613116577674514	0.5044826616254416	0.6016147694410259	0.7279216090160824
CM_periimplantitis__SP_403SPT_T016__bin.15	0.7355281294683345	0.7194634858902286	0.7845317005329318	0.798758311295126	0.8570534444971737	0.7562730397490681	1.0	0.6622888784345375	0.6886914915191076	0.7562092155908007	0.8365169921527168	0.661328942505757	0.8349502120094419	0.716680443763196	0.7934331117674248	0.7988839007678458	0.687345007664046	0.7140806387357052	0.7621798626545291	0.86708310214233	0.840921373784124	0.6943630915186958	0.8053033757832614	0.7358292353762897	0.7713098055524958	0.8588482415929687	0.7596392493867219	0.7059538674866356	0.8632196817233346	0.8474926885309016	0.802778718555021	0.7880126907132762	0.7837272073121897	0.5662448438830207	0.6783272717540011	0.7936106870464753	0.822852445752039	0.6398330689434734	0.5305743453648735	0.6355110410646693	0.7812406386945283
BritoIL_2016__W2.4.SA__bin.1	0.8189061377737221	0.7255775887139715	0.803481712599943	0.7976045846455175	0.8585901085750818	0.7797947012348647	0.7812208761899211	1.0	0.7135476906469272	0.7971929428321807	0.8388428372199485	0.6800723469594059	0.8440612168447715	0.763400671376869	0.8158321812826832	0.8071160605271323	0.6584332232586124	0.7376281295858143	0.7882491440825276	0.8050912442329164	0.8977221879187378	0.7098714499688233	0.8032868202369915	0.7421416181408969	0.7811577334928901	0.8799493401284589	0.7744306076938162	0.6992343340843672	0.8554542236696471	0.8530991224986537	0.8048362448795219	0.8043790674673647	0.7856347935689163	0.5816911678545387	0.7039797506227752	0.7943630571508193	0.877585738979019	0.6506405644471401	0.5232489589044257	0.6473535013536216	0.7701842613184803
CM_periimplantitis__SP_186SPI_T016_R__bin.5	0.7295852835468435	0.7092876212661925	0.7477161338426913	0.7799855839996735	0.8097303038775953	0.7610451434789107	0.7379050915393961	0.6481453600498107	1.0	0.7344599211476769	0.7986276673598921	0.6259417414903409	0.8321848512874305	0.6959894951807873	0.7770555071161768	0.774352093435977	0.6086844544889517	0.6903091277988908	0.7449603284245032	0.7671551231123119	0.8102740749687166	0.6686492803305423	0.8040229133887362	0.735552426757729	0.7488538617950071	0.8248389781294826	0.7231692258651944	0.6973660191599343	0.8337775601222768	0.8169482308964557	0.7981169857875002	0.7646844390471763	0.7652574392131754	0.5540564165264499	0.6537584454102907	0.781496120529675	0.805793754132743	0.6370840854305194	0.535676291856173	0.6125647520519638	0.7631656301374925
HMP_2012__SRS024447__bin.56	0.7744483117423376	0.7086416598609145	0.8030081864355509	0.7894565129596126	0.8563469819678804	0.7698063224601435	0.775613956270381	0.693171529765905	0.7030657823676204	1.0	0.8396826997340874	0.6536842655410032	0.8419511664628021	0.7458821020245154	0.8259478384632075	0.8056377495669746	0.6465420532131508	0.7247025310007069	0.7686449012818395	0.8169748040233741	0.8903956275660149	0.6915851340200851	0.814946012392364	0.7628113994544488	0.78615385346349	0.8597742302813121	0.7444968433100292	0.7187381053313984	0.8470054602632942	0.8454628817710195	0.8067743585655603	0.7873290005284467	0.7892559038469965	0.5648244591076801	0.6973410317960165	0.7851328586640172	0.9064126814522622	0.6635843252486101	0.5331393056073942	0.6388275769956251	0.7687547083750609
