	HMP_2012__SRS015038__bin.19	HMP_2012__SRS022143__bin.25	HMP_2012__SRS050244__bin.42	HMP_2012__SRS016319__bin.3	FerrettiP_2018__CA_C10024MS2403SA_t0M15__bin.3	HMP_2012__SRS013705__bin.88	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.49	HMP_2012__SRS064329__bin.6	HMP_2012__SRS024277__bin.40	HMP_2012__SRS018145__bin.55	HMP_2012__SRS065278__bin.52	HMP_2012__SRS064774__bin.5	HMP_2012__SRS042643__bin.24	HMP_2012__SRS020220__bin.42	HMP_2012__SRS019389__bin.28	HMP_2012__SRS018739__bin.50	HMP_2012__SRS022077__bin.36	HMP_2012__SRS057205__bin.73	HMP_2012__SRS078182__bin.53	HMP_2012__SRS044373__bin.77	HMP_2012__SRS045715__bin.5	HMP_2012__SRS056323__bin.20	HMP_2012__SRS020334__bin.26	HMP_2012__SRS024081__bin.18	HMP_2012__SRS064423__bin.65	HMP_2012__SRS017209__bin.7	HMP_2012__SRS047824__bin.57	HMP_2012__SRS063288__bin.27	HMP_2012__SRS011306__bin.33	HMP_2012__SRS019607__bin.63	HMP_2012__SRS047219__bin.56	HMP_2012__SRS053603__bin.4	FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.26	HMP_2012__SRS017533__bin.11
HMP_2012__SRS015038__bin.19	0.0	25166.0	20441.0	22155.0	19263.0	22322.0	22398.0	20858.0	22391.0	22889.0	172.0	21326.0	21366.0	19672.0	20077.0	21510.0	19779.0	19926.0	21618.0	13957.0	23787.0	16200.0	28388.0	22337.0	140.0	17063.0	19253.0	21493.0	28374.0	25362.0	31151.0	22532.0	22192.0	19064.0
HMP_2012__SRS022143__bin.25	25166.0	0.0	19083.0	26970.0	19160.0	19280.0	22878.0	20352.0	15215.0	13582.0	25058.0	22820.0	21462.0	18492.0	22502.0	22597.0	20324.0	19169.0	22029.0	13773.0	23709.0	23200.0	26132.0	21809.0	25236.0	16244.0	19162.0	22463.0	23883.0	28235.0	27154.0	22886.0	21591.0	20247.0
HMP_2012__SRS050244__bin.42	20441.0	19083.0	0.0	22899.0	17048.0	13264.0	19232.0	18837.0	17504.0	17847.0	19770.0	19066.0	18294.0	17401.0	18790.0	18549.0	17540.0	16632.0	19346.0	12518.0	19850.0	17871.0	17941.0	19384.0	19754.0	14602.0	17629.0	19232.0	14692.0	22844.0	17931.0	19294.0	18768.0	17836.0
HMP_2012__SRS016319__bin.3	22155.0	26970.0	22899.0	0.0	21755.0	23144.0	25001.0	23878.0	25230.0	25659.0	21465.0	23016.0	23520.0	21238.0	21352.0	23562.0	22986.0	21892.0	23801.0	15161.0	25901.0	16019.0	30009.0	25968.0	21362.0	18551.0	20515.0	24492.0	29743.0	26452.0	31560.0	23881.0	24219.0	20971.0
FerrettiP_2018__CA_C10024MS2403SA_t0M15__bin.3	19263.0	19160.0	17048.0	21755.0	0.0	17672.0	18088.0	16071.0	16918.0	17093.0	18155.0	17323.0	16961.0	15157.0	18577.0	16394.0	14791.0	15525.0	17263.0	11507.0	17537.0	16136.0	23191.0	16825.0	18858.0	12981.0	15552.0	17035.0	22813.0	22623.0	25317.0	17088.0	17794.0	15600.0
HMP_2012__SRS013705__bin.88	22322.0	19280.0	13264.0	23144.0	17672.0	0.0	19937.0	18626.0	18421.0	18071.0	21636.0	19661.0	19048.0	18179.0	18725.0	19617.0	18784.0	16195.0	20552.0	13200.0	20260.0	18678.0	18518.0	20012.0	21489.0	15379.0	17848.0	20184.0	4922.0	23638.0	18530.0	21160.0	19959.0	17574.0
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.49	22398.0	22878.0	19232.0	25001.0	18088.0	19937.0	0.0	17783.0	20570.0	20446.0	21144.0	18995.0	20370.0	17074.0	21601.0	21211.0	12022.0	17498.0	18621.0	11783.0	21709.0	19731.0	25358.0	18820.0	21697.0	14269.0	17944.0	18911.0	25415.0	27033.0	27014.0	21078.0	19031.0	17764.0
HMP_2012__SRS064329__bin.6	20858.0	20352.0	18837.0	23878.0	16071.0	18626.0	17783.0	0.0	17865.0	18395.0	19973.0	16510.0	18391.0	15608.0	20627.0	18892.0	15980.0	16538.0	17559.0	11528.0	19567.0	18330.0	24607.0	2152.0	20196.0	13123.0	15863.0	17019.0	24289.0	24943.0	26235.0	19116.0	18324.0	15617.0
HMP_2012__SRS024277__bin.40	22391.0	15215.0	17504.0	25230.0	16918.0	18421.0	20570.0	17865.0	0.0	11951.0	22654.0	21011.0	20010.0	17751.0	21772.0	20138.0	17918.0	18594.0	19870.0	12807.0	20904.0	20795.0	24224.0	19351.0	22762.0	15229.0	17407.0	19792.0	22814.0	26654.0	25429.0	21167.0	20178.0	18746.0
HMP_2012__SRS018145__bin.55	22889.0	13582.0	17847.0	25659.0	17093.0	18071.0	20446.0	18395.0	11951.0	0.0	22181.0	19661.0	19304.0	17060.0	21351.0	19872.0	18185.0	17557.0	19974.0	12718.0	18939.0	20350.0	25220.0	19780.0	21944.0	15256.0	18154.0	19503.0	22517.0	26452.0	25660.0	21205.0	19915.0	18608.0
HMP_2012__SRS065278__bin.52	172.0	25058.0	19770.0	21465.0	18155.0	21636.0	21144.0	19973.0	22654.0	22181.0	0.0	21399.0	20215.0	18487.0	19286.0	20658.0	18546.0	19106.0	20063.0	13384.0	23804.0	16838.0	27116.0	21458.0	206.0	16650.0	18449.0	20151.0	26920.0	24453.0	29448.0	21308.0	21192.0	18642.0
HMP_2012__SRS064774__bin.5	21326.0	22820.0	19066.0	23016.0	17323.0	19661.0	18995.0	16510.0	21011.0	19661.0	21399.0	0.0	18470.0	15221.0	20630.0	18187.0	17130.0	17380.0	16563.0	11088.0	22234.0	19892.0	26519.0	18651.0	21812.0	13388.0	16518.0	18364.0	25643.0	25422.0	28369.0	20105.0	17613.0	7624.0
HMP_2012__SRS042643__bin.24	21366.0	21462.0	18294.0	23520.0	16961.0	19048.0	20370.0	18391.0	20010.0	19304.0	20215.0	18470.0	0.0	16706.0	21361.0	11352.0	17697.0	18549.0	19199.0	12522.0	20447.0	19069.0	25431.0	20011.0	21533.0	15388.0	16653.0	19589.0	23968.0	26297.0	26956.0	11359.0	19246.0	17414.0
