	HMP_2012__SRS015038__bin.19	HMP_2012__SRS022143__bin.25	HMP_2012__SRS050244__bin.42	HMP_2012__SRS016319__bin.3	FerrettiP_2018__CA_C10024MS2403SA_t0M15__bin.3	HMP_2012__SRS013705__bin.88	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.49	HMP_2012__SRS064329__bin.6	HMP_2012__SRS024277__bin.40	HMP_2012__SRS018145__bin.55	HMP_2012__SRS065278__bin.52	HMP_2012__SRS064774__bin.5	HMP_2012__SRS042643__bin.24	HMP_2012__SRS020220__bin.42	HMP_2012__SRS019389__bin.28	HMP_2012__SRS018739__bin.50	HMP_2012__SRS022077__bin.36	HMP_2012__SRS057205__bin.73	HMP_2012__SRS078182__bin.53	HMP_2012__SRS044373__bin.77	HMP_2012__SRS045715__bin.5	HMP_2012__SRS056323__bin.20	HMP_2012__SRS020334__bin.26	HMP_2012__SRS024081__bin.18	HMP_2012__SRS064423__bin.65	HMP_2012__SRS017209__bin.7	HMP_2012__SRS047824__bin.57	HMP_2012__SRS063288__bin.27	HMP_2012__SRS011306__bin.33	HMP_2012__SRS019607__bin.63	HMP_2012__SRS047219__bin.56	HMP_2012__SRS053603__bin.4	FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.26	HMP_2012__SRS017533__bin.11
HMP_2012__SRS015038__bin.19	1.0	0.9293646540660997	0.7441536159323714	0.9351882595125839	0.8082441621096556	0.7568586814344199	0.9299067080336723	0.8814152704787526	0.8719532629023515	0.8768255713573124	0.9744972101980273	0.9091495929962303	0.8858428167039104	0.8149464818226603	0.788245304901496	0.8947272511068866	0.8782262635185325	0.7652921763544014	0.9279593289649858	0.5673050343069199	0.9210547042099525	0.7286826853137349	0.9326077119917472	0.9227766135371415	0.9782730562114598	0.7328029131926053	0.8288252254311337	0.9219334184764731	0.9220600521669032	0.9396405147505085	0.9259625318707657	0.9455228041023138	0.9131864279570125	0.8177138912525462
HMP_2012__SRS022143__bin.25	0.8959833964106947	1.0	0.725454171890028	0.8895203242106893	0.7852476394376934	0.7315599215081395	0.8899014682980427	0.8678829530329243	0.8947476558149784	0.8597791746443896	0.8857118610253372	0.8994509142991565	0.8497294770286246	0.771541340733881	0.7540310453769902	0.8591568378142578	0.8401800310275108	0.7331991388525776	0.8911759188401309	0.5349059497187574	0.9308149039248907	0.7299534587337083	0.8937724629352264	0.9039263796373771	0.8858145912676316	0.7054232634866942	0.7889295508752915	0.8937322641447633	0.8809267161161417	0.8992350319059289	0.8974603297491893	0.8907203325482163	0.8610580917187514	0.7927454582810998
HMP_2012__SRS050244__bin.42	0.9159071599231338	0.9261578874339728	1.0	0.9196763408343138	0.8052951004449648	0.7722088008378492	0.9228771984512715	0.8980078272753365	0.8743815445088375	0.8715456302781363	0.8923474032947545	0.897433801740704	0.8795515758141373	0.8129246981138889	0.7925258834195955	0.8960424550806012	0.8644805544098276	0.7993001450269811	0.9144739968333558	0.5827898781431224	0.9092545461111671	0.7128009594969864	0.9238655867890494	0.9261445822063489	0.8854647991195741	0.741460419798939	0.8461763626929021	0.9185149845374248	0.9073728067757822	0.9150404193807747	0.9197409662256301	0.9190053772127069	0.8898251122866174	0.8401947125025423
HMP_2012__SRS016319__bin.3	0.9118806543711074	0.8996654057895942	0.7285931984917662	1.0	0.7864665526255556	0.7321921191167435	0.8983568442736505	0.8624459408993989	0.8527062678440207	0.8508450687258315	0.876698570069027	0.883994289913385	0.860381455469757	0.7942697353362808	0.7909343340039272	0.8764651672669888	0.8560507041235499	0.7485288094348942	0.906577140378986	0.5533859970365373	0.891446615508788	0.7051369697991833	0.9056420233463035	0.9098824252207539	0.8702250304176555	0.7132563756610569	0.8046764886581297	0.8898022551228151	0.8882482442085988	0.9350613171748322	0.9012947079302743	0.9142914794424836	0.9050110828685355	0.802678259507776
FerrettiP_2018__CA_C10024MS2403SA_t0M15__bin.3	0.8829534354454768	0.8897910913087709	0.7147619473400962	0.8811229748948539	1.0	0.7381024281860558	0.8937219420764677	0.8580051860237167	0.8313580667637289	0.8532729815587426	0.8430561436835614	0.8616019988291801	0.8346495216340193	0.7778765645376526	0.7586811911321356	0.8328646117146101	0.8355048612645868	0.7173262791713834	0.8879926849060392	0.5445122455280246	0.8824085149313282	0.6714331746934189	0.8816830789527403	0.8838323939218587	0.8454416471108247	0.7036560286260412	0.782841583339941	0.8793751803045818	0.8811347843177612	0.8896105758443316	0.887486566781443	0.8870091286839072	0.8640313658272416	0.7730009599373763
HMP_2012__SRS013705__bin.88	0.9397307133297286	0.9421601224100045	0.7789947193428516	0.9323408612418173	0.8388996905235789	1.0	0.9425512821987782	0.9008850948945978	0.9060833016954093	0.9161441615566626	0.9143360062585566	0.9128787443003801	0.8864466968089798	0.8331645977381761	0.789419894693649	0.9038149584105107	0.8884696065009223	0.7804711558004779	0.9408083201988012	0.5921526443552191	0.9405417946564505	0.7278946783094228	0.9404593443088168	0.9386818682098304	0.9042598067977435	0.7894122248938692	0.852210628041555	0.9373070565992875	0.9647994539102557	0.9383060480206165	0.9377327304870706	0.9404535919589819	0.9256815575829394	0.8366984579867542
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.49	0.901380177536937	0.8947397571965331	0.7268146640120953	0.8930557010912683	0.7930048051734203	0.7358427016750745	1.0	0.8596335493914944	0.8485442270556711	0.8402077750999206	0.8654775983114531	0.8719039564091433	0.8425310240558058	0.786341930751613	0.7449141505621005	0.8594793646991902	0.8473032648234361	0.7343697139350029	0.8942622337320181	0.5454440668832238	0.8856967501459515	0.6940796072032693	0.9095250213313774	0.8974207745161146	0.8621798422226546	0.7107674805023726	0.7967067347274823	0.8856099276978578	0.8840082032244061	0.8984761163420805	0.8860889481011331	0.8894495756178614	0.8697827941858899	0.7855380746373666
HMP_2012__SRS064329__bin.6	0.946470236091465	0.9666599782100032	0.7834614919017162	0.9497719015171742	0.8433756917163188	0.7791250503707119	0.952294168273831	1.0	0.9085267872689373	0.9142744378794386	0.9066595470532927	0.9301857787933914	0.8953997237280462	0.8294277721303619	0.8134766321354363	0.9111236773024183	0.9006349611710216	0.7873850179676267	0.9507370292307666	0.5760751141321562	0.9491616489422565	0.7345965119422118	0.9558031205796073	0.9885030404839569	0.9035950178183803	0.7683195998865726	0.8476557512159448	0.9455880231298992	0.9407524347916932	0.9556107583549049	0.9497155194857959	0.9495413985065395	0.9209523920076812	0.8477900731142284
HMP_2012__SRS024277__bin.40	0.8869741160059129	0.9440706535484651	0.7226530897574662	0.889566128522977	0.7741241746796508	0.7423303920536751	0.890478831112319	0.8606549779993119	1.0	0.8692243284723935	0.8870369526729933	0.887712446844107	0.8361015503376685	0.7855274588380557	0.7649673013693681	0.8542833399573653	0.8343169889925869	0.7544374468833799	0.8824750106429605	0.5352820031072731	0.9327286351404636	0.7061663192322616	0.8842501464879802	0.9014061275175903	0.870058485227885	0.7234495445127095	0.7894249031137139	0.8765369456038682	0.8819440408061316	0.9032975111967086	0.8856875352474429	0.8906924757803921	0.8707638268158618	0.7925808747178241
HMP_2012__SRS018145__bin.55	0.914839759599117	0.930475484588241	0.7388105634597103	0.9104232795707587	0.8149380468233891	0.7698516024040089	0.9043778096450381	0.8883457132268824	0.8915505212445418	1.0	0.8864524757101655	0.8828625751252759	0.8573062855485555	0.7931343956946973	0.7752976813882667	0.872321673138585	0.8650242495528737	0.7515073393165009	0.9071105167329971	0.5580684143531572	0.9157871839904613	0.7106424117429064	0.9293411533441825	0.9231168328956061	0.873878156067222	0.7404250519633276	0.8130931472858225	0.904506710922772	0.915358587241996	0.9210350772602034	0.9085058730644667	0.9147011907255531	0.891713259107681	0.8044535391457068
