	HMP_2012__SRS015038__bin.19	HMP_2012__SRS022143__bin.25	HMP_2012__SRS050244__bin.42	HMP_2012__SRS016319__bin.3	FerrettiP_2018__CA_C10024MS2403SA_t0M15__bin.3	HMP_2012__SRS013705__bin.88	FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.49	HMP_2012__SRS064329__bin.6	HMP_2012__SRS024277__bin.40	HMP_2012__SRS018145__bin.55	HMP_2012__SRS065278__bin.52	HMP_2012__SRS064774__bin.5	HMP_2012__SRS042643__bin.24	HMP_2012__SRS020220__bin.42	HMP_2012__SRS019389__bin.28	HMP_2012__SRS018739__bin.50	HMP_2012__SRS022077__bin.36	HMP_2012__SRS057205__bin.73	HMP_2012__SRS078182__bin.53	HMP_2012__SRS044373__bin.77	HMP_2012__SRS045715__bin.5	HMP_2012__SRS056323__bin.20	HMP_2012__SRS020334__bin.26	HMP_2012__SRS024081__bin.18	HMP_2012__SRS064423__bin.65	HMP_2012__SRS017209__bin.7	HMP_2012__SRS047824__bin.57	HMP_2012__SRS063288__bin.27	HMP_2012__SRS011306__bin.33	HMP_2012__SRS019607__bin.63	HMP_2012__SRS047219__bin.56	HMP_2012__SRS053603__bin.4	FerrettiP_2018__CA_C10002MS2015SA_t0M15__bin.26	HMP_2012__SRS017533__bin.11
HMP_2012__SRS015038__bin.19	1.0	0.9581819813292832	0.9575795810877276	0.9634145737314823	0.9631941578392259	0.9544536354250409	0.9628032264439532	0.9634550389050178	0.9603433801729299	0.9596866375355113	0.9997274267340494	0.9637749104819368	0.962752085018549	0.9627218082727569	0.9606655721389136	0.9628734019251979	0.9652197002201575	0.9597905378817689	0.9640232455965172	0.9620063644851926	0.9601168310091764	0.9656669824456553	0.9529920615733121	0.9626179016353936	0.999778994361199	0.964041330447592	0.964126738650444	0.9639974806779389	0.9524777747258268	0.9583171721023187	0.9480465981203979	0.9631987012074916	0.9624705321297026	0.9639962228517469
HMP_2012__SRS022143__bin.25	0.9581819813292832	1.0	0.9608361039280877	0.9548586760218727	0.9636722845696323	0.9607620466418784	0.9617241050470711	0.9650863577413179	0.9746825122136287	0.9764806114833215	0.9578785642604879	0.9622264854906336	0.9623955944218905	0.9643159692405662	0.9555695087806593	0.9608413639411988	0.9639847816032479	0.9610751692516377	0.9631972253825374	0.9616645698571572	0.9620773105265095	0.952680294198033	0.956469375142634	0.9640787109249538	0.9575842734399161	0.9657159259274893	0.9638380506289937	0.9625795037698697	0.959635616924546	0.9532519181035196	0.9549528028003119	0.9617459211082752	0.9626672891378774	0.9619743941764312
HMP_2012__SRS050244__bin.42	0.9575795810877276	0.9608361039280877	1.0	0.9526733491784644	0.9597614197742127	0.9673514396971442	0.9603900035836831	0.960129114191978	0.9619494804573714	0.9610776223044176	0.9578888623815691	0.9596185941696248	0.9604659203872585	0.9593137037132295	0.9549351848520824	0.9606525870992924	0.9614345299476046	0.9604488738915483	0.9597890724216556	0.9591730237988852	0.9585046627380234	0.9523453978683292	0.9630884634217597	0.9602177923994311	0.9575958836623727	0.9625675166436377	0.960400376476085	0.9602018876787677	0.9692234858403317	0.9525478229620844	0.9629435980524258	0.9600948920055347	0.9599098569887535	0.9596501626571712
HMP_2012__SRS016319__bin.3	0.9634145737314823	0.9548586760218727	0.9526733491784644	1.0	0.9583463371390606	0.9524021059559066	0.9580933575599911	0.9583091804309111	0.9554454396473779	0.9545887341691502	0.9631315430131998	0.9607937995060046	0.9588357086226239	0.9597357170617956	0.9593488814850072	0.9595189416716777	0.9595667844634851	0.9559595967724089	0.9604665416487417	0.9587452414577534	0.9562482369058056	0.965791322583194	0.9501035871412277	0.957023841441012	0.9630355109654511	0.9608351894271268	0.9616094285671513	0.9585518533373272	0.9495774528501801	0.9574016487294734	0.9472716063614902	0.9606683465915642	0.9597026324152631	0.9606584010100385
FerrettiP_2018__CA_C10024MS2403SA_t0M15__bin.3	0.9631941578392259	0.9636722845696323	0.9597614197742127	0.9583463371390606	1.0	0.9596075957468206	0.9658556567141922	0.9684002516811514	0.965668597867224	0.9662043398744501	0.9636695823052556	0.9660806873541252	0.9657170693056499	0.9671274648437161	0.9586907890933187	0.966792119559713	0.970133853482028	0.9634871693560336	0.9672027433956171	0.9643479015237423	0.9664713361183073	0.9594562677454207	0.9556250777340872	0.9678844182641743	0.9623692712313897	0.9688772207437244	0.9664847088639239	0.9673187567506384	0.9563212008654196	0.9570976685618057	0.9518738534944065	0.9674992201943048	0.9652564082537997	0.9659532861626298
HMP_2012__SRS013705__bin.88	0.9544536354250409	0.9607620466418784	0.9673514396971442	0.9524021059559066	0.9596075957468206	1.0	0.9594417828771373	0.9603562952951568	0.9610175517304136	0.9621781817649065	0.9546272412708399	0.9587031863723245	0.9587977633813175	0.958162741618855	0.954518184225036	0.958382393187416	0.9594613259668509	0.960212364508299	0.9581132198526054	0.9572570695835478	0.9586966404834083	0.9507976481497091	0.9622446857529655	0.9591213918173331	0.9544333591323063	0.9626450392155435	0.9598425019687253	0.9587095718347892	0.9902179788857797	0.9516952044646889	0.9621103686315565	0.9568577958737622	0.9586570747379171	0.9597259143826199
FerrettiP_2018__CA_C10035MS2597SA_t0M15__bin.49	0.9628032264439532	0.9617241050470711	0.9603900035836831	0.9580933575599911	0.9658556567141922	0.9594417828771373	1.0	0.9690332444654957	0.9637119323704735	0.9635728080615161	0.9634291249037904	0.9673882065316297	0.9638082851843166	0.9674966685703408	0.956591811102738	0.9630572072495724	0.9787606179243283	0.96433208787132	0.9688296166349176	0.9676622581804909	0.9633090631295718	0.9574456613165512	0.9582646192333646	0.968607382102538	0.9623291119900271	0.9699482323604611	0.9662848725348725	0.9680349011348616	0.956963410008399	0.9549606886934384	0.9543631553517791	0.9645258415393341	0.9672467175293998	0.9661485280021648
HMP_2012__SRS064329__bin.6	0.9634550389050178	0.9650863577413179	0.960129114191978	0.9583091804309111	0.9684002516811514	0.9603562952951568	0.9690332444654957	1.0	0.9673917805018727	0.9666354696064454	0.9634690585321779	0.9705666849102115	0.9659395649983702	0.9687945474429642	0.9579512791764346	0.9656155243395931	0.9705768087069078	0.9651696657231432	0.9693732317964425	0.966815394801232	0.965814190771037	0.958621436940018	0.9573074567513971	0.9963898432467253	0.9629359104706603	0.9716761022103562	0.9689667247696909	0.9701534678902944	0.9571849864533996	0.95671579371153	0.9541911556714964	0.9666154966547387	0.9670052452368819	0.9694528227336565
HMP_2012__SRS024277__bin.40	0.9603433801729299	0.9746825122136287	0.9619494804573714	0.9554454396473779	0.965668597867224	0.9610175517304136	0.9637119323704735	0.9673917805018727	1.0	0.9784014038816388	0.9598804240412848	0.9628184437224381	0.9624040372915876	0.9645011239010967	0.9552895949531375	0.9629688201069487	0.9662626011575931	0.9612829071343646	0.9646288971407617	0.962414708946573	0.9647931445663817	0.953740058951115	0.9569647958386037	0.9662762347749861	0.9589025266586502	0.9669313634162601	0.9653609273170489	0.9645290674542724	0.959363756189662	0.9536462653887825	0.9548973666333808	0.9626677060754265	0.9635975269843389	0.9628449222450816
HMP_2012__SRS018145__bin.55	0.9596866375355113	0.9764806114833215	0.9610776223044176	0.9545887341691502	0.9662043398744501	0.9621781817649065	0.9635728080615161	0.9666354696064454	0.9784014038816388	1.0	0.9596825644949915	0.9641177447525328	0.9637190595222433	0.9653423207643379	0.955627186064056	0.9632944149216183	0.9661271094885072	0.9623569921613695	0.9645209421293829	0.9632803432326463	0.9666781029795993	0.9538596881050956	0.9562742619764658	0.9654747483915561	0.9595394160651234	0.966800861750049	0.9640251273210074	0.9652578362702275	0.9603643027007617	0.9537246642011679	0.9544911199157217	0.9626469329265392	0.9640149324929891	0.962729435894149
