	CM_madagascar__A14_01_1FE__bin.15	RampelliS_2015__H18__bin.17	HMP_2012__SRS049959__bin.75	BritoIL_2016__M2.48.ST__bin.10	CM_madagascar__A53_01_1FE__bin.6	BritoIL_2016__M2.31.ST__bin.48	CM_madagascar__A56_01_1FE__bin.28	CM_madagascar__A55_02_1FE__bin.58	ZeeviD_2015__PNP_Main_654__bin.4	ZeeviD_2015__PNP_Main_660__bin.34	BritoIL_2016__WL.17.ST__bin.18	BritoIL_2016__M1.24.ST__bin.37	NielsenHB_2014__MH0065__bin.14	CosteaPI_2017__SID713A074-11-0-0__bin.18	BritoIL_2016__M1.65.ST__bin.19	CM_madagascar__A25_01_1FE__bin.10	ZeeviD_2015__PNP_Main_618__bin.4	BritoIL_2016__W1.1.ST__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.91	LiuW_2016__SRR3993044__bin.128	ZeeviD_2015__PNP_Main_22__bin.20	BritoIL_2016__WL.15.ST__bin.63	BritoIL_2016__W3.20.ST__bin.30	BritoIL_2016__M1.27.ST__bin.1	BritoIL_2016__M2.52.ST__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES64__bin.3	ZeeviD_2015__PNP_Main_415__bin.68	LeChatelierE_2013__MH0065__bin.14	BritoIL_2016__W2.15.ST__bin.66	BritoIL_2016__M2.32.ST__bin.43	BritoIL_2016__M2.38.ST__bin.34
CM_madagascar__A14_01_1FE__bin.15	1.0	0.8780361132793947	0.8988598958397865	0.7739894765969925	0.6737177183874579	0.905739549905628	0.9062563241604612	0.9067343790655317	0.8970462814969005	0.8895646706067477	0.9013064424867941	0.895289971791663	0.8801532873244207	0.8873241109004778	0.8192596240815772	0.9049104395627088	0.5892924993908155	0.9066280299181834	0.9138195038141141	0.864620116715608	0.6540797804457992	0.7893342130369599	0.8994303609262907	0.9065887943104238	0.8971567607082234	0.9087131959674055	0.8898862993387768	0.9082692140901262	0.6255193555448174	0.7160875284458157	0.7170204066460989
RampelliS_2015__H18__bin.17	0.8317573776488649	1.0	0.8454311467528955	0.7313324442449131	0.6293273982524376	0.8381863965559316	0.8476690282772176	0.8500115659742243	0.856332994423391	0.8294300004254713	0.8427736624427631	0.8435023432712683	0.8263592709474954	0.838535576496571	0.7676148809340416	0.845537270068188	0.5502919369265612	0.8470489160016843	0.8436906265725934	0.8004099196445994	0.6157915405535334	0.7464934069056446	0.8419163621123137	0.8384587960334332	0.83278975699717	0.8432749361670704	0.8338906030005022	0.8468493846070331	0.5906427600669213	0.6681166926106384	0.6789642560046479
HMP_2012__SRS049959__bin.75	0.865980622314181	0.8598251233487187	1.0	0.7685585110615948	0.6557725210886519	0.8777201376730861	0.8838731497692185	0.8854791699824924	0.8873826197676269	0.8762419425433711	0.8910288675791819	0.8646411944930765	0.867708996498488	0.8809346649689639	0.7826739813783224	0.8787392567244947	0.5772441508833359	0.8844366743593824	0.8819229468406813	0.8507097525067643	0.6355075202928537	0.7921962040426548	0.8882331290784656	0.8761389861531117	0.8848778449785135	0.8785373229349038	0.8812455236352061	0.8937360735317523	0.6168196920261022	0.7144994429412701	0.706652375457584
BritoIL_2016__M2.48.ST__bin.10	0.808083911410076	0.8060314020988633	0.8328794959278603	1.0	0.6276463517832792	0.8311218192304167	0.8305785079421546	0.8329678918120618	0.8292676616593633	0.8255997714642994	0.8370432654733222	0.8184989947663168	0.8188924642508718	0.827387093122908	0.7478237903508346	0.8268777387901621	0.5529421276458127	0.836615839033251	0.8311153512388899	0.7934339106015771	0.6028868802181869	0.7456262902295598	0.8359674228826761	0.8315422386796674	0.8676568083695811	0.829602380220882	0.8297435980358866	0.8325873583105606	0.5829002474006759	0.676782066415493	0.6858981614734085
CM_madagascar__A53_01_1FE__bin.6	0.9385046659072341	0.9254454474323126	0.948190306879768	0.8374368577905117	1.0	0.9339897821809521	0.9551733462206727	0.9564498544421048	0.9460306707169733	0.9463154579032759	0.954651236379118	0.9347146950188132	0.9273922123649418	0.9473452943951579	0.839873370384434	0.9536142082916221	0.6250323621802616	0.9443492756624898	0.9422306315946932	0.922324294935966	0.7149898742333759	0.8606283153255779	0.9544585016166708	0.9293655862013418	0.9441723624103927	0.9417682119967321	0.9465865810579125	0.9447742989632596	0.7084613437352573	0.7519676205599088	0.8107510039467477
BritoIL_2016__M2.31.ST__bin.48	0.902461456792308	0.8816204504817773	0.9077478380207936	0.7931742566556861	0.6680500315835174	1.0	0.9094329781302146	0.9133078744807238	0.9064880980549903	0.9061105361379223	0.9121926779736345	0.8985191754130033	0.8882833381000096	0.902071549526453	0.8641733863085967	0.9062319320676607	0.5944264865343108	0.9262854080034896	0.915335598018983	0.8618447448936551	0.6556784489303784	0.8062824451197808	0.9104236923703687	0.972255371769891	0.903069979609599	0.9144657653190347	0.9072560816274461	0.9118516377133945	0.6340133905883175	0.721183383983556	0.7305406439745438
CM_madagascar__A56_01_1FE__bin.28	0.8799864249832443	0.8688943128800742	0.8908379164053677	0.7724745982261243	0.6658074503180956	0.8862786557926171	1.0	0.9785667128357598	0.8934621857080338	0.8814376684658076	0.8986585898324728	0.885031438595858	0.8748291217194754	0.8847316653307206	0.7974841102624219	0.9695569722098153	0.580790148187249	0.9041447413603391	0.8988666264629612	0.8546069586498373	0.645519617854255	0.7946553133808659	0.8980695704569938	0.8938406619875969	0.8813594667444673	0.8954177300346243	0.8800190090338026	0.9025887276229033	0.6167393792287205	0.7139591576471508	0.7103859405336065
CM_madagascar__A55_02_1FE__bin.58	0.882266600024614	0.8730926014763392	0.8942973323923074	0.7762946851288595	0.6680723451388557	0.8918906835917387	0.9805850602918017	1.0	0.9057805282973374	0.8848480586316109	0.9037621782909329	0.8900441294295826	0.8786930455334337	0.889007828766762	0.8017064049207956	0.966785132124567	0.5850000125581758	0.912140490823741	0.9022878484579816	0.8574305470090192	0.6483896651236855	0.799582566238098	0.9028504547315438	0.8992658490457043	0.885174571201089	0.8978050820425622	0.8840307725538558	0.9065561212316053	0.6189507895325094	0.7132807731817645	0.713215470667869
ZeeviD_2015__PNP_Main_654__bin.4	0.8952880741130038	0.9022073144341052	0.9192691748848425	0.7927226636164096	0.6777892849414165	0.9079976504776331	0.9183309116765078	0.9290758545357117	1.0	0.9049453323852804	0.9175935944600736	0.9057475706144825	0.8968513308807617	0.9119598932410012	0.8182402283570862	0.9173467915623293	0.5961737822157646	0.9219654578992384	0.9223384960995868	0.8765367215919044	0.6656840922908874	0.8127389453942148	0.9169907564843727	0.9096098556280334	0.9063050669304726	0.9214842180109438	0.9047845755917601	0.9185560742366629	0.6373872899083892	0.7318349975783432	0.7324527776919035
ZeeviD_2015__PNP_Main_660__bin.34	0.8806761438152354	0.8668304570354386	0.9004229859866726	0.7828649787433698	0.6725369857188565	0.900315143981854	0.8986806476244604	0.9003008331944846	0.8976625373230446	1.0	0.9099631701665061	0.8872836387834604	0.8815388798537848	0.8953084128007949	0.8094114893134196	0.8972562131816663	0.587111807115119	0.8963326562967976	0.9030919478310468	0.8594159358794949	0.6511050483346843	0.7972376091580862	0.9079335938578099	0.9015780709671946	0.8972582575798618	0.9011318810610017	0.9125682445672673	0.9026299138388381	0.6331143442132798	0.7170936221931691	0.7256974719994111
