	CM_madagascar__A14_01_1FE__bin.15	RampelliS_2015__H18__bin.17	HMP_2012__SRS049959__bin.75	BritoIL_2016__M2.48.ST__bin.10	CM_madagascar__A53_01_1FE__bin.6	BritoIL_2016__M2.31.ST__bin.48	CM_madagascar__A56_01_1FE__bin.28	CM_madagascar__A55_02_1FE__bin.58	ZeeviD_2015__PNP_Main_654__bin.4	ZeeviD_2015__PNP_Main_660__bin.34	BritoIL_2016__WL.17.ST__bin.18	BritoIL_2016__M1.24.ST__bin.37	NielsenHB_2014__MH0065__bin.14	CosteaPI_2017__SID713A074-11-0-0__bin.18	BritoIL_2016__M1.65.ST__bin.19	CM_madagascar__A25_01_1FE__bin.10	ZeeviD_2015__PNP_Main_618__bin.4	BritoIL_2016__W1.1.ST__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.91	LiuW_2016__SRR3993044__bin.128	ZeeviD_2015__PNP_Main_22__bin.20	BritoIL_2016__WL.15.ST__bin.63	BritoIL_2016__W3.20.ST__bin.30	BritoIL_2016__M1.27.ST__bin.1	BritoIL_2016__M2.52.ST__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES64__bin.3	ZeeviD_2015__PNP_Main_415__bin.68	LeChatelierE_2013__MH0065__bin.14	BritoIL_2016__W2.15.ST__bin.66	BritoIL_2016__M2.32.ST__bin.43	BritoIL_2016__M2.38.ST__bin.34
CM_madagascar__A14_01_1FE__bin.15	1937016.0	1728642.0	1768909.0	1522268.0	1326258.0	1781058.0	1782516.0	1783647.0	1765759.0	1749035.0	1773982.0	1761528.0	1731851.0	1745816.0	1609989.0	1780029.0	1159632.0	1783720.0	1797384.0	1701580.0	1286171.0	1553015.0	1770256.0	1782843.0	1764458.0	1787199.0	1750446.0	1787797.0	1229822.0	1408784.0	1409089.0
RampelliS_2015__H18__bin.17	1728642.0	2044791.0	1756597.0	1517862.0	1306819.0	1739827.0	1760455.0	1765847.0	1778459.0	1721745.0	1750507.0	1751624.0	1715691.0	1741707.0	1592997.0	1756463.0	1142828.0	1758799.0	1751158.0	1662757.0	1277669.0	1550002.0	1748675.0	1741142.0	1728772.0	1750442.0	1731003.0	1758670.0	1225200.0	1387534.0	1408643.0
HMP_2012__SRS049959__bin.75	1768909.0	1756597.0	2010560.0	1566395.0	1338758.0	1789239.0	1803932.0	1807290.0	1808730.0	1787530.0	1817606.0	1763848.0	1768592.0	1795519.0	1595641.0	1793782.0	1176746.0	1803318.0	1798369.0	1734511.0	1294518.0	1615740.0	1811809.0	1786765.0	1804630.0	1791277.0	1797847.0	1822089.0	1257056.0	1457243.0	1440191.0
BritoIL_2016__M2.48.ST__bin.10	1522268.0	1517862.0	1566395.0	1855290.0	1181313.0	1560767.0	1562573.0	1567507.0	1559938.0	1552353.0	1574377.0	1538486.0	1540377.0	1556183.0	1403362.0	1556241.0	1040321.0	1571141.0	1562557.0	1492458.0	1133364.0	1400996.0	1572290.0	1562275.0	1614124.0	1559698.0	1560888.0	1566187.0	1095624.0	1270241.0	1282205.0
CM_madagascar__A53_01_1FE__bin.6	1326258.0	1306819.0	1338758.0	1181313.0	1390512.0	1317164.0	1347599.0	1349541.0	1335132.0	1334904.0	1347134.0	1319394.0	1308859.0	1336427.0	1184528.0	1345294.0	882260.0	1332783.0	1329217.0	1302337.0	1008486.0	1214473.0	1346834.0	1310473.0	1332019.0	1328621.0	1334815.0	1333903.0	999619.0	1061613.0	1143169.0
BritoIL_2016__M2.31.ST__bin.48	1781058.0	1739827.0	1789239.0	1560767.0	1317164.0	1944052.0	1793317.0	1800965.0	1786969.0	1785212.0	1797906.0	1770695.0	1751103.0	1778531.0	1695788.0	1787527.0	1172008.0	1824144.0	1804131.0	1699716.0	1292021.0	1588244.0	1794465.0	1907157.0	1777381.0	1802351.0	1787630.0	1797857.0	1249103.0	1419783.0	1437328.0
CM_madagascar__A56_01_1FE__bin.28	1782516.0	1760455.0	1803932.0	1562573.0	1347599.0	1793317.0	1994841.0	1960448.0	1809205.0	1783264.0	1819361.0	1791545.0	1771222.0	1791505.0	1614127.0	1943824.0	1176099.0	1830914.0	1818959.0	1730604.0	1306813.0	1608427.0	1818124.0	1809843.0	1784405.0	1811769.0	1781411.0	1827996.0	1247631.0	1445855.0	1437484.0
CM_madagascar__A55_02_1FE__bin.58	1783647.0	1765847.0	1807290.0	1567507.0	1349541.0	1800965.0	1960448.0	1990735.0	1830331.0	1786583.0	1826816.0	1797850.0	1775347.0	1796544.0	1619225.0	1934561.0	1182706.0	1843215.0	1822472.0	1732963.0	1310054.0	1615723.0	1824973.0	1817391.0	1788864.0	1813304.0	1785971.0	1832309.0	1249453.0	1441775.0	1440014.0
ZeeviD_2015__PNP_Main_654__bin.4	1765759.0	1778459.0	1808730.0	1559938.0	1335132.0	1786969.0	1809205.0	1830331.0	1940820.0	1781081.0	1807265.0	1783618.0	1764292.0	1795035.0	1610320.0	1807442.0	1173567.0	1814951.0	1815861.0	1725891.0	1308623.0	1600453.0	1806070.0	1791102.0	1784444.0	1814161.0	1781254.0	1807446.0	1253999.0	1440946.0	1441245.0
ZeeviD_2015__PNP_Main_660__bin.34	1749035.0	1721745.0	1787530.0	1552353.0	1334904.0	1785212.0	1783264.0	1786583.0	1781081.0	1956566.0	1805771.0	1759740.0	1749247.0	1776774.0	1604938.0	1780721.0	1165029.0	1777879.0	1790027.0	1705523.0	1291144.0	1581382.0	1801661.0	1787806.0	1779499.0	1785921.0	1809468.0	1791284.0	1255462.0	1422539.0	1439272.0
BritoIL_2016__WL.17.ST__bin.18	1773982.0	1750507.0	1817606.0	1574377.0	1347134.0	1797906.0	1819361.0	1826816.0	1807265.0	1805771.0	1987074.0	1782903.0	1790124.0	1802973.0	1608435.0	1816636.0	1215558.0	1825462.0	1817686.0	1735642.0	1304792.0	1611397.0	1990348.0	1798634.0	1795017.0	1814634.0	1803289.0	1838391.0	1260471.0	1450897.0	1440395.0
BritoIL_2016__M1.24.ST__bin.37	1761528.0	1751624.0	1763848.0	1538486.0	1319394.0	1770695.0	1791545.0	1797850.0	1783618.0	1759740.0	1782903.0	2003806.0	1737681.0	1752051.0	1591443.0	1792027.0	1157327.0	1803833.0	1796490.0	1693810.0	1288833.0	1568919.0	1781002.0	1775876.0	1777489.0	1787027.0	1762167.0	1794671.0	1246368.0	1425720.0	1429059.0
NielsenHB_2014__MH0065__bin.14	1731851.0	1715691.0	1768592.0	1540377.0	1308859.0	1751103.0	1771222.0	1775347.0	1764292.0	1749247.0	1790124.0	1737681.0	1962863.0	1754629.0	1581014.0	1767291.0	1170085.0	1772642.0	1780095.0	1686642.0	1299655.0	1568211.0	1787747.0	1756275.0	1740477.0	1774598.0	1748991.0	1926333.0	1230047.0	1414552.0	1413396.0
CosteaPI_2017__SID713A074-11-0-0__bin.18	1745816.0	1741707.0	1795519.0	1556183.0	1336427.0	1778531.0	1791505.0	1796544.0	1795035.0	1776774.0	1802973.0	1752051.0	1754629.0	1927037.0	1598623.0	1788087.0	1178819.0	1790000.0	1796428.0	1725597.0	1298601.0	1583930.0	1802984.0	1775256.0	1775918.0	1793592.0	1775857.0	1797151.0	1256073.0	1428289.0	1440337.0
BritoIL_2016__M1.65.ST__bin.19	1609989.0	1592997.0	1595641.0	1403362.0	1184528.0	1695788.0	1614127.0	1619225.0	1610320.0	1604938.0	1608435.0	1591443.0	1581014.0	1598623.0	1856879.0	1610208.0	1066466.0	1627200.0	1624712.0	1541859.0	1184993.0	1428355.0	1607280.0	1688413.0	1599542.0	1623305.0	1604432.0	1615929.0	1119149.0	1267968.0	1309849.0
CM_madagascar__A25_01_1FE__bin.10	1780029.0	1756463.0	1793782.0	1556241.0	1345294.0	1787527.0	1943824.0	1934561.0	1807442.0	1780721.0	1816636.0	1792027.0	1767291.0	1788087.0	1610208.0	2067604.0	1176375.0	1822419.0	1814588.0	1726893.0	1304255.0	1606125.0	1816263.0	1801029.0	1776580.0	1805401.0	1773976.0	1821300.0	1244474.0	1439146.0	1430762.0
ZeeviD_2015__PNP_Main_618__bin.4	1159632.0	1142828.0	1176746.0	1040321.0	882260.0	1172008.0	1176099.0	1182706.0	1173567.0	1165029.0	1215558.0	1157327.0	1170085.0	1178819.0	1066466.0	1176375.0	1549389.0	1172080.0	1184580.0	1140516.0	870622.0	1068930.0	1212574.0	1171702.0	1171269.0	1182262.0	1172615.0	1197391.0	798426.0	870315.0	942966.0
BritoIL_2016__W1.1.ST__bin.95	1783720.0	1758799.0	1803318.0	1571141.0	1332783.0	1824144.0	1830914.0	1843215.0	1814951.0	1777879.0	1825462.0	1803833.0	1772642.0	1790000.0	1627200.0	1822419.0	1172080.0	2014387.0	1813928.0	1730305.0	1299416.0	1595992.0	1823308.0	1827913.0	1798996.0	1800343.0	1786058.0	1822705.0	1254353.0	1446583.0	1449009.0
Bengtsson-PalmeJ_2015__TRAVELRES63__bin.91	1797384.0	1751158.0	1798369.0	1562557.0	1329217.0	1804131.0	1818959.0	1822472.0	1815861.0	1790027.0	1817686.0	1796490.0	1780095.0	1796428.0	1624712.0	1814588.0	1184580.0	1813928.0	1993707.0	1730108.0	1310834.0	1593311.0	1815191.0	1805483.0	1785671.0	1974554.0	1793760.0	1829582.0	1246607.0	1440575.0	1430881.0
LiuW_2016__SRR3993044__bin.128	1701580.0	1662757.0	1734511.0	1492458.0	1302337.0	1699716.0	1730604.0	1732963.0	1725891.0	1705523.0	1735642.0	1693810.0	1686642.0	1725597.0	1541859.0	1726893.0	1140516.0	1730305.0	1730108.0	1844844.0	1247550.0	1509239.0	1735425.0	1699632.0	1717289.0	1722454.0	1704389.0	1735904.0	1203491.0	1377980.0	1373280.0
