	CM_madagascar__A14_01_1FE__bin.15	RampelliS_2015__H18__bin.17	HMP_2012__SRS049959__bin.75	BritoIL_2016__M2.48.ST__bin.10	CM_madagascar__A53_01_1FE__bin.6	BritoIL_2016__M2.31.ST__bin.48	CM_madagascar__A56_01_1FE__bin.28	CM_madagascar__A55_02_1FE__bin.58	ZeeviD_2015__PNP_Main_654__bin.4	ZeeviD_2015__PNP_Main_660__bin.34	BritoIL_2016__WL.17.ST__bin.18	BritoIL_2016__M1.24.ST__bin.37	NielsenHB_2014__MH0065__bin.14	CosteaPI_2017__SID713A074-11-0-0__bin.18	BritoIL_2016__M1.65.ST__bin.19	CM_madagascar__A25_01_1FE__bin.10	ZeeviD_2015__PNP_Main_618__bin.4	BritoIL_2016__W1.1.ST__bin.95	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.91	LiuW_2016__SRR3993044__bin.128	ZeeviD_2015__PNP_Main_22__bin.20	BritoIL_2016__WL.15.ST__bin.63	BritoIL_2016__W3.20.ST__bin.30	BritoIL_2016__M1.27.ST__bin.1	BritoIL_2016__M2.52.ST__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES64__bin.3	ZeeviD_2015__PNP_Main_415__bin.68	LeChatelierE_2013__MH0065__bin.14	BritoIL_2016__W2.15.ST__bin.66	BritoIL_2016__M2.32.ST__bin.43	BritoIL_2016__M2.38.ST__bin.34
CM_madagascar__A14_01_1FE__bin.15	0.0	27872.0	27803.0	23038.0	21256.0	26626.0	27083.0	27288.0	28166.0	25934.0	28137.0	27337.0	26980.0	27055.0	23070.0	27203.0	18163.0	27567.0	27301.0	26797.0	19208.0	24062.0	28045.0	26766.0	26651.0	27007.0	26722.0	28465.0	18181.0	21711.0	20209.0
RampelliS_2015__H18__bin.17	27872.0	0.0	27867.0	22440.0	19976.0	25911.0	27149.0	27751.0	27437.0	25734.0	27211.0	26838.0	25959.0	27077.0	23385.0	27516.0	17596.0	26761.0	25987.0	26086.0	18504.0	23579.0	27132.0	26669.0	25891.0	26121.0	25871.0	27040.0	17459.0	21375.0	20303.0
HMP_2012__SRS049959__bin.75	27803.0	27867.0	0.0	21162.0	20288.0	24530.0	26852.0	26981.0	24594.0	25793.0	26139.0	25435.0	24011.0	24347.0	22028.0	27024.0	16162.0	25105.0	25210.0	24108.0	16792.0	22982.0	25963.0	25235.0	25530.0	24925.0	26050.0	25179.0	16903.0	20699.0	19424.0
BritoIL_2016__M2.48.ST__bin.10	23038.0	22440.0	21162.0	0.0	16847.0	18795.0	21609.0	22110.0	21406.0	20626.0	21419.0	19933.0	21094.0	21140.0	15932.0	22143.0	14453.0	18976.0	20597.0	20408.0	14834.0	17643.0	21328.0	19523.0	4369.0	20545.0	21473.0	21496.0	14175.0	14614.0	9665.0
CM_madagascar__A53_01_1FE__bin.6	21256.0	19976.0	20288.0	16847.0	0.0	18440.0	19419.0	19586.0	19665.0	19041.0	19680.0	19662.0	19309.0	19132.0	16674.0	19282.0	13145.0	19654.0	19034.0	19834.0	14284.0	17759.0	19648.0	18179.0	19136.0	19081.0	18575.0	20183.0	14495.0	15993.0	15810.0
BritoIL_2016__M2.31.ST__bin.48	26626.0	25911.0	24530.0	18795.0	18440.0	0.0	25332.0	25447.0	24709.0	23686.0	24556.0	23927.0	24234.0	24857.0	15790.0	25765.0	16412.0	23397.0	24671.0	24245.0	17348.0	20789.0	24554.0	17042.0	21766.0	24582.0	23877.0	25170.0	16548.0	17765.0	17119.0
CM_madagascar__A56_01_1FE__bin.28	27083.0	27149.0	26852.0	21609.0	19419.0	25332.0	0.0	8363.0	26890.0	24936.0	26680.0	26048.0	26077.0	26606.0	23273.0	9712.0	17515.0	27289.0	25863.0	25799.0	19104.0	23216.0	26618.0	26773.0	26233.0	25553.0	25913.0	27475.0	17334.0	21620.0	20377.0
CM_madagascar__A55_02_1FE__bin.58	27288.0	27751.0	26981.0	22110.0	19586.0	25447.0	8363.0	0.0	27162.0	25085.0	27665.0	26008.0	26102.0	26765.0	23240.0	9948.0	18126.0	27385.0	26256.0	26046.0	19282.0	23966.0	27637.0	27191.0	26716.0	26012.0	26100.0	27596.0	17286.0	21822.0	20191.0
ZeeviD_2015__PNP_Main_654__bin.4	28166.0	27437.0	24594.0	21406.0	19665.0	24709.0	26890.0	27162.0	0.0	24745.0	26381.0	25725.0	23665.0	25085.0	22263.0	27037.0	16501.0	25582.0	25768.0	24691.0	16650.0	23073.0	26356.0	25713.0	25469.0	25726.0	25230.0	24694.0	16945.0	20586.0	19686.0
ZeeviD_2015__PNP_Main_660__bin.34	25934.0	25734.0	25793.0	20626.0	19041.0	23686.0	24936.0	25085.0	24745.0	0.0	25368.0	23711.0	24458.0	25044.0	21271.0	25180.0	16306.0	24145.0	23068.0	24019.0	17214.0	21534.0	25229.0	23809.0	23954.0	22797.0	23968.0	25229.0	16732.0	19498.0	19397.0
BritoIL_2016__WL.17.ST__bin.18	28137.0	27211.0	26139.0	21419.0	19680.0	24556.0	26680.0	27665.0	26381.0	25368.0	0.0	25443.0	26223.0	25955.0	22507.0	27656.0	18249.0	26020.0	25266.0	25047.0	18128.0	22550.0	133.0	24947.0	25086.0	25211.0	25539.0	27409.0	16789.0	20386.0	17856.0
