	RaymondF_2016__P21E7__bin.23	RaymondF_2016__P9E90__bin.19	RaymondF_2016__P15E0__bin.36	RaymondF_2016__P22E90__bin.66	XieH_2016__YSZC12003_37308R1__bin.80	QinJ_2012__T2D-077__bin.18	RaymondF_2016__P6C0__bin.76	RaymondF_2016__P20E0__bin.15	RaymondF_2016__P38C0__bin.54	RaymondF_2016__P12E90__bin.22	HMP_2012__SRS021484__bin.49	QinJ_2012__DLM013__bin.12	XieH_2016__YSZC12003_37270__bin.39	HMP_2012__SRS054956__bin.1	RaymondF_2016__P2E0__bin.65	RaymondF_2016__P18E0__bin.7	RaymondF_2016__P6C7__bin.5	RaymondF_2016__P18E90__bin.11	RaymondF_2016__P38C7__bin.19	RaymondF_2016__P22E0__bin.67	XieH_2016__YSZC12003_37209__bin.63	XieH_2016__YSZC12003_35653__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.58	XieH_2016__YSZC12003_37205__bin.52	RaymondF_2016__P15E90__bin.56	HeQ_2017__SZAXPI029486-84__bin.35
RaymondF_2016__P21E7__bin.23	0.0	31409.0	26570.0	28588.0	30290.0	28157.0	28154.0	31810.0	28331.0	27705.0	24486.0	20209.0	36034.0	20048.0	30637.0	20733.0	31343.0	24676.0	28708.0	27470.0	29249.0	25573.0	24658.0	28558.0	26006.0	32840.0
RaymondF_2016__P9E90__bin.19	31409.0	0.0	28518.0	28254.0	33180.0	30816.0	29076.0	32657.0	30644.0	29321.0	26272.0	22421.0	38103.0	24540.0	33108.0	21935.0	31758.0	25920.0	32373.0	28591.0	31237.0	26373.0	25254.0	29523.0	27601.0	35491.0
RaymondF_2016__P15E0__bin.36	26570.0	28518.0	0.0	24871.0	27539.0	25372.0	22237.0	24672.0	24022.0	20981.0	22019.0	17152.0	32263.0	20611.0	27472.0	18003.0	23484.0	20814.0	24691.0	23833.0	27403.0	22732.0	22301.0	27150.0	1118.0	29069.0
RaymondF_2016__P22E90__bin.66	28588.0	28254.0	24871.0	0.0	28632.0	26184.0	26323.0	28132.0	26443.0	25320.0	23420.0	18481.0	32559.0	21934.0	28471.0	19593.0	28332.0	22775.0	27503.0	925.0	27661.0	24093.0	23168.0	26740.0	23485.0	30095.0
XieH_2016__YSZC12003_37308R1__bin.80	30290.0	33180.0	27539.0	28632.0	0.0	29630.0	29309.0	32688.0	29678.0	28620.0	24928.0	18176.0	38051.0	23994.0	31417.0	22351.0	31953.0	25830.0	31101.0	28724.0	30272.0	27002.0	25612.0	31113.0	26402.0	30623.0
QinJ_2012__T2D-077__bin.18	28157.0	30816.0	25372.0	26184.0	29630.0	0.0	26243.0	30139.0	28492.0	26530.0	24039.0	20037.0	36081.0	22381.0	28931.0	20610.0	29342.0	24578.0	29912.0	26806.0	28245.0	25138.0	24934.0	28795.0	24584.0	30206.0
RaymondF_2016__P6C0__bin.76	28154.0	29076.0	22237.0	26323.0	29309.0	26243.0	0.0	27700.0	25009.0	25090.0	23353.0	18081.0	33586.0	21326.0	28793.0	18528.0	830.0	21502.0	25817.0	25304.0	27401.0	24364.0	22782.0	26207.0	21619.0	30548.0
RaymondF_2016__P20E0__bin.15	31810.0	32657.0	24672.0	28132.0	32688.0	30139.0	27700.0	0.0	28295.0	16981.0	26096.0	20860.0	37295.0	24885.0	32808.0	20814.0	30648.0	24497.0	28828.0	27554.0	31293.0	26206.0	25829.0	30336.0	24507.0	34590.0
RaymondF_2016__P38C0__bin.54	28331.0	30644.0	24022.0	26443.0	29678.0	28492.0	25009.0	28295.0	0.0	25496.0	23523.0	19051.0	35848.0	22164.0	28555.0	19896.0	27626.0	23944.0	248.0	26288.0	28824.0	25637.0	23921.0	27977.0	23915.0	30511.0
RaymondF_2016__P12E90__bin.22	27705.0	29321.0	20981.0	25320.0	28620.0	26530.0	25090.0	16981.0	25496.0	0.0	23312.0	19430.0	33611.0	22123.0	28984.0	18605.0	26755.0	21927.0	25399.0	24923.0	27925.0	23293.0	23326.0	27682.0	20996.0	30777.0
HMP_2012__SRS021484__bin.49	24486.0	26272.0	22019.0	23420.0	24928.0	24039.0	23353.0	26096.0	23523.0	23312.0	0.0	17922.0	29492.0	20036.0	25703.0	17340.0	25008.0	20678.0	23852.0	22558.0	24150.0	21152.0	21138.0	23574.0	22048.0	26583.0
QinJ_2012__DLM013__bin.12	20209.0	22421.0	17152.0	18481.0	18176.0	20037.0	18081.0	20860.0	19051.0	19430.0	17922.0	0.0	24313.0	17929.0	19842.0	13824.0	19851.0	16617.0	21183.0	18103.0	21044.0	17516.0	18289.0	20297.0	17362.0	16643.0
XieH_2016__YSZC12003_37270__bin.39	36034.0	38103.0	32263.0	32559.0	38051.0	36081.0	33586.0	37295.0	35848.0	33611.0	29492.0	24313.0	0.0	27704.0	38042.0	25690.0	37200.0	30870.0	38267.0	33142.0	36264.0	30441.0	30285.0	33749.0	31247.0	38789.0
HMP_2012__SRS054956__bin.1	20048.0	24540.0	20611.0	21934.0	23994.0	22381.0	21326.0	24885.0	22164.0	22123.0	20036.0	17929.0	27704.0	0.0	24089.0	15994.0	23113.0	18960.0	22473.0	21319.0	23415.0	19847.0	19571.0	21652.0	20633.0	25478.0
RaymondF_2016__P2E0__bin.65	30637.0	33108.0	27472.0	28471.0	31417.0	28931.0	28793.0	32808.0	28555.0	28984.0	25703.0	19842.0	38042.0	24089.0	0.0	21214.0	31196.0	25148.0	29999.0	27917.0	30554.0	25902.0	24765.0	30482.0	26227.0	33552.0
RaymondF_2016__P18E0__bin.7	20733.0	21935.0	18003.0	19593.0	22351.0	20610.0	18528.0	20814.0	19896.0	18605.0	17340.0	13824.0	25690.0	15994.0	21214.0	0.0	19435.0	928.0	20599.0	19117.0	21231.0	18626.0	17514.0	20164.0	16924.0	22903.0
RaymondF_2016__P6C7__bin.5	31343.0	31758.0	23484.0	28332.0	31953.0	29342.0	830.0	30648.0	27626.0	26755.0	25008.0	19851.0	37200.0	23113.0	31196.0	19435.0	0.0	23503.0	28710.0	27633.0	29729.0	26111.0	24573.0	28848.0	22611.0	33378.0
RaymondF_2016__P18E90__bin.11	24676.0	25920.0	20814.0	22775.0	25830.0	24578.0	21502.0	24497.0	23944.0	21927.0	20678.0	16617.0	30870.0	18960.0	25148.0	928.0	23503.0	0.0	24944.0	22387.0	24677.0	20994.0	20229.0	23025.0	20143.0	26362.0
RaymondF_2016__P38C7__bin.19	28708.0	32373.0	24691.0	27503.0	31101.0	29912.0	25817.0	28828.0	248.0	25399.0	23852.0	21183.0	38267.0	22473.0	29999.0	20599.0	28710.0	24944.0	0.0	26877.0	30236.0	26124.0	24984.0	28568.0	23706.0	32499.0
RaymondF_2016__P22E0__bin.67	27470.0	28591.0	23833.0	925.0	28724.0	26806.0	25304.0	27554.0	26288.0	24923.0	22558.0	18103.0	33142.0	21319.0	27917.0	19117.0	27633.0	22387.0	26877.0	0.0	26487.0	23813.0	22182.0	26173.0	23294.0	28828.0
XieH_2016__YSZC12003_37209__bin.63	29249.0	31237.0	27403.0	27661.0	30272.0	28245.0	27401.0	31293.0	28824.0	27925.0	24150.0	21044.0	36264.0	23415.0	30554.0	21231.0	29729.0	24677.0	30236.0	26487.0	0.0	24114.0	23391.0	29253.0	26016.0	32934.0
XieH_2016__YSZC12003_35653__bin.8	25573.0	26373.0	22732.0	24093.0	27002.0	25138.0	24364.0	26206.0	25637.0	23293.0	21152.0	17516.0	30441.0	19847.0	25902.0	18626.0	26111.0	20994.0	26124.0	23813.0	24114.0	0.0	19961.0	24724.0	22133.0	27829.0
Bengtsson-PalmeJ_2015__TRAVELRES19__bin.58	24658.0	25254.0	22301.0	23168.0	25612.0	24934.0	22782.0	25829.0	23921.0	23326.0	21138.0	18289.0	30285.0	19571.0	24765.0	17514.0	24573.0	20229.0	24984.0	22182.0	23391.0	19961.0	0.0	23882.0	21719.0	26919.0
XieH_2016__YSZC12003_37205__bin.52	28558.0	29523.0	27150.0	26740.0	31113.0	28795.0	26207.0	30336.0	27977.0	27682.0	23574.0	20297.0	33749.0	21652.0	30482.0	20164.0	28848.0	23025.0	28568.0	26173.0	29253.0	24724.0	23882.0	0.0	25908.0	31985.0
RaymondF_2016__P15E90__bin.56	26006.0	27601.0	1118.0	23485.0	26402.0	24584.0	21619.0	24507.0	23915.0	20996.0	22048.0	17362.0	31247.0	20633.0	26227.0	16924.0	22611.0	20143.0	23706.0	23294.0	26016.0	22133.0	21719.0	25908.0	0.0	28879.0
HeQ_2017__SZAXPI029486-84__bin.35	32840.0	35491.0	29069.0	30095.0	30623.0	30206.0	30548.0	34590.0	30511.0	30777.0	26583.0	16643.0	38789.0	25478.0	33552.0	22903.0	33378.0	26362.0	32499.0	28828.0	32934.0	27829.0	26919.0	31985.0	28879.0	0.0
