	RaymondF_2016__P21E7__bin.23	RaymondF_2016__P9E90__bin.19	RaymondF_2016__P15E0__bin.36	RaymondF_2016__P22E90__bin.66	XieH_2016__YSZC12003_37308R1__bin.80	QinJ_2012__T2D-077__bin.18	RaymondF_2016__P6C0__bin.76	RaymondF_2016__P20E0__bin.15	RaymondF_2016__P38C0__bin.54	RaymondF_2016__P12E90__bin.22	HMP_2012__SRS021484__bin.49	QinJ_2012__DLM013__bin.12	XieH_2016__YSZC12003_37270__bin.39	HMP_2012__SRS054956__bin.1	RaymondF_2016__P2E0__bin.65	RaymondF_2016__P18E0__bin.7	RaymondF_2016__P6C7__bin.5	RaymondF_2016__P18E90__bin.11	RaymondF_2016__P38C7__bin.19	RaymondF_2016__P22E0__bin.67	XieH_2016__YSZC12003_37209__bin.63	XieH_2016__YSZC12003_35653__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.58	XieH_2016__YSZC12003_37205__bin.52	RaymondF_2016__P15E90__bin.56	HeQ_2017__SZAXPI029486-84__bin.35
RaymondF_2016__P21E7__bin.23	1.0	0.9810944159637791	0.9820687179099562	0.9812017640935808	0.9815299584805174	0.9815946869913651	0.9815991859041686	0.9815211449570618	0.9819372089924404	0.982204428434889	0.9828533134084624	0.9792065373518868	0.9784365447725646	0.9844862021761723	0.982245389955841	0.9814998233234465	0.981437766206939	0.9814232349588881	0.9824005139824814	0.9816313279807634	0.9811184337511951	0.9806173083729923	0.9822286862070879	0.9807778773951931	0.9819431242436089	0.980512189969356
RaymondF_2016__P9E90__bin.19	0.9810944159637791	1.0	0.9809452156575564	0.9812502364126594	0.980377708414403	0.981026383031124	0.9812554877789339	0.9811590390111798	0.9811417940896103	0.981142159599291	0.9816758454834084	0.9779954795583982	0.9787694611879474	0.9812587062244923	0.9810150100005505	0.9813848768991711	0.9811846590808103	0.981432132725866	0.9812194016871385	0.9810015469343057	0.9809510858131112	0.9805346638422875	0.9827195703910301	0.9806444760739028	0.9810151831762098	0.9793674610367602
RaymondF_2016__P15E0__bin.36	0.9820687179099562	0.9809452156575564	1.0	0.9818392380818859	0.9816380470280427	0.9815737413468046	0.9840948316249422	0.9844762626249915	0.9827274171873056	0.9851578687488991	0.9827563793330284	0.9803021063378479	0.9784009774222163	0.9819740635013924	0.9825693463631784	0.9825723562313773	0.9843310679080468	0.9827580208255673	0.9831179921822171	0.9822288336856547	0.9804941001112569	0.9808462305867127	0.9822254351384999	0.9796776569498671	0.9991521857001483	0.9809921186833566
RaymondF_2016__P22E90__bin.66	0.9812017640935808	0.9812502364126594	0.9818392380818859	1.0	0.9810499437759403	0.9813886442582646	0.9814116891049746	0.9821915891784722	0.9817125713882623	0.9820850028407865	0.9820989890744214	0.9792945979526513	0.9785192613460181	0.9815077264721777	0.9818082489377337	0.9813769799968634	0.9817405275603187	0.9815492624565769	0.981625111657027	0.9993446075013745	0.9806135050160567	0.9802196503033184	0.9819625111722188	0.9804997290818757	0.9822030212048142	0.9804127287649442
XieH_2016__YSZC12003_37308R1__bin.80	0.9815299584805174	0.980377708414403	0.9816380470280427	0.9810499437759403	1.0	0.9812300137338272	0.9811930349612298	0.9812430603971389	0.9812108427327657	0.9815119026009304	0.9823783937391269	0.9813504889135142	0.9778662072110642	0.9813318395070373	0.9820274019621864	0.9803983473959033	0.9811864550483866	0.980681249593319	0.9813551548941145	0.9810976697172481	0.9804002310120763	0.9796746223335268	0.9817678209015148	0.979291630392243	0.9816978403701193	0.9821245740263167
QinJ_2012__T2D-077__bin.18	0.9815946869913651	0.981026383031124	0.9815737413468046	0.9813886442582646	0.9812300137338272	1.0	0.9816949743661284	0.9812855409552266	0.9812294660227114	0.981388790481836	0.9821161546049841	0.9800261373797426	0.977886340903742	0.9818708334345865	0.9820343961424655	0.9812208027218446	0.9813359353532064	0.9813018984910211	0.9814756211073382	0.9810130258320879	0.9809688791144818	0.9803225202954832	0.9818719037045761	0.9795114336090758	0.9816797897915354	0.9806840083848004
RaymondF_2016__P6C0__bin.76	0.9815991859041686	0.9812554877789339	0.9840948316249422	0.9814116891049746	0.9811930349612298	0.9816949743661284	1.0	0.9827357535687753	0.9828397299808286	0.9828934656311384	0.9825100900446141	0.9796477041336064	0.9784239029184841	0.9819719595751246	0.9821180594371285	0.9825562346773921	0.9994879943938471	0.9826261486885578	0.9830296456977585	0.9819358560122674	0.9809211543255177	0.9803694070858351	0.9825940663048262	0.9809783930164347	0.9842066698858692	0.9806495831311595
RaymondF_2016__P20E0__bin.15	0.9815211449570618	0.9811590390111798	0.9844762626249915	0.9821915891784722	0.9812430603971389	0.9812855409552266	0.9827357535687753	1.0	0.9824175045719459	0.9897729893935644	0.9823112024532226	0.9794039995339735	0.9785178930197408	0.9815429185552077	0.9821918254355968	0.9819788931227321	0.98254634915844	0.9822137128012332	0.9829419008052716	0.9820654013382281	0.9806841679680508	0.9805107976695656	0.9822951889443123	0.9803197265936701	0.984070796460177	0.9805714760735397
RaymondF_2016__P38C0__bin.54	0.9819372089924404	0.9811417940896103	0.9827274171873056	0.9817125713882623	0.9812108427327657	0.9812294660227114	0.9828397299808286	0.9824175045719459	1.0	0.9824517692080033	0.9825622770524518	0.9796146788009138	0.9781645504082879	0.9817690682845618	0.9821448335070598	0.9823183444510208	0.9826933714723164	0.9820433018606151	0.9998503392411113	0.9818108223116336	0.980980785472973	0.9803848658111203	0.98235979499281	0.9803661632997366	0.9826909353047018	0.9806233599300914
RaymondF_2016__P12E90__bin.22	0.982204428434889	0.981142159599291	0.9851578687488991	0.9820850028407865	0.9815119026009304	0.981388790481836	0.9828934656311384	0.9897729893935644	0.9824517692080033	1.0	0.9825384555461676	0.9789523627949702	0.9784944378967789	0.9815191503971757	0.9823681136850302	0.9825643726547887	0.982970627754026	0.9823642958828308	0.9832382252145294	0.982073176082511	0.9807686612853352	0.9807877255233826	0.9823372713408862	0.9803082167419283	0.9848493485782734	0.9806765377870784
HMP_2012__SRS021484__bin.49	0.9828533134084624	0.9816758454834084	0.9827563793330284	0.9820989890744214	0.9823783937391269	0.9821161546049841	0.9825100900446141	0.9823112024532226	0.9825622770524518	0.9825384555461676	1.0	0.9793431818784312	0.9794257745681031	0.9825890036818922	0.9825568887836241	0.9822100750070021	0.9826974848115217	0.9822217866081339	0.9830338725050859	0.98239528126734	0.9819781902521039	0.9814202216713719	0.9828697017879111	0.9814869786881152	0.9822432691455862	0.9814691274115125
QinJ_2012__DLM013__bin.12	0.9792065373518868	0.9779954795583982	0.9803021063378479	0.9792945979526513	0.9813504889135142	0.9800261373797426	0.9796477041336064	0.9794039995339735	0.9796146788009138	0.9789523627949702	0.9793431818784312	1.0	0.9763460464537068	0.978368667686561	0.9803121167500803	0.9797698054394989	0.9796629235354201	0.9793439333914261	0.979044410062007	0.9793228144638644	0.9782160425327525	0.9781238135203725	0.9795996675980614	0.9774428402661471	0.9797734561853358	0.9833953401595715
XieH_2016__YSZC12003_37270__bin.39	0.9784365447725646	0.9787694611879474	0.9784009774222163	0.9785192613460181	0.9778662072110642	0.977886340903742	0.9784239029184841	0.9785178930197408	0.9781645504082879	0.9784944378967789	0.9794257745681031	0.9763460464537068	1.0	0.9788401493348976	0.9783427865174424	0.9781232489657721	0.9782179087435774	0.9780339573530029	0.978359514699379	0.9781878587285092	0.9778127470246909	0.9775951494061511	0.9793154037235688	0.9779015618001954	0.978455099564234	0.9775275495939039
HMP_2012__SRS054956__bin.1	0.9844862021761723	0.9812587062244923	0.9819740635013924	0.9815077264721777	0.9813318395070373	0.9818708334345865	0.9819719595751246	0.9815429185552077	0.9817690682845618	0.9815191503971757	0.9825890036818922	0.978368667686561	0.9788401493348976	1.0	0.9819693788571151	0.981711549258411	0.982284151087149	0.9817743479715311	0.982271892512748	0.9815510640654639	0.9809351428459765	0.9807982182697015	0.9822881267732462	0.9814102041254373	0.981777040997021	0.9805614875138953
