	RaymondF_2016__P21E7__bin.23	RaymondF_2016__P9E90__bin.19	RaymondF_2016__P15E0__bin.36	RaymondF_2016__P22E90__bin.66	XieH_2016__YSZC12003_37308R1__bin.80	QinJ_2012__T2D-077__bin.18	RaymondF_2016__P6C0__bin.76	RaymondF_2016__P20E0__bin.15	RaymondF_2016__P38C0__bin.54	RaymondF_2016__P12E90__bin.22	HMP_2012__SRS021484__bin.49	QinJ_2012__DLM013__bin.12	XieH_2016__YSZC12003_37270__bin.39	HMP_2012__SRS054956__bin.1	RaymondF_2016__P2E0__bin.65	RaymondF_2016__P18E0__bin.7	RaymondF_2016__P6C7__bin.5	RaymondF_2016__P18E90__bin.11	RaymondF_2016__P38C7__bin.19	RaymondF_2016__P22E0__bin.67	XieH_2016__YSZC12003_37209__bin.63	XieH_2016__YSZC12003_35653__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES19__bin.58	XieH_2016__YSZC12003_37205__bin.52	RaymondF_2016__P15E90__bin.56	HeQ_2017__SZAXPI029486-84__bin.35
RaymondF_2016__P21E7__bin.23	1.0	0.8714106704417842	0.7772112420594812	0.7976741905011174	0.8601818287675077	0.8024205371150248	0.8025312100220349	0.9029162573255236	0.8226894145822832	0.8165919143737881	0.749025317869898	0.5097730471083687	0.876502148680396	0.6778159567253198	0.905094572883879	0.5878210497771069	0.8856643967356214	0.6967284354365207	0.8555823466747512	0.7844039319828441	0.8125158993957049	0.6920324423727222	0.7277750706916637	0.7792652472910052	0.7554223167983115	0.8838915321588717
RaymondF_2016__P9E90__bin.19	0.8704085578038407	1.0	0.7841048999483422	0.7894839143004138	0.8859022357461621	0.8509132326791756	0.8126801605688437	0.9080972843495673	0.8513423173927577	0.8146029211290953	0.7511528704667122	0.5338290597753251	0.9402802096070967	0.6860158200757159	0.9136539051948066	0.6173491680786121	0.8843011577428572	0.731361534520101	0.9030933916762804	0.7884428992504902	0.8591287117923376	0.7098339510267122	0.7656579246550295	0.7991249605755498	0.7616887600761559	0.9012073050231727
RaymondF_2016__P15E0__bin.36	0.8818682822896456	0.890714532274767	1.0	0.8150470760477545	0.8925916227250544	0.819485079690048	0.8320730125099687	0.9458702819801698	0.8277046409484247	0.8413049170961637	0.7599633390070585	0.5182251556306762	0.8889844428838394	0.6804946853463154	0.9379941199576256	0.6147941390022973	0.8919821932319998	0.7184423839167747	0.8704385035649245	0.7981532619951675	0.8360950091057336	0.706328782450335	0.746704676657184	0.7950959970480759	0.7848100889148109	0.9101644983514456
RaymondF_2016__P22E90__bin.66	0.8220939981739425	0.8145897560229355	0.7403106243786782	1.0	0.8167628617315544	0.7605237509101908	0.7655089202745897	0.8539456734384316	0.7816509873305775	0.7640147749565244	0.707235631149362	0.48249920130256607	0.8193635611256255	0.6411834885049735	0.8460246490731596	0.5687293331971088	0.838771773627254	0.667266703317554	0.8091148270137581	0.7629482233239111	0.7713000848159914	0.6584331907840857	0.6943321402874878	0.7412685207258606	0.713344112370107	0.8305680292904377
XieH_2016__YSZC12003_37308R1__bin.80	0.8507820415515182	0.8772301893096173	0.7780655878372034	0.783841214619552	1.0	0.8189447613928946	0.8084798423725463	0.904093364591823	0.8194344938713404	0.8030901911876168	0.7338864266804594	0.5056124690869342	0.8918609471031858	0.666788408073738	0.906861079393209	0.5915496245816653	0.8811055088159628	0.6936370573926	0.8653712965926759	0.788345300824919	0.8012666640035734	0.6891983380222797	0.7287722500146556	0.7794403665108065	0.7483786690378572	0.8887472031035758
QinJ_2012__T2D-077__bin.18	0.7817336077029245	0.8299305406160847	0.7036118573039661	0.7189084559760978	0.8066465982377868	1.0	0.7325862263671766	0.822938101790982	0.7756430728917291	0.7284139621895266	0.6868645473029493	0.5126090269094432	0.8337456201446011	0.6308371457727273	0.8228813814818922	0.5608110697603592	0.8033394465222019	0.6716834332240998	0.8251205562065048	0.7214261223084042	0.7583903900466589	0.6527950593033827	0.7028382127277307	0.718159850094866	0.685705613419923	0.7990828683715804
RaymondF_2016__P6C0__bin.76	0.8587886241059436	0.8706502539532686	0.7847315964564974	0.7948380890051622	0.87471283270853	0.8046858293009704	1.0	0.9005656066056476	0.8180039929794508	0.8232312375149231	0.7494425039584605	0.4986459006290318	0.8737126233493319	0.6639633323922459	0.9037649294717693	0.5961719259979783	0.9098851779861891	0.6946498902407743	0.8538824344265101	0.7862397684812814	0.8061159827505981	0.6966239285776428	0.7346453550602904	0.7733094525397292	0.7683252442851394	0.8860855835705229
RaymondF_2016__P20E0__bin.15	0.8111050956899586	0.8166984949981695	0.7488530256704564	0.7443273243516656	0.8211356141360199	0.7588222904807609	0.755998026690565	1.0	0.7582592282136131	0.7823535814294055	0.6951269905664689	0.47722142199844225	0.8180168617123784	0.6352770054322552	0.8680582550346955	0.5442050997892404	0.8273787731650649	0.6489572982057867	0.796292081836742	0.7239048910085788	0.7633475206177383	0.6335708560855251	0.6873925410976557	0.726299436984851	0.7249108641804287	0.8388789076874726
RaymondF_2016__P38C0__bin.54	0.8369358389725868	0.8670820558080665	0.7421078019664196	0.7715662095144995	0.842834777430464	0.8099559994151754	0.777655642864232	0.8587056165577946	1.0	0.7752715219207862	0.719810294834867	0.4986724053475171	0.8760278453373573	0.6487156802375157	0.8533621548013784	0.6004238911543137	0.8517666933821968	0.7115170970499438	0.8842169912905948	0.7711868205281991	0.8086801638789669	0.6974146054621342	0.7235871095254917	0.760345686864817	0.7372451130323051	0.8402201416598989
RaymondF_2016__P12E90__bin.22	0.8380599252508908	0.836981160920524	0.7609546526018192	0.7608093101022189	0.8333093787361769	0.7673464927509083	0.7895279114121315	0.8938063101253659	0.7821095225714211	1.0	0.718663753357008	0.4969335424112105	0.8413166738530458	0.6443931977556965	0.8848882020110019	0.5744086309759319	0.8457367007575574	0.6692914445483374	0.8156906379512951	0.7483862945252711	0.7816503479337948	0.6526427303718991	0.7109046171005678	0.7567305689189909	0.7459919114207445	0.8573737902255554
HMP_2012__SRS021484__bin.49	0.8635520608391875	0.8670019610914141	0.7721826167357352	0.7911525327589345	0.8554464582132721	0.8128424577802961	0.8074320708290826	0.8921266684848437	0.8157438813403634	0.8073238268071461	1.0	0.5246551460356987	0.86682538425116	0.6958863038657629	0.8910678121585249	0.5894213540661958	0.8740184716306931	0.7033496989425345	0.8501449199992018	0.774858481523834	0.8103443792628643	0.6884331889474993	0.7461907477363998	0.7700286211707166	0.7508567302685963	0.8674790813892244
QinJ_2012__DLM013__bin.12	0.6657077218347629	0.6979248433837602	0.5964314922962481	0.6113745926196866	0.6675694447298447	0.6871257546553347	0.60851967686299	0.6937404191136884	0.64012649852254	0.6323172627878718	0.5942766062668414	1.0	0.7040449662930892	0.5677254787532073	0.6903224657485455	0.46805754764928376	0.6685893510546338	0.5510240845844139	0.6923937865854577	0.5996871100005616	0.6616938527526511	0.548439728262433	0.6140705975185248	0.6163295975582525	0.5879544199822184	0.6865421682290618
XieH_2016__YSZC12003_37270__bin.39	0.7976789489587396	0.856706698559797	0.7130248368309329	0.723528852988167	0.8206240545550102	0.7788466633220568	0.743052336779618	0.8287198561467708	0.7836764581631791	0.7460443464716673	0.684249894864369	0.49064662828480227	1.0	0.6249767890122406	0.8384839847764561	0.5605512018876202	0.8152247849910712	0.6708397914376396	0.8440951963160284	0.725294558771653	0.7802004188240753	0.648561061962955	0.6988991905630448	0.7290097488535323	0.6923055993256044	0.8239334998637174
HMP_2012__SRS054956__bin.1	0.7745832536633698	0.7848563333275391	0.6853562910699911	0.7109559736288924	0.7704000561036383	0.7399746214952458	0.709048689686341	0.8081459365920995	0.7287095383977257	0.7175253740092703	0.6897672598107941	0.496807307379007	0.7847748152206293	1.0	0.8007985178090091	0.5241979906985442	0.7820049977792309	0.623548782892706	0.7598254793234717	0.692644968864279	0.7361660475885925	0.6195388113101579	0.6623136397175398	0.698133654930257	0.6786700081098529	0.7856289571496474
RaymondF_2016__P2E0__bin.65	0.8863104639367207	0.8957222286426031	0.8095196271042798	0.803857364818881	0.8978517405652503	0.8271273931969645	0.8270333988212181	0.9462614122269734	0.8214271222568923	0.8443263094366757	0.756851445227731	0.5176511678672779	0.9022181131784738	0.6862128741476945	1.0	0.5905384131386674	0.9005822001361121	0.7071330431321186	0.8771293193112215	0.7928728636182698	0.8254010811921363	0.6945891598289611	0.7400500789706845	0.7952165594463063	0.7753354648997779	0.9143177061263275
RaymondF_2016__P18E0__bin.7	0.8283658377035912	0.8709789008016143	0.7635581475280787	0.7776545851673633	0.8428303748627942	0.8112166871782363	0.7850986218442673	0.8537092679032741	0.831723082722606	0.7887293544584022	0.7204616766267892	0.5050909346253775	0.8679949293921554	0.6464219322268173	0.8498323964535311	1.0	0.8402662438696277	0.7515505637909815	0.8605767631634385	0.7635411469478415	0.8196541490655225	0.7072950968109128	0.7379663610258003	0.7609348840819132	0.7270098566407592	0.8518052029167082
RaymondF_2016__P6C7__bin.5	0.8634442329700315	0.863107760247333	0.7664020225181046	0.7934379637366268	0.8684903010970647	0.803910038034713	0.8289481085426231	0.8979245053390755	0.8162618596407617	0.8033971472431225	0.7390838123893552	0.49913478442734693	0.8733077927696205	0.6671420579653525	0.8965954892200889	0.5813062300634798	1.0	0.691568545834437	0.8599107580249767	0.7841000786466638	0.8040419680688409	0.6838547296917235	0.7205767899274999	0.7709556541224045	0.7365720281737099	0.8740671575009383
RaymondF_2016__P18E90__bin.11	0.8066574199127469	0.8477297680700356	0.7330825697878914	0.7495991993703787	0.811951024592155	0.7982399994170173	0.7515661588239295	0.8363962193569701	0.8097569447818187	0.7550415861016916	0.7063254841185787	0.4885279928876106	0.8534326752106025	0.6317419524091762	0.8360549315481106	0.6174570536052624	0.8212884647149701	1.0	0.8466123844965459	0.7436618845888514	0.7992146736754147	0.6734646906790778	0.715134596138711	0.7242315558837532	0.7056866322059095	0.8202135902991673
