	ZeeviD_2015__PNP_Main_709__bin.19	VincentC_2016__MM019.3__bin.15	Obregon-TitoAJ_2015__HCO12__bin.25	CosteaPI_2017__pluto1-11-0-0__bin.45	CosteaPI_2017__SID713B072-11-90-0__bin.43	BritoIL_2016__W2.21.ST__bin.1	VincentC_2016__MM022.3__bin.12	CosteaPI_2017__SID713A081-11-90-0__bin.30	ZeeviD_2015__PNP_Main_170__bin.64	BritoIL_2016__W1.27.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.27	LiJ_2014__V1.FI24__bin.39	ZeeviD_2015__PNP_Main_23__bin.13	ZellerG_2014__CCIS16383318ST-4-0__bin.63	ChengpingW_2017__AS12raw__bin.8	LiuW_2016__SRR3992961__bin.108	ZeeviD_2015__PNP_Main_186__bin.52	LiJ_2014__V1.FI09__bin.4	LiuW_2016__SRR3993054__bin.11	CosteaPI_2017__SID713B055-11-90-0__bin.39	SchirmerM_2016__G88968__bin.4	ChengpingW_2017__AS71raw__bin.30	NielsenHB_2014__MH0031__bin.7	BritoIL_2016__WL.9.ST__bin.10	ZeeviD_2015__PNP_Main_538__bin.2	LeChatelierE_2013__MH0031__bin.13	BritoIL_2016__W1.41.ST__bin.84	BritoIL_2016__W1.3.ST__bin.50	LeChatelierE_2013__MH0120__bin.8	LeChatelierE_2013__MH0276__bin.105	ZeeviD_2015__PNP_Main_488__bin.23	CosteaPI_2017__SID713B072-11-0-0__bin.11	ZeeviD_2015__PNP_Main_374__bin.35
ZeeviD_2015__PNP_Main_709__bin.19	1.0	0.7118775502232781	0.6711228019844854	0.5979531543471395	0.6310640513051554	0.4459216293952734	0.7115832580767032	0.5161473454107598	0.5630283537351196	0.5006067671031215	0.720169585007667	0.4137835127707303	0.6250637240145759	0.551194038193329	0.6274167143123631	0.5182050334058625	0.5267102111293612	0.7039875575704803	0.5261024338701303	0.5092267659044029	0.5997414673797022	0.5297400060205304	0.7144790389240087	0.45454566882099295	0.4452657013614884	0.6836995822667769	0.6868903286980637	0.5925498293172894	0.5534749706886369	0.6944264299938245	0.6232286070822718	0.7374105927663395	0.6721538346536073
VincentC_2016__MM019.3__bin.15	0.5903452670424781	1.0	0.7038398560493775	0.669418702188188	0.677395854159523	0.45341849220435004	0.727998887532433	0.5462615058298439	0.555711057771245	0.525922951568568	0.7165807371102874	0.3828175698391725	0.6588209407499327	0.5955836936380482	0.6261106525471152	0.5420771869314102	0.5842088244590962	0.6912413842402662	0.5486447665437666	0.47747336946991364	0.6514751364615713	0.5700586502730348	0.7839302607932251	0.46334441705470863	0.49817744081080567	0.7510764464033007	0.7089635175420275	0.6050251477984646	0.6157552660707445	0.7274616416491774	0.5654652538179641	0.797449645763967	0.683672751357914
Obregon-TitoAJ_2015__HCO12__bin.25	0.5437795335741491	0.6876919341285345	1.0	0.6023474075933343	0.6127844226424978	0.43655724466076634	0.6863174293104013	0.5095459605164079	0.5464205035303875	0.5126414610456932	0.6523476804208092	0.3361872906049131	0.5982072506629708	0.5424868769984612	0.6312894917769799	0.4938619274715441	0.523920421682145	0.663490227319852	0.5055209367804175	0.40919155762661924	0.5956233016489693	0.5286597077472089	0.6781969923499176	0.45916345639671297	0.46231024849126406	0.6580181266574269	0.6862022961160281	0.6004283391354643	0.5578702541660755	0.6512571890039615	0.49975445527266377	0.6960287232765489	0.6352741370466971
CosteaPI_2017__pluto1-11-0-0__bin.45	0.5193374398981343	0.7010992854600643	0.645667094519131	1.0	0.5979192859104352	0.4308980251815887	0.6537459901626103	0.4879749476736144	0.4986039960776779	0.4760836906325461	0.641858534954786	0.3954044024644068	0.5713965274055149	0.5201700413785681	0.5711225029632365	0.47818288748065085	0.6241276620509486	0.6308001718428626	0.47913948721458105	0.41733483885929795	0.7207538859853606	0.6292993250576198	0.6773787705046758	0.42444485192298187	0.47338555882415734	0.6550079063509039	0.6489284825450524	0.54698671083812	0.6463134061706093	0.6134679065322222	0.48574912053361363	0.6953836678507915	0.6060929349363032
CosteaPI_2017__SID713B072-11-90-0__bin.43	0.576904169643547	0.746744413905235	0.6913804423810898	0.6293472328634043	1.0	0.4887456224083441	0.693576125691711	0.5838295142562426	0.584640621157054	0.5433221892067682	0.7001733336986136	0.345324992219838	0.6401335694521443	0.627366100410417	0.6716334523264609	0.5536812710029745	0.5727458231072813	0.6897717726795186	0.563943697176086	0.4559793661792125	0.6055102324136786	0.5787723319892866	0.7445434976468666	0.5062396745475886	0.5075497584071154	0.7229329625533337	0.6925960253607117	0.6178633751220123	0.6155424088859146	0.7431105934255091	0.5544308138126426	0.9086552032276821	0.7105490377994285
BritoIL_2016__W2.21.ST__bin.1	0.5909640597249368	0.7246044070791722	0.7140405365605504	0.6574981927226967	0.7085249939757423	1.0	0.7201067409212205	0.6447437236159825	0.6832204342820424	0.6588012173462922	0.737807348701884	0.3535168277597794	0.6306482993743697	0.6554561924906512	0.7353628388087142	0.5774585664944175	0.5850643033726918	0.7346408203700233	0.5723464260533526	0.4623238462430944	0.6261952573473631	0.6467937561915982	0.7298504199130722	0.6035047792444242	0.5289811418422626	0.7168857711496068	0.7571251349879962	0.6898663061036886	0.6585691718653779	0.7531433237837694	0.5339955554365579	0.7340598141851188	0.7163297544780315
VincentC_2016__MM022.3__bin.12	0.6123793953190779	0.7554831373676304	0.7289521359952523	0.6477708708110013	0.6529181580460303	0.46761581758498544	1.0	0.537072754585412	0.5733332676508225	0.5406793039817511	0.7265235251571743	0.38553103150905954	0.6346617041597893	0.5884769500751099	0.6662745034402181	0.5364506059791176	0.5813884548691605	0.7225098407855938	0.5441774772352145	0.4704759045640845	0.6469415325197975	0.5593767966098552	0.7482399018935109	0.47411925548487605	0.49525984774021253	0.7196248330891489	0.7389392583594518	0.6368144484523655	0.6028446129522821	0.7059314784592274	0.5651691247380427	0.7632569523005879	0.6911039414142913
CosteaPI_2017__SID713A081-11-90-0__bin.30	0.4725207958607105	0.6030412742155988	0.5757178945356631	0.514354191616305	0.5846595366572802	0.4453811379963533	0.5713279912208099	1.0	0.5356055036397572	0.49915583524838664	0.5917738248816674	0.2581464133401767	0.5169213649051259	0.5173066875049128	0.587353404016911	0.511767289810375	0.4642588628051177	0.5881363795396782	0.4971845248278764	0.394171456226582	0.5008978016575037	0.4931318558523567	0.6112945760449564	0.4474923975851062	0.4753937611647223	0.5965280892468793	0.590152079123684	0.5196845903327184	0.529817341674797	0.6182726141980589	0.4340307672389478	0.6214828138414042	0.587850932557756
ZeeviD_2015__PNP_Main_170__bin.64	0.5884183044532287	0.7003323021398175	0.7047937302120463	0.5999695251876436	0.668366476158034	0.5387834215613169	0.6962548003987766	0.6114398081987098	1.0	0.5952501521101344	0.7248595994427262	0.32780305810871063	0.6244957667811173	0.6105924254255652	0.7155595031268354	0.5650054844105147	0.553394440141451	0.7193442214512416	0.547237542716643	0.4558595568624456	0.6019493322813775	0.5800767923043005	0.7125887367767995	0.5392204852673989	0.5341495609480411	0.6972756714224031	0.7251868693675703	0.6648615208338978	0.6051629118014591	0.7061921933102508	0.5239654839319264	0.7247223572161787	0.6997636266575078
BritoIL_2016__W1.27.ST__bin.24	0.5846012228204772	0.740601076544441	0.7388493030458052	0.640123595386328	0.6940491212231193	0.5805168970448702	0.7336820627437688	0.6367250368344293	0.6651301129274593	1.0	0.7393569438060159	0.34078384294672287	0.6516801886803582	0.6452432566550681	0.7536231827070268	0.581124414453488	0.5956792732754861	0.7311635197002757	0.5621014518683028	0.4520094670479805	0.6462648296179089	0.6601236976222673	0.7324505128901825	0.6365209581709519	0.5406374096244126	0.7260053233467171	0.7881525847801357	0.732827999435343	0.662069326190449	0.7482428197930351	0.5153202521138264	0.7302717077373339	0.7299449459466792
ZeeviD_2015__PNP_Main_438__bin.27	0.6473255739344245	0.7766982563143985	0.7236794635409541	0.6642703045608462	0.6884355981593421	0.5004128284316515	0.758827082997885	0.5810272648360975	0.6234275292399962	0.5690876249532391	1.0	0.3677199643103162	0.6390547802747912	0.6123559186401116	0.6806366516587592	0.563704209034042	0.6039498358976718	0.7445378924442712	0.566076761875476	0.4776567204473559	0.662607489748901	0.592385494589042	0.7620074357543319	0.5021561508409714	0.52508719638648	0.7386057536903351	0.7543449889771177	0.6513603362675225	0.6289047698027503	0.7324941374730783	0.5666484868808935	0.7626182039178749	0.7169867398539241
LiJ_2014__V1.FI24__bin.39	0.6125507937583992	0.683376434088743	0.6142276357923029	0.6739504284819894	0.5591994026374871	0.39489031738372765	0.6631830489414561	0.41743397309874825	0.4643292233091012	0.4320011644182495	0.6056171217335476	1.0	0.5626358321802136	0.49250206365220583	0.5219315385873055	0.45452238913103293	0.5607097567881197	0.5868658007967492	0.4833427377387157	0.6156363027327939	0.7075984272378165	0.5393693997264415	0.6371002795401346	0.37857699715674586	0.3424037660157356	0.6073358349716272	0.6190174024700023	0.5534964449353788	0.5570794236927212	0.5941030390518764	0.6021991354593271	0.6777836375309548	0.5629144750746703
ZeeviD_2015__PNP_Main_23__bin.13	0.5159696322662453	0.6557925112416984	0.609439580006037	0.5430689488977326	0.5780164691088859	0.39281181711095164	0.6087616593185883	0.46609785072180904	0.4932572046097495	0.46065030354948044	0.5868808588440716	0.3137316323518539	1.0	0.4997642981783696	0.5421272534122564	0.47230670365999344	0.4825127593067476	0.5953786321845278	0.4759286735157317	0.41424122636102517	0.5396123594475016	0.4705861915421959	0.6571002672213813	0.41048611833009707	0.4354240937292753	0.6312208742869881	0.603199874588842	0.5470922789308699	0.5041901001899513	0.6278562863732661	0.47701545903763615	0.6730398808593999	0.5868833603964237
ZellerG_2014__CCIS16383318ST-4-0__bin.63	0.5687498327928852	0.7410692291309017	0.6908521986389254	0.6179874204658728	0.7081211757344171	0.5103380033194738	0.705588313673251	0.5830658888104825	0.602854177676278	0.5701343945643182	0.7029633791228932	0.3432858482499452	0.6247153136006354	1.0	0.6889176340358291	0.5475147897950328	0.5705381237433408	0.6819291583844856	0.5507717238089381	0.4280022667204509	0.5951888823685353	0.5943143674428899	0.7399838160885035	0.5035635527750822	0.5192916185891924	0.7150665684096857	0.7128398039446634	0.6397200023487171	0.625107229705573	0.7139606562093166	0.561028251661561	0.7465199204910625	0.694399942741335
ChengpingW_2017__AS12raw__bin.8	0.5704884645553816	0.6865008630840667	0.7084325058462541	0.597912432635661	0.6680252305894874	0.5045334110588655	0.7039618589710226	0.5833685935373097	0.6225591621318268	0.5867890884619836	0.6885224821305777	0.3205792429965887	0.5971620179327989	0.6070735541122174	1.0	0.5408080475317755	0.5475596366902884	0.7114412064929395	0.5249963719240192	0.43251656209031064	0.5884466752434179	0.5632944644439369	0.7112275021018347	0.51745334171822	0.5023262549621976	0.6989067397711219	0.7117035913972042	0.6411838978333804	0.6004912751661414	0.7058720333207397	0.533545772235207	0.7144003081262166	0.6666422753822951
LiuW_2016__SRR3992961__bin.108	0.48014717169032173	0.60566585424599	0.5647515502758611	0.5101340431718601	0.5611802063872988	0.4037300217519084	0.5775740070309955	0.5179621718962348	0.5009213050146697	0.46108274086525924	0.5810801451125596	0.2844848242063923	0.5301478580672375	0.49164523298752416	0.5510932736310212	1.0	0.44709749921690634	0.5759198386639861	0.6431635611231123	0.41129077546863946	0.5169765970430883	0.4673917926792286	0.6131077399604896	0.3906770047509762	0.42800280540964847	0.5904632295406641	0.5648423392224473	0.5171865659814129	0.4986203823992991	0.6007844664168255	0.47227817234050784	0.6331764650091288	0.5629273476274446
ZeeviD_2015__PNP_Main_186__bin.52	0.5909323412457056	0.790375274170236	0.7254550111481415	0.8062263371158689	0.702906752275528	0.4952985896146619	0.7579447979999078	0.5689564115602185	0.59407996288738	0.5722891429719865	0.7538395166292795	0.4249474326030438	0.6558053823876743	0.6203459059385481	0.6756264832392548	0.5413716558408932	1.0	0.7248037269774446	0.5510396746903566	0.4246928122254048	0.7809788755752569	0.6922206296905493	0.7670858206671658	0.4914188399435151	0.5632021421355925	0.7477433607925418	0.7550487745355445	0.6360107257889643	0.7375596790121032	0.7263450491447551	0.539036628312426	0.7746994988436307	0.7245551510004616
LiJ_2014__V1.FI09__bin.4	0.5972700847742092	0.7071877388068762	0.6947354287632392	0.6161906598390219	0.6401488369435576	0.4703036016540612	0.712286475406909	0.5450503146001614	0.5839647476413915	0.5311990515572886	0.7027560545354559	0.3363377827294867	0.6119263814196645	0.5606970482577365	0.6638256236653597	0.5273452888536556	0.5481004720787893	1.0	0.5204696505474257	0.43607139031131487	0.6168922789050058	0.5498573764989038	0.7299183682214556	0.4793040944443254	0.4840034566737371	0.6997390354166221	0.7088980781179697	0.6216990551282326	0.5748074189931367	0.6946654382619502	0.527947207164742	0.7300800605632093	0.6524305987044615
LiuW_2016__SRR3993054__bin.11	0.5169082748914698	0.6500303374972127	0.6130013875186838	0.5420291782541349	0.6061061408784707	0.42432597491879676	0.6212821678374889	0.5335972067005837	0.514473665927583	0.47292783645673914	0.6187717978391233	0.32079637088103136	0.5664808040065347	0.5244426932286839	0.5672946561673121	0.6820117499078626	0.4825696687224705	0.6027438727849822	1.0	0.44322223258836085	0.5506441011267551	0.49609218629142127	0.6630572654170397	0.41828659638424676	0.44128321327359793	0.6351676105366726	0.6023058482886938	0.5388637565166069	0.5271171569960518	0.6401311162147802	0.504621092269	0.6885328230546452	0.5835055325405222
CosteaPI_2017__SID713B055-11-90-0__bin.39	0.6213575918136257	0.7025524487879115	0.6162205647073131	0.5863170929923933	0.60861876709706	0.4256710839977682	0.6670723259561412	0.5253737009521352	0.5322375876063828	0.47229670265557555	0.6484228180474284	0.5074411499578043	0.6123276324644664	0.5061272082889259	0.5804199682977677	0.5416348589792999	0.461890761239789	0.62716555911546	0.5504384325062102	1.0	0.5762082059313907	0.4782858607879213	0.7079561263454754	0.42711074991638925	0.39854053045772664	0.6859104202394677	0.6287219102854762	0.5649336989471211	0.5131973484509211	0.6562082716695605	0.6125174514297641	0.7484282414464369	0.6001915445922549
SchirmerM_2016__G88968__bin.4	0.5178481247090778	0.6783211944318538	0.6347301768022205	0.71654397901086	0.5719124882649855	0.407986293328697	0.6490953753939898	0.4724330010266048	0.4973273677254177	0.4778436821938582	0.6365121254789586	0.41272071203517496	0.5644433641818721	0.4980539282969903	0.5587977646705489	0.48176635335498574	0.6010513758859227	0.6278297411856922	0.4839117276877726	0.4077438157309813	1.0	0.6029097893206935	0.65971205639901	0.40930887197618954	0.45400499434073566	0.643481175859349	0.6351040691171634	0.5463601757584621	0.6268540159843325	0.6170109955159089	0.49551198388832307	0.6675794950011528	0.5955921410510212
ChengpingW_2017__AS71raw__bin.30	0.5539141765781397	0.7187840971865981	0.6822366662946306	0.7576253588181509	0.6619988472752354	0.5103204779054632	0.6796562387442976	0.5632426563088091	0.5803757939066138	0.5910742345594208	0.6891220314432615	0.3809755347019798	0.5960998891989971	0.6022532706012583	0.6477753362671363	0.527458192602211	0.645146321051099	0.6776789320008577	0.5279574484715482	0.40986125404765184	0.7301191066770367	1.0	0.6953349151317835	0.500302968741583	0.5155788604220719	0.6875925762271818	0.70541755993447	0.6164070688716078	0.737389300221426	0.6816617122504645	0.5018475635926284	0.7157248346699049	0.6860645293492387
NielsenHB_2014__MH0031__bin.7	0.5979673101310413	0.7911604903480344	0.7005238833309849	0.652735240242356	0.6816285754544174	0.4609133436663379	0.7276691559814006	0.5588448640270537	0.5706515429054531	0.5249322248837537	0.709511061011695	0.36018599408200647	0.6662231928984078	0.6001964210229674	0.6546447794842891	0.5537987882203748	0.5722237565168381	0.7200397350993377	0.5648014654079189	0.48558348597999157	0.639446244892208	0.5565475553050585	1.0	0.4638754403268987	0.5062260109905594	0.9102226292799774	0.7022837818796674	0.6070824291954346	0.596298717768071	0.7591652811046922	0.5835462871635902	0.8002178385233197	0.6874191912075525
