	ZeeviD_2015__PNP_Main_709__bin.19	VincentC_2016__MM019.3__bin.15	Obregon-TitoAJ_2015__HCO12__bin.25	CosteaPI_2017__pluto1-11-0-0__bin.45	CosteaPI_2017__SID713B072-11-90-0__bin.43	BritoIL_2016__W2.21.ST__bin.1	VincentC_2016__MM022.3__bin.12	CosteaPI_2017__SID713A081-11-90-0__bin.30	ZeeviD_2015__PNP_Main_170__bin.64	BritoIL_2016__W1.27.ST__bin.24	ZeeviD_2015__PNP_Main_438__bin.27	LiJ_2014__V1.FI24__bin.39	ZeeviD_2015__PNP_Main_23__bin.13	ZellerG_2014__CCIS16383318ST-4-0__bin.63	ChengpingW_2017__AS12raw__bin.8	LiuW_2016__SRR3992961__bin.108	ZeeviD_2015__PNP_Main_186__bin.52	LiJ_2014__V1.FI09__bin.4	LiuW_2016__SRR3993054__bin.11	CosteaPI_2017__SID713B055-11-90-0__bin.39	SchirmerM_2016__G88968__bin.4	ChengpingW_2017__AS71raw__bin.30	NielsenHB_2014__MH0031__bin.7	BritoIL_2016__WL.9.ST__bin.10	ZeeviD_2015__PNP_Main_538__bin.2	LeChatelierE_2013__MH0031__bin.13	BritoIL_2016__W1.41.ST__bin.84	BritoIL_2016__W1.3.ST__bin.50	LeChatelierE_2013__MH0120__bin.8	LeChatelierE_2013__MH0276__bin.105	ZeeviD_2015__PNP_Main_488__bin.23	CosteaPI_2017__SID713B072-11-0-0__bin.11	ZeeviD_2015__PNP_Main_374__bin.35
ZeeviD_2015__PNP_Main_709__bin.19	2969838.0	2114161.0	1993126.0	1775824.0	1874158.0	1324315.0	2113287.0	1532874.0	1672103.0	1486721.0	2138787.0	1228870.0	1856338.0	1636957.0	1863326.0	1538985.0	1564244.0	2090729.0	1562439.0	1512321.0	1781135.0	1573242.0	2121887.0	1349927.0	1322367.0	2030477.0	2039953.0	1759777.0	1643731.0	2062334.0	1850888.0	2189990.0	1996188.0
VincentC_2016__MM019.3__bin.15	2114161.0	3581228.0	2520611.0	2397341.0	2425909.0	1623795.0	2607130.0	1956287.0	1990128.0	1883450.0	2566239.0	1370957.0	2359388.0	2132921.0	2242245.0	1941302.0	2092185.0	2475493.0	1964822.0	1709941.0	2333081.0	2041510.0	2807433.0	1659342.0	1784087.0	2689776.0	2538960.0	2166733.0	2205160.0	2605206.0	2025060.0	2855849.0	2448388.0
Obregon-TitoAJ_2015__HCO12__bin.25	1993126.0	2520611.0	3665320.0	2207796.0	2246051.0	1600122.0	2515573.0	1867649.0	2002806.0	1878995.0	2391063.0	1232234.0	2192621.0	1988388.0	2313878.0	1810162.0	1920336.0	2431904.0	1852896.0	1499818.0	2183150.0	1937707.0	2485809.0	1682981.0	1694515.0	2411847.0	2515151.0	2200762.0	2044773.0	2387066.0	1831760.0	2551168.0	2328483.0
CosteaPI_2017__pluto1-11-0-0__bin.45	1775824.0	2397341.0	2207796.0	3419403.0	2044527.0	1473414.0	2235421.0	1668583.0	1704928.0	1627922.0	2194773.0	1352047.0	1953835.0	1778671.0	1952898.0	1635100.0	2134144.0	2156960.0	1638371.0	1427036.0	2464548.0	2151828.0	2316231.0	1451348.0	1618696.0	2239736.0	2218948.0	1870368.0	2210006.0	2097694.0	1660972.0	2377797.0	2072476.0
CosteaPI_2017__SID713B072-11-90-0__bin.43	1874158.0	2425909.0	2246051.0	2044527.0	3248647.0	1587762.0	2253184.0	1896656.0	1899291.0	1765062.0	2274616.0	1121839.0	2079568.0	2038091.0	2181900.0	1798715.0	1860649.0	2240825.0	1832054.0	1481316.0	1967089.0	1880227.0	2418759.0	1644594.0	1648850.0	2348554.0	2250000.0	2007220.0	1999680.0	2414104.0	1801150.0	2951900.0	2308323.0
BritoIL_2016__W2.21.ST__bin.1	1324315.0	1623795.0	1600122.0	1473414.0	1587762.0	2240940.0	1613716.0	1444832.0	1531056.0	1476334.0	1653382.0	792210.0	1413245.0	1468838.0	1647904.0	1294050.0	1311094.0	1646286.0	1282594.0	1036040.0	1403266.0	1449426.0	1635551.0	1352418.0	1185415.0	1606498.0	1696672.0	1545949.0	1475814.0	1687749.0	1196652.0	1644984.0	1605252.0
VincentC_2016__MM022.3__bin.12	2113287.0	2607130.0	2515573.0	2235421.0	2253184.0	1613716.0	3450944.0	1853408.0	1978541.0	1865854.0	2507192.0	1330446.0	2190182.0	2030801.0	2299276.0	1851261.0	2006339.0	2493341.0	1877926.0	1623586.0	2232559.0	1930378.0	2582134.0	1636159.0	1709114.0	2483385.0	2550038.0	2197611.0	2080383.0	2436130.0	1950367.0	2633957.0	2384961.0
CosteaPI_2017__SID713A081-11-90-0__bin.30	1532874.0	1956287.0	1867649.0	1668583.0	1896656.0	1444832.0	1853408.0	3244035.0	1737523.0	1619279.0	1919735.0	837436.0	1676911.0	1678161.0	1905395.0	1660191.0	1506072.0	1907935.0	1612884.0	1278706.0	1624930.0	1599737.0	1983061.0	1451681.0	1542194.0	1935158.0	1914474.0	1685875.0	1718746.0	2005698.0	1408011.0	2016112.0	1907009.0
ZeeviD_2015__PNP_Main_170__bin.64	1672103.0	1990128.0	2002806.0	1704928.0	1899291.0	1531056.0	1978541.0	1737523.0	2841691.0	1691517.0	2059827.0	931515.0	1774624.0	1735115.0	2033399.0	1605571.0	1572576.0	2044154.0	1555080.0	1295412.0	1710554.0	1648399.0	2024957.0	1532298.0	1517888.0	1981442.0	2060757.0	1889331.0	1719686.0	2006780.0	1488948.0	2059437.0	1988512.0
BritoIL_2016__W1.27.ST__bin.24	1486721.0	1883450.0	1878995.0	1627922.0	1765062.0	1476334.0	1865854.0	1619279.0	1691517.0	2543137.0	1880286.0	866660.0	1657312.0	1640942.0	1916567.0	1477879.0	1514894.0	1859449.0	1429501.0	1149522.0	1643540.0	1678785.0	1862722.0	1618760.0	1374915.0	1846331.0	2004380.0	1863682.0	1683733.0	1902884.0	1310530.0	1857181.0	1856350.0
ZeeviD_2015__PNP_Main_438__bin.27	2138787.0	2566239.0	2391063.0	2194773.0	2274616.0	1653382.0	2507192.0	1919735.0	2059827.0	1880286.0	3304036.0	1214960.0	2111460.0	2023246.0	2248848.0	1862499.0	1995472.0	2459980.0	1870338.0	1578195.0	2189279.0	1957263.0	2517700.0	1659142.0	1734907.0	2440380.0	2492383.0	2152118.0	2077924.0	2420187.0	1872227.0	2519718.0	2368950.0
LiJ_2014__V1.FI24__bin.39	1228870.0	1370957.0	1232234.0	1352047.0	1121839.0	792210.0	1330446.0	837436.0	931515.0	866660.0	1214960.0	2006152.0	1128733.0	988034.0	1047074.0	911841.0	1124869.0	1177342.0	969659.0	1235060.0	1419550.0	1082057.0	1278120.0	759483.0	686914.0	1218408.0	1241843.0	1110398.0	1117586.0	1191861.0	1208103.0	1359737.0	1129292.0
ZeeviD_2015__PNP_Main_23__bin.13	1856338.0	2359388.0	2192621.0	1953835.0	2079568.0	1413245.0	2190182.0	1676911.0	1774624.0	1657312.0	2111460.0	1128733.0	3597766.0	1798035.0	1950447.0	1699249.0	1735968.0	2142033.0	1712280.0	1490343.0	1941399.0	1693059.0	2364093.0	1476833.0	1566554.0	2270985.0	2170172.0	1968310.0	1813958.0	2258880.0	1716190.0	2421440.0	2111469.0
ZellerG_2014__CCIS16383318ST-4-0__bin.63	1636957.0	2132921.0	1988388.0	1778671.0	2038091.0	1468838.0	2030801.0	1678161.0	1735115.0	1640942.0	2023246.0	988034.0	1798035.0	2878167.0	1982820.0	1575839.0	1642104.0	1962706.0	1585213.0	1231862.0	1713053.0	1710536.0	2129797.0	1449340.0	1494608.0	2058081.0	2051672.0	1841221.0	1799163.0	2054898.0	1614733.0	2148609.0	1998599.0
ChengpingW_2017__AS12raw__bin.8	1863326.0	2242245.0	2313878.0	1952898.0	2181900.0	1647904.0	2299276.0	1905395.0	2033399.0	1916567.0	2248848.0	1047074.0	1950447.0	1982820.0	3266194.0	1766384.0	1788436.0	2323705.0	1714740.0	1412683.0	1921981.0	1839829.0	2323007.0	1690103.0	1640695.0	2282765.0	2324562.0	2094231.0	1961321.0	2305515.0	1742664.0	2333370.0	2177383.0
LiuW_2016__SRR3992961__bin.108	1538985.0	1941302.0	1810162.0	1635100.0	1798715.0	1294050.0	1851261.0	1660191.0	1605571.0	1477879.0	1862499.0	911841.0	1699249.0	1575839.0	1766384.0	3205236.0	1433053.0	1845959.0	2061491.0	1318284.0	1657032.0	1498101.0	1965155.0	1252212.0	1371850.0	1892574.0	1810453.0	1657705.0	1598196.0	1925656.0	1513763.0	2029480.0	1804315.0
ZeeviD_2015__PNP_Main_186__bin.52	1564244.0	2092185.0	1920336.0	2134144.0	1860649.0	1311094.0	2006339.0	1506072.0	1572576.0	1514894.0	1995472.0	1124869.0	1735968.0	1642104.0	1788436.0	1433053.0	2647078.0	1918612.0	1458645.0	1124195.0	2067312.0	1832362.0	2030536.0	1300824.0	1490840.0	1979335.0	1998673.0	1683570.0	1952378.0	1922692.0	1426872.0	2050690.0	1917954.0
