	ZeeviD_2015__PNP_Main_479__bin.30	LiuW_2016__SRR3992994__bin.26	RampelliS_2015__H20__bin.28	XieH_2016__YSZC12003_36034__bin.76	CosteaPI_2017__SID713A028-11-90-0__bin.62	XieH_2016__YSZC12003_37315__bin.25	RampelliS_2015__H16__bin.35	ZeeviD_2015__PNP_Main_443__bin.23	XieH_2016__YSZC12003_36033__bin.88	VincentC_2016__MM100.1__bin.9	LiSS_2016__FAT_006-22-42-0__bin.55	CM_madagascar__V06_02_1FE__bin.13	XieH_2016__YSZC12003_37208R1__bin.49	RampelliS_2015__H27__bin.12	LiuW_2016__SRR3992967__bin.73	LiJ_2014__MH0328__bin.50	SchirmerM_2016__G89274__bin.21	ZeeviD_2015__PNP_Validation_15__bin.31	RampelliS_2015__H9__bin.17	LiSS_2016__FAT_006-22-84-0__bin.37	RampelliS_2015__H15__bin.31	LiSS_2016__FAT_006-22-0-0__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.4	LiJ_2017__H2M513938__bin.39	ZeeviD_2015__PNP_Main_379__bin.36	ZeeviD_2015__PNP_Main_764__bin.27	CosteaPI_2017__SID713A053-11-0-0__bin.28	ZeeviD_2015__PNP_Main_215__bin.19	BritoIL_2016__W1.53.ST__bin.9	CM_madagascar__A27_02_1FE__bin.15	CosteaPI_2017__SID713A028-11-0-0__bin.34	RampelliS_2015__H1__bin.27	FengQ_2015__SID530840__bin.75	LeChatelierE_2013__MH0407__bin.34	BritoIL_2016__W1.2.ST__bin.113	HeQ_2017__SZAXPI029560-51__bin.43	BritoIL_2016__M1.22.ST__bin.48	LiJ_2014__MH0354__bin.3
ZeeviD_2015__PNP_Main_479__bin.30	1.0	0.9763573726308468	0.9767322655264264	0.9770947456652084	0.9781430025678544	0.9777547911007967	0.9708362110339822	0.999819771533519	0.9771928394067104	0.9783903480563962	0.9800160786676372	0.9765712889177971	0.9778841286324506	0.9743065526081146	0.978352347926903	0.9764367100166055	0.9788831687858476	0.9768254336097908	0.9755743060970296	0.980020229879448	0.9749045843229319	0.9799269724354097	0.9723853048672594	0.9770737194055608	0.9775106350562404	0.9793325913817689	0.9785274018083086	0.9790617466503593	0.9771271326015674	0.9762563942503568	0.9779454022713812	0.9765886407440048	0.977518050816868	0.9777339320265194	0.979630689402097	0.9769305476834665	0.9758748950085216	0.9788109292867904
LiuW_2016__SRR3992994__bin.26	0.9763573726308468	1.0	0.9760698304162188	0.9770338414184908	0.9781643999846884	0.9769886878849764	0.9708368742245819	0.9765580140884597	0.9770039383543121	0.9771471715411503	0.9777189349162119	0.9769413057636277	0.9767196123636436	0.9732350577705011	0.9785912478771998	0.974974067890071	0.9767744415431281	0.9770858418316833	0.9751536163713913	0.977746717028267	0.9763331476218915	0.9776856507695781	0.9722128413771683	0.9770971916750867	0.9762705727423621	0.9766630376785082	0.9782468109345359	0.9775316116865668	0.9768427647386189	0.9764965861427486	0.9781920210296005	0.9760259549973835	0.9766449769492571	0.9780515208975485	0.9798610613884203	0.9772871157303687	0.9749632447114703	0.9773257992145593
RampelliS_2015__H20__bin.28	0.9767322655264264	0.9760698304162188	1.0	0.9749064594077155	0.977398825403318	0.9789101805547629	0.9728733975440294	0.9767535568659445	0.9750166422046309	0.9770084485894196	0.9759621153926218	0.9782875691189963	0.9755897000966648	0.9747585062104273	0.9766288794904587	0.97428674071066	0.9754508621301935	0.9780060895950865	0.9766982275860463	0.975963242586457	0.9782214557633395	0.975762924293301	0.9725477678512054	0.9791894801776293	0.9755009971118281	0.9763878217179726	0.9769539714340135	0.975981658931627	0.9766069193387337	0.9760373923397484	0.9772916942504773	0.9982922745256103	0.9756673879721547	0.9763514741606348	0.9788101658837287	0.9793197009426905	0.9762226100569734	0.9779384168254361
XieH_2016__YSZC12003_36034__bin.76	0.9770947456652084	0.9770338414184908	0.9749064594077155	1.0	0.9773860169937237	0.9784895222815881	0.9714723662736007	0.9771958703894692	0.9994533933361959	0.9772814025170373	0.9786949910854926	0.9760657263975279	0.9782204617010968	0.9732990252108745	0.9780621100502994	0.9759610477308598	0.9780711105686198	0.9767321087600151	0.9750823380536627	0.9786311986732226	0.9754772499190576	0.9786139985768212	0.9729870030795198	0.9766692508587649	0.9763757776891778	0.9773981658147591	0.9782295612133155	0.9782534888172955	0.9762740317712976	0.9764982893816312	0.9773610215438021	0.9750657584137047	0.9770627541772282	0.9796337682573723	0.980537370696882	0.9768639676724089	0.9764549235065721	0.978120544532666
CosteaPI_2017__SID713A028-11-90-0__bin.62	0.9781430025678544	0.9781643999846884	0.977398825403318	0.9773860169937237	1.0	0.9807535069984599	0.972947768415157	0.9781863319898102	0.97741473611328	0.9797669897836617	0.9790854641087228	0.9782412536481009	0.9783628662792603	0.9754519281344296	0.9784938579852253	0.9756844507810056	0.9779358719444965	0.9796904688426582	0.9772367777808089	0.9792823926452116	0.9774407856378622	0.9787911936470683	0.973793544263343	0.9786723927645545	0.978575462940343	0.9781819817152579	0.9793658040676687	0.9791122974173525	0.9784307269051217	0.9781009213940458	0.9997190647208746	0.9776168424006262	0.9775712859848508	0.9792969116892914	0.9817878017091239	0.9788219814213118	0.9767021548790282	0.9796039571031395
XieH_2016__YSZC12003_37315__bin.25	0.9777547911007967	0.9769886878849764	0.9789101805547629	0.9784895222815881	0.9807535069984599	1.0	0.9740362990564237	0.977968141287072	0.978916470027791	0.9794757614332786	0.978552666912826	0.9801572538786493	0.9785228685732822	0.9754252193999317	0.9791958142809584	0.9749411272048217	0.9778999377782439	0.9809188087299908	0.9774920154134581	0.9785585314474872	0.976686349280528	0.9785669854333426	0.9707365038252153	0.979271147429136	0.9779328721366315	0.9786595516176668	0.9778767156544582	0.9779449416010338	0.9796094412098132	0.9792564751740188	0.9806024739004725	0.9792918628082463	0.9773925436112573	0.979149885574139	0.9823687678129315	0.9814789220919604	0.97823894434471	0.9804486733770786
RampelliS_2015__H16__bin.35	0.9708362110339822	0.9708368742245819	0.9728733975440294	0.9714723662736007	0.972947768415157	0.9740362990564237	1.0	0.9707275789683297	0.971516461115272	0.9731146170655293	0.9715879767572397	0.9724645356393316	0.9728422652687004	0.9745574757558285	0.9721823574435515	0.9703447907844976	0.9716650733969551	0.9724613738571877	0.9735886523381952	0.971666872935792	0.9747680890538033	0.9716280011539973	0.9688409396911146	0.9722600441671417	0.9720833575969451	0.9719623305457021	0.9731671438608372	0.9719462633496513	0.9726532341029677	0.9725741061137103	0.9728370832585267	0.9728708842472762	0.9711243421386648	0.9731650943072884	0.9761683106136171	0.9727258863859851	0.972151352562222	0.9724843030747999
ZeeviD_2015__PNP_Main_443__bin.23	0.999819771533519	0.9765580140884597	0.9767535568659445	0.9771958703894692	0.9781863319898102	0.977968141287072	0.9707275789683297	1.0	0.977278567861247	0.97835329553933	0.9803143655150464	0.9767305708165923	0.9780326033744142	0.974557564914656	0.9783967967570577	0.976522629897449	0.9790461359008414	0.9770138665719208	0.9755956836186213	0.9802362409680674	0.9750496962249094	0.980249642307967	0.9725297637918169	0.9769199044094974	0.9774225081573503	0.9794787622206375	0.9787155189645316	0.9791558919497613	0.9771419289327354	0.9764877025475589	0.9782293588739263	0.9765292838891947	0.9776464322735875	0.9778442306763193	0.9798594571631862	0.9768692795770912	0.9759456177790861	0.9788755675500465
XieH_2016__YSZC12003_36033__bin.88	0.9771928394067104	0.9770039383543121	0.9750166422046309	0.9994533933361959	0.97741473611328	0.978916470027791	0.971516461115272	0.977278567861247	1.0	0.9773061814759447	0.9786289911047518	0.976192009524924	0.9779807815389063	0.9733185192944128	0.9777941735540783	0.9762226410818939	0.9780245694123719	0.9771838607279624	0.9751668428515001	0.9786725773659395	0.9763271649416797	0.9786839309663649	0.9729916099517423	0.9770016007306696	0.9765153352985909	0.9773731086499511	0.9785437549966177	0.9784377383011618	0.9762643450503251	0.9766867172926178	0.9774444412559289	0.9753190514600701	0.9770130621264669	0.9796760446617245	0.9808834798073921	0.9767309054889118	0.9762975224969127	0.9781992714791609
VincentC_2016__MM100.1__bin.9	0.9783903480563962	0.9771471715411503	0.9770084485894196	0.9772814025170373	0.9797669897836617	0.9794757614332786	0.9731146170655293	0.97835329553933	0.9773061814759447	1.0	0.9786497428184042	0.9775362644563147	0.9792524283296791	0.9749946241069508	0.9781099032407127	0.9774712661499209	0.9778433891458445	0.9777858980873478	0.9772298213550235	0.9787392624272494	0.9769992085166461	0.9786419163582826	0.9734832805321377	0.9771534964669975	0.9795405522053389	0.9780037282748276	0.9783979390843363	0.9788962446736804	0.9780081526809777	0.9792538749054689	0.9798674222318378	0.9773762126354794	0.9785919617616231	0.9800064357611791	0.9825555603644154	0.9769242847662044	0.9764968640355547	0.9802207573507131
