	XieH_2016__YSZC12003_35980__bin.22	NielsenHB_2014__MH0143__bin.55	ZeeviD_2015__PNP_Validation_18__bin.33	ZeeviD_2015__PNP_Main_650__bin.10	ZeeviD_2015__PNP_Main_677__bin.43	ZeeviD_2015__PNP_Main_505__bin.26	LiJ_2014__MH0222__bin.37	ZeeviD_2015__PNP_Main_379__bin.25	ZeeviD_2015__PNP_Main_93__bin.14	ZeeviD_2015__PNP_Main_742__bin.11	ZeeviD_2015__PNP_Main_706__bin.10	LeChatelierE_2013__MH0143__bin.30	LiJ_2014__MH0303__bin.38	ZeeviD_2015__PNP_Main_107__bin.29	ZeeviD_2015__PNP_Main_365__bin.14	ZeeviD_2015__PNP_Main_113__bin.17	LeChatelierE_2013__MH0276__bin.90	ZeeviD_2015__PNP_Main_589__bin.77	ZeeviD_2015__PNP_Main_616__bin.38	ZeeviD_2015__PNP_Main_683__bin.44	ZeeviD_2015__PNP_Main_27__bin.61	ZellerG_2014__CCIS74726977ST-3-0__bin.51	LiJ_2014__MH0395__bin.25	ZeeviD_2015__PNP_Main_670__bin.6	ZeeviD_2015__PNP_Main_800__bin.3	ZeeviD_2015__PNP_Main_635__bin.14	ZeeviD_2015__PNP_DietIntervention_51__bin.5	ZeeviD_2015__PNP_Main_46__bin.50
XieH_2016__YSZC12003_35980__bin.22	1.0	0.7971220987817359	0.8599919731585725	0.6845286242530292	0.7152921646472317	0.6159331770609793	0.8441477310244643	0.7409300818779094	0.854914325332629	0.4308773399584007	0.8539909290501502	0.8119242959490244	0.8526398816401994	0.872419133183664	0.9143377133612863	0.8660513098814752	0.874325765954637	0.5858041491960778	0.51082746624187	0.7119653587110832	0.8126274183697052	0.8514203795107135	0.8299568325134538	0.5415796576314834	0.6759642526989996	0.5030781595628776	0.5699588753342798	0.8376978853709267
NielsenHB_2014__MH0143__bin.55	0.801280831347699	1.0	0.9248385348741337	0.7703246414838976	0.7908189801574852	0.6695169917575651	0.9384806851151323	0.8092759154443888	0.9376432184647137	0.44938304894901826	0.9317446530476785	0.9349467314169262	0.945833797872368	0.871989981513507	0.8811808539048503	0.9390687267136305	0.9570205892342755	0.6440906745625339	0.5492484838742296	0.7800273278591189	0.905658215081141	0.9327169440504866	0.9244734720122794	0.5851330223730642	0.725210857508809	0.53691827829302	0.5346226344159901	0.9175398704130552
ZeeviD_2015__PNP_Validation_18__bin.33	0.7859336400837278	0.8408092741707368	1.0	0.7479402779611156	0.7785617303739464	0.6671547643742103	0.8960031303626318	0.7860076561881235	0.9309698466876615	0.4641337758584925	0.918088215881876	0.8580870844255031	0.9144633125271078	0.8448099153293481	0.8537809500462011	0.9720615135114749	0.9216560749778423	0.6756161722830903	0.5397631484659338	0.7741900658130457	0.8744602010220822	0.9376642968941522	0.8885364611816176	0.5723594636896793	0.7122880876501537	0.5554163759452375	0.5212652510890268	0.9067708235116634
ZeeviD_2015__PNP_Main_650__bin.10	0.8042259931793071	0.900327216285783	0.9615279952047875	1.0	0.9489884416710758	0.6196236436948591	0.960490406241534	0.8043672070977873	0.9710759955126702	0.357320305288734	0.9701335592756029	0.9168777299589873	0.9541012340157057	0.878194813388534	0.9022648167037277	0.9668880634238375	0.9782039650201608	0.8152388606158018	0.4819855283006632	0.961121929430617	0.9378864821915915	0.9533260726348638	0.9271730125050076	0.5458596745776765	0.7162594190592729	0.4768963726205	0.49302021419666553	0.9387889179195614
ZeeviD_2015__PNP_Main_677__bin.43	0.8180424787803737	0.8997245445604778	0.9743028216336059	0.9237763058764811	1.0	0.6426200183951608	0.9655960934766795	0.8117357350483271	0.9830939150247403	0.38253557056561877	0.9740892536980585	0.916488447567597	0.9539188831222924	0.886301032854654	0.9062625552282552	0.9708804249647938	0.9786762445789438	0.7913830647706711	0.4995212420450369	0.9363024782730024	0.9399944897112762	0.9677111239986054	0.9328134153701657	0.5600081651387513	0.725159895717491	0.4997772875810245	0.511304056433852	0.9584852251696302
ZeeviD_2015__PNP_Main_505__bin.26	0.7686955178141457	0.8312323757773972	0.9110786346136512	0.6582066106125182	0.7012657249913086	1.0	0.8765744305525154	0.7946010326667783	0.9173557549927249	0.625396907150123	0.8897608899990986	0.8297657829339583	0.9044197365540863	0.864492744292649	0.8499504268441858	0.9283268738009091	0.9008569074076459	0.5118775993716441	0.736192266587693	0.6987342750086915	0.8384172643343677	0.9044866925047964	0.8891003437930546	0.6517569498989223	0.7483904819540836	0.735176982604329	0.5510423238865354	0.8914978818742516
LiJ_2014__MH0222__bin.37	0.7950702425571653	0.8793311870734649	0.9234323573454659	0.7700050627892762	0.7952252358181167	0.6615384465885449	1.0	0.8015551800302602	0.9429921181796892	0.43948800721423176	0.9320930309393758	0.8906986552026719	0.9230616367871404	0.8631074253918803	0.8868855294598946	0.9438705752825104	0.9424027550902411	0.6561340890914868	0.5446754713204163	0.78351377010661	0.923010620196545	0.9175975169982421	0.9096797421378575	0.5831206022484227	0.7241698143093277	0.5316472916992606	0.5220828956433775	0.92707931476459
ZeeviD_2015__PNP_Main_379__bin.25	0.8133380900607049	0.8837523783636858	0.944124309141977	0.7515566956600526	0.7791411841986047	0.6989116154752197	0.9342008698015765	1.0	0.9356352496149316	0.4962053773670381	0.9608062652894809	0.8877525595723476	0.9525890187550965	0.8693032526954788	0.8801887967744858	0.9514570308960768	0.9609517984959681	0.6219154888103652	0.6037074159644831	0.7814934991392588	0.8949346516263478	0.9410080864365317	0.9230797544622633	0.6233634592733532	0.7610633550783727	0.5754954924345383	0.5517628205128206	0.9262939431004802
ZeeviD_2015__PNP_Main_93__bin.14	0.7892893696202882	0.8611749174037265	0.9404978208490758	0.7630981234679147	0.7936267158045237	0.6786263181231726	0.9243462428161364	0.7869123305508339	1.0	0.4493546846148754	0.9348897994019063	0.8754319129044502	0.9153757898261203	0.8677835718072022	0.8790848661528401	0.9498926260352217	0.9358399482585605	0.6520826358034187	0.5511049111979924	0.789297466126836	0.8853377505332979	0.9277510619520868	0.909107664962749	0.5780834235458794	0.7186892613176065	0.5293281661746054	0.5235720262841178	0.923290363109268
ZeeviD_2015__PNP_Main_742__bin.11	0.7739616546808588	0.8030129921154048	0.912257585065878	0.5463072870190967	0.6008211691513937	0.9001207383665387	0.8381577715941448	0.8119576387170784	0.8742616010296582	1.0	0.8899112577639032	0.8043658548563603	0.879804631794313	0.8357050129124263	0.837160730286427	0.9101263629397152	0.9028746480008674	0.33797754433173677	0.8971981841987485	0.6034370126566796	0.7870353124973939	0.908033132164497	0.8464741709777583	0.6897885734989015	0.781653513319675	0.8830496491359747	0.6050502551443533	0.8677752728195977
