	XieH_2016__YSZC12003_35980__bin.22	NielsenHB_2014__MH0143__bin.55	ZeeviD_2015__PNP_Validation_18__bin.33	ZeeviD_2015__PNP_Main_650__bin.10	ZeeviD_2015__PNP_Main_677__bin.43	ZeeviD_2015__PNP_Main_505__bin.26	LiJ_2014__MH0222__bin.37	ZeeviD_2015__PNP_Main_379__bin.25	ZeeviD_2015__PNP_Main_93__bin.14	ZeeviD_2015__PNP_Main_742__bin.11	ZeeviD_2015__PNP_Main_706__bin.10	LeChatelierE_2013__MH0143__bin.30	LiJ_2014__MH0303__bin.38	ZeeviD_2015__PNP_Main_107__bin.29	ZeeviD_2015__PNP_Main_365__bin.14	ZeeviD_2015__PNP_Main_113__bin.17	LeChatelierE_2013__MH0276__bin.90	ZeeviD_2015__PNP_Main_589__bin.77	ZeeviD_2015__PNP_Main_616__bin.38	ZeeviD_2015__PNP_Main_683__bin.44	ZeeviD_2015__PNP_Main_27__bin.61	ZellerG_2014__CCIS74726977ST-3-0__bin.51	LiJ_2014__MH0395__bin.25	ZeeviD_2015__PNP_Main_670__bin.6	ZeeviD_2015__PNP_Main_800__bin.3	ZeeviD_2015__PNP_Main_635__bin.14	ZeeviD_2015__PNP_DietIntervention_51__bin.5	ZeeviD_2015__PNP_Main_46__bin.50
XieH_2016__YSZC12003_35980__bin.22	1.0	0.9613413770743028	0.9604034812736677	0.9615699390183247	0.961217114491584	0.9615539236706689	0.9614777034876437	0.9615425854110242	0.9611283284095078	0.9619804275106734	0.9613067803592722	0.9618326818780212	0.9612327637477093	0.9907987376868591	0.992683532305748	0.960408902114976	0.9613281671767332	0.9609450333266114	0.9613860116315589	0.9606967978657268	0.9619088730539113	0.9610227358790651	0.9592819299035098	0.9594846882888032	0.9623140006441008	0.9605256276821008	0.9954899385715695	0.9609741888841129
NielsenHB_2014__MH0143__bin.55	0.9613413770743028	1.0	0.9922898405430698	0.9941582784760363	0.9936493593951121	0.9936558956564843	0.9941485214656435	0.9925978895783514	0.9925627037956314	0.9937595631694218	0.9929035306479431	0.999459229810137	0.9939374302006767	0.9610740162799659	0.9608244571294062	0.9916661742869559	0.9936761467571762	0.9923572181336734	0.9930994439146895	0.9928727749442905	0.9934967188719401	0.9939055442757038	0.9864666951239829	0.9895054108017522	0.9941759943712004	0.9927062850343631	0.9622225347604475	0.9919905776821278
ZeeviD_2015__PNP_Validation_18__bin.33	0.9604034812736677	0.9922898405430698	1.0	0.9935518477454474	0.9933797732180248	0.9920714670329903	0.9929984015288077	0.9927605251288351	0.9915801403326825	0.9918354660528876	0.9927611619934559	0.9925560671157164	0.9919741117675049	0.9603901166142199	0.9607190699533851	0.9961545139478286	0.9926613059980153	0.9958160338848223	0.9929986619199178	0.9925848612302786	0.9928927633742527	0.992618163681486	0.9876868174081352	0.9907080834155639	0.9934607516032079	0.9954877530181381	0.9608071723733751	0.9914225077804686
ZeeviD_2015__PNP_Main_650__bin.10	0.9615699390183247	0.9941582784760363	0.9935518477454474	1.0	0.9941531896250569	0.9946066281546921	0.9950081682798152	0.9935457572357818	0.9931465341034978	0.9940549993130599	0.994045729993128	0.9944560819497775	0.9942880628008184	0.9618240956022865	0.9616273867851399	0.9932973745490787	0.9942231055949879	0.9936660255871751	0.994492408829247	0.9934425547236748	0.9946726738020786	0.9943908585552916	0.987557980829067	0.9917360326961319	0.9947233614793541	0.9929111453113543	0.9624240755378483	0.9920793140268899
ZeeviD_2015__PNP_Main_677__bin.43	0.961217114491584	0.9936493593951121	0.9933797732180248	0.9941531896250569	1.0	0.993875591233585	0.9943514250661087	0.993816415570597	0.9929444806178755	0.9939003889562339	0.9933595462881535	0.9938311817892727	0.9939204763674754	0.9616565376857997	0.9610585076084303	0.9929177050082855	0.9937324692094062	0.9930699424408623	0.9935809158916917	0.9931608658366534	0.9937733046047169	0.9938333736719501	0.9879092724249571	0.9915277807041571	0.9944888923601111	0.9928440566242646	0.9622415094165457	0.9925429771340535
ZeeviD_2015__PNP_Main_505__bin.26	0.9615539236706689	0.9936558956564843	0.9920714670329903	0.9946066281546921	0.993875591233585	1.0	0.9933516849938453	0.9918369628802598	0.9919264056503931	0.9930502653890657	0.9935232954422119	0.9937408929876587	0.9941956109023427	0.9632233676054639	0.9607300139221963	0.9918089120645689	0.9945607158043688	0.992322775472626	0.9935627346965189	0.9938644597518143	0.9936257947599595	0.993793877584431	0.9864721608337123	0.9886333553284049	0.9955103252196879	0.9929049382575502	0.9625171746628158	0.9915369661045346
LiJ_2014__MH0222__bin.37	0.9614777034876437	0.9941485214656435	0.9929984015288077	0.9950081682798152	0.9943514250661087	0.9933516849938453	1.0	0.9935358884273976	0.9930622215420983	0.9944833472263066	0.9941263277402782	0.9945575893453779	0.9945852280473291	0.9614908286835007	0.9609115417506918	0.992323812396693	0.9946638757275947	0.9934968620989688	0.9941018317148754	0.9939885600325439	0.9945480808002114	0.994562515190169	0.9866808099939057	0.990527033242456	0.9955952988789314	0.9924447913201464	0.9623024828599002	0.9915857472883622
ZeeviD_2015__PNP_Main_379__bin.25	0.9615425854110242	0.9925978895783514	0.9927605251288351	0.9935457572357818	0.993816415570597	0.9918369628802598	0.9935358884273976	1.0	0.993231682480389	0.9924691215725031	0.9937720537488205	0.9935191682082031	0.9920734563629922	0.9618564021053728	0.9617201608653946	0.992466954767804	0.9935649783967132	0.9927293619958243	0.9936169155022189	0.9935459094021615	0.9937337974402407	0.9934707190333053	0.9887380105945396	0.9928071147609487	0.9936911122734987	0.992705743206344	0.9624772545103549	0.9934250786025587
ZeeviD_2015__PNP_Main_93__bin.14	0.9611283284095078	0.9925627037956314	0.9915801403326825	0.9931465341034978	0.9929444806178755	0.9919264056503931	0.9930622215420983	0.993231682480389	1.0	0.9927683924803152	0.9929713325939741	0.9932017459152536	0.9931529229110692	0.9614277246632932	0.9607539106582605	0.9908265988522218	0.9934451458455049	0.9913625809712385	0.9928452847929247	0.9924200414538411	0.9937942394446662	0.9929136558431024	0.9865278519216252	0.991065963082424	0.9937389455742868	0.9920425763553669	0.9624361769770469	0.9916011814675081
ZeeviD_2015__PNP_Main_742__bin.11	0.9619804275106734	0.9937595631694218	0.9918354660528876	0.9940549993130599	0.9939003889562339	0.9930502653890657	0.9944833472263066	0.9924691215725031	0.9927683924803152	1.0	0.9934255601393607	0.9944117152382422	0.9938071300155138	0.9611492348819752	0.9614414837214348	0.9921808344922939	0.9934778771234103	0.9926578440161977	0.9935120061967467	0.9928765019770432	0.9944393622043814	0.9935241131371927	0.989013791872877	0.9905805229609828	0.9948883001108404	0.9925171645604687	0.9627147508446076	0.991862227001261
