	XieH_2016__YSZC12003_35980__bin.22	NielsenHB_2014__MH0143__bin.55	ZeeviD_2015__PNP_Validation_18__bin.33	ZeeviD_2015__PNP_Main_650__bin.10	ZeeviD_2015__PNP_Main_677__bin.43	ZeeviD_2015__PNP_Main_505__bin.26	LiJ_2014__MH0222__bin.37	ZeeviD_2015__PNP_Main_379__bin.25	ZeeviD_2015__PNP_Main_93__bin.14	ZeeviD_2015__PNP_Main_742__bin.11	ZeeviD_2015__PNP_Main_706__bin.10	LeChatelierE_2013__MH0143__bin.30	LiJ_2014__MH0303__bin.38	ZeeviD_2015__PNP_Main_107__bin.29	ZeeviD_2015__PNP_Main_365__bin.14	ZeeviD_2015__PNP_Main_113__bin.17	LeChatelierE_2013__MH0276__bin.90	ZeeviD_2015__PNP_Main_589__bin.77	ZeeviD_2015__PNP_Main_616__bin.38	ZeeviD_2015__PNP_Main_683__bin.44	ZeeviD_2015__PNP_Main_27__bin.61	ZellerG_2014__CCIS74726977ST-3-0__bin.51	LiJ_2014__MH0395__bin.25	ZeeviD_2015__PNP_Main_670__bin.6	ZeeviD_2015__PNP_Main_800__bin.3	ZeeviD_2015__PNP_Main_635__bin.14	ZeeviD_2015__PNP_DietIntervention_51__bin.5	ZeeviD_2015__PNP_Main_46__bin.50
XieH_2016__YSZC12003_35980__bin.22	0.0	59736.0	66011.0	50995.0	53776.0	45904.0	63037.0	55236.0	64420.0	31756.0	64055.0	60072.0	64076.0	15561.0	12968.0	66467.0	65544.0	44350.0	38237.0	54244.0	60004.0	64331.0	65510.0	42535.0	49382.0	38496.0	4983.0	63373.0
NielsenHB_2014__MH0143__bin.55	59736.0	0.0	13751.0	8678.0	9685.0	8191.0	10590.0	11552.0	13448.0	5408.0	12751.0	975.0	11058.0	65457.0	66571.0	15092.0	11671.0	9493.0	7309.0	10721.0	11358.0	10962.0	24127.0	11842.0	8145.0	7552.0	38948.0	14172.0
ZeeviD_2015__PNP_Validation_18__bin.33	66011.0	13751.0	0.0	10230.0	10933.0	11220.0	13307.0	12070.0	16627.0	8038.0	14097.0	13549.0	15568.0	70980.0	71138.0	7929.0	14347.0	5996.0	8016.0	12177.0	13183.0	14682.0	23207.0	11281.0	9880.0	5316.0	43335.0	16498.0
ZeeviD_2015__PNP_Main_650__bin.10	50995.0	8678.0	10230.0	0.0	9155.0	5514.0	7911.0	8566.0	10981.0	3505.0	9531.0	8387.0	8992.0	55317.0	57126.0	10693.0	9324.0	8520.0	4380.0	10399.0	8244.0	8823.0	19034.0	7443.0	6236.0	5578.0	30567.0	12269.0
ZeeviD_2015__PNP_Main_677__bin.43	53776.0	9685.0	10933.0	9155.0	0.0	6671.0	9245.0	8508.0	11757.0	3955.0	10964.0	9583.0	9830.0	57603.0	59819.0	11655.0	10397.0	9296.0	5435.0	10854.0	9921.0	10115.0	19117.0	8042.0	6774.0	6062.0	32724.0	12115.0
ZeeviD_2015__PNP_Main_505__bin.26	45904.0	8191.0	11220.0	5514.0	6671.0	0.0	9052.0	10075.0	11504.0	6751.0	8951.0	8067.0	8154.0	49383.0	51844.0	11811.0	7611.0	6104.0	7361.0	6659.0	8301.0	8719.0	18682.0	11507.0	5219.0	8102.0	32082.0	11719.0
LiJ_2014__MH0222__bin.37	63037.0	10590.0	13307.0	7911.0	9245.0	9052.0	0.0	10664.0	13465.0	4990.0	11268.0	9977.0	10287.0	68408.0	71350.0	14912.0	10350.0	8782.0	6612.0	9694.0	10357.0	10269.0	24937.0	11369.0	6565.0	8267.0	40507.0	16055.0
ZeeviD_2015__PNP_Main_379__bin.25	55236.0	11552.0	12070.0	8566.0	8508.0	10075.0	10664.0	0.0	11183.0	6599.0	10567.0	10160.0	13334.0	58555.0	59500.0	12657.0	10920.0	7985.0	6805.0	8907.0	9903.0	10850.0	18358.0	7918.0	8479.0	7413.0	36561.0	10755.0
ZeeviD_2015__PNP_Main_93__bin.14	64420.0	13448.0	16627.0	10981.0	11757.0	11504.0	13465.0	11183.0	0.0	6823.0	13797.0	12496.0	13160.0	70281.0	72440.0	18296.0	12880.0	11826.0	8279.0	12562.0	11536.0	13804.0	25716.0	10844.0	9448.0	8844.0	41295.0	16282.0
ZeeviD_2015__PNP_Main_742__bin.11	31756.0	5408.0	8038.0	3505.0	3955.0	6751.0	4990.0	6599.0	6823.0	0.0	6314.0	4851.0	5880.0	35039.0	34836.0	7680.0	6355.0	2678.0	6282.0	4639.0	4723.0	6346.0	10036.0	7012.0	4312.0	7131.0	24346.0	7621.0
