	VincentC_2016__MM021.4__bin.22	VincentC_2016__MM020.1__bin.1	VincentC_2016__MM037.2__bin.3	VincentC_2016__MM041.1__bin.4	VincentC_2016__MM030.2__bin.13	VincentC_2016__MM040.1__bin.8	VincentC_2016__MM009.2__bin.8	VincentC_2016__MM028.2__bin.3	VincentC_2016__MM008.2__bin.11	VincentC_2016__MM016.1__bin.8	VincentC_2016__MM022.1__bin.2	VincentC_2016__MM046.1__bin.4	VincentC_2016__MM022.3__bin.2	VincentC_2016__MM024.2__bin.12	VincentC_2016__MM036__bin.9	VincentC_2016__MM018__bin.5	VincentC_2016__MM012.1__bin.4	VincentC_2016__MM038__bin.14	VincentC_2016__MM005.3__bin.4	VincentC_2016__MM043.1__bin.9	VincentC_2016__MM009.1__bin.18	VincentC_2016__MM024.3__bin.2	VincentC_2016__MM007__bin.6	VincentC_2016__MM019.1__bin.3	VincentC_2016__MM043.2__bin.13	VincentC_2016__MM027.3__bin.18	VincentC_2016__MM026.2__bin.2	VincentC_2016__MM045.2__bin.12	VincentC_2016__MM013.3__bin.8	VincentC_2016__MM040.2__bin.4	VincentC_2016__MM031__bin.2	VincentC_2016__MM029.1__bin.4	VincentC_2016__MM013.2__bin.5	VincentC_2016__MM032.1__bin.13	VincentC_2016__MM005.2__bin.17	VincentC_2016__MM021.3__bin.1	VincentC_2016__MM024.1__bin.1	VincentC_2016__MM014__bin.12	VincentC_2016__MM045.1__bin.8	VincentC_2016__MM042.2__bin.17	VincentC_2016__MM006.2__bin.2	VincentC_2016__MM021.1__bin.8	VincentC_2016__MM025__bin.4	VincentC_2016__MM012.2__bin.24	VincentC_2016__MM033.2__bin.6	VincentC_2016__MM008.1__bin.31	VincentC_2016__MM028.1__bin.4	VincentC_2016__MM033.3__bin.17	VincentC_2016__MM023.2__bin.32
VincentC_2016__MM021.4__bin.22	5085345.0	4966566.0	4231395.0	4308608.0	4874743.0	4986173.0	4980419.0	4966409.0	4877390.0	4407104.0	4530906.0	4975379.0	4413117.0	3658805.0	4987905.0	4994885.0	4937401.0	4949261.0	4944503.0	4991514.0	4930485.0	4352499.0	4945120.0	4963766.0	4989730.0	4959322.0	4999314.0	4746674.0	4983845.0	4907339.0	4976234.0	4972393.0	4938944.0	4994453.0	4952245.0	4919707.0	4941957.0	4958671.0	4554579.0	4908087.0	4878762.0	4903185.0	4986074.0	4524558.0	3906033.0	2510613.0	4975027.0	5001961.0	3869241.0
VincentC_2016__MM020.1__bin.1	4966566.0	5223993.0	4347400.0	4446628.0	5055215.0	5173768.0	5165280.0	5149820.0	5047775.0	4552052.0	4662943.0	5166309.0	4533384.0	3752086.0	5166547.0	5178108.0	5118155.0	5126708.0	5132595.0	5171330.0	5116967.0	4485781.0	5138589.0	5152729.0	5165670.0	5140284.0	5178415.0	4907958.0	5172850.0	5086189.0	5162578.0	5150093.0	5121399.0	5180977.0	5136087.0	5093379.0	5125958.0	5146715.0	4705048.0	5074808.0	5072272.0	5075349.0	5170664.0	4663746.0	4023480.0	2569333.0	5166016.0	5181722.0	3989168.0
VincentC_2016__MM037.2__bin.3	4231395.0	4347400.0	4467576.0	3783152.0	4251971.0	4362178.0	4349180.0	4335459.0	4283923.0	3876021.0	3986082.0	4352142.0	3901653.0	3221133.0	4359120.0	4356995.0	4310961.0	4339983.0	4323175.0	4351288.0	4299317.0	3830289.0	4322437.0	4333340.0	4354215.0	4334694.0	4363993.0	4184595.0	4358038.0	4303480.0	4349813.0	4340956.0	4308151.0	4364906.0	4330266.0	4299899.0	4322806.0	4332139.0	4010885.0	4305474.0	4266126.0	4297023.0	4352396.0	3983172.0	3428654.0	2199177.0	4349759.0	4372335.0	3430504.0
VincentC_2016__MM041.1__bin.4	4308608.0	4446628.0	3783152.0	4516235.0	4352249.0	4457382.0	4456333.0	4441028.0	4367255.0	3963952.0	4057160.0	4444099.0	3951691.0	3293525.0	4457154.0	4458862.0	4403562.0	4433960.0	4419827.0	4459788.0	4410516.0	3903344.0	4425053.0	4437783.0	4457690.0	4436016.0	4467541.0	4263077.0	4463210.0	4392175.0	4451821.0	4434160.0	4409616.0	4471518.0	4425126.0	4402462.0	4418369.0	4432897.0	4098929.0	4385542.0	4367139.0	4390989.0	4449003.0	4052968.0	3518061.0	2268526.0	4449466.0	4468355.0	3517002.0
VincentC_2016__MM030.2__bin.13	4874743.0	5055215.0	4251971.0	4352249.0	5132630.0	5067649.0	5072682.0	5052745.0	4947308.0	4452506.0	4568215.0	5064425.0	4441033.0	3670766.0	5077932.0	5082245.0	5023248.0	5033445.0	5035764.0	5069381.0	5008529.0	4389678.0	5040594.0	5054506.0	5074442.0	5044980.0	5083509.0	4816163.0	5077112.0	4983855.0	5067422.0	5060393.0	5020990.0	5081634.0	5043282.0	5000748.0	5029219.0	5052058.0	4612431.0	4977509.0	4974376.0	4975553.0	5067854.0	4576830.0	3939354.0	2510835.0	5066910.0	5090242.0	3908894.0
VincentC_2016__MM040.1__bin.8	4986173.0	5173768.0	4362178.0	4457382.0	5067649.0	5251248.0	5192188.0	5172698.0	5073292.0	4574166.0	4682331.0	5189122.0	4549513.0	3761199.0	5194902.0	5196544.0	5145925.0	5149184.0	5163643.0	5198124.0	5136516.0	4505854.0	5158134.0	5174227.0	5188561.0	5164393.0	5211958.0	4934300.0	5198598.0	5101679.0	5193244.0	5178165.0	5143825.0	5205464.0	5157057.0	5112572.0	5149841.0	5176452.0	4720292.0	5094153.0	5090112.0	5093244.0	5185185.0	4681429.0	4034129.0	2583433.0	5186832.0	5209145.0	4002559.0
VincentC_2016__MM009.2__bin.8	4980419.0	5165280.0	4349180.0	4456333.0	5072682.0	5192188.0	5238503.0	5172974.0	5065398.0	4560715.0	4675917.0	5187356.0	4545326.0	3759821.0	5190289.0	5215040.0	5143030.0	5149234.0	5165219.0	5188808.0	5137426.0	4494296.0	5166743.0	5181372.0	5198945.0	5164220.0	5203442.0	4917489.0	5206868.0	5101700.0	5199379.0	5183464.0	5145651.0	5203961.0	5163073.0	5115038.0	5153444.0	5170204.0	4714238.0	5082485.0	5096172.0	5087712.0	5185701.0	4678390.0	4035073.0	2580561.0	5185341.0	5205053.0	4001599.0
VincentC_2016__MM028.2__bin.3	4966409.0	5149820.0	4335459.0	4441028.0	5052745.0	5172698.0	5172974.0	5217878.0	5047201.0	4545650.0	4657195.0	5150926.0	4531070.0	3750695.0	5168746.0	5175438.0	5127947.0	5126034.0	5146517.0	5169839.0	5120331.0	4479900.0	5143852.0	5156800.0	5167131.0	5137265.0	5180608.0	4902204.0	5178388.0	5084799.0	5176670.0	5155997.0	5129389.0	5174580.0	5143342.0	5088634.0	5132199.0	5153527.0	4706157.0	5065300.0	5070030.0	5069866.0	5165442.0	4660695.0	4022429.0	2570404.0	5158350.0	5185526.0	3986902.0
VincentC_2016__MM008.2__bin.11	4877390.0	5047775.0	4283923.0	4367255.0	4947308.0	5073292.0	5065398.0	5047201.0	5160266.0	4476450.0	4586968.0	5063843.0	4464085.0	3695511.0	5069422.0	5072706.0	5014636.0	5035446.0	5024336.0	5065344.0	5003780.0	4427990.0	5031909.0	5045727.0	5073008.0	5047998.0	5080504.0	4819319.0	5073934.0	4992348.0	5066381.0	5050473.0	5011980.0	5079993.0	5033750.0	5002725.0	5024927.0	5037574.0	4615916.0	4980315.0	4957015.0	4979172.0	5063349.0	4582241.0	3963805.0	2533603.0	5059964.0	5086586.0	3928750.0
VincentC_2016__MM016.1__bin.8	4407104.0	4552052.0	3876021.0	3963952.0	4452506.0	4574166.0	4560715.0	4545650.0	4476450.0	4657300.0	4153408.0	4564916.0	4048815.0	3343814.0	4568606.0	4566872.0	4523181.0	4539585.0	4531196.0	4562651.0	4509944.0	4000680.0	4538650.0	4542797.0	4561980.0	4550325.0	4576703.0	4354975.0	4571488.0	4500601.0	4562906.0	4550252.0	4516700.0	4577411.0	4532642.0	4503144.0	4527406.0	4542143.0	4179142.0	4494679.0	4482054.0	4489209.0	4557564.0	4152337.0	3570931.0	2296241.0	4554255.0	4582873.0	3557520.0
