	VincentC_2016__MM021.4__bin.22	VincentC_2016__MM020.1__bin.1	VincentC_2016__MM037.2__bin.3	VincentC_2016__MM041.1__bin.4	VincentC_2016__MM030.2__bin.13	VincentC_2016__MM040.1__bin.8	VincentC_2016__MM009.2__bin.8	VincentC_2016__MM028.2__bin.3	VincentC_2016__MM008.2__bin.11	VincentC_2016__MM016.1__bin.8	VincentC_2016__MM022.1__bin.2	VincentC_2016__MM046.1__bin.4	VincentC_2016__MM022.3__bin.2	VincentC_2016__MM024.2__bin.12	VincentC_2016__MM036__bin.9	VincentC_2016__MM018__bin.5	VincentC_2016__MM012.1__bin.4	VincentC_2016__MM038__bin.14	VincentC_2016__MM005.3__bin.4	VincentC_2016__MM043.1__bin.9	VincentC_2016__MM009.1__bin.18	VincentC_2016__MM024.3__bin.2	VincentC_2016__MM007__bin.6	VincentC_2016__MM019.1__bin.3	VincentC_2016__MM043.2__bin.13	VincentC_2016__MM027.3__bin.18	VincentC_2016__MM026.2__bin.2	VincentC_2016__MM045.2__bin.12	VincentC_2016__MM013.3__bin.8	VincentC_2016__MM040.2__bin.4	VincentC_2016__MM031__bin.2	VincentC_2016__MM029.1__bin.4	VincentC_2016__MM013.2__bin.5	VincentC_2016__MM032.1__bin.13	VincentC_2016__MM005.2__bin.17	VincentC_2016__MM021.3__bin.1	VincentC_2016__MM024.1__bin.1	VincentC_2016__MM014__bin.12	VincentC_2016__MM045.1__bin.8	VincentC_2016__MM042.2__bin.17	VincentC_2016__MM006.2__bin.2	VincentC_2016__MM021.1__bin.8	VincentC_2016__MM025__bin.4	VincentC_2016__MM012.2__bin.24	VincentC_2016__MM033.2__bin.6	VincentC_2016__MM008.1__bin.31	VincentC_2016__MM028.1__bin.4	VincentC_2016__MM033.3__bin.17	VincentC_2016__MM023.2__bin.32
VincentC_2016__MM021.4__bin.22	1.0	0.9766428826362813	0.832076289809246	0.8472597237748865	0.9585864872491443	0.9804984715884566	0.9793669849341589	0.976612009608001	0.9591070025730801	0.8666283211856816	0.8909731788108771	0.978375901733314	0.8678107385044672	0.7194801925926363	0.9808390581170009	0.9822116296927741	0.9709077751853611	0.973239967003222	0.9723043372671863	0.981548744480463	0.9695477887930908	0.855890603292402	0.972425666301893	0.9760922808580342	0.9811979324903227	0.9752183971785592	0.9830825637198656	0.9334025518425987	0.9800406855385426	0.9649962785219095	0.9785440319191716	0.977788724265512	0.9712111960938736	0.9821266797041303	0.9738267511840396	0.9674283652338238	0.971803682935966	0.9750903822651167	0.8956283202024642	0.9651433678540984	0.9593767974444212	0.9641794214551815	0.9804790038827258	0.8897248859221941	0.7680959698899484	0.4936957079608168	0.9783066832240487	0.9836030790438014	0.7608610625237816
VincentC_2016__MM020.1__bin.1	0.9507221774608045	1.0	0.8321986648910135	0.851193330465795	0.9676917637523633	0.9903857068721187	0.9887608961191181	0.9858014740831391	0.966267565825605	0.8713740619483985	0.8926013109129357	0.9889578718807625	0.8678005502687313	0.7182410083627601	0.9890034309004625	0.9912164889960611	0.9797400187940527	0.9813772721364673	0.9825041878884601	0.9899190140568718	0.9795126065444575	0.8586881720553607	0.9836515860568726	0.9863583278155235	0.9888355516556013	0.9839760505038961	0.9912752563029851	0.9395031731474373	0.9902099792247042	0.9736209447447575	0.9882436672484056	0.9858537329586774	0.9803609997180318	0.9917656857503446	0.9831726420766643	0.9749972865583855	0.9812337037970763	0.9852071011580605	0.9006612374863443	0.9714423430506128	0.9709568906390188	0.9715459036794268	0.9897915253714926	0.8927550247483104	0.7701924562303204	0.49183316286985834	0.9889017845161737	0.991908296967473	0.7636243004154102
VincentC_2016__MM037.2__bin.3	0.9471344192018222	0.9731004016495747	1.0	0.8468019346509158	0.9517400487423158	0.976408235696494	0.9734988279997923	0.9704275875776931	0.9588920255637509	0.8675892698859515	0.8922247769260109	0.9741618273533568	0.8733266093290858	0.721002395930142	0.9757237481802212	0.9752480987452704	0.9649440770565515	0.971440217245325	0.9676779980911349	0.9739706722392635	0.962337741988049	0.8573528463757527	0.9675128078403143	0.9699532811529116	0.9746258373668405	0.9702563537811109	0.9768144962726991	0.9366589398814927	0.9754815586796957	0.9632695672104963	0.9736405155726506	0.9716580087277754	0.9643151006272753	0.9770188576534569	0.9692652122761873	0.9624680139744685	0.9675954029657245	0.9696844552840287	0.8977765571307572	0.9637158942567513	0.954908433566659	0.9618242644333302	0.9742186814505226	0.8915734169939135	0.767452864819759	0.49225284583854867	0.9736284284811271	0.978681728078045	0.7678669596219516
VincentC_2016__MM041.1__bin.4	0.9540265287346651	0.9845873830746186	0.8376782873344721	1.0	0.963689666281759	0.9869685700589097	0.986736296937604	0.9833474121696502	0.9670123454603226	0.8777116336948808	0.8983500637145764	0.9840274033569998	0.8749967616831277	0.7292634240689424	0.9869180855292075	0.9872962766552228	0.9750515639686598	0.9817823917488793	0.9786530151774653	0.9875013147012943	0.9765913421245794	0.8642916057291085	0.9798101737398519	0.9826288933148961	0.9870367684586829	0.9822376382097034	0.9892180101345479	0.9439449010071442	0.9882590254935804	0.9725302159874321	0.9857372346656009	0.9818266764240567	0.976392061086281	0.9900986109004514	0.9798263376462917	0.9748079982551838	0.9783301798954217	0.9815470187003112	0.9075986967020095	0.9710615147351721	0.9669866603487197	0.9722676078636298	0.9851132635923507	0.8974218569228573	0.7789809431971543	0.502304685207922	0.9852157826153864	0.9893982487625201	0.7787464558420897
VincentC_2016__MM030.2__bin.13	0.9497553885629785	0.9849170892895065	0.8284195431971524	0.8479568953928103	1.0	0.9873396290011164	0.988320217899985	0.9844358545229249	0.9638933646103459	0.8674901561187929	0.8900339591983057	0.9867114909899993	0.8652548498528045	0.7151822749740386	0.9893430853188326	0.9901833952574022	0.9786888982841155	0.9806755990593516	0.9811274142106483	0.9876770778333914	0.9758211677054454	0.8552492581775815	0.9820684522359882	0.9847789534799898	0.9886631220251606	0.9829229849024769	0.9904296627654828	0.9383421364875317	0.9891833231696031	0.9710138856687507	0.9872954021622443	0.9859259288123243	0.9782489678780664	0.9900643529730372	0.9825921603544382	0.9743051807747685	0.9798522394951517	0.9843020050149728	0.8986486460157853	0.9697774824992256	0.9691670741900351	0.9693963913237463	0.9873795695384238	0.8917124359246624	0.7675117824585057	0.4891907267813967	0.9871956482349205	0.9917414658761687	0.7615772031102963
VincentC_2016__MM040.1__bin.8	0.949521523264565	0.9852454121382194	0.830693579888057	0.8488233654171351	0.9650370730919583	1.0	0.9887531497274553	0.985041651051331	0.9661116747866412	0.8710626502499977	0.8916606109633367	0.9881692885196053	0.8663679567219069	0.7162485946197933	0.9892699792506467	0.9895826668251052	0.9799432439679101	0.9805638583437689	0.9833172990496736	0.9898835476823795	0.9781514794197493	0.8580539330840974	0.9822682150985823	0.9853328199315667	0.9880624567721806	0.9834601222414177	0.9925179690618307	0.9396433000307737	0.9899738119395618	0.9715174373786954	0.988954244781431	0.9860827369036846	0.9795433390310265	0.9912813106522488	0.9820631209952377	0.9735918014155873	0.9806889714597368	0.985756528733741	0.8988895592057354	0.9700842542572737	0.9693147229001563	0.9699111525488798	0.9874195619784097	0.8914888422713991	0.7682229062500953	0.4919655289561643	0.9877332017074798	0.9919822868773289	0.7622110020322788
VincentC_2016__MM009.2__bin.8	0.9507332533741033	0.9860221517483143	0.8302333701059254	0.8506882596039365	0.9683457277775731	0.9911587337069387	1.0	0.9874908919590196	0.9669552542014388	0.8706141811887862	0.8926055783493873	0.9902363327843852	0.867676509873145	0.7177281372178274	0.9907962255629137	0.9955210486660024	0.9817747551161086	0.982959062923129	0.9860105072002441	0.9905135112073048	0.9807049838474847	0.8579351772825176	0.9863014300077713	0.9890940217081101	0.9924486060235147	0.9858198038638137	0.993307057378797	0.9387202794386106	0.9939610610130413	0.9738850965628921	0.9925314541196216	0.9894933724386528	0.9822750888946709	0.99340613148451	0.9856008481812457	0.9764312438114476	0.9837627276342116	0.9869621149400888	0.8999208361625449	0.9702170639207423	0.9728298332557984	0.9712148680644069	0.9899204028326413	0.8930776597818118	0.770272155995711	0.4926142067686131	0.9898516809096034	0.9936145879843917	0.7638821625185669
VincentC_2016__MM028.2__bin.3	0.9518062706717175	0.9869567667162782	0.8308854672339981	0.8511176382429793	0.9683524605213077	0.9913413077116789	0.9913942027774509	1.0	0.967289959634932	0.87116831784875	0.8925457820209671	0.987168730276944	0.8683740785047102	0.7188161547663628	0.9905839116974372	0.9918664253936179	0.9827648327538513	0.9823982086204391	0.986323750766116	0.9907933838238456	0.981305235576608	0.8585674099701066	0.9858130067433543	0.9882944752636992	0.9902743989031556	0.9845506161700216	0.9928572496328968	0.9395014601721237	0.9924317893212529	0.9744955708048367	0.9921025367017013	0.988140581286109	0.9830411903076308	0.9917019907326312	0.9857152658609496	0.9752305439107621	0.9835797234048017	0.9876672087772079	0.901929290029395	0.9707586110675642	0.9716651098396705	0.9716336794382697	0.9899507040984861	0.893216552782568	0.7708936468043139	0.4926148139147753	0.9885915308866938	0.9937997783773403	0.7640849402764879
VincentC_2016__MM008.2__bin.11	0.9451818956619679	0.9782005423751411	0.8301748398241486	0.8463236197513849	0.9587311971902224	0.9831454425023827	0.9816156764011778	0.9780893077992491	1.0	0.8674843506129335	0.8889014636067211	0.9813143353462787	0.8650881563082213	0.7161473846503261	0.9823954811631803	0.9830318824649737	0.9717785866077446	0.9758113244549796	0.9736583346672439	0.9816052118243517	0.9696748190887834	0.8580933618538269	0.9751258946728715	0.9778036636095891	0.9830904065798158	0.9782437572016637	0.9845430448740433	0.933928406016279	0.9832698546935371	0.9674594294170107	0.9818061704571044	0.9787233836395256	0.9712638844586694	0.9844440189711151	0.9754826592272569	0.9694703722637554	0.9737728636469515	0.976223706297311	0.894511251939338	0.9651275728809329	0.9606123017689399	0.9649060726714476	0.981218603847166	0.8879854255575197	0.7681396656683978	0.49098302296819585	0.9805626299109387	0.9857216662861953	0.7613464112121352
VincentC_2016__MM016.1__bin.8	0.9462787451957143	0.9774014987224358	0.8322463659201683	0.8511266184269856	0.9560273119618663	0.9821497434135658	0.9792615893328753	0.9760268825285037	0.9611684881798467	1.0	0.8918059820067421	0.9801636141111802	0.8693481201554549	0.7179726450947974	0.9809559186653211	0.9805835999398793	0.9712024134154983	0.9747246258561828	0.9729233676164302	0.9796772808279475	0.9683602087046143	0.8590127326992034	0.9745238657591309	0.9754142958366435	0.9795332059347691	0.9770306830137634	0.9826944796341228	0.9350857793141949	0.98157473214094	0.9663541107508642	0.9797320335816889	0.9770150086960256	0.9698108346037404	0.9828464990445107	0.9732338479376462	0.9669001352715092	0.9721095913941554	0.9752738711270479	0.8973315010843192	0.9650825585639748	0.9623717604620703	0.9639080583170506	0.9785850170699761	0.891576020441028	0.766738453610461	0.4930412470744852	0.9778745195714255	0.9840192815579842	0.7638588881970241
