	HMP_2012__SRS063215__bin.18	HMP_2012__SRS017304__bin.30	HMP_2012__SRS022536__bin.24	HMP_2012__SRS013252__bin.59	HMP_2012__SRS024087__bin.52	HMP_2012__SRS052604__bin.20	HMP_2012__SRS051941__bin.45	HMP_2012__SRS049318__bin.91	HMP_2012__SRS014578__bin.53	HMP_2012__SRS024649__bin.31	HMP_2012__SRS063999__bin.50	HMP_2012__SRS049268__bin.34	HMP_2012__SRS019980__bin.56	HMP_2012__SRS020226__bin.72	HMP_2012__SRS024561__bin.48	HMP_2012__SRS018443__bin.10	CM_periimplantitis__SP_161SPI_T016__bin.3	HMP_2012__SRS017139__bin.42	HMP_2012__SRS024144__bin.25	HMP_2012__SRS024355__bin.45	HMP_2012__SRS023595__bin.106	HMP_2012__SRS065099__bin.45	HMP_2012__SRS024381__bin.21	HMP_2012__SRS042984__bin.21	HMP_2012__SRS023938__bin.9	HMP_2012__SRS023841__bin.9	CM_periimplantitis__SP_384SPT_T016__bin.5	HMP_2012__SRS024289__bin.17	HMP_2012__SRS015574__bin.21	HMP_2012__SRS024021__bin.26	HMP_2012__SRS058053__bin.15	HMP_2012__SRS047113__bin.1	HMP_2012__SRS018337__bin.10	HMP_2012__SRS013723__bin.65
HMP_2012__SRS063215__bin.18	1.0	0.9838310673781243	0.9819045958704362	0.9822506482602258	0.9818481170194726	0.9829271986135599	0.9818499752309978	0.9819309348080464	0.9822665113466049	0.9808349662688418	0.9825384936292881	0.9830615989477454	0.9835292449229712	0.9837557708929161	0.9818404247815028	0.9820704750679897	0.980679576949805	0.9846720195847378	0.9831062886224259	0.9837402339065333	0.9856845471073963	0.9806837467461482	0.9829308232758439	0.9830578790393111	0.9856745896830076	0.9820577093558934	0.9814594233315311	0.9829697997782735	0.9832726715927173	0.9814464953644806	0.9815612282648909	0.981604574760066	0.9832772310404116	0.9827283115980463
HMP_2012__SRS017304__bin.30	0.9838310673781243	1.0	0.9843421721159524	0.9844882999326665	0.9829755050183832	0.984695872207586	0.9847353729954573	0.9831834479017453	0.9830174682095347	0.9836874326944584	0.9836190355481856	0.9854939466466733	0.9846608546918546	0.9862305728920823	0.984682074146096	0.9848447165766642	0.9829316549982989	0.9868549641274779	0.9993217886031189	0.985663622841255	0.9868599158743692	0.9833211013151743	0.9842133941973557	0.984366066164216	0.9862336519020868	0.9837199807366543	0.9839046797020713	0.98433293108257	0.9840593424229543	0.9837703335429735	0.9843733296037026	0.9836530829542155	0.9849311706534191	0.984623891666016
HMP_2012__SRS022536__bin.24	0.9819045958704362	0.9843421721159524	1.0	0.9858299641112559	0.9805864408030068	0.9848657227011532	0.9841061522906754	0.9836392071007785	0.982484531265665	0.9965816286483571	0.9822654320543767	0.9833029430087885	0.9842356732783974	0.9841359892249327	0.9856088832666536	0.9959166557664638	0.9847288256844212	0.9858939248742318	0.9848627019652704	0.9841045201455566	0.984790451813049	0.9964906531425836	0.9834114076468842	0.9849251550341566	0.9855217679451693	0.9847648427327944	0.9819314038916226	0.9829466748647673	0.9818726015226861	0.9946402154657018	0.9821492680388626	0.9809594911703876	0.9828832632169745	0.9838941945075572
HMP_2012__SRS013252__bin.59	0.9822506482602258	0.9844882999326665	0.9858299641112559	1.0	0.9809803101828858	0.9842221491242539	0.984623913260997	0.9829023603558547	0.9833769358733945	0.9836975415942388	0.9832222162254604	0.9831049145369489	0.9831356097201612	0.9839724507335328	0.9993104959154175	0.984876650852931	0.9836169661265635	0.9849950667516524	0.9844526862918602	0.9836664447604926	0.986082850530436	0.9835390065386743	0.9826018168134425	0.9848204086067608	0.9860181078612688	0.9843788023436476	0.9811538588150092	0.9833136233420668	0.9824069102880532	0.9843862021357553	0.9822856150496202	0.9817195449323205	0.9833818890623853	0.9851298661804422
HMP_2012__SRS024087__bin.52	0.9818481170194726	0.9829755050183832	0.9805864408030068	0.9809803101828858	1.0	0.9848253246003039	0.9810238296259283	0.9827590381157316	0.9809561863918003	0.9786789495846359	0.9812168688599667	0.9834788148285653	0.9818954215251958	0.9835012356684463	0.9815218743057079	0.9805647281590963	0.9805615352753463	0.9846439647210182	0.9826652379186607	0.9832820264399788	0.9863733541741458	0.9795261564936486	0.9834370913885809	0.9806644317194814	0.9839485813229217	0.9821474064495428	0.9826921307869213	0.9809727373543574	0.9817758417502033	0.9798203402938133	0.982004119162282	0.9906101518136516	0.9829156118510528	0.9810153506173059
HMP_2012__SRS052604__bin.20	0.9829271986135599	0.984695872207586	0.9848657227011532	0.9842221491242539	0.9848253246003039	1.0	0.9841351962218124	0.9854519409153888	0.9829647937245628	0.9833229667124228	0.9832105279512133	0.9852891033214218	0.9854344258872013	0.9843536558786603	0.9844366248735225	0.9841324053194627	0.9818873368217974	0.9858174752507749	0.9850168086852373	0.9849086292600937	0.9884554267371084	0.9835534986164749	0.9860595747107517	0.9860704521016647	0.9870049089855779	0.984715667791427	0.9838536532805497	0.9838787276074774	0.9847084964898656	0.9837863086342502	0.9834700385153838	0.9843549322451411	0.9842550052608128	0.9847305179990381
HMP_2012__SRS051941__bin.45	0.9818499752309978	0.9847353729954573	0.9841061522906754	0.984623913260997	0.9810238296259283	0.9841351962218124	1.0	0.9823100914386373	0.9833444012964909	0.9833407838666416	0.9838705209045394	0.9838044368783697	0.983032931522551	0.984777859726289	0.9844695414582157	0.9841740965164215	0.9840617250283699	0.9856978637178411	0.9840476465778255	0.9846214552219323	0.9856073230390079	0.983563073290859	0.9818531954862485	0.9852135155628711	0.9856562143406388	0.9844262810394467	0.9827754341581352	0.9839709561409107	0.9812376608346381	0.9843876190038173	0.9833049146279145	0.9810592546720016	0.9841432474629196	0.9843418507297869
HMP_2012__SRS049318__bin.91	0.9819309348080464	0.9831834479017453	0.9836392071007785	0.9829023603558547	0.9827590381157316	0.9854519409153888	0.9823100914386373	1.0	0.9820244215275963	0.9807211020151879	0.9822232373328693	0.9854067170010811	0.9832849004488433	0.9830820466067421	0.9826864738165937	0.9814975002456579	0.981417271976544	0.9839192217001893	0.9828832362381963	0.9830505607660313	0.9853281186868191	0.9808218164269233	0.982793872374759	0.9822507748198929	0.9844081798007446	0.9829960584140024	0.9815936682150148	0.9824591942039204	0.9815659116185116	0.982894269170454	0.9850966384183069	0.9824436022268511	0.9833473017071375	0.9826620710257618
HMP_2012__SRS014578__bin.53	0.9822665113466049	0.9830174682095347	0.982484531265665	0.9833769358733945	0.9809561863918003	0.9829647937245628	0.9833444012964909	0.9820244215275963	1.0	0.9815270685230773	0.9984710082946086	0.9836534535804378	0.9833718449358763	0.9840869129503941	0.9830557666328943	0.9816849039543852	0.9817169219098928	0.9836680813833012	0.9830673830196546	0.9827818863256456	0.9846387495375214	0.9811381301461334	0.981807080297455	0.9827447852534527	0.9845445275926492	0.9823127351286922	0.9821801416956871	0.9944846401204159	0.9820507306820566	0.9822543657641492	0.9824604251469923	0.9804478654460845	0.9833313053977406	0.9821006111729786
HMP_2012__SRS024649__bin.31	0.9808349662688418	0.9836874326944584	0.9965816286483571	0.9836975415942388	0.9786789495846359	0.9833229667124228	0.9833407838666416	0.9807211020151879	0.9815270685230773	1.0	0.9810632123526883	0.9809724455286356	0.9832348617879091	0.9837175436416463	0.9835485014648138	0.9992466163001898	0.9839170980202077	0.9844334444980459	0.9838933239631539	0.9832105142042826	0.9842575017918386	0.9978308557459479	0.9821037606292008	0.9848275862068966	0.9848066478053886	0.983492207106774	0.979995392531572	0.9820327241565964	0.9804986658349794	0.9956154912527154	0.9792805845790191	0.9791356537993817	0.981981277272266	0.983506068573014
