	HMP_2012__SRS063215__bin.18	HMP_2012__SRS017304__bin.30	HMP_2012__SRS022536__bin.24	HMP_2012__SRS013252__bin.59	HMP_2012__SRS024087__bin.52	HMP_2012__SRS052604__bin.20	HMP_2012__SRS051941__bin.45	HMP_2012__SRS049318__bin.91	HMP_2012__SRS014578__bin.53	HMP_2012__SRS024649__bin.31	HMP_2012__SRS063999__bin.50	HMP_2012__SRS049268__bin.34	HMP_2012__SRS019980__bin.56	HMP_2012__SRS020226__bin.72	HMP_2012__SRS024561__bin.48	HMP_2012__SRS018443__bin.10	CM_periimplantitis__SP_161SPI_T016__bin.3	HMP_2012__SRS017139__bin.42	HMP_2012__SRS024144__bin.25	HMP_2012__SRS024355__bin.45	HMP_2012__SRS023595__bin.106	HMP_2012__SRS065099__bin.45	HMP_2012__SRS024381__bin.21	HMP_2012__SRS042984__bin.21	HMP_2012__SRS023938__bin.9	HMP_2012__SRS023841__bin.9	CM_periimplantitis__SP_384SPT_T016__bin.5	HMP_2012__SRS024289__bin.17	HMP_2012__SRS015574__bin.21	HMP_2012__SRS024021__bin.26	HMP_2012__SRS058053__bin.15	HMP_2012__SRS047113__bin.1	HMP_2012__SRS018337__bin.10	HMP_2012__SRS013723__bin.65
HMP_2012__SRS063215__bin.18	1725810.0	1408751.0	1181626.0	1510196.0	1338649.0	1129223.0	1485728.0	1322924.0	1096231.0	1373804.0	1464593.0	1393579.0	1438489.0	1423090.0	1446014.0	1366015.0	1155513.0	875784.0	1362874.0	1250756.0	1267232.0	1324584.0	1187755.0	1248604.0	1394166.0	1399877.0	1174505.0	1572207.0	1449843.0	1050152.0	1283925.0	1361208.0	1501127.0	1427249.0
HMP_2012__SRS017304__bin.30	1408751.0	1575448.0	1165168.0	1440590.0	1305002.0	1018026.0	1461680.0	1297769.0	1050079.0	1350186.0	1420185.0	1345783.0	1405489.0	1372824.0	1406979.0	1330889.0	1116980.0	851348.0	1365356.0	1233645.0	1237435.0	1291692.0	1167192.0	1233023.0	1340370.0	1364249.0	1137722.0	1448516.0	1404459.0	1022387.0	1244091.0	1291375.0	1397587.0	1396127.0
HMP_2012__SRS022536__bin.24	1181626.0	1165168.0	1447560.0	1321027.0	1274161.0	761186.0	1317428.0	1204037.0	1057294.0	1388673.0	1251567.0	1229558.0	1277124.0	1239157.0	1316993.0	1299670.0	1200759.0	718981.0	1225582.0	1140450.0	1133367.0	1257214.0	1212520.0	1162002.0	1205603.0	1210424.0	1229924.0	1253949.0	1296656.0	930821.0	1072393.0	1206848.0	1222254.0	1286058.0
HMP_2012__SRS013252__bin.59	1510196.0	1440590.0	1321027.0	1844677.0	1475839.0	1060981.0	1609057.0	1415634.0	1133726.0	1530260.0	1537867.0	1488421.0	1520304.0	1516701.0	1611303.0	1493849.0	1261549.0	916232.0	1417158.0	1321880.0	1352001.0	1447847.0	1326058.0	1362092.0	1491286.0	1495788.0	1275858.0	1569424.0	1553394.0	1089357.0	1347436.0	1443126.0	1526768.0	1545514.0
HMP_2012__SRS024087__bin.52	1338649.0	1305002.0	1274161.0	1475839.0	1684834.0	900184.0	1450925.0	1363033.0	1106186.0	1434404.0	1412757.0	1422174.0	1440851.0	1408954.0	1431314.0	1387889.0	1199889.0	859662.0	1369964.0	1279880.0	1306411.0	1324910.0	1268014.0	1272215.0	1359506.0	1346359.0	1250125.0	1403092.0	1450163.0	1006013.0	1247341.0	1380640.0	1379388.0	1459811.0
HMP_2012__SRS052604__bin.20	1129223.0	1018026.0	761186.0	1060981.0	900184.0	1193225.0	1037958.0	936826.0	730722.0	932480.0	997649.0	959017.0	981767.0	977289.0	997213.0	942802.0	745887.0	715881.0	933446.0	894816.0	875996.0	937099.0	771569.0	837931.0	983910.0	999324.0	751749.0	1116165.0	982441.0	794267.0	941442.0	939785.0	1068276.0	973052.0
HMP_2012__SRS051941__bin.45	1485728.0	1461680.0	1317428.0	1609057.0	1450925.0	1037958.0	1781893.0	1410126.0	1136915.0	1512196.0	1552127.0	1473243.0	1525013.0	1495519.0	1561319.0	1468289.0	1250449.0	923848.0	1444301.0	1340634.0	1352007.0	1416384.0	1291963.0	1351775.0	1461748.0	1479287.0	1283864.0	1551309.0	1542345.0	1087150.0	1336561.0	1432309.0	1496208.0	1528597.0
HMP_2012__SRS049318__bin.91	1322924.0	1297769.0	1204037.0	1415634.0	1363033.0	936826.0	1410126.0	1546337.0	1067337.0	1350544.0	1379160.0	1388447.0	1390240.0	1380959.0	1400639.0	1343332.0	1139499.0	852011.0	1318123.0	1241516.0	1274615.0	1297151.0	1199747.0	1218025.0	1337881.0	1324340.0	1167696.0	1367269.0	1409888.0	976281.0	1240190.0	1311089.0	1335159.0	1419316.0
HMP_2012__SRS014578__bin.53	1096231.0	1050079.0	1057294.0	1133726.0	1106186.0	730722.0	1136915.0	1067337.0	1198201.0	1129707.0	1166782.0	1097296.0	1151601.0	1097650.0	1137024.0	1083860.0	1033524.0	651485.0	1093688.0	1005627.0	1005452.0	1040830.0	1051453.0	1030587.0	1069977.0	1073880.0	1042657.0	1169280.0	1153306.0	828091.0	994950.0	1080905.0	1068410.0	1140430.0
HMP_2012__SRS024649__bin.31	1373804.0	1350186.0	1388673.0	1530260.0	1434404.0	932480.0	1512196.0	1350544.0	1129707.0	1729520.0	1456266.0	1442960.0	1468106.0	1432462.0	1500532.0	1608742.0	1266749.0	858186.0	1388803.0	1308021.0	1284993.0	1510273.0	1293959.0	1297025.0	1383434.0	1392615.0	1293552.0	1444682.0	1500564.0	1081307.0	1273395.0	1350246.0	1419024.0	1477695.0
