	HMP_2012__SRS063215__bin.18	HMP_2012__SRS017304__bin.30	HMP_2012__SRS022536__bin.24	HMP_2012__SRS013252__bin.59	HMP_2012__SRS024087__bin.52	HMP_2012__SRS052604__bin.20	HMP_2012__SRS051941__bin.45	HMP_2012__SRS049318__bin.91	HMP_2012__SRS014578__bin.53	HMP_2012__SRS024649__bin.31	HMP_2012__SRS063999__bin.50	HMP_2012__SRS049268__bin.34	HMP_2012__SRS019980__bin.56	HMP_2012__SRS020226__bin.72	HMP_2012__SRS024561__bin.48	HMP_2012__SRS018443__bin.10	CM_periimplantitis__SP_161SPI_T016__bin.3	HMP_2012__SRS017139__bin.42	HMP_2012__SRS024144__bin.25	HMP_2012__SRS024355__bin.45	HMP_2012__SRS023595__bin.106	HMP_2012__SRS065099__bin.45	HMP_2012__SRS024381__bin.21	HMP_2012__SRS042984__bin.21	HMP_2012__SRS023938__bin.9	HMP_2012__SRS023841__bin.9	CM_periimplantitis__SP_384SPT_T016__bin.5	HMP_2012__SRS024289__bin.17	HMP_2012__SRS015574__bin.21	HMP_2012__SRS024021__bin.26	HMP_2012__SRS058053__bin.15	HMP_2012__SRS047113__bin.1	HMP_2012__SRS018337__bin.10	HMP_2012__SRS013723__bin.65
HMP_2012__SRS063215__bin.18	0.0	22778.0	21382.0	26805.0	24299.0	19279.0	26966.0	23904.0	19440.0	26329.0	25574.0	23605.0	23693.0	23117.0	26259.0	24492.0	22325.0	13424.0	23024.0	20337.0	18141.0	25586.0	20274.0	21154.0	19972.0	25117.0	21776.0	26775.0	24252.0	19484.0	23674.0	25040.0	25103.0	24651.0
HMP_2012__SRS017304__bin.30	22778.0	0.0	18244.0	22346.0	22217.0	15580.0	22312.0	21824.0	17833.0	22025.0	23264.0	19522.0	21559.0	18903.0	21552.0	20170.0	19065.0	11191.0	926.0	17686.0	16260.0	21544.0	18426.0	19277.0	18452.0	22210.0	18312.0	22694.0	22388.0	16593.0	19441.0	21110.0	21060.0	21467.0
HMP_2012__SRS022536__bin.24	21382.0	18244.0	0.0	18719.0	24736.0	11520.0	20939.0	19699.0	18519.0	4747.0	22196.0	20530.0	20133.0	19658.0	18953.0	5307.0	18337.0	10142.0	18552.0	18128.0	17238.0	4412.0	20114.0	17517.0	17455.0	18441.0	22223.0	21384.0	23505.0	4989.0	19143.0	22979.0	20921.0	20713.0
HMP_2012__SRS013252__bin.59	26805.0	22346.0	18719.0	0.0	28070.0	16740.0	24741.0	24204.0	18846.0	24947.0	25802.0	25147.0	25639.0	24309.0	1111.0	22592.0	20668.0	13748.0	22033.0	21591.0	18816.0	23833.0	23071.0	20676.0	20851.0	23366.0	24045.0	26188.0	27329.0	17009.0	23869.0	26381.0	25372.0	22982.0
HMP_2012__SRS024087__bin.52	24299.0	22217.0	24736.0	28070.0	0.0	13660.0	27533.0	23500.0	21066.0	30583.0	26536.0	23496.0	26086.0	23246.0	26448.0	26974.0	23324.0	13201.0	23748.0	21397.0	17802.0	27126.0	21002.0	24599.0	21822.0	24036.0	21637.0	26697.0	26428.0	20301.0	22447.0	12964.0	23566.0	27714.0
HMP_2012__SRS052604__bin.20	19279.0	15580.0	11520.0	16740.0	13660.0	0.0	16467.0	13629.0	12448.0	15551.0	16750.0	14108.0	14300.0	15291.0	15520.0	14960.0	13510.0	10153.0	13986.0	13504.0	10113.0	15412.0	10756.0	11672.0	12786.0	15274.0	12138.0	17994.0	15023.0	12878.0	15562.0	14703.0	16820.0	14858.0
HMP_2012__SRS051941__bin.45	26966.0	22312.0	20939.0	24741.0	27533.0	16467.0	0.0	24945.0	18936.0	25192.0	25035.0	23860.0	25875.0	22765.0	24248.0	23237.0	19930.0	13213.0	23040.0	20617.0	19459.0	23281.0	23445.0	19988.0	20967.0	23038.0	22114.0	24866.0	28938.0	16973.0	22314.0	27129.0	23725.0	23935.0
HMP_2012__SRS049318__bin.91	23904.0	21824.0	19699.0	24204.0	23500.0	13629.0	24945.0	0.0	19186.0	26037.0	24517.0	20262.0	23238.0	23363.0	24250.0	24855.0	21175.0	13701.0	22562.0	21043.0	18701.0	24877.0	20643.0	21619.0	20860.0	22519.0	21493.0	23983.0	25990.0	16700.0	18483.0	23018.0	22234.0	24608.0
HMP_2012__SRS014578__bin.53	19440.0	17833.0	18519.0	18846.0	21066.0	12448.0	18936.0	19186.0	0.0	20869.0	1784.0	17937.0	19149.0	17467.0	19266.0	19851.0	18896.0	10640.0	18519.0	17315.0	15445.0	19632.0	19129.0	17783.0	16537.0	18994.0	18580.0	6449.0	20701.0	14695.0	17451.0	21134.0	17809.0	20413.0
HMP_2012__SRS024649__bin.31	26329.0	22025.0	4747.0	24947.0	30583.0	15551.0	25192.0	26037.0	20869.0	0.0	27577.0	27456.0	24613.0	23324.0	24686.0	1212.0	20373.0	13359.0	22369.0	21961.0	20229.0	3276.0	23157.0	19679.0	21019.0	22989.0	25877.0	25957.0	29263.0	4741.0	26384.0	28172.0	25569.0	24373.0
HMP_2012__SRS063999__bin.50	25574.0	23264.0	22196.0	25802.0	26536.0	16750.0	25035.0	24517.0	1784.0	27577.0	0.0	23096.0	24749.0	23029.0	25276.0	25880.0	20604.0	15200.0	23877.0	23425.0	19209.0	25718.0	23059.0	21707.0	20871.0	24830.0	22086.0	8601.0	26808.0	18648.0	22458.0	25630.0	23913.0	26249.0
HMP_2012__SRS049268__bin.34	23605.0	19522.0	20530.0	25147.0	23496.0	14108.0	23860.0	20262.0	17937.0	27456.0	23096.0	0.0	25411.0	18875.0	24721.0	27297.0	21045.0	12620.0	20265.0	19939.0	16946.0	24391.0	19931.0	21192.0	20041.0	22747.0	21597.0	22496.0	24554.0	17805.0	2849.0	22331.0	19407.0	24465.0
HMP_2012__SRS019980__bin.56	23693.0	21559.0	20133.0	25639.0	26086.0	14300.0	25875.0	23238.0	19149.0	24613.0	24749.0	25411.0	0.0	22119.0	25544.0	23245.0	22648.0	12248.0	22422.0	21173.0	17970.0	23449.0	21113.0	21796.0	20039.0	24241.0	22751.0	23796.0	25352.0	17684.0	24962.0	25000.0	23418.0	25541.0
HMP_2012__SRS020226__bin.72	23117.0	18903.0	19658.0	24309.0	23246.0	15291.0	22765.0	23363.0	17467.0	23324.0	23029.0	18875.0	22119.0	0.0	23744.0	22343.0	19839.0	12670.0	19045.0	19153.0	16668.0	21957.0	20439.0	19385.0	19534.0	22299.0	19439.0	22158.0	24593.0	16482.0	18046.0	24085.0	17591.0	23630.0
HMP_2012__SRS024561__bin.48	26259.0	21552.0	18953.0	1111.0	26448.0	15520.0	24248.0	24250.0	19266.0	24686.0	25276.0	24721.0	25544.0	23744.0	0.0	22489.0	20722.0	13124.0	22584.0	22136.0	18918.0	22922.0	22778.0	19847.0	19454.0	21855.0	23741.0	25166.0	27206.0	16481.0	22857.0	25570.0	24548.0	22993.0
HMP_2012__SRS018443__bin.10	24492.0	20170.0	5307.0	22592.0	26974.0	14960.0	23237.0	24855.0	19851.0	1212.0	25880.0	27297.0	23245.0	22343.0	22489.0	0.0	18196.0	11484.0	20245.0	19326.0	19123.0	3602.0	21742.0	19123.0	20003.0	21319.0	23980.0	25293.0	26234.0	4798.0	24662.0	26439.0	23658.0	22749.0
CM_periimplantitis__SP_161SPI_T016__bin.3	22325.0	19065.0	18337.0	20668.0	23324.0	13510.0	19930.0	21175.0	18896.0	20373.0	20604.0	21045.0	22648.0	19839.0	20722.0	18196.0	0.0	10712.0	19364.0	19057.0	16265.0	18648.0	22213.0	18572.0	16456.0	12332.0	22524.0	20905.0	23988.0	12675.0	19609.0	23798.0	21072.0	15197.0
HMP_2012__SRS017139__bin.42	13424.0	11191.0	10142.0	13748.0	13201.0	10153.0	13213.0	13701.0	10640.0	13359.0	15200.0	12620.0	12248.0	12670.0	13124.0	11484.0	10712.0	0.0	11332.0	161.0	10361.0	12827.0	11002.0	10798.0	10245.0	12461.0	9236.0	14010.0	14935.0	9530.0	14458.0	12508.0	13601.0	10964.0
HMP_2012__SRS024144__bin.25	23024.0	926.0	18552.0	22033.0	23748.0	13986.0	23040.0	22562.0	18519.0	22369.0	23877.0	20265.0	22422.0	19045.0	22584.0	20245.0	19364.0	11332.0	0.0	19037.0	17420.0	21321.0	18684.0	19506.0	18530.0	21536.0	19490.0	22812.0	22657.0	16200.0	19686.0	22118.0	20790.0	22035.0
HMP_2012__SRS024355__bin.45	20337.0	17686.0	18128.0	21591.0	21397.0	13504.0	20617.0	21043.0	17315.0	21961.0	23425.0	19939.0	21173.0	19153.0	22136.0	19326.0	19057.0	161.0	19037.0	0.0	15857.0	20707.0	17710.0	17711.0	16174.0	19497.0	16729.0	21435.0	23373.0	14607.0	20392.0	18951.0	20246.0	18736.0
HMP_2012__SRS023595__bin.106	18141.0	16260.0	17238.0	18816.0	17802.0	10113.0	19459.0	18701.0	15445.0	20229.0	19209.0	16946.0	17970.0	16668.0	18918.0	19123.0	16265.0	10361.0	17420.0	15857.0	0.0	19074.0	16475.0	17251.0	16393.0	17714.0	17592.0	18476.0	19318.0	13823.0	15651.0	16481.0	13790.0	18294.0
HMP_2012__SRS065099__bin.45	25586.0	21544.0	4412.0	23833.0	27126.0	15412.0	23281.0	24877.0	19632.0	3276.0	25718.0	24391.0	23449.0	21957.0	22922.0	3602.0	18648.0	12827.0	21321.0	20707.0	19074.0	0.0	21882.0	18700.0	20380.0	21591.0	22438.0	24795.0	27357.0	4159.0	23787.0	25638.0	23684.0	23637.0
HMP_2012__SRS024381__bin.21	20274.0	18426.0	20114.0	23071.0	21002.0	10756.0	23445.0	20643.0	19129.0	23157.0	23059.0	19931.0	21113.0	20439.0	22778.0	21742.0	22213.0	11002.0	18684.0	17710.0	16475.0	21882.0	0.0	19606.0	17902.0	20963.0	23047.0	22275.0	23643.0	15657.0	18806.0	20543.0	21380.0	22533.0
HMP_2012__SRS042984__bin.21	21154.0	19277.0	17517.0	20676.0	24599.0	11672.0	19988.0	21619.0	17783.0	19679.0	21707.0	21192.0	21796.0	19385.0	19847.0	19123.0	18572.0	10798.0	19506.0	17711.0	17251.0	18700.0	19606.0	0.0	18203.0	19343.0	19318.0	20939.0	22147.0	13077.0	18977.0	22014.0	20020.0	20760.0
HMP_2012__SRS023938__bin.9	19972.0	18452.0	17455.0	20851.0	21822.0	12786.0	20967.0	20860.0	16537.0	21019.0	20871.0	20041.0	20039.0	19534.0	19454.0	20003.0	16456.0	10245.0	18530.0	16174.0	16393.0	20380.0	17902.0	18203.0	0.0	15496.0	19193.0	20967.0	20551.0	15563.0	19039.0	20479.0	19306.0	11682.0
HMP_2012__SRS023841__bin.9	25117.0	22210.0	18441.0	23366.0	24036.0	15274.0	23038.0	22519.0	18994.0	22989.0	24830.0	22747.0	24241.0	22299.0	21855.0	21319.0	12332.0	12461.0	21536.0	19497.0	17714.0	21591.0	20963.0	19343.0	15496.0	0.0	21911.0	23470.0	24956.0	15835.0	22492.0	23416.0	22843.0	12148.0
CM_periimplantitis__SP_384SPT_T016__bin.5	21776.0	18312.0	22223.0	24045.0	21637.0	12138.0	22114.0	21493.0	18580.0	25877.0	22086.0	21597.0	22751.0	19439.0	23741.0	23980.0	22524.0	9236.0	19490.0	16729.0	17592.0	22438.0	23047.0	19318.0	19193.0	21911.0	0.0	22104.0	24472.0	16773.0	19833.0	20886.0	21078.0	25295.0
HMP_2012__SRS024289__bin.17	26775.0	22694.0	21384.0	26188.0	26697.0	17994.0	24866.0	23983.0	6449.0	25957.0	8601.0	22496.0	23796.0	22158.0	25166.0	25293.0	20905.0	14010.0	22812.0	21435.0	18476.0	24795.0	22275.0	20939.0	20967.0	23470.0	22104.0	0.0	26999.0	18964.0	21663.0	25434.0	23233.0	25905.0
HMP_2012__SRS015574__bin.21	24252.0	22388.0	23505.0	27329.0	26428.0	15023.0	28938.0	25990.0	20701.0	29263.0	26808.0	24554.0	25352.0	24593.0	27206.0	26234.0	23988.0	14935.0	22657.0	23373.0	19318.0	27357.0	23643.0	22147.0	20551.0	24956.0	24472.0	26999.0	0.0	19214.0	24117.0	25722.0	24240.0	26916.0
HMP_2012__SRS024021__bin.26	19484.0	16593.0	4989.0	17009.0	20301.0	12878.0	16973.0	16700.0	14695.0	4741.0	18648.0	17805.0	17684.0	16482.0	16481.0	4798.0	12675.0	9530.0	16200.0	14607.0	13823.0	4159.0	15657.0	13077.0	15563.0	15835.0	16773.0	18964.0	19214.0	0.0	17487.0	19833.0	17109.0	17288.0
HMP_2012__SRS058053__bin.15	23674.0	19441.0	19143.0	23869.0	22447.0	15562.0	22314.0	18483.0	17451.0	26384.0	22458.0	2849.0	24962.0	18046.0	22857.0	24662.0	19609.0	14458.0	19686.0	20392.0	15651.0	23787.0	18806.0	18977.0	19039.0	22492.0	19833.0	21663.0	24117.0	17487.0	0.0	22405.0	18453.0	22798.0
HMP_2012__SRS047113__bin.1	25040.0	21110.0	22979.0	26381.0	12964.0	14703.0	27129.0	23018.0	21134.0	28172.0	25630.0	22331.0	25000.0	24085.0	25570.0	26439.0	23798.0	12508.0	22118.0	18951.0	16481.0	25638.0	20543.0	22014.0	20479.0	23416.0	20886.0	25434.0	25722.0	19833.0	22405.0	0.0	24737.0	24335.0
HMP_2012__SRS018337__bin.10	25103.0	21060.0	20921.0	25372.0	23566.0	16820.0	23725.0	22234.0	17809.0	25569.0	23913.0	19407.0	23418.0	17591.0	24548.0	23658.0	21072.0	13601.0	20790.0	20246.0	13790.0	23684.0	21380.0	20020.0	19306.0	22843.0	21078.0	23233.0	24240.0	17109.0	18453.0	24737.0	0.0	23650.0
HMP_2012__SRS013723__bin.65	24651.0	21467.0	20713.0	22982.0	27714.0	14858.0	23935.0	24608.0	20413.0	24373.0	26249.0	24465.0	25541.0	23630.0	22993.0	22749.0	15197.0	10964.0	22035.0	18736.0	18294.0	23637.0	22533.0	20760.0	11682.0	12148.0	25295.0	25905.0	26916.0	17288.0	22798.0	24335.0	23650.0	0.0
