	LeChatelierE_2013__MH0437__bin.78	LiJ_2014__MH0373__bin.33	LiJ_2014__V1.UC58-4__bin.26	FengQ_2015__SID31878__bin.55	HMP_2012__SRS052697__bin.46	BritoIL_2016__M2.37.ST__bin.66	XieH_2016__YSZC12003_37228__bin.61	CosteaPI_2017__SID713A078-11-90-0__bin.45	ChengpingW_2017__AS67raw__bin.73	CM_madagascar__A79_02_1FE__bin.52	BritoIL_2016__M1.48.ST__bin.85	LiuW_2016__SRR3992978__bin.70	XieH_2016__YSZC12003_36244__bin.10	LiuW_2016__SRR3993055__bin.86	BritoIL_2016__WL.17.ST__bin.10	HMP_2012__SRS051031__bin.19	CosteaPI_2017__SID713B046-11-0-0__bin.66	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.82	XieH_2016__YSZC12003_37100__bin.121	LeChatelierE_2013__MH0200__bin.81	CosteaPI_2017__SID713B055-11-0-0__bin.109	XieH_2016__YSZC12003_37314__bin.3	LiJ_2014__O2.UC31-1__bin.45	FengQ_2015__SID530373__bin.58	CosteaPI_2017__SID713A078-11-0-0__bin.19	XieH_2016__YSZC12003_35562__bin.33	ZellerG_2014__CCIS63910149ST-4-0__bin.6	XieH_2016__YSZC12003_35741__bin.73	NielsenHB_2014__O2_UC31_0__bin.50	LeChatelierE_2013__MH0448__bin.11	XieH_2016__YSZC12003_37101__bin.76	ZeeviD_2015__PNP_Main_140__bin.8
LeChatelierE_2013__MH0437__bin.78	1572863.0	1487835.0	1468109.0	1226381.0	1445019.0	1223653.0	1443213.0	1537966.0	1387600.0	1512672.0	1448228.0	920787.0	1475476.0	1437255.0	1512790.0	812637.0	1402978.0	1335484.0	1422134.0	1505619.0	1284920.0	1106245.0	1479302.0	1473097.0	1062476.0	1511017.0	1272236.0	1513884.0	1156052.0	1072329.0	1488939.0	1069846.0
LiJ_2014__MH0373__bin.33	1487835.0	1912337.0	1752830.0	1423478.0	1709089.0	1440531.0	1672386.0	1784060.0	1609322.0	1798430.0	1720228.0	1103952.0	1713816.0	1699708.0	1764563.0	889795.0	1619386.0	1546739.0	1668027.0	1750676.0	1481942.0	1305648.0	1791171.0	1724678.0	1239385.0	1789739.0	1454630.0	1776332.0	1344442.0	1217483.0	1728882.0	1219430.0
LiJ_2014__V1.UC58-4__bin.26	1468109.0	1752830.0	1928004.0	1417754.0	1685973.0	1423633.0	1659971.0	1792201.0	1599162.0	1799627.0	1701709.0	1107614.0	1708912.0	1688127.0	1762463.0	872878.0	1603339.0	1529649.0	1648777.0	1744604.0	1508696.0	1291898.0	1741156.0	1712227.0	1227716.0	1807235.0	1438710.0	1768487.0	1320956.0	1195414.0	1727704.0	1197605.0
FengQ_2015__SID31878__bin.55	1226381.0	1423478.0	1417754.0	1495034.0	1379038.0	1199471.0	1355330.0	1461533.0	1346337.0	1459367.0	1402252.0	968382.0	1415577.0	1405011.0	1447750.0	716912.0	1336128.0	1287359.0	1369613.0	1429077.0	1293825.0	991881.0	1418879.0	1419080.0	1087833.0	1454056.0	1195321.0	1448430.0	1045213.0	970215.0	1416747.0	1007083.0
HMP_2012__SRS052697__bin.46	1445019.0	1709089.0	1685973.0	1379038.0	1862914.0	1398980.0	1630514.0	1753113.0	1574213.0	1734810.0	1671798.0	1066570.0	1662788.0	1662084.0	1719462.0	871892.0	1573938.0	1519857.0	1615439.0	1703636.0	1440066.0	1258085.0	1685956.0	1674897.0	1208564.0	1750737.0	1422999.0	1730724.0	1264766.0	1161671.0	1694075.0	1183994.0
BritoIL_2016__M2.37.ST__bin.66	1223653.0	1440531.0	1423633.0	1199471.0	1398980.0	1522295.0	1363294.0	1456948.0	1359345.0	1467940.0	1436374.0	957222.0	1413215.0	1432272.0	1451284.0	725626.0	1348222.0	1283645.0	1368758.0	1436307.0	1245273.0	1015915.0	1413929.0	1416082.0	1068489.0	1465458.0	1201797.0	1444847.0	1057612.0	987198.0	1433892.0	1007761.0
XieH_2016__YSZC12003_37228__bin.61	1443213.0	1672386.0	1659971.0	1355330.0	1630514.0	1363294.0	1788549.0	1749940.0	1563199.0	1722199.0	1632000.0	1064680.0	1692135.0	1636807.0	1704977.0	872889.0	1586650.0	1486943.0	1609492.0	1716671.0	1441381.0	1228017.0	1655563.0	1663653.0	1193229.0	1750180.0	1415153.0	1724230.0	1265489.0	1138446.0	1693922.0	1184890.0
CosteaPI_2017__SID713A078-11-90-0__bin.45	1537966.0	1784060.0	1792201.0	1461533.0	1753113.0	1456948.0	1749940.0	2080835.0	1662576.0	1851476.0	1745425.0	1138037.0	1781363.0	1737596.0	1837388.0	923677.0	1678661.0	1585967.0	1705361.0	1842827.0	1575615.0	1360970.0	1775880.0	1773830.0	1284263.0	1860605.0	1503756.0	1838366.0	1331818.0	1218194.0	1813154.0	1247704.0
ChengpingW_2017__AS67raw__bin.73	1387600.0	1609322.0	1599162.0	1346337.0	1574213.0	1359345.0	1563199.0	1662576.0	1689946.0	1646535.0	1591833.0	1067700.0	1603621.0	1594367.0	1651946.0	835435.0	1498293.0	1446102.0	1542016.0	1631791.0	1397595.0	1183408.0	1591998.0	1604782.0	1191412.0	1648801.0	1366248.0	1641624.0	1194205.0	1120968.0	1612432.0	1124190.0
CM_madagascar__A79_02_1FE__bin.52	1512672.0	1798430.0	1799627.0	1459367.0	1734810.0	1467940.0	1722199.0	1851476.0	1646535.0	2283622.0	1751868.0	1134684.0	1776091.0	1742739.0	1812613.0	908772.0	1662851.0	1586816.0	1703127.0	1821454.0	1546935.0	1408456.0	1792361.0	1764086.0	1256030.0	1873326.0	1486936.0	1820965.0	1346388.0	1223776.0	1786725.0	1237246.0
BritoIL_2016__M1.48.ST__bin.85	1448228.0	1720228.0	1701709.0	1402252.0	1671798.0	1436374.0	1632000.0	1745425.0	1591833.0	1751868.0	1844359.0	1102683.0	1679593.0	1690880.0	1734439.0	880380.0	1596874.0	1536587.0	1634769.0	1711766.0	1452969.0	1252033.0	1697310.0	1694832.0	1232184.0	1755002.0	1438991.0	1737341.0	1286230.0	1175944.0	1697242.0	1200519.0
LiuW_2016__SRR3992978__bin.70	920787.0	1103952.0	1107614.0	968382.0	1066570.0	957222.0	1064680.0	1138037.0	1067700.0	1134684.0	1102683.0	1158557.0	1101602.0	1104778.0	1122026.0	476492.0	1026381.0	964693.0	1064169.0	1122890.0	1076787.0	712065.0	1085787.0	1103137.0	925165.0	1135006.0	884838.0	1127085.0	751375.0	739514.0	1108069.0	729363.0
XieH_2016__YSZC12003_36244__bin.10	1475476.0	1713816.0	1708912.0	1415577.0	1662788.0	1413215.0	1692135.0	1781363.0	1603621.0	1776091.0	1679593.0	1101602.0	1850517.0	1663762.0	1752649.0	894837.0	1614999.0	1527178.0	1645718.0	1743902.0	1497217.0	1266136.0	1692276.0	1713860.0	1237442.0	1763815.0	1440173.0	1760638.0	1277833.0	1166644.0	1719973.0	1196112.0
LiuW_2016__SRR3993055__bin.86	1437255.0	1699708.0	1688127.0	1405011.0	1662084.0	1432272.0	1636807.0	1737596.0	1594367.0	1742739.0	1690880.0	1104778.0	1663762.0	1781357.0	1710365.0	872215.0	1604340.0	1523638.0	1624344.0	1710996.0	1451986.0	1248293.0	1679362.0	1672626.0	1232674.0	1745836.0	1431066.0	1725569.0	1264349.0	1168165.0	1692943.0	1189952.0
BritoIL_2016__WL.17.ST__bin.10	1512790.0	1764563.0	1762463.0	1447750.0	1719462.0	1451284.0	1704977.0	1837388.0	1651946.0	1812613.0	1734439.0	1122026.0	1752649.0	1710365.0	1925493.0	908647.0	1647986.0	1561319.0	1685576.0	1788596.0	1543870.0	1312089.0	1756303.0	1753479.0	1268872.0	1812138.0	1478080.0	1801045.0	1317826.0	1203504.0	1778108.0	1220340.0
