	LeChatelierE_2013__MH0437__bin.78	LiJ_2014__MH0373__bin.33	LiJ_2014__V1.UC58-4__bin.26	FengQ_2015__SID31878__bin.55	HMP_2012__SRS052697__bin.46	BritoIL_2016__M2.37.ST__bin.66	XieH_2016__YSZC12003_37228__bin.61	CosteaPI_2017__SID713A078-11-90-0__bin.45	ChengpingW_2017__AS67raw__bin.73	CM_madagascar__A79_02_1FE__bin.52	BritoIL_2016__M1.48.ST__bin.85	LiuW_2016__SRR3992978__bin.70	XieH_2016__YSZC12003_36244__bin.10	LiuW_2016__SRR3993055__bin.86	BritoIL_2016__WL.17.ST__bin.10	HMP_2012__SRS051031__bin.19	CosteaPI_2017__SID713B046-11-0-0__bin.66	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.82	XieH_2016__YSZC12003_37100__bin.121	LeChatelierE_2013__MH0200__bin.81	CosteaPI_2017__SID713B055-11-0-0__bin.109	XieH_2016__YSZC12003_37314__bin.3	LiJ_2014__O2.UC31-1__bin.45	FengQ_2015__SID530373__bin.58	CosteaPI_2017__SID713A078-11-0-0__bin.19	XieH_2016__YSZC12003_35562__bin.33	ZellerG_2014__CCIS63910149ST-4-0__bin.6	XieH_2016__YSZC12003_35741__bin.73	NielsenHB_2014__O2_UC31_0__bin.50	LeChatelierE_2013__MH0448__bin.11	XieH_2016__YSZC12003_37101__bin.76	ZeeviD_2015__PNP_Main_140__bin.8
LeChatelierE_2013__MH0437__bin.78	0.0	30012.0	30146.0	24461.0	34364.0	25201.0	12214.0	25297.0	27478.0	46450.0	29935.0	15767.0	13086.0	29546.0	29937.0	6798.0	22948.0	25990.0	24944.0	26134.0	22346.0	32963.0	30023.0	25935.0	18345.0	29642.0	21483.0	28937.0	24535.0	22550.0	28637.0	19011.0
LiJ_2014__MH0373__bin.33	30012.0	0.0	17563.0	30971.0	41140.0	29656.0	32556.0	34773.0	31887.0	53964.0	34753.0	22078.0	33449.0	34776.0	35103.0	16559.0	32696.0	31024.0	34186.0	35120.0	29273.0	38227.0	19120.0	34475.0	24937.0	34857.0	28946.0	34610.0	15798.0	15065.0	33857.0	23474.0
LiJ_2014__V1.UC58-4__bin.26	30146.0	17563.0	0.0	29951.0	40284.0	29004.0	32015.0	34890.0	31733.0	53302.0	34280.0	22428.0	33859.0	34219.0	34968.0	17052.0	32562.0	30621.0	33648.0	34682.0	29734.0	37812.0	16327.0	34566.0	24584.0	35578.0	28581.0	35116.0	14070.0	12069.0	33971.0	23285.0
FengQ_2015__SID31878__bin.55	24461.0	30971.0	29951.0	0.0	35063.0	25603.0	25847.0	28014.0	28361.0	45595.0	30284.0	19133.0	27242.0	30186.0	30511.0	13461.0	26396.0	25624.0	26006.0	25442.0	24545.0	31250.0	29500.0	26865.0	21453.0	30055.0	19990.0	29907.0	23192.0	21363.0	29318.0	19283.0
HMP_2012__SRS052697__bin.46	34364.0	41140.0	40284.0	35063.0	0.0	32011.0	37895.0	40842.0	36797.0	48076.0	37993.0	26267.0	38790.0	40221.0	40102.0	19924.0	38184.0	35749.0	38997.0	40356.0	33589.0	35305.0	40138.0	39181.0	28865.0	39731.0	32762.0	40508.0	30998.0	28439.0	39994.0	27414.0
BritoIL_2016__M2.37.ST__bin.66	25201.0	29656.0	29004.0	25603.0	32011.0	0.0	26926.0	28206.0	22230.0	42274.0	21704.0	19737.0	28479.0	28239.0	21741.0	14266.0	27175.0	24803.0	27616.0	27987.0	24427.0	29551.0	28406.0	28606.0	20934.0	21468.0	22827.0	27465.0	22701.0	20792.0	27946.0	19601.0
XieH_2016__YSZC12003_37228__bin.61	12214.0	32556.0	32015.0	25847.0	37895.0	26926.0	0.0	28021.0	29826.0	51176.0	32452.0	17421.0	9353.0	32845.0	33226.0	5072.0	24358.0	27451.0	26393.0	28710.0	23404.0	36232.0	32307.0	27843.0	19713.0	33574.0	22522.0	32708.0	26431.0	23320.0	30653.0	21015.0
CosteaPI_2017__SID713A078-11-90-0__bin.45	25297.0	34773.0	34890.0	28014.0	40842.0	28206.0	28021.0	0.0	31739.0	54308.0	33187.0	21013.0	28322.0	35068.0	35471.0	14750.0	27979.0	29317.0	26603.0	25947.0	28826.0	40658.0	34386.0	31563.0	653.0	34276.0	20575.0	35281.0	27238.0	24551.0	33963.0	23046.0
ChengpingW_2017__AS67raw__bin.73	27478.0	31887.0	31733.0	28361.0	36797.0	22230.0	29826.0	31739.0	0.0	48521.0	28500.0	21401.0	31028.0	31019.0	24593.0	16263.0	29759.0	28159.0	31051.0	31891.0	26295.0	35124.0	30946.0	31427.0	23095.0	29101.0	26074.0	30790.0	24674.0	22830.0	31561.0	21280.0
CM_madagascar__A79_02_1FE__bin.52	46450.0	53964.0	53302.0	45595.0	48076.0	42274.0	51176.0	54308.0	48521.0	0.0	49546.0	34754.0	53769.0	52817.0	52812.0	26788.0	50325.0	46525.0	51588.0	53751.0	46200.0	20379.0	53853.0	51549.0	37908.0	54132.0	43053.0	53563.0	40923.0	37172.0	52987.0	36930.0
BritoIL_2016__M1.48.ST__bin.85	29935.0	34753.0	34280.0	30284.0	37993.0	21704.0	32452.0	33187.0	28500.0	49546.0	0.0	22378.0	33541.0	33092.0	28064.0	17624.0	32127.0	28769.0	33077.0	34001.0	28890.0	35234.0	33725.0	33619.0	24233.0	22826.0	27351.0	32127.0	27438.0	24942.0	32994.0	23039.0
LiuW_2016__SRR3992978__bin.70	15767.0	22078.0	22428.0	19133.0	26267.0	19737.0	17421.0	21013.0	21401.0	34754.0	22378.0	0.0	17647.0	23012.0	22540.0	7445.0	4550.0	19192.0	19527.0	20437.0	19061.0	21384.0	21762.0	19918.0	17046.0	22679.0	15776.0	22138.0	15873.0	15491.0	22264.0	13077.0
XieH_2016__YSZC12003_36244__bin.10	13086.0	33449.0	33859.0	27242.0	38790.0	28479.0	9353.0	28322.0	31028.0	53769.0	33541.0	17647.0	0.0	33307.0	33989.0	5089.0	24864.0	28419.0	27504.0	29723.0	24075.0	38046.0	33047.0	29292.0	20705.0	34228.0	23558.0	33169.0	26535.0	23964.0	32315.0	20903.0
LiuW_2016__SRR3993055__bin.86	29546.0	34776.0	34219.0	30186.0	40221.0	28239.0	32845.0	35068.0	31019.0	52817.0	33092.0	23012.0	33307.0	0.0	33554.0	17329.0	32878.0	31410.0	33596.0	35108.0	29481.0	38041.0	34056.0	33602.0	25343.0	32367.0	28173.0	33763.0	26998.0	24837.0	34659.0	23482.0
