	LeChatelierE_2013__MH0437__bin.78	LiJ_2014__MH0373__bin.33	LiJ_2014__V1.UC58-4__bin.26	FengQ_2015__SID31878__bin.55	HMP_2012__SRS052697__bin.46	BritoIL_2016__M2.37.ST__bin.66	XieH_2016__YSZC12003_37228__bin.61	CosteaPI_2017__SID713A078-11-90-0__bin.45	ChengpingW_2017__AS67raw__bin.73	CM_madagascar__A79_02_1FE__bin.52	BritoIL_2016__M1.48.ST__bin.85	LiuW_2016__SRR3992978__bin.70	XieH_2016__YSZC12003_36244__bin.10	LiuW_2016__SRR3993055__bin.86	BritoIL_2016__WL.17.ST__bin.10	HMP_2012__SRS051031__bin.19	CosteaPI_2017__SID713B046-11-0-0__bin.66	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.82	XieH_2016__YSZC12003_37100__bin.121	LeChatelierE_2013__MH0200__bin.81	CosteaPI_2017__SID713B055-11-0-0__bin.109	XieH_2016__YSZC12003_37314__bin.3	LiJ_2014__O2.UC31-1__bin.45	FengQ_2015__SID530373__bin.58	CosteaPI_2017__SID713A078-11-0-0__bin.19	XieH_2016__YSZC12003_35562__bin.33	ZellerG_2014__CCIS63910149ST-4-0__bin.6	XieH_2016__YSZC12003_35741__bin.73	NielsenHB_2014__O2_UC31_0__bin.50	LeChatelierE_2013__MH0448__bin.11	XieH_2016__YSZC12003_37101__bin.76	ZeeviD_2015__PNP_Main_140__bin.8
LeChatelierE_2013__MH0437__bin.78	1.0	0.9798284083920596	0.9794661023125667	0.9800543224332405	0.9762189978124856	0.9794051091281597	0.9915369387609452	0.983551651987105	0.9801974632458922	0.9692927481965687	0.979329912140906	0.982876604469872	0.9911309977254797	0.9794427572003577	0.9802107364538369	0.9916346412974059	0.9836433643293052	0.9805388907691893	0.982460161981923	0.9826423550712364	0.9826090340254646	0.9702028031765115	0.9797046174479586	0.9823942347313177	0.9827337276324359	0.9803827488373724	0.9831139819970509	0.9808855896488766	0.9787769062291316	0.978971006099807	0.9807668413548171	0.9822301527509567
LiJ_2014__MH0373__bin.33	0.9798284083920596	1.0	0.9899802034424331	0.978242726617482	0.9759286965160971	0.9794131469576149	0.9805332022631139	0.9805090635965158	0.9801860659333558	0.9699938279499342	0.9797974454549048	0.980000942069945	0.9804827356028886	0.9795400151084774	0.980106689304944	0.9813900954714289	0.9798096315517115	0.9799423173528307	0.9795051279145961	0.9799391777804688	0.9802468652619333	0.9707218178253251	0.9893254189577656	0.9800107614290899	0.9798795370284455	0.9805239758422876	0.980100781642067	0.980516029661122	0.9882494001228762	0.9876261105904559	0.9804168242829759	0.98075002255152
LiJ_2014__V1.UC58-4__bin.26	0.9794661023125667	0.9899802034424331	1.0	0.9788743322184243	0.9761063789277764	0.9796267717873919	0.9807135184891784	0.9805323175246526	0.9801564819574252	0.9703816401954405	0.9798555452195411	0.979751068513038	0.9801868089170186	0.9797296056517075	0.9801595834919655	0.9804646239222434	0.979691132068764	0.9799816820721616	0.9795921461786524	0.9801204170115396	0.980291589558135	0.9707314354538826	0.990622896512432	0.9798122562020106	0.979975825027938	0.9803135729443044	0.9801342869654065	0.9801434785780161	0.9893486232698137	0.9899039161328209	0.9803374883660627	0.98055702840252
FengQ_2015__SID31878__bin.55	0.9800543224332405	0.978242726617482	0.9788743322184243	1.0	0.9745743046964623	0.9786547569720319	0.9809293677554544	0.9808324546896992	0.978934694656687	0.9687570021797122	0.9784033112450544	0.9802423010754021	0.9807555505634805	0.9785154706973824	0.9789252288033155	0.9812236369317294	0.9802444077214159	0.9800956842652283	0.9810121545283229	0.9821969005169071	0.981029119084884	0.9684942044458962	0.9792089388876711	0.9810687205795304	0.9802791421109674	0.9793302321231094	0.9832764587922408	0.9793521260951513	0.977811221253467	0.9779811691223079	0.9793061146414992	0.9808526208862626
HMP_2012__SRS052697__bin.46	0.9762189978124856	0.9759286965160971	0.9761063789277764	0.9745743046964623	1.0	0.9771183290683212	0.9767588625427319	0.9767031560429933	0.9766251453901093	0.9722874551103579	0.9772741682906667	0.9753724556287914	0.9766717104044532	0.9758008620502935	0.9766775886876243	0.977148545920825	0.9757398321916111	0.9764787081942577	0.9758598127196384	0.9763118412618658	0.9766753746008864	0.9719375081969819	0.9761927357534835	0.9766069197090925	0.9761162834570615	0.9773061287903323	0.9769767933779293	0.976594766120999	0.9754911185152036	0.9755188861562353	0.9763918362528223	0.9768461664501679
BritoIL_2016__M2.37.ST__bin.66	0.9794051091281597	0.9794131469576149	0.9796267717873919	0.9786547569720319	0.9771183290683212	1.0	0.9802493079262433	0.9806403522980917	0.9836465356476832	0.9712018202378844	0.9848897292766369	0.9793809586490908	0.9798480769026652	0.9802837729146419	0.9850194724120158	0.9803397342432603	0.9798438239399743	0.9806776795765184	0.9798240448640301	0.9805146114305646	0.9803842209700202	0.9709119365301231	0.9799098823208238	0.979799192419648	0.980407846968944	0.9853506548805903	0.9810059435994598	0.9809910668742088	0.9785356066307871	0.9789383689999372	0.9805103871142318	0.9805499518238947
XieH_2016__YSZC12003_37228__bin.61	0.9915369387609452	0.9805332022631139	0.9807135184891784	0.9809293677554544	0.9767588625427319	0.9802493079262433	1.0	0.98398745099832	0.9809198956754707	0.9702845025458731	0.9801151960784313	0.9836373370402375	0.9944726632331344	0.9799334924642917	0.9805123470873801	0.9941894101082727	0.9846481580688873	0.9815386332899109	0.9836016581629483	0.9832757703718418	0.9837627941536624	0.9704955224561224	0.9804857924464366	0.9832639378524247	0.9834792818478264	0.9808168302688867	0.9840851130584467	0.9810303729780829	0.9791140025713381	0.9795159366364324	0.9819041254555995	0.9822641764214399
CosteaPI_2017__SID713A078-11-90-0__bin.45	0.983551651987105	0.9805090635965158	0.9805323175246526	0.9808324546896992	0.9767031560429933	0.9806403522980917	0.98398745099832	1.0	0.9809097448778281	0.9706677267218154	0.980986292736726	0.9815357497163977	0.9841009384387124	0.9798180935038985	0.9806948777286016	0.9840312143747219	0.9833325489780248	0.98151474778479	0.984400370361466	0.9859200022574013	0.9817049215703074	0.9701257191561901	0.9806372052165687	0.9822062993635241	0.9994915371695673	0.9815780351014858	0.9863175940777626	0.9808085005923739	0.9795482565936187	0.979846395565895	0.9812685519266428	0.9815292729685887
ChengpingW_2017__AS67raw__bin.73	0.9801974632458922	0.9801860659333558	0.9801564819574252	0.978934694656687	0.9766251453901093	0.9836465356476832	0.9809198956754707	0.9809097448778281	1.0	0.9705314493770251	0.9820961118408778	0.9799559801442352	0.9806512885525944	0.9805446299377747	0.9851127094953467	0.9805334945268034	0.980138063783252	0.9805276529594731	0.9798633736614925	0.9804564432577456	0.9811855365824863	0.970319619269094	0.9805615333687605	0.9804166547231961	0.9806154378166411	0.9823502047851742	0.980915617076841	0.9812441825899232	0.9793385557755997	0.9796336737533988	0.9804264613949611	0.9810708154315552
CM_madagascar__A79_02_1FE__bin.52	0.9692927481965687	0.9699938279499342	0.9703816401954405	0.9687570021797122	0.9722874551103579	0.9712018202378844	0.9702845025458731	0.9706677267218154	0.9705314493770251	1.0	0.9717181888133124	0.9693712081954095	0.9697262133528068	0.9696931095247194	0.9708641612964267	0.9705228594190842	0.9697357129412076	0.9706802805114141	0.9697098337352411	0.9704900590407444	0.9701344917530471	0.9855309644035738	0.9699541554407846	0.9707786355086997	0.9698191922167464	0.9711038014739559	0.9710458284687438	0.9705853764350221	0.9696053440761504	0.9696251601600293	0.9703440652590634	0.9701514492671627
