	VatanenT_2016__G78493__bin.3	VatanenT_2016__G80455__bin.6	NielsenHB_2014__V1_CD35_1__bin.21	AsnicarF_2017__MV_FEI2_t1Q14__bin.9	VatanenT_2016__G69181__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	BackhedF_2015__SID577_4M__bin.20	BackhedF_2015__SID157_12M__bin.1	VincentC_2016__MM016.2__bin.3	XieH_2016__YSZC12003_35704__bin.15	LiJ_2014__V1.FI23__bin.11	VatanenT_2016__G78904__bin.1	VincentC_2016__MM016.1__bin.11	BackhedF_2015__SID150_12M__bin.6	BackhedF_2015__SID577_B__bin.1	NielsenHB_2014__V1_CD35_0__bin.13	VatanenT_2016__G78674__bin.5	QinJ_2012__T2D-020__bin.19	VatanenT_2016__G78739__bin.5	BackhedF_2015__SID157_4M__bin.11	HeQ_2017__SZAXPI029480-66__bin.27	FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.11	BackhedF_2015__SID87_4M__bin.11	VatanenT_2016__G80482__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.2	VatanenT_2016__G80489__bin.1	VatanenT_2016__G78749__bin.3	BackhedF_2015__SID591_4M__bin.12
VatanenT_2016__G78493__bin.3	1.0	0.9566631122514017	0.9399064386175415	0.6013696301856861	0.8528573249619098	0.9664431499268545	0.9536361263483341	0.9083669046843417	0.9396666673411288	0.4801880130548884	0.9592682221111608	0.5509923698102671	0.5965408187834997	0.9105602554322864	0.9598529807515261	0.9515287695180901	0.6027475562551976	0.9486818649956194	0.9656803332921912	0.9427462612879663	0.5981099548582517	0.944588554513062	0.9479999838129096	0.9547530355852948	0.31992367786880765	0.9474304005697856	0.9055786783645373	0.8763984128557872
VatanenT_2016__G80455__bin.6	0.4583078679077477	1.0	0.9623434815376675	0.5981495258705298	0.8052654664595505	0.930997380352889	0.9308733045600277	0.8747101061187299	0.9559235285992279	0.5140649119958512	0.9587278353863192	0.4837797557742499	0.6554066269074835	0.8793968753256384	0.9384884563468888	0.9735956050027748	0.500829029858161	0.9376732396141049	0.9048644011525478	0.9731967207155684	0.5383701966068178	0.9561663488032259	0.9317394117547274	0.9852126857804779	0.3249351146610574	0.9402768925799283	0.8436703170475778	0.8417442342318328
NielsenHB_2014__V1_CD35_1__bin.21	0.44478739524161753	0.9506040737575614	1.0	0.6066849073721654	0.7949380845344192	0.9225588693635143	0.9169444663875503	0.8585086188530379	0.9480814943015748	0.5076187261667947	0.957539371916495	0.47319980753901286	0.6517906771323313	0.8696483756915071	0.9276375413827029	1.0277933773312555	0.4885191276059433	0.9380419248971267	0.8796391117111553	0.9474346913323136	0.5269203608882889	0.9782318005874369	0.9146516910953281	0.9645886146399615	0.32707883000955124	0.9145468429456106	0.8226242199225847	0.8160542146323013
AsnicarF_2017__MV_FEI2_t1Q14__bin.9	0.4317386002209466	0.8963773321237679	0.9203960188930442	1.0	0.7874103993091242	0.9615500547282364	0.927553179358267	0.8382905905928444	0.9366307307581404	0.6680483700282466	0.9325110418847141	0.4756337689560525	0.7777183809157883	0.9205826832161174	0.92642011965401	0.9224006629851911	0.48021539755506054	0.9279206974418271	0.9219103967670029	0.9008819707685123	0.5019505332280653	0.9319859122910104	0.9119096922362895	0.9226447066138003	0.44037890678622865	0.912702107708946	0.8401753918316563	0.8043757894194014
VatanenT_2016__G69181__bin.6	0.49368921122167875	0.9730116564532149	0.9723949841644647	0.6348907676018065	1.0	0.971344942935852	0.9649504085380709	0.9022050280167163	0.9676671632840464	0.546187173216394	0.9700424935814547	0.5244191684938438	0.6499989458593355	0.9268602068926745	0.97197274226495	0.9811941305447799	0.5601100288600288	0.9680080020989111	0.9482440359063735	0.9645363655103915	0.5751286051610727	0.9701719186297109	0.9465328142276194	0.9747222924982665	0.3428733063473323	0.9556394183017559	0.8965583478570491	0.8865826633683777
FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	0.4423688635388009	0.8895255224828186	0.8923484648167195	0.6130568492240381	0.7680764861777241	1.0	0.914009082872529	0.8146119681455779	0.8854091946603045	0.4922121337433762	0.9045589870378972	0.4728155191440039	0.6070585598455902	0.9032651384681926	0.9262436853104657	0.92185552888723	0.48672786437651455	0.9182018190751438	0.8826617345443213	0.892856464774116	0.5186924997997174	0.9250998750144134	0.8828566916838508	0.9098848826714593	0.32548302830953635	0.9113199709740771	0.8298065849205052	0.8130449017318769
BackhedF_2015__SID577_4M__bin.20	0.44849732313975815	0.9138385014911624	0.9112810674705811	0.6076263396196251	0.7839798526537363	0.9391164172514269	1.0	0.8498683932557967	0.9170696706881425	0.49408863994945085	0.9170844205401681	0.4796885021572848	0.635221885354634	0.8837973351299605	1.0084155042831666	0.9339615818692916	0.49681355616077527	0.9588108003174549	0.8901169330204461	0.9339006792544758	0.5472466308483164	0.9341966278983459	0.8959060120396857	0.9351453764447718	0.3250772226123796	0.9493413953169696	0.8393317650910018	0.8249164016451319
BackhedF_2015__SID157_12M__bin.1	0.45941627135538005	0.9234447777720356	0.917533400840272	0.5905548957795542	0.7882664821909089	0.9000934829538157	0.9139440033524922	1.0	0.9129646581220415	0.4979121116965237	0.9199485050658346	0.4794212141322485	0.6249082183643092	0.8475854330327928	0.9189896268203465	0.9247689916991025	0.5019139189312959	0.927097111238575	0.8802200405553307	0.9546390212278452	0.5533193100374699	0.920089215587451	0.9011598128703565	0.926841273926545	0.3139507574575297	0.9164747460430922	0.8174764514546142	0.8011693811858264
VincentC_2016__MM016.2__bin.3	0.45366276096552177	0.9633501664835844	0.9672464245226388	0.629866231893048	0.8070641595546241	0.933888653082596	0.9414222978104857	0.8715016345527802	1.0	0.5196920505492713	0.9612664963325744	0.4832473603669917	0.6883262208836891	0.8937753162748511	0.9574005213571306	0.9946789726617201	0.5007265493083983	0.9541167627014251	0.907218065898877	0.9690648736488015	0.539770210159577	0.9788204160599878	0.934369763044796	0.978861444726815	0.3287881059848614	0.9433745785403466	0.8410647134416263	0.8487702878209822
XieH_2016__YSZC12003_35704__bin.15	0.42802944563532397	0.956493469601611	0.9561634101097403	0.8294512264956609	0.8410592204283379	0.9585315418738181	0.9364617442111082	0.8775461249121871	0.9595090951229652	1.0	0.9523388682927357	0.4575724755634233	0.8032358455429794	0.9144235096145609	0.9349124485634747	0.9621531782654923	0.47355150325866113	0.9550839532469828	0.9174156882867658	0.9629386477119933	0.5076333021009278	0.9622568854828834	0.9432559196530588	0.957985951730152	0.5045879171171919	0.9511989907033244	0.8271931145622068	0.9266474342383516
LiJ_2014__V1.FI23__bin.11	0.44202882335555177	0.9221627679521283	0.9323936885858057	0.5985289030733786	0.7721897601285928	0.9106241952462069	0.8985509070583376	0.8381639539296227	0.9174766650536627	0.4923111922896545	1.0	0.4682163625734593	0.6268939976672047	0.8594243720239844	0.9039563351430678	0.9517800384696787	0.48344899411020453	0.9143532180361816	0.8850893165991163	0.9251827216505226	0.5229065212911864	0.9348891828969365	0.9257211666214467	0.9312818346848069	0.318560361312892	0.9009009512994006	0.816246213403224	0.810387186221776
VatanenT_2016__G78904__bin.1	0.47305133327542775	0.8669860158082168	0.8584982194041518	0.5687952749066273	0.7777929297316077	0.886841830973682	0.8756787978806566	0.8138321896986016	0.8593555111612959	0.4407174498393121	0.8723660210197168	1.0	0.58755320072961	0.8374168331451403	0.8775662294797186	0.870079041083992	0.5156579518804829	0.8714444540953704	0.9009537045079475	0.857437679145314	0.5210779119256492	0.8634873621123946	0.8585147224876227	0.8686441414053678	0.30725961956049685	0.8612855033440459	0.8528098671067489	0.786521323721011
