	VatanenT_2016__G78493__bin.3	VatanenT_2016__G80455__bin.6	NielsenHB_2014__V1_CD35_1__bin.21	AsnicarF_2017__MV_FEI2_t1Q14__bin.9	VatanenT_2016__G69181__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	BackhedF_2015__SID577_4M__bin.20	BackhedF_2015__SID157_12M__bin.1	VincentC_2016__MM016.2__bin.3	XieH_2016__YSZC12003_35704__bin.15	LiJ_2014__V1.FI23__bin.11	VatanenT_2016__G78904__bin.1	VincentC_2016__MM016.1__bin.11	BackhedF_2015__SID150_12M__bin.6	BackhedF_2015__SID577_B__bin.1	NielsenHB_2014__V1_CD35_0__bin.13	VatanenT_2016__G78674__bin.5	QinJ_2012__T2D-020__bin.19	VatanenT_2016__G78739__bin.5	BackhedF_2015__SID157_4M__bin.11	HeQ_2017__SZAXPI029480-66__bin.27	FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.11	BackhedF_2015__SID87_4M__bin.11	VatanenT_2016__G80482__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.2	VatanenT_2016__G80489__bin.1	VatanenT_2016__G78749__bin.3	BackhedF_2015__SID591_4M__bin.12
VatanenT_2016__G78493__bin.3	1.0	0.9525728368482925	0.936096402216822	0.6010509468436185	0.8499446603847267	0.9650085690409755	0.9490167354280777	0.9039043262022456	0.9367196051968655	0.478906197834572	0.9554136712118668	0.5507981247255783	0.5944891050764739	0.9098247545126573	0.9551243269711324	0.9477662826953933	0.6022194524311999	0.9448252907100265	0.9655184623882838	0.9387227576327191	0.5949656125498513	0.9409636579586865	0.9434230840049289	0.9506728771136799	0.3194825796556601	0.9431721841038725	0.9054532284140091	0.8755698361664114
VatanenT_2016__G80455__bin.6	0.45634834278845804	1.0	0.9593986201414755	0.595143595920039	0.802672960928242	0.9260614902181262	0.9259151195562352	0.8736467378002235	0.9521702358651741	0.5135899343513042	0.9538879101225975	0.48115865465005536	0.6532275457953574	0.8745501646669945	0.9334662947624022	0.9707578559121388	0.4983606001197138	0.9326171510550078	0.9001723005639148	0.9726306249106388	0.5349450261843544	0.9519952696103972	0.9264157847672732	0.9851676113713526	0.3240152089780468	0.9352237120472264	0.8393058540994691	0.8375697623415429
NielsenHB_2014__V1_CD35_1__bin.21	0.4429843900734176	0.9476951360512463	1.0	0.6037826722872934	0.7921675080850371	0.9176525504671488	0.9117470622170836	0.8555661680395072	0.9460544300737048	0.5072764137145209	0.9536590328596017	0.4708682527941553	0.6505032950565773	0.8648885569495413	0.9222783167802522	1.0276454409008324	0.486201935621321	0.932360016948057	0.8751320775493301	0.944359624365944	0.5235446334743278	0.9755220264897174	0.9087921636780157	0.9615374856073173	0.32626637653890994	0.9094624258223278	0.8184561469023116	0.8118612461609538
AsnicarF_2017__MV_FEI2_t1Q14__bin.9	0.4315098093191255	0.8918726934790235	0.9159930650935537	1.0	0.7838063978651993	0.9604155423833329	0.9217796591088194	0.833674824938644	0.9326948009264943	0.665440153747486	0.9289339142927492	0.47556186324405164	0.7741550534099649	0.9199827426291198	0.9206792838191085	0.9180478252880041	0.47999023825485565	0.9228560658278635	0.9213750986887739	0.8961979310039272	0.49884841912750044	0.9279482976141104	0.9071508414784105	0.9178865821762446	0.43986394567705034	0.9075931705552646	0.8397759156538734	0.8041390089940246
VatanenT_2016__G69181__bin.6	0.4920031717921328	0.9698791017784524	0.9690059219279998	0.631984853169918	1.0	0.9672894295459231	0.9609780551338993	0.8988300209891119	0.9644783877738423	0.5449596849759187	0.9654663518299882	0.5223635941980098	0.6478432282003711	0.9230225492400818	0.967933040984989	0.9779028691366354	0.5576732070238564	0.9632579271377972	0.9444485438803619	0.9615660313712262	0.5715333998613219	0.9659840520230131	0.9410261005228537	0.9715838814864788	0.3417799282247334	0.9505514326942898	0.8930492307115683	0.8834934455876015
FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	0.4417122145510267	0.8848095046467872	0.8876028097908308	0.6123335165590852	0.7648696496189538	1.0	0.9076491271616046	0.8097769384690262	0.8811386608343147	0.4903991712700786	0.9004269144582715	0.4721375684260198	0.6039739766949809	0.9021463345510822	0.9198207505710948	0.9170742166172944	0.4860832554971199	0.912762931655251	0.8812271093227949	0.8880607969903433	0.5156931235699477	0.9202004770661404	0.8784097239619922	0.9050581884545549	0.3254603373360519	0.90569075722557	0.828523850296997	0.8123252737156561
BackhedF_2015__SID577_4M__bin.20	0.44632481267687923	0.9089710503226887	0.9061157644515243	0.6038441920792342	0.7807524898701822	0.9325817570023733	1.0	0.8440935882869046	0.912193179287782	0.49188900879091185	0.9107396051607354	0.4771286891283123	0.6316781144550453	0.8790350361323794	1.008307021500526	0.928687320265916	0.49427467840564565	0.952723393645954	0.8853013442349015	0.9281001809949584	0.5437066663621537	0.9270367642440748	0.8899527814414506	0.9301956115859612	0.3234894724120671	0.9431421752510806	0.8349206077319676	0.8210195859002835
BackhedF_2015__SID157_12M__bin.1	0.45715927458865196	0.9223221636468483	0.9143886486008002	0.5873032035436537	0.7853177013324519	0.8947510882040067	0.9077338084402776	1.0	0.9089434072515551	0.49711134090987	0.9152866375660251	0.4765814199687163	0.6225263729893106	0.8423714686136228	0.9126893771742974	0.9216216810865103	0.49909868514971856	0.9210506522060596	0.8751718587143561	0.9540659456488981	0.5491803740034498	0.9149530257111381	0.8956920578376528	0.9256598172195908	0.3128721473500115	0.9105807660485467	0.8128355626143913	0.796731115496731
VincentC_2016__MM016.2__bin.3	0.4522399454123357	0.9595677141513245	0.965178384339944	0.6272193944461838	0.8044046227585038	0.9293842915887814	0.9364163120210575	0.8676630120218878	1.0	0.5187606021249919	0.9575118848813758	0.48126821562908917	0.688269073812037	0.8896787992667592	0.9522016031463126	0.9926656373681283	0.49862676075256346	0.9488685124031124	0.9033857930426126	0.9652286933004582	0.5363042646856984	0.9760783334937033	0.9281128913536482	0.9750125650292158	0.3279577639181205	0.9384579766322205	0.83755920461045	0.8451802794736022
XieH_2016__YSZC12003_35704__bin.15	0.4268868626402415	0.955609703749061	0.955518621758135	0.8262128559073885	0.8391690436661494	0.9550009874730699	0.9322927140719872	0.8761348049537782	0.9577893589180542	1.0	0.9488984940810232	0.4558328997169244	0.801676630074552	0.9110174038746821	0.9307488292356958	0.9613613962057588	0.4717163364117844	0.9509645222118315	0.9141223077831815	0.9617158043486691	0.5046799009100083	0.959642561802738	0.9380335849060006	0.9570435687547288	0.5034552539429034	0.9472139281498363	0.8243497332019109	0.923400947433066
