	VatanenT_2016__G78493__bin.3	VatanenT_2016__G80455__bin.6	NielsenHB_2014__V1_CD35_1__bin.21	AsnicarF_2017__MV_FEI2_t1Q14__bin.9	VatanenT_2016__G69181__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	BackhedF_2015__SID577_4M__bin.20	BackhedF_2015__SID157_12M__bin.1	VincentC_2016__MM016.2__bin.3	XieH_2016__YSZC12003_35704__bin.15	LiJ_2014__V1.FI23__bin.11	VatanenT_2016__G78904__bin.1	VincentC_2016__MM016.1__bin.11	BackhedF_2015__SID150_12M__bin.6	BackhedF_2015__SID577_B__bin.1	NielsenHB_2014__V1_CD35_0__bin.13	VatanenT_2016__G78674__bin.5	QinJ_2012__T2D-020__bin.19	VatanenT_2016__G78739__bin.5	BackhedF_2015__SID157_4M__bin.11	HeQ_2017__SZAXPI029480-66__bin.27	FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.11	BackhedF_2015__SID87_4M__bin.11	VatanenT_2016__G80482__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.2	VatanenT_2016__G80489__bin.1	VatanenT_2016__G78749__bin.3	BackhedF_2015__SID591_4M__bin.12
VatanenT_2016__G78493__bin.3	988442.0	945606.0	929043.0	594419.0	843000.0	955273.0	942614.0	897868.0	928806.0	474638.0	948181.0	544624.0	589646.0	900036.0	948759.0	940531.0	595781.0	937717.0	954519.0	931850.0	591197.0	933671.0	937043.0	943718.0	316226.0	936480.0	895112.0	866269.0
VatanenT_2016__G80455__bin.6	945606.0	2063255.0	1985560.0	1234135.0	1661468.0	1920885.0	1920629.0	1804750.0	1972314.0	1060647.0	1978100.0	998161.0	1352271.0	1814420.0	1936341.0	2008776.0	1033338.0	1934659.0	1866966.0	2007953.0	1110795.0	1972815.0	1922416.0	2032745.0	670424.0	1940031.0	1740707.0	1736733.0
NielsenHB_2014__V1_CD35_1__bin.21	929043.0	1985560.0	2088735.0	1267204.0	1660415.0	1926981.0	1915254.0	1793197.0	1980291.0	1060281.0	2000046.0	988389.0	1361418.0	1816465.0	1937589.0	2146788.0	1020387.0	1959321.0	1837333.0	1978940.0	1100597.0	2043267.0	1910465.0	2014770.0	683181.0	1910246.0	1718244.0	1704521.0
AsnicarF_2017__MV_FEI2_t1Q14__bin.9	594419.0	1234135.0	1267204.0	1376803.0	1084109.0	1323865.0	1277058.0	1154161.0	1289556.0	919771.0	1283884.0	654854.0	1070765.0	1267461.0	1275498.0	1269964.0	661162.0	1277564.0	1269289.0	1240337.0	691087.0	1283161.0	1255520.0	1270300.0	606315.0	1256611.0	1156756.0	1107467.0
VatanenT_2016__G69181__bin.6	843000.0	1661468.0	1660415.0	1084109.0	1707552.0	1658622.0	1647703.0	1540562.0	1652342.0	932643.0	1656398.0	895473.0	1109907.0	1582662.0	1659694.0	1675440.0	956417.0	1652924.0	1619176.0	1646996.0	982062.0	1656619.0	1616254.0	1664389.0	585474.0	1631804.0	1530920.0	1513886.0
FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	955273.0	1920885.0	1926981.0	1323865.0	1658622.0	2159449.0	1973756.0	1759113.0	1911996.0	1062907.0	1953349.0	1021021.0	1310912.0	1950555.0	2000176.0	1990700.0	1051064.0	1982810.0	1906063.0	1928078.0	1120090.0	1997706.0	1906484.0	1964850.0	702864.0	1967949.0	1791925.0	1755729.0
BackhedF_2015__SID577_4M__bin.20	942614.0	1920629.0	1915254.0	1277058.0	1647703.0	1973756.0	2101716.0	1786182.0	1927420.0	1038434.0	1927451.0	1008169.0	1335056.0	1857491.0	2119403.0	1962922.0	1044161.0	2015148.0	1870773.0	1962794.0	1150157.0	1963416.0	1882940.0	1965410.0	683220.0	1995246.0	1764037.0	1733740.0
BackhedF_2015__SID157_12M__bin.1	897868.0	1804750.0	1793197.0	1154161.0	1540562.0	1759113.0	1786182.0	1954367.0	1784268.0	973103.0	1797917.0	936965.0	1221300.0	1656493.0	1796043.0	1807338.0	980924.0	1811888.0	1720273.0	1865715.0	1081389.0	1798192.0	1761197.0	1811388.0	613575.0	1791128.0	1597649.0	1565779.0
VincentC_2016__MM016.2__bin.3	928806.0	1972314.0	1980291.0	1289556.0	1652342.0	1911996.0	1927420.0	1784268.0	2047349.0	1063991.0	1968048.0	989376.0	1409244.0	1829870.0	1960133.0	2036455.0	1025162.0	1953410.0	1857392.0	1984014.0	1105098.0	2003987.0	1912981.0	2004071.0	673144.0	1931417.0	1721953.0	1737729.0
XieH_2016__YSZC12003_35704__bin.15	474638.0	1060647.0	1060281.0	919771.0	932643.0	1062907.0	1038434.0	973103.0	1063991.0	1108891.0	1056040.0	507398.0	890701.0	1013996.0	1036716.0	1066923.0	525117.0	1059084.0	1017314.0	1067794.0	562910.0	1067038.0	1045968.0	1062302.0	559533.0	1054776.0	917267.0	1027551.0
