	VatanenT_2016__G78493__bin.3	VatanenT_2016__G80455__bin.6	NielsenHB_2014__V1_CD35_1__bin.21	AsnicarF_2017__MV_FEI2_t1Q14__bin.9	VatanenT_2016__G69181__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	BackhedF_2015__SID577_4M__bin.20	BackhedF_2015__SID157_12M__bin.1	VincentC_2016__MM016.2__bin.3	XieH_2016__YSZC12003_35704__bin.15	LiJ_2014__V1.FI23__bin.11	VatanenT_2016__G78904__bin.1	VincentC_2016__MM016.1__bin.11	BackhedF_2015__SID150_12M__bin.6	BackhedF_2015__SID577_B__bin.1	NielsenHB_2014__V1_CD35_0__bin.13	VatanenT_2016__G78674__bin.5	QinJ_2012__T2D-020__bin.19	VatanenT_2016__G78739__bin.5	BackhedF_2015__SID157_4M__bin.11	HeQ_2017__SZAXPI029480-66__bin.27	FerrettiP_2018__CA_C10032IS2559FE_t5M16__bin.11	BackhedF_2015__SID87_4M__bin.11	VatanenT_2016__G80482__bin.6	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.2	VatanenT_2016__G80489__bin.1	VatanenT_2016__G78749__bin.3	BackhedF_2015__SID591_4M__bin.12
VatanenT_2016__G78493__bin.3	0.0	4043.0	3766.0	315.0	2879.0	1418.0	4566.0	4411.0	2913.0	1267.0	3810.0	192.0	2028.0	727.0	4674.0	3719.0	522.0	3812.0	160.0	3977.0	3108.0	3583.0	4524.0	4033.0	436.0	4209.0	124.0	819.0
VatanenT_2016__G80455__bin.6	4043.0	0.0	6076.0	6202.0	5349.0	10184.0	10230.0	2194.0	7744.0	980.0	9986.0	5408.0	4496.0	10000.0	10362.0	5855.0	5093.0	10432.0	9681.0	1168.0	7067.0	8606.0	10984.0	93.0	1898.0	10426.0	9005.0	8613.0
NielsenHB_2014__V1_CD35_1__bin.21	3766.0	6076.0	0.0	6062.0	5787.0	10248.0	10856.0	6146.0	4234.0	715.0	8105.0	4870.0	2689.0	9942.0	11194.0	309.0	4840.0	11868.0	9414.0	6423.0	7051.0	5660.0	12239.0	6373.0	1697.0	10620.0	8706.0	8758.0
AsnicarF_2017__MV_FEI2_t1Q14__bin.9	315.0	6202.0	6062.0	0.0	4962.0	1562.0	7949.0	6355.0	5419.0	3591.0	4925.0	99.0	4906.0	826.0	7904.0	5993.0	310.0	6973.0	737.0	6449.0	4271.0	5559.0	6552.0	6551.0	709.0	7034.0	550.0	326.0
VatanenT_2016__G69181__bin.6	2879.0	5349.0	5787.0	4962.0	0.0	6925.0	6783.0	5763.0	5445.0	2096.0	7814.0	3510.0	3681.0	6553.0	6898.0	5620.0	4161.0	8111.0	6481.0	5072.0	6139.0	7151.0	9403.0	5359.0	1867.0	8688.0	5992.0	5275.0
FerrettiP_2018__CA_C10019IS2329FE_t5M16__bin.3	1418.0	10184.0	10248.0	1562.0	6925.0	0.0	13734.0	10441.0	9222.0	3915.0	8923.0	1464.0	6661.0	2416.0	13870.0	10325.0	1392.0	11745.0	3098.0	10356.0	6477.0	10580.0	9603.0	10423.0	49.0	12156.0	2770.0	1554.0
BackhedF_2015__SID577_4M__bin.20	4566.0	10230.0	10856.0	7949.0	6783.0	13734.0	0.0	12137.0	10249.0	4623.0	13335.0	5380.0	7448.0	10009.0	228.0	11085.0	5336.0	12794.0	10121.0	12191.0	7440.0	15048.0	12512.0	10403.0	3337.0	13029.0	9271.0	8190.0
BackhedF_2015__SID157_12M__bin.1	4411.0	2194.0	6146.0	6355.0	5763.0	10441.0	12137.0	0.0	7859.0	1565.0	9111.0	5550.0	4655.0	10190.0	12313.0	6151.0	5502.0	11817.0	9866.0	1120.0	8089.0	10038.0	10686.0	2309.0	2108.0	11519.0	9070.0	8674.0
VincentC_2016__MM016.2__bin.3	2913.0	7744.0	4234.0	5419.0	5445.0	9222.0	10249.0	7859.0	0.0	1907.0	7687.0	4052.0	117.0	8387.0	10644.0	4122.0	4299.0	10745.0	7846.0	7854.0	7096.0	5614.0	12810.0	7880.0	1700.0	10066.0	7177.0	7350.0
XieH_2016__YSZC12003_35704__bin.15	1267.0	980.0	715.0	3591.0	2096.0	3915.0	4623.0	1565.0	1907.0	0.0	3815.0	1929.0	1729.0	3777.0	4617.0	878.0	2035.0	4568.0	3652.0	1356.0	3275.0	2899.0	5791.0	1045.0	1256.0	4419.0	3153.0	3600.0
LiJ_2014__V1.FI23__bin.11	3810.0	9986.0	8105.0	4925.0	7814.0	8923.0	13335.0	9111.0	7687.0	3815.0	0.0	4098.0	4758.0	8581.0	13366.0	8007.0	4211.0	12602.0	8304.0	9378.0	7204.0	3932.0	9069.0	10171.0	1651.0	12012.0	7530.0	7794.0
VatanenT_2016__G78904__bin.1	192.0	5408.0	4870.0	99.0	3510.0	1464.0	5380.0	5550.0	4052.0	1929.0	4098.0	0.0	3304.0	766.0	5362.0	4844.0	437.0	5430.0	404.0	5152.0	3370.0	4599.0	4678.0	5251.0	526.0	5390.0	404.0	650.0
