	HeQ_2017__SZAXPI029466-158__bin.31	HeQ_2017__SZAXPI029601-32__bin.4	LiJ_2017__H3M415117__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.9	QinJ_2012__T2D-068__bin.13	LiJ_2017__H3M515935__bin.40	BackhedF_2015__SID26_12M__bin.39	LiJ_2017__H1M513738__bin.10	LiJ_2014__V1.FI35__bin.2	LiJ_2014__V1.FI18__bin.20	LeChatelierE_2013__MH0131__bin.71	VogtmannE_2016__MMRS95674036ST-27-0-0__bin.11	HeQ_2017__SZAXPI029486-84__bin.7	QinJ_2012__CON-039__bin.30	YuJ_2015__SZAXPI015228-14__bin.71	BackhedF_2015__SID229_12M__bin.11	WenC_2017__N030__bin.20	NielsenHB_2014__V1_CD17_0__bin.21	LoombaR_2017__SID1049_baw__bin.51	HeQ_2017__SZAXPI029602-33__bin.13	YuJ_2015__SZAXPI015219-129__bin.25	LiJ_2017__H2M413915__bin.4	QinJ_2012__CON-065__bin.52	QinJ_2012__NOM014__bin.9	QinJ_2012__CON-008__bin.32	BackhedF_2015__SID546_12M__bin.16	QinJ_2012__NOM004__bin.3	LiJ_2017__H3M518116__bin.33	LeChatelierE_2013__MH0088__bin.28	NielsenHB_2014__MH0088__bin.26	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.10	WenC_2017__RA082__bin.7	HeQ_2017__SZAXPI029499-101__bin.44	QinN_2014__HD-45__bin.29	YuJ_2015__SZAXPI003422-11__bin.27	LoombaR_2017__SID5630_kod__bin.9	HeQ_2017__RSZAXPI003107-147__bin.9	HeQ_2017__SZAXPI029552-169__bin.11	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.33	NielsenHB_2014__V1_CD17_4__bin.54	XieH_2016__YSZC12003_35630__bin.12	HeQ_2017__SZAXPI029574-89__bin.29	BackhedF_2015__SID608_M__bin.38	QinJ_2012__T2D-102__bin.53	ChengpingW_2017__AS111raw__bin.2	ChengpingW_2017__AS15raw__bin.53	LiJ_2017__H1M512855__bin.10	HeQ_2017__RSZAXPI003102-140__bin.29	LeChatelierE_2013__MH0444__bin.45
HeQ_2017__SZAXPI029466-158__bin.31	1.0	0.9893708898489305	0.991445387185891	0.9704597042505653	0.9904651081025599	0.9911003866892151	0.9892746084191205	0.9906314769748475	0.9900768645406943	0.9923666219833387	0.9896860147187707	0.9930269025969503	0.9912389257796723	0.9908288054115841	0.9920321651433571	0.9887809006990187	0.9893751762918209	0.9897280775099474	0.9713907924864562	0.9909961492163787	0.9896066845100842	0.9904093238958365	0.9926209537795319	0.9901360469299502	0.9999583940426795	0.9718334818408947	0.9880248099875074	0.9924315802833649	0.9715130402702906	0.9713929471668333	0.9890075708266246	0.9845584599081597	0.9903716184624174	0.9890293476830392	0.9902541084009503	0.9878955057603918	0.9997018573839987	0.9914589604585402	0.9904296197850456	0.9908079008477801	0.9852667624469338	0.9918639856152687	0.9708996293050423	0.991982560899772	0.9903584543792093	0.9922845875177695	0.9899715544648335	0.991674661144936	0.9710387948916905
HeQ_2017__SZAXPI029601-32__bin.4	0.9893708898489305	1.0	0.9901023157578691	0.9694288894024915	0.9875344229544403	0.9907193276802854	0.9902337773740604	0.9904808664923873	0.9905065407879523	0.9899248656428675	0.9916841770375925	0.9881484743343482	0.9887654666293736	0.9879215691328272	0.9865439164136619	0.99119880543496	0.9899678880450027	0.992462532619791	0.9705823770336134	0.9870575057850426	0.9900613600540419	0.9917541382767582	0.9870839989385557	0.9889182267649695	0.9892612807246953	0.9698198458134413	0.9899840007437911	0.9895692562156173	0.9701423659783148	0.9692340441071032	0.9908094111406576	0.9879311516367951	0.9919394516733488	0.990021962528131	0.9856438810929192	0.9881150211383921	0.9894911499730531	0.9879900466740912	0.9931112661318451	0.992661521127203	0.9894071655118934	0.9915514413847242	0.9691060502308321	0.9914215081159907	0.9904966600421982	0.9902134180381852	0.9924158012174411	0.9881715752160857	0.9707647888516935
LiJ_2017__H3M415117__bin.20	0.991445387185891	0.9901023157578691	1.0	0.9700627565852461	0.989273963011124	0.991608394865367	0.990079921495844	0.9916439068955513	0.9910349328639735	0.9906802568516836	0.991542336655306	0.9906253770325774	0.9903448765528183	0.9889730629851297	0.9894698089475275	0.9910723718742253	0.9901493579245967	0.9915386746085085	0.9708738305146962	0.9887670218810474	0.9894478033216909	0.9919684077873722	0.9894768655757854	0.9900480095664085	0.991292459719368	0.9711349925159637	0.9901729183344378	0.9905371165729637	0.970602129858829	0.9703440405673028	0.9914807809913745	0.9881958260840611	0.9911915395489185	0.9900712656352849	0.9891964812287718	0.9943965349245385	0.991027864763327	0.9887635343422975	0.9925154245856119	0.9922946795674384	0.9900352695374675	0.9916886730559374	0.9697440129211637	0.991883597023062	0.9901496247658783	0.9906694775316767	0.9917204199984478	0.9885732126131751	0.9706442108753545
VogtmannE_2016__MMRS57569834ST-27-0-0__bin.9	0.9704597042505653	0.9694288894024915	0.9700627565852461	1.0	0.9672869899508674	0.9683046634316617	0.9696637070042713	0.9700129548568951	0.9680488209687721	0.9694948841513096	0.9700112693684321	0.9685205195756948	0.9682112110287346	0.9682114636123436	0.9685662792151221	0.9687563329663292	0.9689579356612805	0.9689503205128205	0.9897441252602733	0.9681760270366411	0.9698964647851612	0.9708613949921675	0.9672171578877586	0.9673847166184696	0.9698457866272451	0.9863747450225562	0.9686119800451982	0.9697638677645342	0.98646915675024	0.9863043021919745	0.9674900278171417	0.9654520865008688	0.9684453581100525	0.9695284267432902	0.967738160712405	0.9705732950585344	0.9682236546456215	0.9684895052177894	0.9710865479232699	0.9691849985884601	0.9691460645343212	0.9716412878896095	0.9870498693023148	0.9689512355886224	0.9701798703906579	0.9683855179623757	0.9708986578607038	0.969633171229833	0.9916266557148284
QinJ_2012__T2D-068__bin.13	0.9904651081025599	0.9875344229544403	0.989273963011124	0.9672869899508674	1.0	0.9893725273702169	0.988272806740826	0.9891282319406454	0.9886235192869555	0.9937293253541977	0.9881097149033914	0.9902454043896703	0.9900751182764217	0.9881373738534032	0.9898050519006062	0.9883053901941625	0.9891384351441461	0.9886456926663103	0.968378430073667	0.9881565441809402	0.9883745571790429	0.9898827605251926	0.9897970374736957	0.9892623541448539	0.9899795970257549	0.9685090223194986	0.9874062374836756	0.9933734208942105	0.9680939204109201	0.9680813807875827	0.9880340166741851	0.9854763804514581	0.9886939743881373	0.988123656685874	0.9910408069245751	0.9898800799467022	0.990728249615566	0.990064597687011	0.9895225786433992	0.9888715048856273	0.9867625720277093	0.9896457713900314	0.9678641616885153	0.9892152248913835	0.988986551603752	0.9937757041443885	0.9896161668070643	0.988024401541046	0.9677865854941337
LiJ_2017__H3M515935__bin.40	0.9911003866892151	0.9907193276802854	0.991608394865367	0.9683046634316617	0.9893725273702169	1.0	0.9905105850652032	0.9919611899153946	0.9918946922838785	0.9893208288346236	0.9915150164679785	0.9898882512975151	0.9892358222174508	0.9887309540145057	0.9887658172082212	0.9918509566643933	0.9903298632508951	0.9927135118232434	0.9687947592380687	0.9882840792889402	0.9900101021438994	0.9924518587496465	0.9891105283724171	0.9899581298900909	0.9906788418540856	0.9697864774884172	0.9912296117764221	0.9893130570662849	0.9696472988482323	0.9696844314391257	0.9919624573503598	0.9897622468999928	0.991708302201173	0.9910100032346367	0.9881214246337651	0.9899271321011456	0.9900953809637916	0.9892969926218914	0.9934592081338358	0.992915442267859	0.990405119384236	0.9906162865517981	0.9692263094353007	0.9923359899764393	0.9904053671322469	0.989879862586628	0.9922354482555095	0.9888475185189677	0.9681364420126656
BackhedF_2015__SID26_12M__bin.39	0.9892746084191205	0.9902337773740604	0.990079921495844	0.9696637070042713	0.988272806740826	0.9905105850652032	1.0	0.990999493254261	0.9910113860866412	0.9895025766897902	0.9916504298497827	0.9903745606079262	0.9887424919908099	0.9881178586632009	0.9879116870687998	0.9904033167439613	0.9901245542604837	0.990763967244193	0.9704921310035545	0.9871461138359422	0.9901004363074015	0.9909267358155843	0.9888730197343822	0.9905288668731181	0.9888809708732682	0.9710427543326368	0.9890872132064645	0.989450354760086	0.9707583733695165	0.970808122824747	0.989869478478422	0.9883839822994016	0.9911131863030701	0.9899847688741815	0.9868206495354714	0.9890567578064982	0.9891116765865166	0.9882560209266938	0.9921301307599135	0.9907718532120197	0.9898417251102927	0.990366897734269	0.9696964441774806	0.9909048260693252	0.9904652863801967	0.9886464707406173	0.9914660959788801	0.987519044363646	0.9704204186437269
LiJ_2017__H1M513738__bin.10	0.9906314769748475	0.9904808664923873	0.9916439068955513	0.9700129548568951	0.9891282319406454	0.9919611899153946	0.990999493254261	1.0	0.9915003736594207	0.9905023182562971	0.9920046024474474	0.9906643068877867	0.9898578780817088	0.9891746529437523	0.988878769875577	0.9915625928326283	0.9908628267406894	0.9920920413847206	0.9710364078687324	0.9879470441667523	0.9914030259064606	0.9927183702644746	0.9883472175453494	0.9902909378661131	0.9905483982008242	0.9706920763840028	0.9900043015407688	0.9905392604902368	0.9709453819208775	0.9708773837204285	0.9922055068399733	0.9890529755313234	0.991674039108354	0.9908680156857043	0.9878200116339436	0.9903969144985653	0.9906051683442784	0.9895128289689333	0.9936054612697806	0.9926719695308895	0.9911796112209079	0.9921033747910674	0.9694898900218344	0.9920593848284575	0.991316802434876	0.9908049763584218	0.9929288043655656	0.988453756789053	0.9711916412015773
LiJ_2014__V1.FI35__bin.2	0.9900768645406943	0.9905065407879523	0.9910349328639735	0.9680488209687721	0.9886235192869555	0.9918946922838785	0.9910113860866412	0.9915003736594207	1.0	0.9892781931067792	0.9922262830859385	0.9902909022329581	0.9894618524985852	0.9887940465804306	0.9883969542120754	0.9918307989798223	0.9903369714378465	0.9923024547234401	0.9692242463375602	0.9876543853792873	0.9896315767670796	0.9924399561747713	0.9884100516674496	0.9899821260037646	0.9903935572287437	0.9696840876326606	0.9906024106451014	0.989026368823555	0.9695447724432255	0.9695635564846803	0.9919586153265298	0.9888429412345029	0.9920025634841863	0.9902074526184272	0.9879471224129754	0.9887169989905428	0.9897143073126745	0.9889187179006133	0.993063326424205	0.9921293772742674	0.9908874217574056	0.9905855372959474	0.9686877739630257	0.9923346631403785	0.9904863457012403	0.9891545717603412	0.9924478216504322	0.9876127133320866	0.9688582782249917
LiJ_2014__V1.FI18__bin.20	0.9923666219833387	0.9899248656428675	0.9906802568516836	0.9694948841513096	0.9937293253541977	0.9893208288346236	0.9895025766897902	0.9905023182562971	0.9892781931067792	1.0	0.9893849276543435	0.9920505669285778	0.9922944816358766	0.9890957572744277	0.991524119473129	0.9895919561334171	0.9897761428645273	0.9900301319142674	0.9701324330656951	0.9901801987441516	0.9905083022903769	0.9907646935588975	0.9919441548208211	0.9896007851456782	0.9918812578635305	0.9709561903796539	0.9881732117812062	0.9997389593654656	0.9711080217633705	0.9712422372050716	0.9890130140499943	0.9860505680707045	0.9891179315624558	0.9892230426849026	0.9918902939961345	0.9888789060949124	0.9917443701551423	0.9912575330800472	0.9901216707871355	0.9908487610636981	0.9860483403565277	0.9910737530747102	0.9696803623688632	0.9911106734995607	0.9901195061911082	0.9949090950401663	0.9904864349246779	0.9895430283847131	0.9704844661846843
