	HeQ_2017__SZAXPI029466-158__bin.31	HeQ_2017__SZAXPI029601-32__bin.4	LiJ_2017__H3M415117__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.9	QinJ_2012__T2D-068__bin.13	LiJ_2017__H3M515935__bin.40	BackhedF_2015__SID26_12M__bin.39	LiJ_2017__H1M513738__bin.10	LiJ_2014__V1.FI35__bin.2	LiJ_2014__V1.FI18__bin.20	LeChatelierE_2013__MH0131__bin.71	VogtmannE_2016__MMRS95674036ST-27-0-0__bin.11	HeQ_2017__SZAXPI029486-84__bin.7	QinJ_2012__CON-039__bin.30	YuJ_2015__SZAXPI015228-14__bin.71	BackhedF_2015__SID229_12M__bin.11	WenC_2017__N030__bin.20	NielsenHB_2014__V1_CD17_0__bin.21	LoombaR_2017__SID1049_baw__bin.51	HeQ_2017__SZAXPI029602-33__bin.13	YuJ_2015__SZAXPI015219-129__bin.25	LiJ_2017__H2M413915__bin.4	QinJ_2012__CON-065__bin.52	QinJ_2012__NOM014__bin.9	QinJ_2012__CON-008__bin.32	BackhedF_2015__SID546_12M__bin.16	QinJ_2012__NOM004__bin.3	LiJ_2017__H3M518116__bin.33	LeChatelierE_2013__MH0088__bin.28	NielsenHB_2014__MH0088__bin.26	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.10	WenC_2017__RA082__bin.7	HeQ_2017__SZAXPI029499-101__bin.44	QinN_2014__HD-45__bin.29	YuJ_2015__SZAXPI003422-11__bin.27	LoombaR_2017__SID5630_kod__bin.9	HeQ_2017__RSZAXPI003107-147__bin.9	HeQ_2017__SZAXPI029552-169__bin.11	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.33	NielsenHB_2014__V1_CD17_4__bin.54	XieH_2016__YSZC12003_35630__bin.12	HeQ_2017__SZAXPI029574-89__bin.29	BackhedF_2015__SID608_M__bin.38	QinJ_2012__T2D-102__bin.53	ChengpingW_2017__AS111raw__bin.2	ChengpingW_2017__AS15raw__bin.53	LiJ_2017__H1M512855__bin.10	HeQ_2017__RSZAXPI003102-140__bin.29	LeChatelierE_2013__MH0444__bin.45
HeQ_2017__SZAXPI029466-158__bin.31	1.0	0.7165900594819742	0.8646127288729772	0.7747223949952021	0.6193600457302694	0.41481070661351327	0.8661701679495207	0.8681169667952003	0.7594153787888996	0.8195718177285646	0.8024853777321673	0.869494264922089	0.9225379732157358	0.44877294935415213	0.8812410151155278	0.8624560019914795	0.7711685119293733	0.8630020985711419	0.7669422917758564	0.8273462472172124	0.7877202028075039	0.565553929874107	0.6749760816790271	0.3825782425193634	0.8693112871070853	0.8284384403765371	0.7678869679370386	0.8429348223093928	0.8143023403429912	0.791782593987122	0.511879019040331	0.39535761169980005	0.8262285222697476	0.7675054095476121	0.5125740510508103	0.42010713421990103	0.9559853248955501	0.8014541771778438	0.6807491026640292	0.7643813115821411	0.6468698382348456	0.6545080981867466	0.6324897677812947	0.4208489745086372	0.8503681187398361	0.42970354047887704	0.5035209045061478	0.888544524956259	0.7934669827880287
HeQ_2017__SZAXPI029601-32__bin.4	0.715032715816112	1.0	0.8121186516243264	0.7391106506505657	0.6100738954254472	0.4174610318750982	0.8038579611316572	0.8537207429455416	0.7335582324542594	0.7957947119691906	0.7477987768544978	0.8289478712427765	0.8405763871491878	0.43400152008594006	0.8397908678784893	0.8122127724018066	0.7312943800696069	0.8222200048404972	0.7414077637610946	0.7945032050601595	0.7467719404024407	0.5488161304613051	0.6607306886102536	0.3700057604746518	0.7388176731928457	0.7968562244971614	0.7233896501113173	0.7104483970453153	0.7929470276941541	0.7701089394923706	0.5023084359108273	0.40127296582354266	0.8046859409034746	0.7493408007201301	0.5025801831179878	0.41532314564376493	0.8250521202651233	0.7822533504873759	0.6447768629898704	0.7157418061847967	0.6112861427323899	0.5416855969734155	0.6209480297619806	0.42627087818223763	0.8006458242220175	0.4330553585860087	0.49541780425425913	0.8262112919456676	0.7461739550116837
LiJ_2017__H3M415117__bin.20	0.4645465592552074	0.43729244473099693	1.0	0.7841566192292729	0.7160443866766807	0.6490318755356189	0.870423019310666	0.7879282902380482	0.8054384767600973	0.4830707300725031	0.8324407146893592	0.8885569909854092	0.6909523716982161	0.5458524003153602	0.8899874671388687	0.8972145344607955	0.8344877359723598	0.8798121861783385	0.8143387515380286	0.8560854871449578	0.5502105131995149	0.6283894263653445	0.7485246547556854	0.5312828063549113	0.4288143776190308	0.8502218304988644	0.7880540380085974	0.44705580647951587	0.8619678154297087	0.8327066902767633	0.640025667787346	0.4975797364707783	0.851532655743377	0.8471238626971525	0.700490911675147	0.5930466817640202	0.7752933066748059	0.8539725435458814	0.7884831046438652	0.5659507045876215	0.7641501489348973	0.343862994374502	0.7129010734668012	0.6274512717862776	0.8851473211342753	0.5717587273715935	0.5989179594871167	0.5188246317781382	0.6424979451671131
VogtmannE_2016__MMRS57569834ST-27-0-0__bin.9	0.44813241920715197	0.4284642384779734	0.8442196233003719	1.0	0.6827090013423083	0.6008704491974046	0.8067035008319685	0.7442816517284271	0.7561162819700754	0.4857055651643097	0.7821497609115882	0.8284298602883502	0.6732787931696527	0.5135223614124103	0.8296244818657101	0.8334610550083853	0.7817571603451275	0.8274678453161973	0.8981859966721256	0.8139787134188166	0.5288423985638286	0.6066445902349532	0.7062843166534842	0.5042029182898532	0.4120517297398416	0.8972547497694446	0.7432408704984264	0.4501631117922934	0.9063235356860377	0.8789563634931522	0.6049769608695795	0.46681520123137915	0.8062850550871515	0.7939905447671309	0.6446115674813504	0.5392863120653497	0.7327387027853717	0.8053205786694411	0.7473510743389378	0.5492715762112773	0.7162675295947803	0.3488110397474229	0.7615388465337924	0.5891990948444202	0.837413726333201	0.5441632561970995	0.5793184421346969	0.5048457658213515	0.7270511225832706
QinJ_2012__T2D-068__bin.13	0.4085115021943468	0.4032630325302208	0.8790092086785926	0.7784603179206704	1.0	0.7058719242424101	0.8704844215877696	0.7716812784935302	0.8436545440427062	0.45782653480315433	0.8312691847470677	0.905669282793346	0.6675295612335495	0.5794506975973984	0.9326535270932366	0.8965784842681566	0.8662608536200875	0.8979448639374001	0.8383695876910757	0.8930219677925461	0.5083358047606706	0.6640015792186796	0.8105686029247354	0.5811997197073955	0.3733692087908593	0.865640112154464	0.8141672194243899	0.40601450299050507	0.8652387585919132	0.8443866166830233	0.6915724171869139	0.5309519376769954	0.8559673977413805	0.8628086516484966	0.760744627803043	0.6255263672450586	0.7564607164675647	0.8961107062232255	0.8115593568238992	0.5265641796155426	0.7717374118589219	0.29240150699374956	0.7549320178167301	0.695165420350029	0.885183411093637	0.638862251527997	0.6341634210666649	0.46798059282447185	0.6240430430645824
LiJ_2017__H3M515935__bin.40	0.30473716376641014	0.30735216194544607	0.8874295125391222	0.7631256600669094	0.7862130877037773	1.0	0.8572603843145958	0.7353078940224965	0.8179807045541816	0.3590128342797657	0.8253421927533444	0.8955485634703668	0.6145188408560771	0.595419298467733	0.8916445624033182	0.8971361106812697	0.8582138504767071	0.893190428033364	0.8482608099877403	0.8666074788218493	0.4273716689252873	0.6507995308738075	0.7662418792557545	0.6228364003161547	0.27471756821320964	0.8409446505077598	0.8022584122548017	0.2952275110938133	0.8552940557376519	0.8290930140107424	0.7069388890712458	0.5304064527255326	0.8658087555286709	0.8556014573964748	0.8545135681360987	0.6383096451699123	0.7276473404806824	0.8952708599379049	0.8226974964479478	0.4652961762880781	0.780897644104948	0.17325886918913175	0.740355012444557	0.7419430806752209	0.887299257598943	0.6493125404767227	0.6376495131330847	0.3823248214335025	0.5809818408982799
BackhedF_2015__SID26_12M__bin.39	0.4800325444193985	0.44646934319623144	0.8978219214964145	0.7728961585400604	0.7314208901370364	0.6467028140310468	1.0	0.776338084635143	0.8162454823983036	0.4997584716700436	0.842779796518769	0.8978777343895858	0.7007823631257578	0.5510513065916206	0.8909919169567038	0.9182800981835262	0.8466709770990266	0.9108039218383666	0.8242951165683717	0.8685170081930969	0.5591536092665125	0.6347093307758974	0.7557293703558857	0.5447444496632556	0.43688171007560295	0.8556953716568765	0.8116617502844689	0.4592147283150206	0.8694772257847705	0.8521940952317316	0.6478607350400811	0.509883009101039	0.8618446161193138	0.850976037795548	0.6990804629325745	0.5895201466857164	0.7909398380246953	0.8541298593082739	0.7871579249395197	0.5798185294874844	0.7644943528750519	0.3559612689965274	0.7252590681212083	0.6367634024640214	0.8962968931477883	0.5745178768303779	0.604914285938885	0.5240461203160897	0.6446876541487256
LiJ_2017__H1M513738__bin.10	0.5238874596240408	0.5163217955922528	0.8849909500500113	0.7764917009668831	0.7060518892332345	0.6040230654956158	0.8453629117684446	1.0	0.8012212403546023	0.552894807010726	0.8147463039439293	0.8732326489839191	0.788274397736421	0.5066097376520291	0.8983234159805553	0.8728692814010153	0.8139921771110951	0.8616819253945149	0.8030847297020258	0.8481662776907285	0.6390167761120696	0.5944047384159997	0.7223169755148456	0.4949053639303961	0.47909395213391787	0.8585323116812192	0.7673420281903053	0.5102185897828226	0.852269463812398	0.8186727282143158	0.611504842547134	0.4575692377883454	0.8448394741313525	0.8398614666440115	0.6759308993839871	0.5202837434308148	0.8216079165341666	0.8462719727178997	0.7697092674141452	0.6492283039807368	0.7190736309409422	0.3917269461672424	0.7000993375924522	0.5726792945104958	0.862609818115051	0.5251958397193723	0.5728590523253598	0.5883999714099476	0.7316755097525035
LiJ_2014__V1.FI35__bin.2	0.46669243951806216	0.45178399270573094	0.9212470863893194	0.8033036030271915	0.7860586017109454	0.6842565651036173	0.9051169715533969	0.8159134136795437	1.0	0.4981345918155652	0.8646075407818327	0.9314514793384252	0.713242741905959	0.5873311762008784	0.928842522938419	0.9223811499631276	0.8775542580992711	0.9178414089236246	0.8478720399720363	0.9078483998458858	0.5726624430571077	0.6762815092721247	0.8070967449498868	0.5728402670148762	0.42332344260208754	0.8818294424172901	0.826870071704896	0.4564505640680543	0.8895604261498846	0.863941572626268	0.6904930430734953	0.5242272067168642	0.899970101167885	0.8898092925221539	0.7463681199997908	0.6091695272497781	0.79887456611826	0.9051788612641889	0.8223150761592117	0.5870348029379306	0.796484838764228	0.3471542064954559	0.7518488461491525	0.6677110918565344	0.9202359305510276	0.62261920742816	0.6413661238386962	0.5293989201552995	0.6771135336235466
LiJ_2014__V1.FI18__bin.20	0.8031366476678429	0.7815348390150265	0.8810600885005571	0.8228397322604477	0.6802088596466233	0.4788912897076229	0.8836802165045825	0.8978115328721815	0.7943241216489988	1.0	0.8066081435246352	0.8983689181929317	0.925602264568989	0.4645500851020356	0.9178961692616591	0.8840145086981994	0.8117656952269885	0.8882852478453444	0.8172311293446691	0.8616308316091685	0.8180963970807464	0.5949066657585409	0.7200452302202923	0.4162625854755949	0.7319977398789737	0.8521365163139456	0.7834724827485073	0.878362121149993	0.8437604466310504	0.8170434809199777	0.5520394256290219	0.43453189710472384	0.8790876950587999	0.8062912261851561	0.580662760336127	0.4673807963382148	0.9028530205488924	0.8413620217658273	0.7011323539938883	0.8003629259532365	0.6727891019354892	0.6376112772533276	0.6726410681782327	0.44772566634303107	0.8928492745303405	0.48692125229608696	0.5426848041610691	0.9142967944784104	0.8400067831430555
