	HeQ_2017__SZAXPI029466-158__bin.31	HeQ_2017__SZAXPI029601-32__bin.4	LiJ_2017__H3M415117__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.9	QinJ_2012__T2D-068__bin.13	LiJ_2017__H3M515935__bin.40	BackhedF_2015__SID26_12M__bin.39	LiJ_2017__H1M513738__bin.10	LiJ_2014__V1.FI35__bin.2	LiJ_2014__V1.FI18__bin.20	LeChatelierE_2013__MH0131__bin.71	VogtmannE_2016__MMRS95674036ST-27-0-0__bin.11	HeQ_2017__SZAXPI029486-84__bin.7	QinJ_2012__CON-039__bin.30	YuJ_2015__SZAXPI015228-14__bin.71	BackhedF_2015__SID229_12M__bin.11	WenC_2017__N030__bin.20	NielsenHB_2014__V1_CD17_0__bin.21	LoombaR_2017__SID1049_baw__bin.51	HeQ_2017__SZAXPI029602-33__bin.13	YuJ_2015__SZAXPI015219-129__bin.25	LiJ_2017__H2M413915__bin.4	QinJ_2012__CON-065__bin.52	QinJ_2012__NOM014__bin.9	QinJ_2012__CON-008__bin.32	BackhedF_2015__SID546_12M__bin.16	QinJ_2012__NOM004__bin.3	LiJ_2017__H3M518116__bin.33	LeChatelierE_2013__MH0088__bin.28	NielsenHB_2014__MH0088__bin.26	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.10	WenC_2017__RA082__bin.7	HeQ_2017__SZAXPI029499-101__bin.44	QinN_2014__HD-45__bin.29	YuJ_2015__SZAXPI003422-11__bin.27	LoombaR_2017__SID5630_kod__bin.9	HeQ_2017__RSZAXPI003107-147__bin.9	HeQ_2017__SZAXPI029552-169__bin.11	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.33	NielsenHB_2014__V1_CD17_4__bin.54	XieH_2016__YSZC12003_35630__bin.12	HeQ_2017__SZAXPI029574-89__bin.29	BackhedF_2015__SID608_M__bin.38	QinJ_2012__T2D-102__bin.53	ChengpingW_2017__AS111raw__bin.2	ChengpingW_2017__AS15raw__bin.53	LiJ_2017__H1M512855__bin.10	HeQ_2017__RSZAXPI003102-140__bin.29	LeChatelierE_2013__MH0444__bin.45
HeQ_2017__SZAXPI029466-158__bin.31	1410007.0	1021252.0	1229629.0	1125615.0	881709.0	590138.0	1234547.0	1235627.0	1081513.0	1164491.0	1143302.0	1234602.0	1312282.0	638630.0	1252536.0	1229867.0	1099030.0	1229468.0	1113243.0	1177163.0	1122356.0	805157.0	958796.0	544812.0	1225786.0	1201959.0	1095849.0	1197608.0	1181839.0	1149297.0	729775.0	566200.0	1176314.0	1094192.0	729846.0	599612.0	1348348.0	1139791.0	969136.0	1087782.0	925730.0	930431.0	918545.0	598196.0	1210698.0	610596.0	717160.0	1263372.0	1152162.0
HeQ_2017__SZAXPI029601-32__bin.4	1021252.0	1413078.0	1159059.0	1077357.0	872964.0	595431.0	1147117.0	1217968.0	1046510.0	1135965.0	1065559.0	1185417.0	1201296.0	620776.0	1202876.0	1157911.0	1043848.0	1170685.0	1079421.0	1137416.0	1065840.0	781968.0	945881.0	528706.0	1055340.0	1161061.0	1032548.0	1014501.0	1154981.0	1122767.0	716385.0	573957.0	1146324.0	1069549.0	720529.0	593943.0	1178245.0	1118822.0	917440.0	1018876.0	873043.0	771966.0	905420.0	607566.0	1142230.0	617989.0	705414.0	1181476.0	1086156.0
LiJ_2017__H3M415117__bin.20	1229629.0	1159059.0	2624301.0	2121371.0	1899490.0	1717669.0	2307139.0	2085185.0	2132834.0	1279649.0	2203209.0	2353908.0	1830945.0	1448453.0	2360451.0	2375771.0	2211734.0	2328595.0	2201182.0	2272149.0	1459317.0	1662435.0	1985245.0	1408261.0	1135223.0	2297557.0	2088616.0	1184417.0	2330577.0	2252060.0	1694052.0	1321397.0	2254537.0	2245402.0	1858376.0	1565103.0	2053023.0	2266549.0	2084821.0	1496758.0	2025544.0	909963.0	1929238.0	1660095.0	2346002.0	1514599.0	1584863.0	1377290.0	1737102.0
VogtmannE_2016__MMRS57569834ST-27-0-0__bin.9	1125615.0	1077357.0	2121371.0	2437592.0	1720447.0	1512620.0	2027934.0	1870341.0	1903936.0	1221205.0	1965505.0	2085009.0	1695063.0	1292856.0	2087917.0	2097161.0	1966654.0	2081664.0	2212098.0	2049367.0	1329113.0	1523134.0	1779986.0	1270478.0	1035643.0	2217353.0	1870427.0	1131527.0	2239550.0	2172288.0	1524240.0	1178624.0	2029432.0	1996254.0	1623683.0	1354416.0	1844737.0	2026912.0	1875978.0	1381470.0	1801553.0	875075.0	1880676.0	1482249.0	2104015.0	1369752.0	1454469.0	1269148.0	1787219.0
QinJ_2012__T2D-068__bin.13	881709.0	872964.0	1899490.0	1720447.0	2137766.0	1525198.0	1882974.0	1667806.0	1824290.0	984902.0	1798443.0	1955181.0	1441327.0	1253601.0	2014331.0	1939355.0	1872198.0	1941642.0	1850762.0	1931953.0	1099485.0	1433988.0	1750668.0	1255955.0	806255.0	1910706.0	1762698.0	873754.0	1910639.0	1864617.0	1496325.0	1151779.0	1850783.0	1866652.0	1640996.0	1350900.0	1632270.0	1934899.0	1753294.0	1138339.0	1671926.0	631626.0	1667453.0	1502303.0	1913388.0	1374292.0	1369918.0	1012559.0	1378463.0
LiJ_2017__H3M515935__bin.40	590138.0	595431.0	1717669.0	1512620.0	1525198.0	1919313.0	1661114.0	1422723.0	1582790.0	696496.0	1597646.0	1736396.0	1192288.0	1155821.0	1730789.0	1736032.0	1663265.0	1726895.0	1680519.0	1683009.0	828537.0	1258588.0	1486849.0	1207544.0	532230.0	1664321.0	1553409.0	572755.0	1692963.0	1641038.0	1367831.0	1028546.0	1675652.0	1657064.0	1659795.0	1237582.0	1410554.0	1736895.0	1589410.0	899421.0	1513307.0	335688.0	1466090.0	1435019.0	1719503.0	1258975.0	1233426.0	742077.0	1151786.0
BackhedF_2015__SID26_12M__bin.39	1234547.0	1147117.0	2307139.0	2027934.0	1882974.0	1661114.0	2544215.0	1993110.0	2095540.0	1284982.0	2162267.0	2306596.0	1803241.0	1418852.0	2294613.0	2358940.0	2175598.0	2338883.0	2160949.0	2238467.0	1436831.0	1629623.0	1944373.0	1399199.0	1124019.0	2241995.0	2087826.0	1180798.0	2278772.0	2233361.0	1665166.0	1312498.0	2212379.0	2186969.0	1802365.0	1516461.0	2034473.0	2198914.0	2018585.0	1488923.0	1964999.0	914451.0	1902879.0	1634933.0	2302324.0	1478483.0	1552279.0	1350137.0	1690220.0
LiJ_2017__H1M513738__bin.10	1235627.0	1217968.0	2085185.0	1870341.0	1667806.0	1422723.0	1993110.0	2336477.0	1888083.0	1304213.0	1918979.0	2059515.0	1860656.0	1196636.0	2122517.0	2056793.0	1919412.0	2029348.0	1932357.0	2005898.0	1505995.0	1399000.0	1707575.0	1167672.0	1130073.0	2066506.0	1810979.0	1203500.0	2050896.0	1970187.0	1439991.0	1080933.0	1990521.0	1980402.0	1598770.0	1227418.0	1937874.0	1998251.0	1809982.0	1528105.0	1695050.0	922546.0	1687244.0	1348762.0	2033122.0	1238496.0	1348004.0	1390842.0	1760253.0
LiJ_2014__V1.FI35__bin.2	1081513.0	1046510.0	2132834.0	1903936.0	1824290.0	1582790.0	2095540.0	1888083.0	2294404.0	1155309.0	1999301.0	2158079.0	1653896.0	1362847.0	2156158.0	2133746.0	2033110.0	2122235.0	2007132.0	2109008.0	1327685.0	1563483.0	1873520.0	1327627.0	980696.0	2086528.0	1915172.0	1058902.0	2105123.0	2044457.0	1597113.0	1216360.0	2081542.0	2061772.0	1733362.0	1413631.0	1851990.0	2100118.0	1899902.0	1357580.0	1844264.0	804082.0	1780806.0	1543833.0	2131673.0	1444203.0	1482751.0	1229890.0	1603508.0
LiJ_2014__V1.FI18__bin.20	1164491.0	1135965.0	1279649.0	1221205.0	984902.0	696496.0	1284982.0	1304213.0	1155309.0	1438861.0	1173049.0	1302986.0	1342155.0	675792.0	1332015.0	1285352.0	1180083.0	1290990.0	1212084.0	1252062.0	1188407.0	863967.0	1044459.0	605238.0	1061864.0	1262782.0	1140800.0	1264171.0	1250174.0	1210421.0	803132.0	634076.0	1278801.0	1172780.0	842324.0	680059.0	1309894.0	1221280.0	1018897.0	1162247.0	981747.0	925697.0	998099.0	649993.0	1297506.0	704197.0	788348.0	1329448.0	1245412.0
