	HeQ_2017__SZAXPI029466-158__bin.31	HeQ_2017__SZAXPI029601-32__bin.4	LiJ_2017__H3M415117__bin.20	VogtmannE_2016__MMRS57569834ST-27-0-0__bin.9	QinJ_2012__T2D-068__bin.13	LiJ_2017__H3M515935__bin.40	BackhedF_2015__SID26_12M__bin.39	LiJ_2017__H1M513738__bin.10	LiJ_2014__V1.FI35__bin.2	LiJ_2014__V1.FI18__bin.20	LeChatelierE_2013__MH0131__bin.71	VogtmannE_2016__MMRS95674036ST-27-0-0__bin.11	HeQ_2017__SZAXPI029486-84__bin.7	QinJ_2012__CON-039__bin.30	YuJ_2015__SZAXPI015228-14__bin.71	BackhedF_2015__SID229_12M__bin.11	WenC_2017__N030__bin.20	NielsenHB_2014__V1_CD17_0__bin.21	LoombaR_2017__SID1049_baw__bin.51	HeQ_2017__SZAXPI029602-33__bin.13	YuJ_2015__SZAXPI015219-129__bin.25	LiJ_2017__H2M413915__bin.4	QinJ_2012__CON-065__bin.52	QinJ_2012__NOM014__bin.9	QinJ_2012__CON-008__bin.32	BackhedF_2015__SID546_12M__bin.16	QinJ_2012__NOM004__bin.3	LiJ_2017__H3M518116__bin.33	LeChatelierE_2013__MH0088__bin.28	NielsenHB_2014__MH0088__bin.26	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.10	WenC_2017__RA082__bin.7	HeQ_2017__SZAXPI029499-101__bin.44	QinN_2014__HD-45__bin.29	YuJ_2015__SZAXPI003422-11__bin.27	LoombaR_2017__SID5630_kod__bin.9	HeQ_2017__RSZAXPI003107-147__bin.9	HeQ_2017__SZAXPI029552-169__bin.11	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.33	NielsenHB_2014__V1_CD17_4__bin.54	XieH_2016__YSZC12003_35630__bin.12	HeQ_2017__SZAXPI029574-89__bin.29	BackhedF_2015__SID608_M__bin.38	QinJ_2012__T2D-102__bin.53	ChengpingW_2017__AS111raw__bin.2	ChengpingW_2017__AS15raw__bin.53	LiJ_2017__H1M512855__bin.10	HeQ_2017__RSZAXPI003102-140__bin.29	LeChatelierE_2013__MH0444__bin.45
HeQ_2017__SZAXPI029466-158__bin.31	0.0	10855.0	10519.0	33251.0	8407.0	5252.0	13241.0	11576.0	10732.0	8889.0	11792.0	8609.0	11497.0	5857.0	9980.0	13798.0	11677.0	12629.0	31849.0	10599.0	11665.0	7722.0	7075.0	5374.0	51.0	33855.0	13123.0	9064.0	33667.0	32878.0	8022.0	8743.0	11326.0	12004.0	7113.0	7258.0	402.0	9735.0	9275.0	9999.0	13639.0	7570.0	26730.0	4796.0	11673.0	4711.0	7192.0	10518.0	33368.0
HeQ_2017__SZAXPI029601-32__bin.4	10855.0	0.0	11472.0	32936.0	10882.0	5526.0	11203.0	11594.0	9935.0	11445.0	8861.0	14049.0	13496.0	7498.0	16186.0	10191.0	10472.0	8824.0	31754.0	14721.0	10593.0	6448.0	12217.0	5859.0	11333.0	35041.0	10342.0	10582.0	34485.0	34543.0	6584.0	6927.0	9240.0	10672.0	10344.0	7059.0	12382.0	13437.0	6320.0	7477.0	9248.0	6522.0	27972.0	5212.0	10855.0	6048.0	5350.0	13975.0	31754.0
LiJ_2017__H3M415117__bin.20	10519.0	11472.0	0.0	63508.0	20374.0	14414.0	22887.0	17424.0	19121.0	11926.0	18634.0	22067.0	17678.0	15972.0	24856.0	21210.0	21787.0	19703.0	64112.0	25523.0	15399.0	13352.0	20891.0	14015.0	9885.0	66319.0	20525.0	11208.0	68514.0	66787.0	14432.0	15598.0	19859.0	22294.0	20077.0	8770.0	18420.0	25468.0	15604.0	11533.0	20184.0	7563.0	58371.0	13474.0	23109.0	14132.0	13122.0	15738.0	50994.0
VogtmannE_2016__MMRS57569834ST-27-0-0__bin.9	33251.0	32936.0	63508.0	0.0	56281.0	47943.0	61520.0	56086.0	60833.0	37253.0	58943.0	65635.0	53884.0	41098.0	65631.0	65523.0	61049.0	64635.0	22687.0	65219.0	40011.0	44382.0	58353.0	41437.0	31229.0	30212.0	58709.0	34213.0	30303.0	29751.0	49553.0	40719.0	64038.0	60829.0	52383.0	39856.0	58619.0	63869.0	54241.0	42570.0	55585.0	24816.0	24355.0	46022.0	62742.0	43304.0	42327.0	38540.0	14965.0
QinJ_2012__T2D-068__bin.13	8407.0	10882.0	20374.0	56281.0	0.0	16209.0	22082.0	18132.0	20754.0	6176.0	21384.0	19072.0	14305.0	14871.0	20536.0	22680.0	20335.0	22046.0	58524.0	22881.0	12782.0	14508.0	17862.0	13486.0	8079.0	60170.0	22199.0	5790.0	60961.0	59516.0	17905.0	16728.0	20925.0	22169.0	14702.0	13671.0	15134.0	19224.0	18370.0	12668.0	22132.0	6540.0	53585.0	16202.0	21073.0	8554.0	14225.0	12126.0	44405.0
LiJ_2017__H3M515935__bin.40	5252.0	5526.0	14414.0	47943.0	16209.0	0.0	15763.0	11437.0	12829.0	7438.0	13556.0	17558.0	12834.0	13025.0	19444.0	14147.0	16084.0	12583.0	52441.0	19718.0	8277.0	9500.0	16191.0	12126.0	4961.0	50285.0	13624.0	6121.0	51386.0	49749.0	10994.0	10530.0	13894.0	14897.0	19716.0	12466.0	13971.0	18590.0	10396.0	6372.0	14520.0	3150.0	45117.0	10998.0	16498.0	12741.0	9577.0	8276.0	36700.0
BackhedF_2015__SID26_12M__bin.39	13241.0	11203.0	22887.0	61520.0	22082.0	15763.0	0.0	17939.0	18836.0	13489.0	18054.0	22202.0	20300.0	16859.0	27738.0	22638.0	21485.0	21602.0	63765.0	28773.0	14224.0	14786.0	21635.0	13252.0	12498.0	64922.0	22784.0	12457.0	66635.0	65196.0	16869.0	15246.0	19661.0	21903.0	23754.0	16595.0	22152.0	25824.0	15886.0	13740.0	19961.0	8809.0	57664.0	14870.0	21952.0	16786.0	13247.0	16851.0	49996.0
LiJ_2017__H1M513738__bin.10	11576.0	11594.0	17424.0	56086.0	18132.0	11437.0	17939.0	0.0	16048.0	12387.0	15343.0	19227.0	18871.0	12954.0	23605.0	17354.0	17538.0	16048.0	55968.0	24177.0	12947.0	10187.0	19898.0	11337.0	10681.0	60565.0	18102.0	11386.0	59588.0	57377.0	11224.0	11833.0	16573.0	18085.0	19473.0	11787.0	18206.0	20956.0	11574.0	11198.0	14951.0	7285.0	51478.0	10710.0	17654.0	11388.0	9532.0	16059.0	50710.0
LiJ_2014__V1.FI35__bin.2	10732.0	9935.0	19121.0	60833.0	20754.0	12829.0	18836.0	16048.0	0.0	12387.0	15542.0	20953.0	17429.0	15272.0	25018.0	17431.0	19646.0	16336.0	61771.0	26037.0	13766.0	11820.0	21714.0	13300.0	9421.0	63255.0	17998.0	11620.0	64112.0	62226.0	12843.0	13571.0	16647.0	20190.0	20892.0	15950.0	19049.0	23272.0	13179.0	10685.0	16806.0	7570.0	55761.0	11834.0	20280.0	15663.0	11198.0	15235.0	49936.0
LiJ_2014__V1.FI18__bin.20	8889.0	11445.0	11926.0	37253.0	6176.0	7438.0	13489.0	12387.0	12387.0	0.0	12452.0	10358.0	10342.0	7369.0	11290.0	13378.0	12065.0	12871.0	36202.0	12295.0	11280.0	7979.0	8414.0	6294.0	8621.0	36676.0	13492.0	330.0	36120.0	34809.0	8824.0	8845.0	13916.0	12639.0	6831.0	7563.0	10814.0	10677.0	10065.0	10636.0	13697.0	8263.0	30262.0	5778.0	12820.0	3585.0	7500.0	13902.0	36759.0
