	CosteaPI_2017__SID713A084-11-0-0__bin.68	ZeeviD_2015__PNP_Main_80__bin.38	ZeeviD_2015__PNP_Main_67__bin.56	NielsenHB_2014__O2_UC29_0__bin.43	RaymondF_2016__P13E0__bin.27	XieH_2016__YSZC12003_37797__bin.86	YuJ_2015__SZAXPI003409-8__bin.82	VincentC_2016__MM103.2__bin.7	ZeeviD_2015__PNP_Main_362__bin.20	BritoIL_2016__M2.40.ST__bin.6	LiJ_2014__MH0402__bin.31	ZeeviD_2015__PNP_Main_93__bin.48	ZeeviD_2015__PNP_Main_545__bin.12	BritoIL_2016__M2.3.ST__bin.56	XieH_2016__YSZC12003_37196__bin.27	LeChatelierE_2013__MH0183__bin.57	LiJ_2014__V1.FI04__bin.78	HMP_2012__SRS049959__bin.74	ZeeviD_2015__PNP_Main_418__bin.8	YuJ_2015__SZAXPI003420-4__bin.6	XieH_2016__YSZC12003_37176__bin.33	ZeeviD_2015__PNP_Main_499__bin.24	NielsenHB_2014__V1_UC36_0__bin.54	XieH_2016__YSZC12003_37100__bin.114	XieH_2016__YSZC12003_37138__bin.23	KarlssonFH_2013__S479__bin.12	XieH_2016__YSZC12003_36008__bin.29	HMP_2012__SRS011529__bin.40	ZeeviD_2015__PNP_Main_317__bin.26	ZeeviD_2015__PNP_Main_122__bin.60	ZeeviD_2015__PNP_Main_166__bin.51	ZeeviD_2015__PNP_Main_386__bin.18	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_38__bin.1	ZeeviD_2015__PNP_Main_20__bin.22	LeChatelierE_2013__MH0144__bin.6	ZeeviD_2015__PNP_Main_722__bin.37	ZeeviD_2015__PNP_Main_456__bin.1	LiJ_2014__O2.UC29-1__bin.36	LeChatelierE_2013__MH0313__bin.17	ZellerG_2014__CCIS98832363ST-4-0__bin.77	BritoIL_2016__M2.49.ST__bin.36	ChengpingW_2017__AS78raw__bin.68	ZellerG_2014__CCIS20795251ST-4-0__bin.56	LeChatelierE_2013__MH0151__bin.14	XieH_2016__YSZC12003_37309R1__bin.49	NielsenHB_2014__MH0183__bin.20	NielsenHB_2014__O2_UC58_0__bin.25
CosteaPI_2017__SID713A084-11-0-0__bin.68	1227334.0	792312.0	969703.0	751134.0	970680.0	737903.0	998781.0	930045.0	977589.0	922216.0	974623.0	976235.0	994535.0	970985.0	828528.0	980105.0	904785.0	970464.0	870244.0	974477.0	980194.0	924503.0	466035.0	975441.0	1002505.0	906998.0	957159.0	975865.0	1008908.0	990169.0	887346.0	924348.0	983750.0	868981.0	995596.0	902243.0	962937.0	827600.0	991747.0	993392.0	726964.0	943306.0	660561.0	925492.0	929270.0	1039829.0	957428.0	963282.0
ZeeviD_2015__PNP_Main_80__bin.38	792312.0	966721.0	824992.0	622305.0	829267.0	636479.0	846981.0	767365.0	830885.0	792157.0	822205.0	825836.0	842172.0	841654.0	698860.0	864738.0	781538.0	881920.0	752579.0	854754.0	821897.0	801676.0	395952.0	819612.0	826082.0	747189.0	821418.0	822836.0	826199.0	804674.0	755344.0	776386.0	828561.0	755480.0	841610.0	812308.0	810707.0	700381.0	830497.0	782810.0	645024.0	814722.0	571806.0	788483.0	778469.0	825527.0	847935.0	813849.0
ZeeviD_2015__PNP_Main_67__bin.56	969703.0	824992.0	1181962.0	763281.0	1011239.0	769811.0	1014110.0	952137.0	1058731.0	944976.0	1029438.0	1028210.0	1055023.0	1022043.0	872282.0	1008792.0	937238.0	1000937.0	932852.0	1012825.0	1023914.0	1096278.0	486784.0	998302.0	1023805.0	891361.0	1005531.0	1030359.0	1020698.0	998108.0	964798.0	969494.0	1020506.0	884167.0	1045677.0	963897.0	975498.0	850380.0	1018608.0	985112.0	798661.0	995443.0	673757.0	966665.0	956115.0	1026524.0	992076.0	1002681.0
NielsenHB_2014__O2_UC29_0__bin.43	751134.0	622305.0	763281.0	870838.0	773931.0	570871.0	753910.0	708719.0	760308.0	755710.0	770630.0	762124.0	769667.0	754335.0	678139.0	742559.0	766198.0	739290.0	710267.0	747295.0	751651.0	735614.0	376498.0	753573.0	775928.0	690875.0	739177.0	777541.0	790627.0	786897.0	715295.0	713059.0	774162.0	670170.0	764768.0	698049.0	727650.0	615037.0	895458.0	719594.0	596177.0	753480.0	509526.0	693968.0	721952.0	772583.0	726492.0	764620.0
RaymondF_2016__P13E0__bin.27	970680.0	829267.0	1011239.0	773931.0	1233729.0	769864.0	1026538.0	944491.0	1024078.0	949083.0	1048197.0	1054043.0	1082499.0	1024916.0	847097.0	1016789.0	1011037.0	1014268.0	946163.0	1010847.0	1013537.0	981984.0	490229.0	1003001.0	1045757.0	923189.0	1012184.0	1028598.0	1039015.0	1024658.0	950801.0	988614.0	1038015.0	918807.0	1056102.0	956382.0	980608.0	840095.0	1048184.0	961523.0	746150.0	986954.0	673189.0	981206.0	968037.0	1074557.0	997100.0	1068875.0
XieH_2016__YSZC12003_37797__bin.86	737903.0	636479.0	769811.0	570871.0	769864.0	871507.0	771322.0	700615.0	777650.0	696766.0	786188.0	784401.0	780041.0	766037.0	738017.0	773972.0	727392.0	769100.0	696525.0	787807.0	797598.0	734867.0	295754.0	766283.0	777400.0	666346.0	806170.0	788880.0	790483.0	758103.0	693421.0	766680.0	788293.0	685013.0	787757.0	734300.0	744932.0	630116.0	767623.0	744323.0	577720.0	741387.0	489749.0	709781.0	733266.0	782133.0	767167.0	768830.0
YuJ_2015__SZAXPI003409-8__bin.82	998781.0	846981.0	1014110.0	753910.0	1026538.0	771322.0	1140810.0	926809.0	1009912.0	962054.0	1020230.0	1035182.0	1033701.0	1025796.0	836986.0	1046956.0	933212.0	1045383.0	920623.0	1048573.0	1015633.0	970341.0	481977.0	999633.0	1024745.0	892697.0	1003067.0	1016289.0	1040549.0	1001844.0	930027.0	964691.0	1019304.0	892810.0	1033640.0	977039.0	1011101.0	834068.0	1013829.0	969226.0	741121.0	985985.0	692008.0	952261.0	956923.0	1015704.0	1029743.0	1020997.0
VincentC_2016__MM103.2__bin.7	930045.0	767365.0	952137.0	708719.0	944491.0	700615.0	926809.0	1268424.0	949226.0	885086.0	953313.0	954193.0	949766.0	935899.0	791637.0	934747.0	879905.0	919775.0	863353.0	928575.0	961221.0	917951.0	458572.0	938446.0	961503.0	876447.0	1005575.0	957275.0	964183.0	922879.0	875108.0	909988.0	972097.0	836279.0	1040552.0	884030.0	919486.0	785923.0	954372.0	873940.0	686113.0	919202.0	631725.0	921782.0	916867.0	1006059.0	912023.0	996897.0
ZeeviD_2015__PNP_Main_362__bin.20	977589.0	830885.0	1058731.0	760308.0	1024078.0	777650.0	1009912.0	949226.0	1180348.0	936360.0	1061454.0	1034263.0	1047104.0	1021728.0	859889.0	1019069.0	952435.0	1015852.0	935236.0	1004247.0	1022744.0	1024318.0	498442.0	1016977.0	1041903.0	897355.0	1004596.0	1015318.0	1033788.0	990858.0	963124.0	993880.0	1053446.0	892896.0	1047686.0	958845.0	970004.0	849905.0	1014822.0	985112.0	783983.0	991916.0	673262.0	971817.0	983645.0	1041430.0	1003779.0	1007716.0
BritoIL_2016__M2.40.ST__bin.6	922216.0	792157.0	944976.0	755710.0	949083.0	696766.0	962054.0	885086.0	936360.0	1148339.0	946736.0	960297.0	957855.0	945789.0	779398.0	957500.0	873844.0	942585.0	855076.0	953412.0	956868.0	903283.0	475215.0	919999.0	943703.0	851685.0	922281.0	950329.0	951272.0	959447.0	857595.0	885200.0	948151.0	843243.0	944971.0	885016.0	931821.0	766677.0	955463.0	889254.0	694354.0	939194.0	648939.0	888158.0	869196.0	946922.0	932189.0	928510.0
LiJ_2014__MH0402__bin.31	974623.0	822205.0	1029438.0	770630.0	1048197.0	786188.0	1020230.0	953313.0	1061454.0	946736.0	1163178.0	1045982.0	1036033.0	1022875.0	851518.0	1017169.0	966046.0	1004680.0	938668.0	1004065.0	1013402.0	992726.0	490963.0	1010161.0	1047084.0	904052.0	1008696.0	1019071.0	1037379.0	996307.0	959124.0	976678.0	1053220.0	897554.0	1056538.0	963379.0	973590.0	838134.0	1034957.0	963753.0	762099.0	976827.0	671805.0	965306.0	975252.0	1061350.0	993284.0	1029408.0
ZeeviD_2015__PNP_Main_93__bin.48	976235.0	825836.0	1028210.0	762124.0	1054043.0	784401.0	1035182.0	954193.0	1034263.0	960297.0	1045982.0	1182455.0	1043324.0	1021675.0	858649.0	1014739.0	956348.0	1017239.0	938863.0	1012162.0	1026328.0	989973.0	486797.0	1012905.0	1029825.0	913039.0	1002619.0	1029176.0	1057624.0	1015561.0	946381.0	969924.0	1047288.0	921419.0	1049399.0	953621.0	979069.0	840946.0	1032020.0	979082.0	741358.0	994646.0	672153.0	983485.0	961426.0	1026860.0	995717.0	1028909.0
ZeeviD_2015__PNP_Main_545__bin.12	994535.0	842172.0	1055023.0	769667.0	1082499.0	780041.0	1033701.0	949766.0	1047104.0	957855.0	1036033.0	1043324.0	1239333.0	1046175.0	844994.0	1034054.0	955400.0	1036687.0	937161.0	1017905.0	1034124.0	1024172.0	487012.0	998677.0	1035669.0	901700.0	1020165.0	1058111.0	1045151.0	1070266.0	959000.0	1009985.0	1033285.0	906736.0	1041938.0	970233.0	986955.0	850509.0	1037489.0	981466.0	761085.0	1008722.0	677363.0	976029.0	997358.0	1046112.0	1015285.0	1019655.0
BritoIL_2016__M2.3.ST__bin.56	970985.0	841654.0	1022043.0	754335.0	1024916.0	766037.0	1025796.0	935899.0	1021728.0	945789.0	1022875.0	1021675.0	1046175.0	1257701.0	833060.0	1035708.0	947375.0	1024872.0	927668.0	1024823.0	1029960.0	980795.0	482872.0	993639.0	1033772.0	893643.0	1020911.0	1027473.0	1024832.0	1000560.0	966608.0	954962.0	1035918.0	907798.0	1043863.0	983006.0	988072.0	839590.0	1029159.0	979540.0	763431.0	1049139.0	683353.0	956460.0	971168.0	1036753.0	1018164.0	1018004.0
XieH_2016__YSZC12003_37196__bin.27	828528.0	698860.0	872282.0	678139.0	847097.0	738017.0	836986.0	791637.0	859889.0	779398.0	851518.0	858649.0	844994.0	833060.0	1061704.0	839724.0	809531.0	833596.0	782773.0	849288.0	842178.0	838381.0	336549.0	849424.0	877179.0	751665.0	820597.0	856767.0	885925.0	838464.0	783418.0	822450.0	868790.0	747801.0	873164.0	781502.0	814645.0	700806.0	875889.0	798560.0	644040.0	815005.0	540886.0	784981.0	791989.0	870038.0	818471.0	827040.0
LeChatelierE_2013__MH0183__bin.57	980105.0	864738.0	1008792.0	742559.0	1016789.0	773972.0	1046956.0	934747.0	1019069.0	957500.0	1017169.0	1014739.0	1034054.0	1035708.0	839724.0	1183943.0	935493.0	1067337.0	916701.0	1040920.0	1020586.0	970469.0	472359.0	998086.0	1024170.0	898231.0	1015137.0	1016118.0	1025241.0	990014.0	931268.0	952041.0	1021289.0	886949.0	1024718.0	970756.0	1033299.0	838521.0	1007472.0	966696.0	748669.0	1003849.0	690819.0	951565.0	954599.0	1029030.0	1119862.0	1013351.0
LiJ_2014__V1.FI04__bin.78	904785.0	781538.0	937238.0	766198.0	1011037.0	727392.0	933212.0	879905.0	952435.0	873844.0	966046.0	956348.0	955400.0	947375.0	809531.0	935493.0	1108199.0	934524.0	862924.0	933610.0	932501.0	904186.0	451532.0	937668.0	973156.0	841348.0	929425.0	944151.0	953158.0	919658.0	876552.0	890794.0	959259.0	833383.0	975505.0	880757.0	900507.0	782328.0	973796.0	894549.0	698288.0	909100.0	632091.0	876014.0	896464.0	964430.0	918756.0	975490.0
HMP_2012__SRS049959__bin.74	970464.0	881920.0	1000937.0	739290.0	1014268.0	769100.0	1045383.0	919775.0	1015852.0	942585.0	1004680.0	1017239.0	1036687.0	1024872.0	833596.0	1067337.0	934524.0	1181834.0	912678.0	1031860.0	1004398.0	967699.0	482450.0	992635.0	1013132.0	902012.0	1011292.0	1022270.0	1014952.0	990958.0	929942.0	1005132.0	1020828.0	887618.0	1041294.0	963973.0	1005571.0	827824.0	1007080.0	1008892.0	741037.0	992279.0	679340.0	953184.0	949197.0	1010042.0	1050418.0	1000522.0
ZeeviD_2015__PNP_Main_418__bin.8	870244.0	752579.0	932852.0	710267.0	946163.0	696525.0	920623.0	863353.0	935236.0	855076.0	938668.0	938863.0	937161.0	927668.0	782773.0	916701.0	862924.0	912678.0	1069134.0	905861.0	915406.0	911229.0	436439.0	912124.0	946442.0	810947.0	904940.0	934017.0	928345.0	902260.0	863688.0	875786.0	944701.0	811434.0	963682.0	864669.0	882166.0	766053.0	940230.0	881637.0	708435.0	898112.0	620114.0	867010.0	885040.0	938289.0	900996.0	937476.0
YuJ_2015__SZAXPI003420-4__bin.6	974477.0	854754.0	1012825.0	747295.0	1010847.0	787807.0	1048573.0	928575.0	1004247.0	953412.0	1004065.0	1012162.0	1017905.0	1024823.0	849288.0	1040920.0	933610.0	1031860.0	905861.0	1203218.0	997774.0	974554.0	477272.0	996177.0	1016171.0	891541.0	1032556.0	1014341.0	1019715.0	988213.0	921653.0	940990.0	1015418.0	890508.0	1013624.0	967543.0	1014298.0	833476.0	1017442.0	959127.0	734939.0	988793.0	683881.0	930202.0	948840.0	1053248.0	1023556.0	988218.0
