	CosteaPI_2017__SID713A084-11-0-0__bin.68	ZeeviD_2015__PNP_Main_80__bin.38	ZeeviD_2015__PNP_Main_67__bin.56	NielsenHB_2014__O2_UC29_0__bin.43	RaymondF_2016__P13E0__bin.27	XieH_2016__YSZC12003_37797__bin.86	YuJ_2015__SZAXPI003409-8__bin.82	VincentC_2016__MM103.2__bin.7	ZeeviD_2015__PNP_Main_362__bin.20	BritoIL_2016__M2.40.ST__bin.6	LiJ_2014__MH0402__bin.31	ZeeviD_2015__PNP_Main_93__bin.48	ZeeviD_2015__PNP_Main_545__bin.12	BritoIL_2016__M2.3.ST__bin.56	XieH_2016__YSZC12003_37196__bin.27	LeChatelierE_2013__MH0183__bin.57	LiJ_2014__V1.FI04__bin.78	HMP_2012__SRS049959__bin.74	ZeeviD_2015__PNP_Main_418__bin.8	YuJ_2015__SZAXPI003420-4__bin.6	XieH_2016__YSZC12003_37176__bin.33	ZeeviD_2015__PNP_Main_499__bin.24	NielsenHB_2014__V1_UC36_0__bin.54	XieH_2016__YSZC12003_37100__bin.114	XieH_2016__YSZC12003_37138__bin.23	KarlssonFH_2013__S479__bin.12	XieH_2016__YSZC12003_36008__bin.29	HMP_2012__SRS011529__bin.40	ZeeviD_2015__PNP_Main_317__bin.26	ZeeviD_2015__PNP_Main_122__bin.60	ZeeviD_2015__PNP_Main_166__bin.51	ZeeviD_2015__PNP_Main_386__bin.18	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.70	ZeeviD_2015__PNP_Main_38__bin.1	ZeeviD_2015__PNP_Main_20__bin.22	LeChatelierE_2013__MH0144__bin.6	ZeeviD_2015__PNP_Main_722__bin.37	ZeeviD_2015__PNP_Main_456__bin.1	LiJ_2014__O2.UC29-1__bin.36	LeChatelierE_2013__MH0313__bin.17	ZellerG_2014__CCIS98832363ST-4-0__bin.77	BritoIL_2016__M2.49.ST__bin.36	ChengpingW_2017__AS78raw__bin.68	ZellerG_2014__CCIS20795251ST-4-0__bin.56	LeChatelierE_2013__MH0151__bin.14	XieH_2016__YSZC12003_37309R1__bin.49	NielsenHB_2014__MH0183__bin.20	NielsenHB_2014__O2_UC58_0__bin.25
CosteaPI_2017__SID713A084-11-0-0__bin.68	0.0	35727.0	39773.0	29805.0	40485.0	33704.0	42492.0	36677.0	39444.0	39262.0	40521.0	39929.0	40368.0	41698.0	31584.0	41530.0	36700.0	40869.0	36382.0	42072.0	40302.0	38133.0	19341.0	38774.0	39832.0	36901.0	41063.0	39893.0	39847.0	39412.0	34605.0	40127.0	41230.0	36817.0	40584.0	39547.0	42025.0	33061.0	40534.0	27702.0	29445.0	39231.0	26978.0	37372.0	38474.0	39949.0	41065.0	40757.0
ZeeviD_2015__PNP_Main_80__bin.38	35727.0	0.0	19178.0	13925.0	17913.0	14096.0	11980.0	15941.0	19013.0	15721.0	17235.0	18458.0	18512.0	18367.0	17567.0	12904.0	17225.0	8447.0	15638.0	14096.0	17391.0	18838.0	8476.0	19891.0	17895.0	15525.0	17475.0	19048.0	18176.0	17905.0	14875.0	16716.0	16659.0	15223.0	19984.0	12676.0	13009.0	15467.0	17766.0	38140.0	14663.0	17964.0	8152.0	16472.0	15464.0	17160.0	12308.0	17322.0
ZeeviD_2015__PNP_Main_67__bin.56	39773.0	19178.0	0.0	14631.0	18169.0	17565.0	24574.0	19162.0	14938.0	22597.0	18410.0	20253.0	18040.0	23316.0	14918.0	25491.0	17537.0	23907.0	17165.0	25113.0	22596.0	1382.0	8378.0	22819.0	19508.0	16707.0	22142.0	21307.0	19728.0	19195.0	13617.0	20449.0	17968.0	17308.0	20210.0	23389.0	23505.0	14500.0	20340.0	47181.0	8351.0	22323.0	16056.0	17177.0	17394.0	19940.0	24935.0	18873.0
NielsenHB_2014__O2_UC29_0__bin.43	29805.0	13925.0	14631.0	0.0	12508.0	12782.0	17284.0	13640.0	14615.0	17506.0	14380.0	15793.0	15968.0	16811.0	13812.0	17688.0	12442.0	17257.0	13194.0	17454.0	16239.0	14176.0	6280.0	18330.0	15788.0	13860.0	15855.0	16607.0	15904.0	15943.0	12303.0	15578.0	14578.0	13391.0	16392.0	16358.0	16892.0	12998.0	354.0	33927.0	10809.0	16399.0	11314.0	12262.0	14159.0	14793.0	17279.0	11807.0
RaymondF_2016__P13E0__bin.27	40485.0	17913.0	18169.0	12508.0	0.0	16410.0	22575.0	16975.0	18469.0	21270.0	16819.0	19888.0	18994.0	21522.0	18149.0	23199.0	5387.0	21923.0	15604.0	22625.0	20278.0	18222.0	8423.0	22015.0	20066.0	15010.0	21033.0	21740.0	20739.0	18319.0	14976.0	19581.0	18654.0	15483.0	20422.0	21286.0	21747.0	15622.0	16836.0	45905.0	14318.0	20942.0	14033.0	15417.0	16694.0	18722.0	22483.0	15040.0
XieH_2016__YSZC12003_37797__bin.86	33704.0	14096.0	17565.0	12782.0	16410.0	0.0	18670.0	14669.0	17219.0	17053.0	15610.0	17534.0	15946.0	18366.0	17255.0	19246.0	15495.0	18028.0	14003.0	18435.0	16591.0	16162.0	6308.0	18404.0	16837.0	13891.0	17121.0	18217.0	16630.0	16398.0	12497.0	14498.0	16009.0	13170.0	18084.0	18065.0	18221.0	13318.0	16766.0	36594.0	12972.0	17953.0	11063.0	14370.0	13372.0	16207.0	19005.0	15588.0
YuJ_2015__SZAXPI003409-8__bin.82	42492.0	11980.0	24574.0	17284.0	22575.0	18670.0	0.0	20735.0	23679.0	18271.0	20794.0	22800.0	22790.0	22947.0	21374.0	15117.0	20480.0	15537.0	19711.0	14073.0	23444.0	23349.0	10350.0	26049.0	24073.0	18528.0	21948.0	24145.0	23467.0	22224.0	18774.0	23469.0	21433.0	18579.0	24644.0	14600.0	14766.0	18790.0	23202.0	45717.0	17585.0	21603.0	10390.0	20759.0	20412.0	23518.0	14752.0	22197.0
VincentC_2016__MM103.2__bin.7	36677.0	15941.0	19162.0	13640.0	16975.0	14669.0	20735.0	0.0	18418.0	18950.0	15904.0	17945.0	18416.0	19102.0	17009.0	20775.0	16166.0	19723.0	15540.0	21138.0	19039.0	18962.0	8043.0	20376.0	18557.0	15320.0	19639.0	18250.0	18389.0	17224.0	14551.0	18321.0	16734.0	15126.0	18432.0	19064.0	20939.0	14595.0	17922.0	40003.0	13343.0	19682.0	13447.0	16589.0	17240.0	18641.0	20346.0	17661.0
ZeeviD_2015__PNP_Main_362__bin.20	39444.0	19013.0	14938.0	14615.0	18469.0	17219.0	23679.0	18418.0	0.0	22025.0	16297.0	20549.0	19913.0	23272.0	16548.0	24486.0	18257.0	23116.0	16070.0	23779.0	22639.0	15133.0	8818.0	22348.0	20027.0	16522.0	22070.0	22444.0	20268.0	19585.0	15150.0	19744.0	18373.0	17255.0	20792.0	23122.0	22811.0	15256.0	19613.0	46732.0	10099.0	22403.0	15497.0	17869.0	18587.0	18926.0	24003.0	18468.0
BritoIL_2016__M2.40.ST__bin.6	39262.0	15721.0	22597.0	17506.0	21270.0	17053.0	18271.0	18950.0	22025.0	0.0	20460.0	21546.0	21855.0	20518.0	20261.0	18677.0	19805.0	18698.0	18877.0	19540.0	22034.0	21625.0	9468.0	23936.0	23255.0	18076.0	20076.0	22583.0	22534.0	21472.0	17257.0	21160.0	20700.0	18363.0	23562.0	17131.0	17546.0	17024.0	21869.0	41573.0	16190.0	20890.0	11609.0	18607.0	18425.0	21801.0	18087.0	20274.0
LiJ_2014__MH0402__bin.31	40521.0	17235.0	18410.0	14380.0	16819.0	15610.0	20794.0	15904.0	16297.0	20460.0	0.0	18295.0	18418.0	21219.0	17734.0	21810.0	16149.0	20962.0	14449.0	21805.0	19627.0	18388.0	8304.0	20138.0	19352.0	14301.0	20142.0	20737.0	19615.0	17774.0	14791.0	18532.0	16578.0	15436.0	19623.0	20692.0	20798.0	15122.0	19026.0	45422.0	13708.0	20349.0	14196.0	15544.0	16043.0	17578.0	21389.0	17030.0
ZeeviD_2015__PNP_Main_93__bin.48	39929.0	18458.0	20253.0	15793.0	19888.0	17534.0	22800.0	17945.0	20549.0	21546.0	18295.0	0.0	19497.0	22532.0	19355.0	23466.0	18431.0	22795.0	17980.0	23637.0	21423.0	19450.0	8897.0	22852.0	20964.0	17085.0	21792.0	20118.0	20698.0	18872.0	16342.0	21136.0	18122.0	18189.0	21277.0	21586.0	22179.0	16325.0	20433.0	45111.0	14821.0	21630.0	14814.0	18181.0	18277.0	20420.0	23089.0	18722.0
ZeeviD_2015__PNP_Main_545__bin.12	40368.0	18512.0	18040.0	15968.0	18994.0	15946.0	22790.0	18416.0	19913.0	21855.0	18418.0	19497.0	0.0	21944.0	19473.0	23060.0	16858.0	21828.0	17077.0	22949.0	20819.0	17760.0	8771.0	22336.0	20547.0	16443.0	20468.0	20152.0	20808.0	6778.0	14907.0	20631.0	18506.0	16643.0	20868.0	21926.0	21882.0	15637.0	20632.0	46187.0	14630.0	21556.0	14216.0	18130.0	16542.0	20021.0	22547.0	18244.0
BritoIL_2016__M2.3.ST__bin.56	41698.0	18367.0	23316.0	16811.0	21522.0	18366.0	22947.0	19102.0	23272.0	20518.0	21219.0	22532.0	21944.0	0.0	21322.0	23140.0	19361.0	23483.0	19757.0	23074.0	22442.0	22241.0	9792.0	24424.0	21935.0	19550.0	19544.0	22688.0	23756.0	21441.0	18379.0	21525.0	21237.0	18984.0	24668.0	21268.0	21458.0	17422.0	22215.0	44706.0	17270.0	11882.0	13916.0	21061.0	20091.0	22442.0	22683.0	21182.0
XieH_2016__YSZC12003_37196__bin.27	31584.0	17567.0	14918.0	13812.0	18149.0	17255.0	21374.0	17009.0	16548.0	20261.0	17734.0	19355.0	19473.0	21322.0	0.0	21841.0	16361.0	20698.0	15611.0	22068.0	20264.0	14341.0	5924.0	20108.0	17913.0	16030.0	19501.0	20631.0	17626.0	19923.0	13937.0	18796.0	18278.0	15752.0	16758.0	20152.0	21670.0	13464.0	17537.0	35357.0	9908.0	19657.0	13275.0	15953.0	17191.0	18907.0	21349.0	17608.0
LeChatelierE_2013__MH0183__bin.57	41530.0	12904.0	25491.0	17688.0	23199.0	19246.0	15117.0	20775.0	24486.0	18677.0	21810.0	23466.0	23060.0	23140.0	21841.0	0.0	20873.0	15865.0	20772.0	17491.0	24074.0	24058.0	9574.0	24843.0	23944.0	19591.0	22046.0	24370.0	24368.0	22179.0	18863.0	23832.0	22090.0	19584.0	25582.0	14014.0	15598.0	19374.0	23298.0	46325.0	18445.0	21430.0	9977.0	20521.0	20216.0	23327.0	22.0	23199.0
LiJ_2014__V1.FI04__bin.78	36700.0	17225.0	17537.0	12442.0	5387.0	15495.0	20480.0	16166.0	18257.0	19805.0	16149.0	18431.0	16858.0	19361.0	16361.0	20873.0	0.0	20261.0	14723.0	20552.0	18476.0	17496.0	7415.0	19709.0	16955.0	14889.0	19351.0	20270.0	18764.0	17136.0	13662.0	18564.0	18076.0	14544.0	17629.0	19709.0	20617.0	13144.0	15214.0	40827.0	13285.0	19090.0	13735.0	14899.0	15177.0	16864.0	20296.0	13589.0
HMP_2012__SRS049959__bin.74	40869.0	8447.0	23907.0	17257.0	21923.0	18028.0	15537.0	19723.0	23116.0	18698.0	20962.0	22795.0	21828.0	23483.0	20698.0	15865.0	20261.0	0.0	19595.0	17307.0	22408.0	23272.0	10043.0	23941.0	23452.0	18798.0	22251.0	23360.0	22644.0	21068.0	18047.0	22925.0	20894.0	18669.0	24739.0	16559.0	16790.0	18289.0	22760.0	44609.0	17691.0	21890.0	10997.0	20225.0	20239.0	22291.0	15415.0	22241.0
ZeeviD_2015__PNP_Main_418__bin.8	36382.0	15638.0	17165.0	13194.0	15604.0	14003.0	19711.0	15540.0	16070.0	18877.0	14449.0	17980.0	17077.0	19757.0	15611.0	20772.0	14723.0	19595.0	0.0	20294.0	17987.0	17188.0	7533.0	18982.0	15166.0	13862.0	19113.0	18206.0	17844.0	16563.0	13525.0	15953.0	15343.0	14098.0	17712.0	18871.0	19190.0	14629.0	16971.0	41118.0	11681.0	19209.0	13068.0	15512.0	14800.0	15948.0	20374.0	14090.0
YuJ_2015__SZAXPI003420-4__bin.6	42072.0	14096.0	25113.0	17454.0	22625.0	18435.0	14073.0	21138.0	23779.0	19540.0	21805.0	23637.0	22949.0	23074.0	22068.0	17491.0	20552.0	17307.0	20294.0	0.0	23717.0	23629.0	10814.0	25085.0	24104.0	20126.0	22146.0	24057.0	23820.0	22884.0	18450.0	23086.0	21410.0	19796.0	25551.0	16040.0	17268.0	19570.0	23269.0	44720.0	18285.0	21675.0	11362.0	20444.0	21043.0	24640.0	16858.0	21999.0
XieH_2016__YSZC12003_37176__bin.33	40302.0	17391.0	22596.0	16239.0	20278.0	16591.0	23444.0	19039.0	22639.0	22034.0	19627.0	21423.0	20819.0	22442.0	20264.0	24074.0	18476.0	22408.0	17987.0	23717.0	0.0	21274.0	9355.0	22734.0	20298.0	16582.0	20747.0	22133.0	21307.0	19540.0	16827.0	20217.0	19587.0	17066.0	24188.0	21136.0	22927.0	16658.0	21567.0	44642.0	15738.0	22192.0	14307.0	19596.0	17995.0	21232.0	23400.0	19912.0
ZeeviD_2015__PNP_Main_499__bin.24	38133.0	18838.0	1382.0	14176.0	18222.0	16162.0	23349.0	18962.0	15133.0	21625.0	18388.0	19450.0	17760.0	22241.0	14341.0	24058.0	17496.0	23272.0	17188.0	23629.0	21274.0	0.0	8751.0	22696.0	19238.0	16770.0	21595.0	20872.0	19598.0	18819.0	13609.0	20270.0	18791.0	17267.0	19860.0	23325.0	22356.0	13766.0	19053.0	44906.0	8320.0	22084.0	14974.0	17016.0	17499.0	19218.0	23606.0	18347.0
NielsenHB_2014__V1_UC36_0__bin.54	19341.0	8476.0	8378.0	6280.0	8423.0	6308.0	10350.0	8043.0	8818.0	9468.0	8304.0	8897.0	8771.0	9792.0	5924.0	9574.0	7415.0	10043.0	7533.0	10814.0	9355.0	8751.0	0.0	9204.0	8623.0	7962.0	9791.0	9499.0	9736.0	8220.0	7144.0	10212.0	8288.0	8502.0	9131.0	9660.0	10649.0	6653.0	8351.0	22349.0	6107.0	9829.0	7764.0	7838.0	8747.0	9114.0	9473.0	7577.0
XieH_2016__YSZC12003_37100__bin.114	38774.0	19891.0	22819.0	18330.0	22015.0	18404.0	26049.0	20376.0	22348.0	23936.0	20138.0	22852.0	22336.0	24424.0	20108.0	24843.0	19709.0	23941.0	18982.0	25085.0	22734.0	22696.0	9204.0	0.0	20981.0	17947.0	23458.0	23553.0	23556.0	22182.0	17653.0	23846.0	22189.0	17516.0	23761.0	23823.0	24819.0	17842.0	22953.0	41857.0	17520.0	24069.0	15469.0	19387.0	19687.0	21157.0	24150.0	21058.0
XieH_2016__YSZC12003_37138__bin.23	39832.0	17895.0	19508.0	15788.0	20066.0	16837.0	24073.0	18557.0	20027.0	23255.0	19352.0	20964.0	20547.0	21935.0	17913.0	23944.0	16955.0	23452.0	15166.0	24104.0	20298.0	19238.0	8623.0	20981.0	0.0	16898.0	22008.0	22580.0	21059.0	20534.0	15686.0	20564.0	18973.0	16627.0	19355.0	22095.0	24017.0	15135.0	20720.0	43903.0	12077.0	22030.0	15522.0	17357.0	18548.0	18126.0	23272.0	18521.0
KarlssonFH_2013__S479__bin.12	36901.0	15525.0	16707.0	13860.0	15010.0	13891.0	18528.0	15320.0	16522.0	18076.0	14301.0	17085.0	16443.0	19550.0	16030.0	19591.0	14889.0	18798.0	13862.0	20126.0	16582.0	16770.0	7962.0	17947.0	16898.0	0.0	17828.0	18309.0	17535.0	16389.0	12976.0	17059.0	15229.0	14220.0	17565.0	17860.0	18809.0	14077.0	17709.0	40375.0	13309.0	18390.0	13162.0	14140.0	14659.0	16823.0	19248.0	14981.0
XieH_2016__YSZC12003_36008__bin.29	41063.0	17475.0	22142.0	15855.0	21033.0	17121.0	21948.0	19639.0	22070.0	20076.0	20142.0	21792.0	20468.0	19544.0	19501.0	22046.0	19351.0	22251.0	19113.0	22146.0	20747.0	21595.0	9791.0	23458.0	22008.0	17828.0	0.0	21727.0	22685.0	20648.0	16536.0	21055.0	20384.0	18308.0	24600.0	20246.0	21269.0	16907.0	21357.0	44755.0	15667.0	18721.0	13661.0	19230.0	19851.0	21723.0	21674.0	21004.0
HMP_2012__SRS011529__bin.40	39893.0	19048.0	21307.0	16607.0	21740.0	18217.0	24145.0	18250.0	22444.0	22583.0	20737.0	20118.0	20152.0	22688.0	20631.0	24370.0	20270.0	23360.0	18206.0	24057.0	22133.0	20872.0	9499.0	23553.0	22580.0	18309.0	21727.0	0.0	23215.0	19177.0	16603.0	22857.0	20252.0	18092.0	23640.0	23598.0	23946.0	18112.0	21273.0	44943.0	16270.0	21741.0	15550.0	19384.0	20012.0	22142.0	23681.0	20373.0
ZeeviD_2015__PNP_Main_317__bin.26	39847.0	18176.0	19728.0	15904.0	20739.0	16630.0	23467.0	18389.0	20268.0	22534.0	19615.0	20698.0	20808.0	23756.0	17626.0	24368.0	18764.0	22644.0	17844.0	23820.0	21307.0	19598.0	9736.0	23556.0	21059.0	17535.0	22685.0	23215.0	0.0	20452.0	15935.0	22444.0	19279.0	17538.0	22938.0	22654.0	23397.0	16635.0	20961.0	44424.0	14493.0	22754.0	15827.0	18102.0	18488.0	20794.0	24092.0	19891.0
ZeeviD_2015__PNP_Main_122__bin.60	39412.0	17905.0	19195.0	15943.0	18319.0	16398.0	22224.0	17224.0	19585.0	21472.0	17774.0	18872.0	6778.0	21441.0	19923.0	22179.0	17136.0	21068.0	16563.0	22884.0	19540.0	18819.0	8220.0	22182.0	20534.0	16389.0	20648.0	19177.0	20452.0	0.0	15339.0	20538.0	18078.0	16145.0	21271.0	21101.0	22448.0	16640.0	20350.0	44655.0	14968.0	20868.0	14400.0	17017.0	16852.0	19464.0	21710.0	17381.0
