	XieH_2016__YSZC12003_37209__bin.2	QinJ_2012__NLM032__bin.4	ZeeviD_2015__PNP_Main_515__bin.19	ZeeviD_2015__PNP_Main_625__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.43	QinJ_2012__NOM007__bin.16	BritoIL_2016__M1.52.ST__bin.24	XieH_2016__YSZC12003_37136__bin.27	FengQ_2015__SID31282__bin.48	BritoIL_2016__M2.60.ST__bin.64	XieH_2016__YSZC12003_36019__bin.1	BritoIL_2016__M1.25.ST__bin.89	QinJ_2012__T2D-043__bin.19	XieH_2016__YSZC12003_37205__bin.56	XieH_2016__YSZC12003_37798__bin.29	BritoIL_2016__W3.19.ST__bin.49	XieH_2016__YSZC12003_36051__bin.40	CM_madagascar__V48_03_2FE__bin.32	XieH_2016__YSZC12003_37265R1__bin.12	XieH_2016__YSZC12003_36702__bin.50	XieH_2016__YSZC12003_37233__bin.26	XieH_2016__YSZC12003_36057__bin.33	NielsenHB_2014__O2_UC37_2__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.101	XieH_2016__YSZC12003_35734__bin.45	LeChatelierE_2013__MH0292__bin.40	HMP_2012__SRS020328__bin.68	BritoIL_2016__W1.26.ST__bin.34	XieH_2016__YSZC12003_35516__bin.8	ZellerG_2014__CCMD46947453ST-21-0__bin.72	ZeeviD_2015__PNP_Main_561__bin.55	LeChatelierE_2013__MH0125__bin.33	ZellerG_2014__CCIS41222843ST-4-0__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.23	NielsenHB_2014__MH0125__bin.43
XieH_2016__YSZC12003_37209__bin.2	1535158.0	1224550.0	1240903.0	715080.0	1200227.0	1225779.0	1215231.0	1180691.0	938250.0	1315172.0	1186593.0	1223999.0	1195625.0	1301887.0	1138576.0	1301952.0	1162117.0	990377.0	1453040.0	1152582.0	1198405.0	998562.0	1211242.0	1295992.0	1217513.0	1197734.0	1203370.0	1271217.0	1201608.0	1222416.0	1268413.0	1213514.0	1053422.0	785057.0	1189765.0
QinJ_2012__NLM032__bin.4	1224550.0	1695280.0	1297514.0	763749.0	1255365.0	1449579.0	1259277.0	1236665.0	1011717.0	1347674.0	1240714.0	1315232.0	1305228.0	1307396.0	1177778.0	1353077.0	1213743.0	1062295.0	1288193.0	1186456.0	1251807.0	1038984.0	1229781.0	1335963.0	1271650.0	1372025.0	1278955.0	1255966.0	1236377.0	1309132.0	1347072.0	1249660.0	1124310.0	858073.0	1224331.0
ZeeviD_2015__PNP_Main_515__bin.19	1240903.0	1297514.0	1591165.0	760162.0	1275005.0	1266216.0	1454849.0	1267901.0	1051312.0	1361435.0	1244675.0	1296004.0	1267651.0	1352950.0	1196041.0	1374677.0	1217146.0	1046321.0	1290705.0	1185919.0	1278878.0	1063094.0	1259436.0	1347688.0	1318076.0	1234945.0	1324192.0	1297700.0	1279617.0	1361278.0	1351778.0	1305410.0	1151479.0	854642.0	1275168.0
ZeeviD_2015__PNP_Main_625__bin.7	715080.0	763749.0	760162.0	1073842.0	724043.0	761058.0	750742.0	716884.0	557563.0	773268.0	730240.0	762279.0	721242.0	747318.0	684374.0	771766.0	710266.0	624614.0	723759.0	689201.0	723378.0	753872.0	694123.0	768466.0	748801.0	721281.0	747229.0	719373.0	713746.0	759445.0	780389.0	733348.0	741207.0	499858.0	722840.0
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.43	1200227.0	1255365.0	1275005.0	724043.0	1555554.0	1228522.0	1247216.0	1174946.0	956828.0	1287100.0	1169619.0	1260463.0	1177584.0	1278565.0	1118251.0	1291404.0	1133588.0	992433.0	1240650.0	1120665.0	1173528.0	986428.0	1180140.0	1499640.0	1228616.0	1174336.0	1200361.0	1224338.0	1198023.0	1231772.0	1274769.0	1202406.0	1050627.0	795684.0	1169678.0
QinJ_2012__NOM007__bin.16	1225779.0	1449579.0	1266216.0	761058.0	1228522.0	1780057.0	1271935.0	1247797.0	1004670.0	1323679.0	1258034.0	1274234.0	1315837.0	1286635.0	1170202.0	1335520.0	1219499.0	1065407.0	1309883.0	1208787.0	1277491.0	1038026.0	1231498.0	1316169.0	1278765.0	1354452.0	1281724.0	1250472.0	1246518.0	1280320.0	1304362.0	1257198.0	1124941.0	828930.0	1236641.0
BritoIL_2016__M1.52.ST__bin.24	1215231.0	1259277.0	1454849.0	750742.0	1247216.0	1271935.0	1554684.0	1297561.0	995653.0	1371948.0	1224716.0	1314525.0	1263907.0	1338597.0	1196964.0	1347718.0	1235055.0	1047083.0	1276184.0	1215437.0	1318710.0	1069898.0	1253686.0	1308407.0	1285214.0	1232184.0	1310531.0	1300233.0	1268217.0	1343787.0	1322458.0	1295852.0	1126237.0	855178.0	1266414.0
XieH_2016__YSZC12003_37136__bin.27	1180691.0	1236665.0	1267901.0	716884.0	1174946.0	1247797.0	1297561.0	1708008.0	1017611.0	1264403.0	1196923.0	1221473.0	1274829.0	1284135.0	1253847.0	1237992.0	1202740.0	1016004.0	1241590.0	1218214.0	1468404.0	1076649.0	1252478.0	1254192.0	1243973.0	1244097.0	1331637.0	1263592.0	1224514.0	1372578.0	1225832.0	1230040.0	1111423.0	839179.0	1210546.0
FengQ_2015__SID31282__bin.48	938250.0	1011717.0	1051312.0	557563.0	956828.0	1004670.0	995653.0	1017611.0	1721547.0	1031773.0	996746.0	988973.0	992495.0	1087857.0	939531.0	1031303.0	929241.0	813358.0	995919.0	947992.0	1014825.0	823528.0	1009254.0	1006082.0	987764.0	964521.0	1035213.0	974937.0	1055108.0	1029993.0	1017352.0	1010986.0	906533.0	654893.0	999524.0
BritoIL_2016__M2.60.ST__bin.64	1315172.0	1347674.0	1361435.0	773268.0	1287100.0	1323679.0	1371948.0	1264403.0	1031773.0	1661210.0	1301220.0	1521485.0	1271059.0	1401075.0	1224543.0	1551216.0	1247227.0	1080728.0	1359833.0	1201882.0	1270109.0	1061686.0	1288495.0	1357239.0	1323404.0	1307230.0	1306145.0	1331729.0	1337433.0	1368063.0	1456592.0	1392141.0	1136303.0	871712.0	1347196.0
XieH_2016__YSZC12003_36019__bin.1	1186593.0	1240714.0	1244675.0	730240.0	1169619.0	1258034.0	1224716.0	1196923.0	996746.0	1301220.0	1490965.0	1257823.0	1213059.0	1277750.0	1155882.0	1310255.0	1179524.0	1014838.0	1213734.0	1146870.0	1213599.0	1014586.0	1238255.0	1249607.0	1243610.0	1189235.0	1192386.0	1226204.0	1250389.0	1224667.0	1291103.0	1228121.0	1079142.0	802424.0	1213878.0
BritoIL_2016__M1.25.ST__bin.89	1223999.0	1315232.0	1296004.0	762279.0	1260463.0	1274234.0	1314525.0	1221473.0	988973.0	1521485.0	1257823.0	1780746.0	1221210.0	1318182.0	1176589.0	1523738.0	1194883.0	1071007.0	1275018.0	1155379.0	1228639.0	1055739.0	1228194.0	1305771.0	1264339.0	1227558.0	1254910.0	1267413.0	1251524.0	1291065.0	1414390.0	1337528.0	1102205.0	849914.0	1312961.0
QinJ_2012__T2D-043__bin.19	1195625.0	1305228.0	1267651.0	721242.0	1177584.0	1315837.0	1263907.0	1274829.0	992495.0	1271059.0	1213059.0	1221210.0	1543318.0	1295541.0	1198932.0	1272576.0	1208293.0	1056770.0	1251398.0	1185155.0	1292055.0	1035796.0	1237844.0	1250843.0	1255219.0	1245803.0	1248466.0	1242889.0	1224501.0	1278461.0	1242434.0	1237738.0	1115918.0	830511.0	1209720.0
XieH_2016__YSZC12003_37205__bin.56	1301887.0	1307396.0	1352950.0	747318.0	1278565.0	1286635.0	1338597.0	1284135.0	1087857.0	1401075.0	1277750.0	1318182.0	1295541.0	1732704.0	1282003.0	1385405.0	1258789.0	1077987.0	1338584.0	1237627.0	1294583.0	1081749.0	1379271.0	1352836.0	1364674.0	1257153.0	1309733.0	1343813.0	1346206.0	1358467.0	1353073.0	1336448.0	1187634.0	861066.0	1310623.0
XieH_2016__YSZC12003_37798__bin.29	1138576.0	1177778.0	1196041.0	684374.0	1118251.0	1170202.0	1196964.0	1253847.0	939531.0	1224543.0	1155882.0	1176589.0	1198932.0	1282003.0	1730924.0	1206929.0	1139702.0	1010832.0	1166850.0	1107366.0	1182514.0	1027726.0	1212565.0	1190258.0	1192818.0	1166926.0	1169762.0	1184516.0	1174704.0	1209676.0	1203002.0	1194820.0	1043989.0	813011.0	1172343.0
BritoIL_2016__W3.19.ST__bin.49	1301952.0	1353077.0	1374677.0	771766.0	1291404.0	1335520.0	1347718.0	1237992.0	1031303.0	1551216.0	1310255.0	1523738.0	1272576.0	1385405.0	1206929.0	1722758.0	1237025.0	1096983.0	1355689.0	1204707.0	1254813.0	1084592.0	1282626.0	1364466.0	1326419.0	1306918.0	1302603.0	1347464.0	1299855.0	1332767.0	1483327.0	1397235.0	1147770.0	862259.0	1369029.0
XieH_2016__YSZC12003_36051__bin.40	1162117.0	1213743.0	1217146.0	710266.0	1133588.0	1219499.0	1235055.0	1202740.0	929241.0	1247227.0	1179524.0	1194883.0	1208293.0	1258789.0	1139702.0	1237025.0	1610479.0	1059627.0	1200564.0	1166169.0	1199813.0	1041579.0	1182339.0	1202366.0	1204888.0	1181903.0	1189132.0	1224986.0	1180047.0	1234802.0	1215943.0	1229087.0	1101578.0	817205.0	1203062.0
CM_madagascar__V48_03_2FE__bin.32	990377.0	1062295.0	1046321.0	624614.0	992433.0	1065407.0	1047083.0	1016004.0	813358.0	1080728.0	1014838.0	1071007.0	1056770.0	1077987.0	1010832.0	1096983.0	1059627.0	1377231.0	1016385.0	961588.0	1028234.0	918076.0	1020418.0	1050061.0	1048417.0	1052950.0	1007190.0	1033869.0	1011915.0	1048405.0	1059016.0	1053980.0	962335.0	729571.0	1030197.0
XieH_2016__YSZC12003_37265R1__bin.12	1453040.0	1288193.0	1290705.0	723759.0	1240650.0	1309883.0	1276184.0	1241590.0	995919.0	1359833.0	1213734.0	1275018.0	1251398.0	1338584.0	1166850.0	1355689.0	1200564.0	1016385.0	1693004.0	1180582.0	1263085.0	1030507.0	1234829.0	1319859.0	1261749.0	1259956.0	1252624.0	1318036.0	1232895.0	1270314.0	1314576.0	1253106.0	1090525.0	827934.0	1231684.0
XieH_2016__YSZC12003_36702__bin.50	1152582.0	1186456.0	1185919.0	689201.0	1120665.0	1208787.0	1215437.0	1218214.0	947992.0	1201882.0	1146870.0	1155379.0	1185155.0	1237627.0	1107366.0	1204707.0	1166169.0	961588.0	1180582.0	1531083.0	1233228.0	989248.0	1149001.0	1207894.0	1182236.0	1175298.0	1202474.0	1185267.0	1166749.0	1223116.0	1174103.0	1179175.0	1043981.0	800745.0	1160353.0
XieH_2016__YSZC12003_37233__bin.26	1198405.0	1251807.0	1278878.0	723378.0	1173528.0	1277491.0	1318710.0	1468404.0	1014825.0	1270109.0	1213599.0	1228639.0	1292055.0	1294583.0	1182514.0	1254813.0	1199813.0	1028234.0	1263085.0	1233228.0	1554266.0	1038509.0	1243662.0	1249645.0	1238798.0	1219738.0	1371304.0	1282058.0	1228686.0	1385790.0	1246669.0	1239103.0	1116806.0	826510.0	1216907.0
XieH_2016__YSZC12003_36057__bin.33	998562.0	1038984.0	1063094.0	753872.0	986428.0	1038026.0	1069898.0	1076649.0	823528.0	1061686.0	1014586.0	1055739.0	1035796.0	1081749.0	1027726.0	1084592.0	1041579.0	918076.0	1030507.0	989248.0	1038509.0	1467660.0	1018187.0	1042145.0	1054453.0	1027118.0	1050035.0	1031358.0	1036383.0	1073219.0	1050876.0	1056204.0	1065591.0	711736.0	1040699.0
NielsenHB_2014__O2_UC37_2__bin.33	1211242.0	1229781.0	1259436.0	694123.0	1180140.0	1231498.0	1253686.0	1252478.0	1009254.0	1288495.0	1238255.0	1228194.0	1237844.0	1379271.0	1212565.0	1282626.0	1182339.0	1020418.0	1234829.0	1149001.0	1243662.0	1018187.0	1650788.0	1263816.0	1217462.0	1166279.0	1218035.0	1253164.0	1295483.0	1255442.0	1248251.0	1238510.0	1077561.0	799268.0	1219585.0
Bengtsson-PalmeJ_2015__TRAVELRES28__bin.101	1295992.0	1335963.0	1347688.0	768466.0	1499640.0	1316169.0	1308407.0	1254192.0	1006082.0	1357239.0	1249607.0	1305771.0	1250843.0	1352836.0	1190258.0	1364466.0	1202366.0	1050061.0	1319859.0	1207894.0	1249645.0	1042145.0	1263816.0	1646250.0	1309016.0	1248784.0	1272600.0	1318572.0	1273640.0	1306418.0	1343304.0	1270462.0	1114586.0	855865.0	1240191.0
XieH_2016__YSZC12003_35734__bin.45	1217513.0	1271650.0	1318076.0	748801.0	1228616.0	1278765.0	1285214.0	1243973.0	987764.0	1323404.0	1243610.0	1264339.0	1255219.0	1364674.0	1192818.0	1326419.0	1204888.0	1048417.0	1261749.0	1182236.0	1238798.0	1054453.0	1217462.0	1309016.0	1624023.0	1234091.0	1289868.0	1259390.0	1261787.0	1317531.0	1312878.0	1284039.0	1162176.0	851684.0	1250456.0
LeChatelierE_2013__MH0292__bin.40	1197734.0	1372025.0	1234945.0	721281.0	1174336.0	1354452.0	1232184.0	1244097.0	964521.0	1307230.0	1189235.0	1227558.0	1245803.0	1257153.0	1166926.0	1306918.0	1181903.0	1052950.0	1259956.0	1175298.0	1219738.0	1027118.0	1166279.0	1248784.0	1234091.0	1684686.0	1219127.0	1219836.0	1189303.0	1257601.0	1263373.0	1217120.0	1072121.0	826947.0	1194550.0
HMP_2012__SRS020328__bin.68	1203370.0	1278955.0	1324192.0	747229.0	1200361.0	1281724.0	1310531.0	1331637.0	1035213.0	1306145.0	1192386.0	1254910.0	1248466.0	1309733.0	1169762.0	1302603.0	1189132.0	1007190.0	1252624.0	1202474.0	1371304.0	1050035.0	1218035.0	1272600.0	1289868.0	1219127.0	1668738.0	1266979.0	1228582.0	1438949.0	1282034.0	1257322.0	1125964.0	834537.0	1228827.0
BritoIL_2016__W1.26.ST__bin.34	1271217.0	1255966.0	1297700.0	719373.0	1224338.0	1250472.0	1300233.0	1263592.0	974937.0	1331729.0	1226204.0	1267413.0	1242889.0	1343813.0	1184516.0	1347464.0	1224986.0	1033869.0	1318036.0	1185267.0	1282058.0	1031358.0	1253164.0	1318572.0	1259390.0	1219836.0	1266979.0	1589994.0	1225331.0	1274742.0	1295532.0	1257022.0	1106981.0	837710.0	1229173.0
XieH_2016__YSZC12003_35516__bin.8	1201608.0	1236377.0	1279617.0	713746.0	1198023.0	1246518.0	1268217.0	1224514.0	1055108.0	1337433.0	1250389.0	1251524.0	1224501.0	1346206.0	1174704.0	1299855.0	1180047.0	1011915.0	1232895.0	1166749.0	1228686.0	1036383.0	1295483.0	1273640.0	1261787.0	1189303.0	1228582.0	1225331.0	1483673.0	1291092.0	1277801.0	1270267.0	1080457.0	817879.0	1254490.0
ZellerG_2014__CCMD46947453ST-21-0__bin.72	1222416.0	1309132.0	1361278.0	759445.0	1231772.0	1280320.0	1343787.0	1372578.0	1029993.0	1368063.0	1224667.0	1291065.0	1278461.0	1358467.0	1209676.0	1332767.0	1234802.0	1048405.0	1270314.0	1223116.0	1385790.0	1073219.0	1255442.0	1306418.0	1317531.0	1257601.0	1438949.0	1274742.0	1291092.0	1798178.0	1316567.0	1298812.0	1152543.0	871452.0	1271355.0
ZeeviD_2015__PNP_Main_561__bin.55	1268413.0	1347072.0	1351778.0	780389.0	1274769.0	1304362.0	1322458.0	1225832.0	1017352.0	1456592.0	1291103.0	1414390.0	1242434.0	1353073.0	1203002.0	1483327.0	1215943.0	1059016.0	1314576.0	1174103.0	1246669.0	1050876.0	1248251.0	1343304.0	1312878.0	1263373.0	1282034.0	1295532.0	1277801.0	1316567.0	1647690.0	1431009.0	1133231.0	852443.0	1395874.0
LeChatelierE_2013__MH0125__bin.33	1213514.0	1249660.0	1305410.0	733348.0	1202406.0	1257198.0	1295852.0	1230040.0	1010986.0	1392141.0	1228121.0	1337528.0	1237738.0	1336448.0	1194820.0	1397235.0	1229087.0	1053980.0	1253106.0	1179175.0	1239103.0	1056204.0	1238510.0	1270462.0	1284039.0	1217120.0	1257322.0	1257022.0	1270267.0	1298812.0	1431009.0	1636552.0	1115657.0	834384.0	1521483.0
ZellerG_2014__CCIS41222843ST-4-0__bin.24	1053422.0	1124310.0	1151479.0	741207.0	1050627.0	1124941.0	1126237.0	1111423.0	906533.0	1136303.0	1079142.0	1102205.0	1115918.0	1187634.0	1043989.0	1147770.0	1101578.0	962335.0	1090525.0	1043981.0	1116806.0	1065591.0	1077561.0	1114586.0	1162176.0	1072121.0	1125964.0	1106981.0	1080457.0	1152543.0	1133231.0	1115657.0	1888086.0	744348.0	1090681.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.23	785057.0	858073.0	854642.0	499858.0	795684.0	828930.0	855178.0	839179.0	654893.0	871712.0	802424.0	849914.0	830511.0	861066.0	813011.0	862259.0	817205.0	729571.0	827934.0	800745.0	826510.0	711736.0	799268.0	855865.0	851684.0	826947.0	834537.0	837710.0	817879.0	871452.0	852443.0	834384.0	744348.0	1001059.0	818688.0
NielsenHB_2014__MH0125__bin.43	1189765.0	1224331.0	1275168.0	722840.0	1169678.0	1236641.0	1266414.0	1210546.0	999524.0	1347196.0	1213878.0	1312961.0	1209720.0	1310623.0	1172343.0	1369029.0	1203062.0	1030197.0	1231684.0	1160353.0	1216907.0	1040699.0	1219585.0	1240191.0	1250456.0	1194550.0	1228827.0	1229173.0	1254490.0	1271355.0	1395874.0	1521483.0	1090681.0	818688.0	1558480.0
