	XieH_2016__YSZC12003_37209__bin.2	QinJ_2012__NLM032__bin.4	ZeeviD_2015__PNP_Main_515__bin.19	ZeeviD_2015__PNP_Main_625__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES27__bin.43	QinJ_2012__NOM007__bin.16	BritoIL_2016__M1.52.ST__bin.24	XieH_2016__YSZC12003_37136__bin.27	FengQ_2015__SID31282__bin.48	BritoIL_2016__M2.60.ST__bin.64	XieH_2016__YSZC12003_36019__bin.1	BritoIL_2016__M1.25.ST__bin.89	QinJ_2012__T2D-043__bin.19	XieH_2016__YSZC12003_37205__bin.56	XieH_2016__YSZC12003_37798__bin.29	BritoIL_2016__W3.19.ST__bin.49	XieH_2016__YSZC12003_36051__bin.40	CM_madagascar__V48_03_2FE__bin.32	XieH_2016__YSZC12003_37265R1__bin.12	XieH_2016__YSZC12003_36702__bin.50	XieH_2016__YSZC12003_37233__bin.26	XieH_2016__YSZC12003_36057__bin.33	NielsenHB_2014__O2_UC37_2__bin.33	Bengtsson-PalmeJ_2015__TRAVELRES28__bin.101	XieH_2016__YSZC12003_35734__bin.45	LeChatelierE_2013__MH0292__bin.40	HMP_2012__SRS020328__bin.68	BritoIL_2016__W1.26.ST__bin.34	XieH_2016__YSZC12003_35516__bin.8	ZellerG_2014__CCMD46947453ST-21-0__bin.72	ZeeviD_2015__PNP_Main_561__bin.55	LeChatelierE_2013__MH0125__bin.33	ZellerG_2014__CCIS41222843ST-4-0__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.23	NielsenHB_2014__MH0125__bin.43
XieH_2016__YSZC12003_37209__bin.2	1.0	0.7976703375157476	0.8083226612505032	0.4658022171007805	0.7818263657551862	0.7984709065776943	0.7915999525781711	0.7691006398038508	0.6111748758108286	0.8567013949052801	0.7729451952176909	0.797311416805306	0.7788286287144385	0.8480475625310229	0.7416669815093951	0.8480899034496775	0.757001559448604	0.6451303383755939	0.9465084375679897	0.7507904723813444	0.7806395172353595	0.6504620371323343	0.789001522970274	0.8442075669084225	0.7930864445223228	0.780202428675094	0.7838737120218244	0.8280691629135242	0.7827259474269098	0.7962802525863787	0.8262426408226384	0.7904815009269405	0.6861977724768396	0.5113851473268549	0.7750114320480368
QinJ_2012__NLM032__bin.4	0.7223290547874097	1.0	0.7653685526874616	0.45051495918078427	0.7405059931102826	0.8550675994525978	0.7428135765183332	0.7294753669010429	0.5967846019536596	0.7949565853428342	0.73186376291822	0.7758199235524516	0.7699188334670379	0.7711976782596385	0.6947395120570053	0.7981436694823274	0.715954296635364	0.6266192015478269	0.759870345901562	0.6998584304657638	0.7384072247652306	0.6128686706620735	0.7254146807607003	0.7880485819451654	0.7501120758812704	0.809320584210278	0.7544210985795857	0.7408605068189326	0.7293054834599594	0.7722216978906139	0.794601481761125	0.7371407673068756	0.6632001793214101	0.5061541456278609	0.7221998725874191
ZeeviD_2015__PNP_Main_515__bin.19	0.7798707236521668	0.8154490577658509	1.0	0.47773926651227244	0.8013028190036859	0.7957791932326315	0.9143294378647092	0.7968381657464814	0.6607184044395145	0.855621510025673	0.7822413137543875	0.8145000675605609	0.7966810481628241	0.8502889392363457	0.7516762875000392	0.8639437141968306	0.7649401539123849	0.657581708999381	0.8111698032573618	0.7453149107729242	0.8037368846097042	0.6681230419221137	0.7915181643638466	0.8469819283355278	0.8283716647864929	0.7761262973984471	0.832215389353084	0.8155659532480918	0.8042013241869951	0.8555228401831363	0.8495523720041604	0.8204114595280816	0.7236703924483004	0.5371171437280232	0.8014052596682305
ZeeviD_2015__PNP_Main_625__bin.7	0.6659080199880429	0.7112303299740558	0.7078899875400664	1.0	0.6742546855123939	0.7087243747217933	0.6991177473036071	0.6675879691798234	0.5192225671933115	0.7200947625442105	0.6800255531074404	0.7098614135040351	0.6716462943338033	0.695929196287722	0.6373134967714058	0.7186960465319852	0.6614250513576485	0.5816628517044407	0.6739902145753286	0.6418085714658208	0.6736354137759558	0.7020325150254879	0.6463921135511556	0.7156229687421427	0.6973102188217634	0.671682612525865	0.6958463163109657	0.6699058148219198	0.6646657515723915	0.7072222915475461	0.7267260919204128	0.6829198336440556	0.6902384149623502	0.46548561147729367	0.6731344089726422
Bengtsson-PalmeJ_2015__TRAVELRES27__bin.43	0.7715752715752716	0.8070211641640213	0.8196468910754625	0.465456679742394	1.0	0.7897649326220755	0.8017825160682304	0.7553231838946125	0.6151043293900437	0.8274222559936846	0.751898680470109	0.810298453155596	0.7570190427333284	0.8219354647926076	0.7188763617335046	0.8301891159034016	0.7287358715930145	0.6379932808504237	0.7975615118472261	0.7204282204282204	0.7544116115544687	0.6341329198472055	0.7586621872336158	0.9640552497695355	0.7898253612539327	0.7549310406453263	0.7716614145185574	0.7870752156466442	0.7701584130155559	0.791854220425649	0.8194951766380337	0.7729760586903444	0.6754037468323183	0.5115116543687972	0.7519366090794662
QinJ_2012__NOM007__bin.16	0.6886178363951266	0.8143441474065156	0.7113345246809513	0.42754698304604855	0.6901587982856728	1.0	0.7145473431468767	0.7009871032219754	0.5644032747265958	0.7436160752155689	0.7067380426581845	0.7158388748225478	0.7392105983123012	0.7228055056663916	0.6573958024939651	0.7502681093920026	0.6850898594820278	0.5985240922060361	0.7358657616020161	0.6790720746582835	0.7176685915113954	0.5831420005089725	0.6918306548610522	0.7393971091936944	0.7183842989297534	0.7609037238695165	0.7200466052491578	0.7024898640886219	0.7002685869048013	0.7192578664615796	0.7327641755292106	0.7062683947761224	0.6319690886303079	0.46567609913615127	0.694719888183356
BritoIL_2016__M1.52.ST__bin.24	0.7816578803152281	0.8099890395733153	0.935784378047243	0.482890413743243	0.8022311929626856	0.8181308870484292	1.0	0.8346139794324763	0.6404214618533413	0.8824610017212501	0.7877587985725717	0.8455255215850939	0.8129671367300365	0.8610090539299304	0.7699082257230409	0.8668758410069185	0.7944090245992111	0.6735021393414996	0.8208639183268112	0.7817903831260886	0.848217386941655	0.6881771472530752	0.806392810371754	0.8415903167460397	0.8266721726087102	0.7925623470750326	0.8429565107764665	0.8363326566684934	0.8157394042776539	0.8643473529025835	0.8506281662382837	0.8335147206763561	0.7244153795883922	0.5500654795443961	0.8145796830738594
XieH_2016__YSZC12003_37136__bin.27	0.691267839494897	0.7240393487618325	0.7423273193099799	0.4197193455768357	0.6879042721111377	0.730556882637552	0.75969257755233	1.0	0.5957881930295409	0.7402793195348031	0.7007713078627267	0.7151447768394528	0.7463835064004384	0.7518319586325123	0.7340990206134866	0.7248162772071325	0.7041770296157863	0.5948473309258505	0.7269228247174486	0.7132367061512592	0.8597172846965588	0.630353604901148	0.733297502119428	0.7343010102997176	0.7283180172458209	0.7283906164373938	0.7796433037784366	0.7398044974028225	0.7169252134650423	0.803613332021864	0.7176968726141798	0.7201605613088463	0.6507129943185278	0.4913202982655819	0.708747265820769
FengQ_2015__SID31282__bin.48	0.545003999309923	0.5876789887235144	0.6106786512363589	0.323873237268573	0.5557954560636451	0.5835855773905679	0.5783478464427634	0.5911026536016734	1.0	0.5993289756248305	0.5789827405234943	0.5744676154644631	0.5765134498215849	0.6319066514013268	0.5457480974960311	0.5990559653613872	0.5397709153453261	0.47245762096532945	0.5785023586344142	0.5506628631109113	0.5894843416996457	0.4783650983679214	0.5862482987684914	0.5844057699266997	0.5737653401272228	0.5602641112906008	0.6013271784040749	0.5663144834268248	0.6128836447683391	0.5982950218611516	0.5909522075203291	0.587254370632925	0.5265804535107087	0.38040959671737107	0.5805964054423144
BritoIL_2016__M2.60.ST__bin.64	0.7916952101179261	0.8112604667681991	0.819544187670433	0.4654847972261183	0.7747966843445441	0.7968161761607503	0.8258727072435152	0.7611337519037328	0.621097272470067	1.0	0.7832965127828511	0.9158896226244725	0.7651404698984475	0.8434063122663601	0.7371391937202401	0.9337868180422704	0.7507943005399679	0.6505667555576959	0.8185798303646138	0.7234979322301214	0.7645685975885048	0.6391040265830329	0.775636433683881	0.8170183179730437	0.7966506341762932	0.7869143576068047	0.7862612192317648	0.8016620415239494	0.8050956832670162	0.8235340504812757	0.876825928088562	0.8380283046694879	0.684021285689347	0.5247452158366492	0.81097272470067
