	NielsenHB_2014__V1_UC49_1__bin.38	LiJ_2014__MH0336__bin.23	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.68	LiJ_2014__MH0394__bin.50	LiJ_2014__MH0382__bin.29	ZeeviD_2015__PNP_Main_133__bin.19	ZeeviD_2015__PNP_Main_356__bin.21	ZeeviD_2015__PNP_DietIntervention_14__bin.9	NielsenHB_2014__O2_UC52_0__bin.19	KarlssonFH_2013__S263__bin.15	NielsenHB_2014__O2_UC51_2__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.93	LiJ_2014__O2.UC7-1__bin.35	ZeeviD_2015__PNP_Main_553__bin.45	HMP_2012__SRS053335__bin.32	ZeeviD_2015__PNP_Main_479__bin.14	FengQ_2015__SID530600__bin.13	BritoIL_2016__W2.43.ST__bin.65	ZeeviD_2015__PNP_Validation_38__bin.40	VincentC_2016__MM050.4__bin.57	HMP_2012__SRS019685__bin.31	BackhedF_2015__SID544_M__bin.47	HMP_2012__SRS024132__bin.20	LiJ_2014__V1.FI36__bin.98	ZeeviD_2015__PNP_Main_182__bin.5	HMP_2012__SRS014235__bin.69	LiJ_2014__MH0389__bin.71	HMP_2012__SRS013476__bin.46
NielsenHB_2014__V1_UC49_1__bin.38	1.0	0.9034848822266307	0.7533108847442895	0.9183742683948014	0.927958066650536	0.9526089990686472	0.9412194096139774	0.7764277556557573	0.9196579066189675	0.6414825875554806	0.8878725374679054	0.7205025160535042	0.9392519231953543	0.941859477514295	0.9024262747143409	0.9368635622157382	0.528494404440606	0.9913904592231799	0.9018784373003437	0.9391322570580402	0.8890105332469013	0.8665238067024128	0.9060492399886871	0.8919152098287344	0.6296940136868874	0.9159257824779005	0.9401861946722885	0.8998832233620989
LiJ_2014__MH0336__bin.23	0.948580248691669	1.0	0.7678258753820498	0.9662260925842961	0.9724991557672283	0.9594808106350653	0.9815742750170225	0.7959132392246174	0.9993420806675904	0.6602473310906262	0.9503989497805607	0.7331602375251202	0.8850933313884826	0.9491450113044454	0.929240116960713	0.9513240818087603	0.5361604354831494	0.9504890421344165	0.9217180182869092	0.9559233884040722	0.9177726473484962	0.9098224567755885	0.9339172584467711	0.9697467424259604	0.6450934294481874	0.9475380578907725	0.9981230759613375	0.9303659649473327
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.68	0.8800841964274145	0.8543966479646847	1.0	0.8815456652752137	0.8840328220124624	0.9012526486139233	0.8952345749567118	0.7874739230447654	0.8790909022711758	0.6523293140098463	0.8623972180943892	0.7704327734559613	0.8225553131519239	0.8994580357940523	0.8706896728096551	0.8926331876865623	0.5312807527348835	0.8878672170646095	0.9051941134789983	0.8997458285396291	0.8673899448488167	0.8215613370223545	0.8893184563124474	0.864602037872707	0.6575944891099089	0.8908269813200685	0.9008557401354262	0.8895527141515603
LiJ_2014__MH0394__bin.50	0.9274263003727351	0.9293627780112816	0.7619992348407991	1.0	0.972778194023859	0.947000346031164	0.9720289510775599	0.7849772957576108	0.9610611779561054	0.6517779930074589	0.9224843033308004	0.7279579032751525	0.8667343795225005	0.930506979867117	0.9205607944922686	0.9355774859273782	0.5301545232521742	0.9314681447954731	0.9052257779658909	0.9440702814642247	0.9101775016078365	0.9041151770919117	0.9196924743821988	0.9328911758516227	0.632994159913557	0.9404581759146983	0.991537563245006	0.9121841286646439
LiJ_2014__MH0382__bin.29	0.9096386472877088	0.9079806591897459	0.7417524032959487	0.9442667086289769	1.0	0.9416983291371023	0.9700497825589379	0.7587665941863126	0.9568940260929274	0.6301925497825589	0.909115358205539	0.7061667429617762	0.8545365072098878	0.9293502517738613	0.8909066720073243	0.9312388418402381	0.5208122568093385	0.9163936255436027	0.8881197070267796	0.9268991760128176	0.8764914740215152	0.9146792744335088	0.9009653238727398	0.9200426298924239	0.6172158960860609	0.9125932707713436	0.9765429732204166	0.8962723163195239
ZeeviD_2015__PNP_Main_133__bin.19	0.9258464040857395	0.888193049148185	0.7497575340324636	0.9114119135819805	0.9336745302514412	1.0	0.9471655380900632	0.773819746019913	0.9223374201507587	0.6305743415265413	0.8931785295570198	0.7139417860416193	0.8720704451927629	0.9635198995131391	0.8896258606158962	0.9580791305662569	0.5192640948679479	0.9337616165948559	0.8924455291942074	0.920635690593285	0.8733140495234788	0.8744158194186661	0.8975963885548688	0.9002659963003906	0.6244002885479757	0.9080172482020358	0.9511005926693723	0.8923391533675609
ZeeviD_2015__PNP_Main_356__bin.21	0.9069793539329003	0.9008998341744611	0.7384028998094244	0.9275258582090392	0.9535862866554317	0.9390920207990676	1.0	0.7546532963732132	0.9645753223697977	0.6256060957198111	0.902445870449079	0.7032437230420999	0.8553492798851596	0.9296062712203814	0.8907244573544864	0.9218808711128311	0.5140347018627811	0.9165281037163371	0.8822500860627797	0.9178556080307261	0.8699574523617202	0.8900843302740734	0.8981596065187212	0.911497649867362	0.6176843824742431	0.9051554417551857	0.9683117407631575	0.889365171686808
ZeeviD_2015__PNP_DietIntervention_14__bin.9	0.9520761604810135	0.9295723130882931	0.8265266096417451	0.9531648831466304	0.9491575104684872	0.9763065029884399	0.9603102966966107	1.0	0.9432232203571812	0.69873376042375	0.931314555670878	0.794329479975663	0.8899538312873555	0.9683654844135857	0.942558963530296	0.9605851615904942	0.5813857771733295	0.9585981174617945	0.9538524032783365	0.9563551769800651	0.9306180881142407	0.8842621953401811	0.944250384739272	0.9259350059053004	0.6929669661071544	0.9508993951540746	0.9675995848394832	0.95021688558033
NielsenHB_2014__O2_UC52_0__bin.19	0.9039307937036155	0.9355561548105031	0.7395928062631068	0.9354061179467613	0.9594716866381128	0.9327697149299589	0.9838717543411718	0.7560538296694312	1.0	0.630183802330018	0.9298295087798819	0.7048092122060583	0.8592180870443311	0.922510119599175	0.8867433968001698	0.9247942372074209	0.5186163330761	0.9132299236045568	0.8868716309839033	0.9195917161291063	0.8727787802548045	0.9012923825452334	0.8950020224854481	0.9458051356786514	0.6192649628063491	0.9089118454534241	0.9767483024031717	0.8929852745846732
KarlssonFH_2013__S263__bin.15	0.941876839530383	0.9233422585019088	0.8198344444082561	0.9476527720876495	0.9439347137060763	0.9526234681650894	0.9532431445620182	0.8366625583464325	0.9413857267012817	1.0	0.9204954325649803	0.7866980418911529	0.8778701816517505	0.9494080933337219	0.9357799265987736	0.9442029830176097	0.5941680994362059	0.95030418140148	0.9564190932325852	0.9643347521037285	0.9319298762875642	0.878497571862749	0.9473699322384288	0.924154780250579	0.6789403447903472	0.9553832994211211	0.9657613791613884	0.9535821238358569
NielsenHB_2014__O2_UC51_2__bin.9	0.9185299790690624	0.9364734570831235	0.7636600636986525	0.9450221689185844	0.9594473652744513	0.9507289594558198	0.9688517937439082	0.7857211873506119	0.9786720026667923	0.6485673842125415	1.0	0.7265927984530672	0.8635844562726989	0.9405775151245046	0.9157043628866577	0.9429429647048593	0.5341223801604181	0.928927509870634	0.904776613874325	0.9337967005692297	0.899302624157418	0.8985510790967207	0.9209066006732202	0.9321577344826628	0.6373253088007769	0.9379448428126446	0.9855219629910105	0.9184409048252272
