	NielsenHB_2014__V1_UC49_1__bin.38	LiJ_2014__MH0336__bin.23	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.68	LiJ_2014__MH0394__bin.50	LiJ_2014__MH0382__bin.29	ZeeviD_2015__PNP_Main_133__bin.19	ZeeviD_2015__PNP_Main_356__bin.21	ZeeviD_2015__PNP_DietIntervention_14__bin.9	NielsenHB_2014__O2_UC52_0__bin.19	KarlssonFH_2013__S263__bin.15	NielsenHB_2014__O2_UC51_2__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.93	LiJ_2014__O2.UC7-1__bin.35	ZeeviD_2015__PNP_Main_553__bin.45	HMP_2012__SRS053335__bin.32	ZeeviD_2015__PNP_Main_479__bin.14	FengQ_2015__SID530600__bin.13	BritoIL_2016__W2.43.ST__bin.65	ZeeviD_2015__PNP_Validation_38__bin.40	VincentC_2016__MM050.4__bin.57	HMP_2012__SRS019685__bin.31	BackhedF_2015__SID544_M__bin.47	HMP_2012__SRS024132__bin.20	LiJ_2014__V1.FI36__bin.98	ZeeviD_2015__PNP_Main_182__bin.5	HMP_2012__SRS014235__bin.69	LiJ_2014__MH0389__bin.71	HMP_2012__SRS013476__bin.46
NielsenHB_2014__V1_UC49_1__bin.38	1.0	0.8963837185172256	0.7448402734342051	0.9111791229873104	0.9207211840292989	0.9454687249631442	0.9338937989299512	0.7710839329531063	0.9124904887310983	0.6355690372917627	0.8812313587155912	0.7124422720338195	0.9391961762874835	0.9349334349814474	0.8937017376982481	0.9299850942691887	0.5237293572264775	0.9912894726780318	0.890068557021936	0.9293356865727881	0.8805358357760305	0.8596292859813455	0.8972712910137444	0.8849018985762357	0.6214819979808528	0.90698730575778	0.9328886033765114	0.8910711257577275
LiJ_2014__MH0336__bin.23	0.941124646755235	1.0	0.7590538219076413	0.9654701135470095	0.9717640144172282	0.9522896634652216	0.9808415851596443	0.7902346630025023	0.9991091888685074	0.6545506751104244	0.9502356190846248	0.7248551933951887	0.8781862509262046	0.9420436500518797	0.9208204655507063	0.9441669490990457	0.5313941209529688	0.94302700502985	0.9091574894018909	0.946972375968263	0.9095540183334876	0.9091835365109989	0.9255484755086695	0.9696103781488657	0.6364353703806984	0.9388416942510659	0.9973646454314291	0.9218669464636912
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.68	0.8701880814248878	0.8446355636816467	1.0	0.8715400935531015	0.8740258863436886	0.890858352093283	0.8851307990749714	0.7788537801440736	0.8692998111615847	0.644821128624944	0.8526579569579351	0.770225453563413	0.8137080731320921	0.8890743098600387	0.8607928758337977	0.882292426072386	0.5248197373993493	0.877822431875979	0.896005886793791	0.8892451441793917	0.8574382490198338	0.8121889775378445	0.8791853555774848	0.8547280870034296	0.6510056037748588	0.8806325029853382	0.8906725143606533	0.879379036003418
LiJ_2014__MH0394__bin.50	0.9201602354190896	0.9286356409740983	0.7533505189583224	1.0	0.9726063574236653	0.9398097359139673	0.9718099552045858	0.7794175122422525	0.9602913028279647	0.6461860822375189	0.921812873184589	0.7197663375931911	0.8600318678785813	0.9236058097866102	0.9120895153736283	0.9285357222648948	0.5254315220832136	0.9242215330418496	0.893065759479456	0.9349991953449082	0.9019490927440154	0.9038684751461791	0.9114396016456229	0.9320193187960945	0.6246278101768531	0.9317139625048412	0.9913636634266281	0.9038331056915937
LiJ_2014__MH0382__bin.29	0.9025446326390478	0.9072942893110552	0.7333560311284046	0.9440999084458687	1.0	0.9345654039826047	0.9699058709086747	0.7534530212863356	0.9562193865873196	0.6247739757381552	0.9084827763790341	0.6982358663309682	0.847835889219501	0.922542629892424	0.8827434767681391	0.924319638361181	0.5161830510414283	0.9092203593499658	0.8761475738155184	0.9179217212176699	0.8685668917372397	0.9144732776379034	0.8928353170061799	0.9194003204394599	0.6090029182879377	0.9042154955367361	0.9764116502632181	0.8880230029755093
ZeeviD_2015__PNP_Main_133__bin.19	0.9189067288241897	0.8815361917510796	0.741110455836019	0.9044915278036626	0.9266023816271076	1.0	0.9402116793849605	0.7737445737690828	0.9154612867163258	0.6248416773113411	0.8868354099313038	0.7058583578919658	0.8655134392382696	0.9634884122684517	0.881232666059048	0.9579719037329972	0.5143830046036622	0.926870732379128	0.8804710151402586	0.9116337426391474	0.8652121828972066	0.8678590971330439	0.8892012083159231	0.8935478664271367	0.6161146044932583	0.8993721556876885	0.9440508538858523	0.8838880903610169
ZeeviD_2015__PNP_Main_356__bin.21	0.8999202372407711	0.9002273632389305	0.7300691539747505	0.9273168887798886	0.9534448174456567	0.9321974358916666	1.0	0.7493843417491107	0.9630585361902426	0.620248828308692	0.9018335872091584	0.6953824787430559	0.8486743519416439	0.9227994365981689	0.8825853371523457	0.9150819115162124	0.50945903074185	0.9093556429058395	0.8704319226537486	0.9092400487801585	0.8621136456193482	0.8900398926296511	0.8900626739536903	0.9109354292901451	0.6095283872172584	0.8968301334479337	0.9681593027677341	0.8811821763420731
ZeeviD_2015__PNP_DietIntervention_14__bin.9	0.9455234243584696	0.922940123832361	0.8174789735514119	0.9464138720876132	0.942510647435668	0.9762116602841702	0.953605454350238	1.0	0.9365004831609463	0.6924268995383129	0.9246938191188576	0.7857553416126839	0.8837514763251136	0.9682566837264235	0.9340016463261873	0.9604749293153431	0.5759582692101213	0.9519752335277907	0.9416599262732186	0.9476017322214666	0.9222583300526109	0.8780118821803086	0.9357517626427114	0.9193926487956765	0.6841705737088866	0.9422443720697183	0.9608009734798324	0.9415847679037973
NielsenHB_2014__O2_UC52_0__bin.19	0.896885946164593	0.9353381280104194	0.7313554095030997	0.9346567942601576	0.958795229803116	0.9258158075167608	0.9823246246926827	0.7506651251789398	1.0	0.6248189086611147	0.9296786112840344	0.6970313929904384	0.8524483549017301	0.9156692418691782	0.8787134123776109	0.9178718863047614	0.514040065293289	0.9060476618060078	0.8750330626167232	0.9110688763874106	0.8649711257928573	0.900696538250794	0.8869975701486885	0.9455392003580229	0.6111603902679721	0.9006328514749801	0.9760397153028993	0.88487410386682
KarlssonFH_2013__S263__bin.15	0.9331940847045352	0.9153756027488605	0.8103983070749389	0.9395224120582342	0.935818495669122	0.9439629976909983	0.9450802150954198	0.8291107343722413	0.9333715024281374	1.0	0.912663768558151	0.7779081507587822	0.8698203881248404	0.9407793352063617	0.9317323169383357	0.9356316499505459	0.5901282035898375	0.9415871429575449	0.9443036911457414	0.9599558769835217	0.9278659819085348	0.8708951795518789	0.9431881879222241	0.9162391213794356	0.6705134314644762	0.9511672714868291	0.9574698861269625	0.9493300981025733
