	NielsenHB_2014__V1_UC49_1__bin.38	LiJ_2014__MH0336__bin.23	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.68	LiJ_2014__MH0394__bin.50	LiJ_2014__MH0382__bin.29	ZeeviD_2015__PNP_Main_133__bin.19	ZeeviD_2015__PNP_Main_356__bin.21	ZeeviD_2015__PNP_DietIntervention_14__bin.9	NielsenHB_2014__O2_UC52_0__bin.19	KarlssonFH_2013__S263__bin.15	NielsenHB_2014__O2_UC51_2__bin.9	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.93	LiJ_2014__O2.UC7-1__bin.35	ZeeviD_2015__PNP_Main_553__bin.45	HMP_2012__SRS053335__bin.32	ZeeviD_2015__PNP_Main_479__bin.14	FengQ_2015__SID530600__bin.13	BritoIL_2016__W2.43.ST__bin.65	ZeeviD_2015__PNP_Validation_38__bin.40	VincentC_2016__MM050.4__bin.57	HMP_2012__SRS019685__bin.31	BackhedF_2015__SID544_M__bin.47	HMP_2012__SRS024132__bin.20	LiJ_2014__V1.FI36__bin.98	ZeeviD_2015__PNP_Main_182__bin.5	HMP_2012__SRS014235__bin.69	LiJ_2014__MH0389__bin.71	HMP_2012__SRS013476__bin.46
NielsenHB_2014__V1_UC49_1__bin.38	3426199.0	3095519.0	2580993.0	3146533.0	3179369.0	3263828.0	3224805.0	2660196.0	3150931.0	2197847.0	3042028.0	2468585.0	3218064.0	3226998.0	3091892.0	3209881.0	1810727.0	3396701.0	3090015.0	3217654.0	3045927.0	2968883.0	3104305.0	3055879.0	2157457.0	3138144.0	3221265.0	3083179.0
LiJ_2014__MH0336__bin.23	3095519.0	3263318.0	2505660.0	3153103.0	3173574.0	3131091.0	3203189.0	2597318.0	3261171.0	2154597.0	3101454.0	2392535.0	2888341.0	3097362.0	3032406.0	3104473.0	1749662.0	3101748.0	3007859.0	3119482.0	2994984.0	2969040.0	3047669.0	3164592.0	2105145.0	3092118.0	3257193.0	3036080.0
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.68	2580993.0	2505660.0	2932666.0	2585279.0	2592573.0	2643073.0	2625424.0	2309398.0	2578080.0	1913064.0	2529123.0	2259422.0	2412280.0	2637810.0	2553442.0	2617795.0	1558069.0	2603818.0	2654632.0	2638654.0	2543765.0	2409365.0	2608074.0	2535589.0	1928505.0	2612498.0	2641909.0	2608761.0
LiJ_2014__MH0394__bin.50	3146533.0	3153103.0	2585279.0	3392758.0	3300401.0	3212943.0	3297859.0	2663238.0	3260648.0	2211325.0	3129766.0	2469785.0	2940620.0	3156985.0	3123240.0	3174188.0	1798686.0	3160246.0	3071212.0	3203002.0	3088012.0	3067444.0	3120294.0	3165074.0	2147596.0	3190747.0	3364047.0	3094820.0
LiJ_2014__MH0382__bin.29	3179369.0	3173574.0	2592573.0	3300401.0	3495200.0	3291424.0	3390518.0	2652041.0	3344536.0	2202649.0	3177540.0	2468194.0	2986776.0	3248265.0	3113897.0	3254866.0	1820343.0	3202979.0	3104156.0	3239698.0	3063513.0	3196987.0	3149054.0	3215733.0	2157293.0	3189696.0	3413213.0	3132651.0
ZeeviD_2015__PNP_Main_133__bin.19	3263828.0	3131091.0	2643073.0	3212943.0	3291424.0	3525237.0	3338983.0	2727898.0	3251458.0	2222924.0	3148666.0	2516814.0	3074255.0	3396636.0	3136142.0	3377456.0	1830529.0	3291731.0	3146082.0	3245459.0	3078639.0	3082523.0	3164240.0	3173651.0	2201159.0	3200976.0	3352855.0	3145707.0
ZeeviD_2015__PNP_Main_356__bin.21	3224805.0	3203189.0	2625424.0	3297859.0	3390518.0	3338983.0	3555544.0	2683203.0	3429590.0	2224370.0	3208686.0	2500414.0	3041232.0	3305256.0	3167010.0	3277788.0	1827673.0	3258756.0	3136879.0	3263476.0	3093172.0	3164734.0	3193446.0	3240870.0	2196204.0	3218320.0	3442875.0	3162177.0
ZeeviD_2015__PNP_DietIntervention_14__bin.9	2660196.0	2597318.0	2309398.0	2663238.0	2652041.0	2727898.0	2683203.0	2794100.0	2635460.0	1952332.0	2602186.0	2219436.0	2486620.0	2705710.0	2633604.0	2683971.0	1624450.0	2678419.0	2665159.0	2672152.0	2600240.0	2470717.0	2638330.0	2587155.0	1936219.0	2656908.0	2703570.0	2655001.0
NielsenHB_2014__O2_UC52_0__bin.19	3150931.0	3261171.0	2578080.0	3260648.0	3344536.0	3251458.0	3429590.0	2635460.0	3485810.0	2196701.0	3241209.0	2456831.0	2995071.0	3215695.0	3091019.0	3223657.0	1807798.0	3183346.0	3091466.0	3205522.0	3042341.0	3141734.0	3119807.0	3296897.0	2158640.0	3168294.0	3404759.0	3112777.0
KarlssonFH_2013__S263__bin.15	2197847.0	2154597.0	1913064.0	2211325.0	2202649.0	2222924.0	2224370.0	1952332.0	2196701.0	2333476.0	2147954.0	1835741.0	2048489.0	2215421.0	2183620.0	2203275.0	1386477.0	2217512.0	2231781.0	2250252.0	2174636.0	2049953.0	2210665.0	2156493.0	1584291.0	2229364.0	2253581.0	2225161.0
